n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Z_009,263,21.327725,-157.915023,Ramp_01_008,259,21.328218,-157.915023
Txy_C_007,191,21.319574,-157.916594,Txy_C_008,189,21.320102,-157.916167
Txy_E_003,86,21.322829,-157.915728,Rwy_04_005,87,21.322283,-157.915291
Txy_Z_006,254,21.327727,-157.917999,Txy_Z_007,256,21.327723,-157.916493
Ramp_04_016,17,21.334832,-157.924979,Gate_01_061,16,21.335067,-157.924203
Txy_RA_RH,164,21.309687,-157.911987,Txy_RA_003,165,21.309667,-157.910778
Txy_A_L,122,21.327411,-157.928946,Txy_A_G,128,21.327417,-157.928053
Txy_C_007,191,21.319574,-157.916594,Ramp_05_003,281,21.319177,-157.916277
Txy_RA_004,154,21.307623,-157.910762,Rwy_02_007,156,21.306793,-157.910771
Txy_Z_001,206,21.327709,-157.927141,Ramp_03_010,205,21.32819,-157.927129
Txy_A_W,168,21.329678,-157.909689,Txy_Z_W,169,21.330286,-157.910198
Rwy_02_001,146,21.306802,-157.945694,Rwy_02_002,147,21.306797,-157.944462
Ramp_03_001,219,21.330668,-157.922025,Gate_01_026,218,21.330821,-157.922991
Txy_HA_V,186,21.330582,-157.94759,Txy_V_002,143,21.329414,-157.946312
Txy_C_002,177,21.313227,-157.925179,Txy_C_003,180,21.314723,-157.923045
Txy_C_010,182,21.322174,-157.913305,Txy_C_011,183,21.323258,-157.911763
Ramp_01_009,258,21.328214,-157.915752,Gate_01_007,261,21.328945,-157.915749
Ramp_02_011,222,21.330726,-157.921325,Gate_01_024,221,21.331517,-157.921183
Txy_F_005,96,21.318983,-157.923621,Rwy_03_001,99,21.318429,-157.923175
Rwy_04_006,111,21.323245,-157.913912,Rwy_04_007,113,21.324233,-157.912527
Txy_B_G,132,21.32387,-157.927266,Txy_B_003,133,21.323053,-157.927277
Txy_C_012,184,21.324197,-157.910423,Txy_C_013,185,21.324472,-157.910034
Txy_C_RT,179,21.312685,-157.92596,Txy_RT_001,178,21.312176,-157.925469
Txy_RA_RB,157,21.309692,-157.945693,Txy_RB_002,167,21.317382,-157.946493
Txy_A_L,122,21.327411,-157.928946,Txy_L_002,123,21.327856,-157.928943
Txy_C_019,82,21.329279,-157.906744,Txy_C_018,76,21.329201,-157.906678
Txy_RA_RM,160,21.309675,-157.939732,Txy_RM_001,148,21.307758,-157.936165
Txy_C_003,180,21.314723,-157.923045,Txy_C_004,181,21.314943,-157.922749
Txy_C_F,107,21.316007,-157.921241,Txy_C_D,108,21.318271,-157.918036
Ramp_03_002,216,21.329992,-157.922144,Ramp_03_001,219,21.330668,-157.922025
Ramp_01_013,250,21.329073,-157.918359,Ramp_01_014,246,21.330115,-157.918182
Ramp_02_004,237,21.328218,-157.91919,Gate_01_017,240,21.329057,-157.919864
Txy_HA_HB,188,21.328803,-157.958412,Txy_HA_T,187,21.330376,-157.948856
Txy_D_003,92,21.320374,-157.919331,Rwy_03_002,93,21.320912,-157.919665
Txy_B_E,89,21.323901,-157.916698,Txy_E_005,64,21.324454,-157.917034
Txy_T_001,47,21.323436,-157.94144,Txy_B_T,136,21.32304,-157.941007
