id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,35.044348,-106.621407,n0,Rwy,,,,
Rwy_01_002,1,35.044335,-106.619621,n1,Rwy,,,,
Rwy_01_003,2,35.044339,-106.618234,n2,Rwy,RW08 ,Entry,RW26 ,End
Rwy_01_004,3,35.04432,-106.617316,n3,Rwy,,,,
Rwy_01_005,4,35.044308,-106.614994,n4,Rwy,,,,
Rwy_01_006,5,35.044301,-106.613761,n5,Rwy,,,,
Rwy_01_02,6,35.044291,-106.611957,n6,Rwy,,,,
Rwy_01_008,7,35.044283,-106.610556,n7,Rwy,,,,
Rwy_01_009,8,35.044219,-106.601128,n8,Rwy,,,,
Rwy_01_010,9,35.044203,-106.597554,n9,Rwy,,,,
Rwy_01_011,10,35.044177,-106.593204,n10,Rwy,,,,
Rwy_01_012,11,35.044145,-106.588124,n11,Rwy,,,,
Rwy_01_013,12,35.044109,-106.582763,n12,Rwy,,,,
Rwy_01_014,13,35.044075,-106.577122,n13,Rwy,,,,
Rwy_01_015,14,35.044062,-106.575701,n14,Rwy,RW26 ,Entry,RW08 ,End
Rwy_02_001,15,35.057591,-106.611006,n15,Rwy,,,,
Rwy_02_002,16,35.05527,-106.611166,n16,Rwy,,,,
Rwy_02_003,17,35.054935,-106.611196,n17,Rwy,,,,
Rwy_02_004,18,35.050789,-106.611493,n18,Rwy,,,,
Rwy_02_005,19,35.046597,-106.611796,n19,Rwy,,,,
Rwy_02_006,20,35.045801,-106.611834,n20,Rwy,,,,
Rwy_02_007,21,35.043588,-106.612013,n21,Rwy,,,,
Rwy_02_008,22,35.042437,-106.612094,n22,Rwy,,,,
Rwy_02_04,23,35.038001,-106.612417,n23,Rwy,,,,
Rwy_02_03,24,35.037281,-106.61245,n24,Rwy,,,,
Rwy_02_011,25,35.037097,-106.612681,n25,Rwy,,,,
Rwy_02_012,26,35.036974,-106.612483,n26,Rwy,,,,
Rwy_02_013,27,35.033286,-106.612746,n27,Rwy,,,,
Rwy_02_014,28,35.03155,-106.612881,n28,Rwy,,,,
Rwy_02_015,29,35.030419,-106.612956,n29,Rwy,,,,
Rwy_04_001,30,35.043516,-106.620742,n30,Rwy,RW12 ,Entry,RW30 ,End
Rwy_04_002,31,35.042479,-106.619175,n31,Rwy,,,,
Rwy_04_003,32,35.041268,-106.617345,n32,Rwy,,,,
Rwy_04_004,33,35.038965,-106.61386,n33,Rwy,,,,
Rwy_03_04,34,35.037711,-106.611947,n34,Rwy,,,,
Rwy_04_005,35,35.035283,-106.608307,n35,Rwy,,,,
Rwy_04_006,36,35.033284,-106.605251,n36,Rwy,RW30 ,Entry,RW12 ,End
Rwy_03_007,37,35.02235,-106.630483,n37,Rwy,RW03 ,Entry,RW21 ,End
Rwy_03_008,38,35.024312,-106.628106,n38,Rwy,,,,
Rwy_03_009,39,35.029686,-106.621623,n39,Rwy,,,,
Rwy_03_010,40,35.033317,-106.617243,n40,Rwy,,,,
Rwy_03_011,41,35.035781,-106.614269,n41,Rwy,,,,
Rwy_03_013,42,35.038394,-106.611103,n42,Rwy,,,,
Rwy_03_014,43,35.041729,-106.607082,n43,Rwy,RW21 ,Entry,RW03 ,End
Rwy_03_015,44,35.042401,-106.606217,n44,Rwy,,,,
Txy_A1_001,45,35.045038,-106.621402,n45,Txy,,,,
Txy_A_A1,46,35.045581,-106.621363,n46,Txy,,,,
Txy_A2_001,47,35.045024,-106.619608,n47,Txy,,,,
Txy_A_A2,48,35.04557,-106.619601,n48,Txy,,,,
Txy_A_A3,49,35.045554,-106.617313,n49,Txy,,,,
Txy_A3_001,50,35.044998,-106.617308,n50,Txy,,,,
Txy_C_003,51,35.044973,-106.613751,n51,Txy,,,,
Txy_A_C,52,35.045532,-106.613757,n52,Txy,,,,
Txy_C_001,53,35.057371,-106.612344,n53,Txy,,,,
Txy_C_C1,54,35.05764,-106.611839,n54,Txy,,,,
Txy_C2_001,55,35.054989,-106.612032,n55,Txy,,,,
Txy_C_C2,56,35.055002,-106.612535,n56,Txy,,,,
Txy_C_C3,57,35.050853,-106.612832,n57,Txy,,,,
Txy_C3_001,58,35.050844,-106.612335,n58,Txy,,,,
Txy_C_002,59,35.048712,-106.612974,n59,Txy,,,,
Txy_C_B,60,35.046603,-106.613139,n60,Txy,,,,
Txy_C_A,61,35.045804,-106.613439,n61,Txy,,,,
Txy_C_004,62,35.043622,-106.613774,n62,Txy,,,,
Txy_C_E,63,35.042445,-106.613793,n63,Txy,,,,
