id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_T_001,0,33.63737,-84.442058,n0,Gate,,,,
Gate_T_002,1,33.637892,-84.442093,n1,Gate,,,,
Gate_T_003,2,33.638417,-84.442093,n2,Gate,,,,
Gate_T_004,3,33.638934,-84.442107,n3,Gate,,,,
Gate_T_005,4,33.639437,-84.442103,n4,Gate,,,,
Gate_T_006,5,33.639993,-84.442096,n5,Gate,,,,
Gate_T_007,6,33.640475,-84.442095,n6,Gate,,,,
Gate_T_008,7,33.641257,-84.441989,n7,Gate,,,,
Gate_T_009,8,33.641642,-84.442008,n8,Gate,,,,
Gate_T_010,9,33.642021,-84.442012,n9,Gate,,,,
Gate_T_011,10,33.642615,-84.442068,n10,Gate,,,,
Gate_T_012,11,33.643067,-84.442042,n11,Gate,,,,
Gate_T_013,12,33.64322,-84.441874,n12,Gate,,,,
Gate_T_014,13,33.643351,-84.442071,n13,Gate,,,,
Gate_A_034,14,33.64368,-84.439561,n14,Gate,,,,
Gate_A_032,15,33.643328,-84.439577,n15,Gate,,,,
Gate_A_030,16,33.642955,-84.439541,n16,Gate,,,,
Gate_A_028,17,33.642594,-84.439523,n17,Gate,,,,
Gate_A_026,18,33.64218,-84.439532,n18,Gate,,,,
Gate_A_024,19,33.641696,-84.439493,n19,Gate,,,,
Gate_A_020,20,33.641211,-84.43957,n20,Gate,,,,
Gate_A_018,21,33.640508,-84.439607,n21,Gate,,,,
Gate_A_016,22,33.639991,-84.439533,n22,Gate,,,,
Gate_A_012,23,33.639468,-84.439566,n23,Gate,,,,
Gate_A_010,24,33.638937,-84.439584,n24,Gate,,,,
Gate_A_006,25,33.638453,-84.439613,n25,Gate,,,,
Gate_A_004,26,33.638057,-84.439602,n26,Gate,,,,
Gate_A_002,27,33.637592,-84.439548,n27,Gate,,,,
Gate_A_001,28,33.637655,-84.438791,n28,Gate,,,,
Gate_A_003,29,33.638074,-84.43879,n29,Gate,,,,
Gate_A_005,30,33.638433,-84.43879,n30,Gate,,,,
Gate_A_007,31,33.6388,-84.438784,n31,Gate,,,,
Gate_A_009,32,33.639164,-84.438794,n32,Gate,,,,
Gate_A_011,33,33.639518,-84.438765,n33,Gate,,,,
Gate_A_015,34,33.640244,-84.438794,n34,Gate,,,,
Gate_A_017,35,33.640594,-84.438769,n35,Gate,,,,
Gate_A_019,36,33.641207,-84.438848,n36,Gate,,,,
Gate_A_021,37,33.6417,-84.438867,n37,Gate,,,,
Gate_A_025,38,33.642213,-84.438829,n38,Gate,,,,
Gate_A_027,39,33.642627,-84.4388,n39,Gate,,,,
Gate_A_029,40,33.643011,-84.438793,n40,Gate,,,,
Gate_A_031,41,33.643387,-84.438783,n41,Gate,,,,
Gate_A_033,42,33.64377,-84.438815,n42,Gate,,,,
Gate_B_036,43,33.64379,-84.436284,n43,Gate,,,,
Gate_B_034,44,33.643441,-84.436321,n44,Gate,,,,
Gate_B_032,45,33.643076,-84.436309,n45,Gate,,,,
Gate_B_028,46,33.642257,-84.436369,n46,Gate,,,,
Gate_B_030,47,33.642725,-84.436314,n47,Gate,,,,
Gate_B_026,48,33.642021,-84.436305,n48,Gate,,,,
Gate_B_024,49,33.641669,-84.436268,n49,Gate,,,,
Gate_B_022,50,33.6413,-84.436355,n50,Gate,,,,
Gate_B_020,51,33.640968,-84.436354,n51,Gate,,,,
