n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_001,526,33.637372,-84.441145,Txy_1S_001,363,33.637129,-84.441146
Ramp_03_028,598,33.641301,-84.434574,Ramp_03_029,599,33.641649,-84.434579
Rwy_04_005,743,33.631823,-84.440214,Rwy_04_006,202,33.631822,-84.434866
Ramp_05_018,657,33.641165,-84.428067,Gate_D_021,127,33.641167,-84.428976
Txy_L_015,356,33.636639,-84.429939,Txy_L_016,357,33.636658,-84.428064
Gate_D_031,159,33.642844,-84.428757,Ramp_05_020,659,33.642818,-84.428063
Ramp_03_014,585,33.638989,-84.43721,Ramp_03_013,584,33.639338,-84.4372
Ramp_01_006,530,33.639994,-84.441144,Ramp_01_007,531,33.640463,-84.441142
Ramp_12_003,700,33.654362,-84.417433,Parking_12_009,451,33.655455,-84.417046
Txy_A_003,426,33.651196,-84.437518,Txy_A_004,427,33.651196,-84.434527
Txy_F_011,422,33.644686,-84.424005,Txy_F_010,421,33.644659,-84.427321
Ramp_06_009,672,33.638767,-84.427332,Ramp_06_010,673,33.638324,-84.427329
Ramp_12_001,698,33.65151,-84.418842,Txy_A_010,433,33.650656,-84.418833
Ramp_03_018,589,33.637533,-84.437203,Ramp_03_017,588,33.637885,-84.437203
Ramp_02_026,565,33.642219,-84.437868,Ramp_03_005,576,33.642395,-84.437208
Ramp_10_001,692,33.651978,-84.43125,Ramp_10_002,693,33.651972,-84.429497
Txy_N_001,265,33.633607,-84.447801,Txy_P_003,262,33.633924,-84.447804
Txy_SJ_001,241,33.624948,-84.433091,Txy_SG_008,224,33.62211,-84.433074
Txy_B_010,381,33.647909,-84.415678,Txy_B_011,382,33.647923,-84.41318
Ramp_04_010,618,33.640981,-84.433924,Gate_C_030,85,33.641108,-84.433093
Ramp_05_101,725,33.643529,-84.43064,Gate_D_040,778,33.64321,-84.429824
Ramp_02_017,556,33.638423,-84.437865,Ramp_03_016,587,33.638206,-84.437206
Ramp_06_017,680,33.641958,-84.42331,Gate_E_018,150,33.641069,-84.423255
Ramp_02_016,555,33.638071,-84.437862,Ramp_03_017,588,33.637885,-84.437203
Rwy_02_005,176,33.6468,-84.428755,Txy_E5_001,498,33.645997,-84.428274
Txy_K_D,288,33.635511,-84.422365,Rwy_03_012,193,33.634719,-84.421813
Ramp_06_010,673,33.638324,-84.427329,Ramp_06_011,674,33.637814,-84.427332
Txy_N_001,265,33.633607,-84.447801,Txy_N_102,742,33.633616,-84.444722
Gate_E_033,156,33.643504,-84.425357,Ramp_06_020,683,33.643483,-84.424184
Ramp_05_003,643,33.642617,-84.43064,Gate_D_034,781,33.642406,-84.429808
Ramp_02_002,541,33.64331,-84.440485,Ramp_02_003,542,33.642925,-84.440491
Ramp_02_019,558,33.639161,-84.437867,Ramp_02_018,557,33.638799,-84.437865
Txy_F_008,419,33.644607,-84.428047,Txy_F_009,420,33.644622,-84.427698
Gate_T_011,10,33.642615,-84.442068,Ramp_01_011,536,33.642623,-84.441142
Txy_N_005,270,33.633602,-84.436053,Txy_N_006,271,33.633613,-84.429472
Gate_D_001A,118,33.637808,-84.428941,Ramp_05_013,652,33.637406,-84.428063
Ramp_04_008,616,33.641581,-84.433927,Ramp_04_007,615,33.641853,-84.43393
Txy_M_018,334,33.63554,-84.409133,Txy_LC_M,814,33.635814,-84.409086
Ramp_12_002,699,33.652999,-84.418469,Ramp_12_102,744,33.651969,-84.418842
Txy_B_001,371,33.648451,-84.437623,Txy_B_002,372,33.648459,-84.437369
Ramp_12_104,749,33.652402,-84.41314,Ramp_12_106,750,33.652713,-84.413647
Ramp_01_005,529,33.639442,-84.441147,Ramp_01_006,530,33.639994,-84.441144
Txy_N6_001,273,33.63262,-84.430979,Rwy_04_007,755,33.631825,-84.432904
Gate_E_007,145,33.638851,-84.425256,Ramp_06_115,710,33.638823,-84.424181
Ramp_14_001,707,33.62888,-84.424375,Txy_R12_001,259,33.629621,-84.424392
Ramp_12_003,700,33.654362,-84.417433,Ramp_12_105,747,33.654022,-84.41655
Ramp_04_013,621,33.638822,-84.433928,Ramp_04_014,622,33.6385,-84.433925
Txy_L_018,359,33.636585,-84.427307,Txy_L_019,360,33.636558,-84.426586
Gate_A_021,37,33.6417,-84.438867,Ramp_02_025,564,33.641706,-84.437868
Ramp_01_006,530,33.639994,-84.441144,Ramp_02_009,548,33.639989,-84.440489
Ramp_03_016,587,33.638206,-84.437206,Ramp_03_015,586,33.638609,-84.437207
Txy_B_008,378,33.6479,-84.428768,Txy_B6_001,488,33.647589,-84.428768
Txy_L_016,357,33.636658,-84.428064,Txy_L_017,358,33.636618,-84.427674
Txy_L_007,350,33.636633,-84.437877,Txy_2S_001,517,33.637195,-84.437855
Parking_11_006,466,33.652391,-84.423906,Ramp_11_002,696,33.651999,-84.424641
Txy_SG_006,222,33.622087,-84.438866,Txy_SG_007,223,33.622099,-84.433981
