n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_006,5,33.573126,-86.747195,Rwy_01_005,4,33.566857,-86.747195
Rwy_01_005,4,33.566857,-86.747195,Rwy_01_004,3,33.56641,-86.7472
Rwy_01_004,3,33.56641,-86.7472,Rwy_01_003,2,33.564184,-86.7472
Rwy_01_003,2,33.564184,-86.7472,Rwy_01_002,1,33.557532,-86.747211
Rwy_01_002,1,33.557532,-86.747211,Rwy_01_001,0,33.553835,-86.747206
Txy_G1_001,7,33.557536,-86.746384,Rwy_01_002,1,33.557532,-86.747211
Txy_B1_001,6,33.557541,-86.748031,Rwy_01_002,1,33.557532,-86.747211
Txy_F_G,9,33.564286,-86.74589,Txy_F_001,8,33.56447,-86.743632
Rwy_01_003,2,33.564184,-86.7472,Txy_F_G,9,33.564286,-86.74589
Rwy_01_003,2,33.564184,-86.7472,Txy_F_002,10,33.564747,-86.748025
Txy_F_002,10,33.564747,-86.748025,Txy_F_B,11,33.565136,-86.748524
Txy_G_001,12,33.55378,-86.746246,Txy_G_002,13,33.554021,-86.745895
Rwy_01_001,0,33.553835,-86.747206,Txy_G_001,12,33.55378,-86.746246
Txy_G_G1,14,33.557535,-86.745895,Txy_G1_001,7,33.557536,-86.746384
Txy_G_G1,14,33.557535,-86.745895,Txy_G_002,13,33.554021,-86.745895
Txy_G_G1,14,33.557535,-86.745895,Txy_F_G,9,33.564286,-86.74589
Txy_N_G,15,33.566405,-86.745895,Rwy_01_004,3,33.56641,-86.7472
Txy_A_N,16,33.567603,-86.745874,Txy_N_G,15,33.566405,-86.745895
Txy_N_G,15,33.566405,-86.745895,Txy_F_G,9,33.564286,-86.74589
Rwy_01_005,4,33.566857,-86.747195,Txy_A_N,16,33.567603,-86.745874
Txy_A_B,17,33.566118,-86.748521,Txy_F_B,11,33.565136,-86.748524
Txy_B1_001,6,33.557541,-86.748031,Txy_B_B1,18,33.557532,-86.748532
Txy_B_001,19,33.553819,-86.748159,Rwy_01_001,0,33.553835,-86.747206
Txy_B_001,19,33.553819,-86.748159,Txy_B_002,20,33.554201,-86.748518
Txy_B_002,20,33.554201,-86.748518,Txy_B_B1,18,33.557532,-86.748532
Txy_B_006,22,33.573124,-86.748013,Txy_B_005,21,33.572797,-86.748498
Rwy_01_006,5,33.573126,-86.747195,Txy_B_006,22,33.573124,-86.748013
Txy_B_005,21,33.572797,-86.748498,Txy_A_B,17,33.566118,-86.748521
Txy_M_001,23,33.573108,-86.74674,Txy_M_002,24,33.572676,-86.746383
Rwy_01_006,5,33.573126,-86.747195,Txy_M_001,23,33.573108,-86.74674
Txy_M_A,25,33.568965,-86.743505,Txy_M_002,24,33.572676,-86.746383
Txy_A_N,16,33.567603,-86.745874,Txy_M_A,25,33.568965,-86.743505
Rwy_02_010,35,33.554866,-86.771462,Rwy_02_009,34,33.55563,-86.770126
Rwy_02_009,34,33.55563,-86.770126,Rwy_02_008,33,33.558894,-86.764451
Rwy_02_008,33,33.558894,-86.764451,Rwy_02_007,32,33.560252,-86.762101
Rwy_02_007,32,33.560252,-86.762101,Rwy_02_006,31,33.560723,-86.761277
Rwy_02_006,31,33.560723,-86.761277,Rwy_02_005,30,33.562565,-86.758085
Rwy_02_005,30,33.562565,-86.758085,Rwy_02_004,29,33.563387,-86.756685
Rwy_02_004,29,33.563387,-86.756685,Rwy_02_003,28,33.566856,-86.75064
Rwy_02_003,28,33.566856,-86.75064,Rwy_02_002,27,33.571567,-86.742448
Rwy_02_002,27,33.571567,-86.742448,Rwy_02_001,26,33.573391,-86.739262
Txy_A_001,36,33.572317,-86.738323,Txy_A_002,37,33.571861,-86.738505
Rwy_02_001,26,33.573391,-86.739262,Txy_A_001,36,33.572317,-86.738323
Txy_A_A7,38,33.570189,-86.74137,Txy_A_002,37,33.571861,-86.738505
Rwy_02_002,27,33.571567,-86.742448,Txy_A_A7,38,33.570189,-86.74137
Txy_A_A7,38,33.570189,-86.74137,Txy_M_A,25,33.568965,-86.743505
Txy_A_B,17,33.566118,-86.748521,Rwy_01_005,4,33.566857,-86.747195
Txy_N_001,39,33.566412,-86.744449,Txy_N_G,15,33.566405,-86.745895
Txy_P_001,40,33.569546,-86.741659,Txy_P_002,41,33.569501,-86.741112
Txy_M_A,25,33.568965,-86.743505,Txy_P_001,40,33.569546,-86.741659
Rwy_02_006,31,33.560723,-86.761277,Txy_A3_001,48,33.560775,-86.760008
Txy_A4_001,47,33.561687,-86.75857,Rwy_02_005,30,33.562565,-86.758085
Txy_A4_001,47,33.561687,-86.75857,Txy_A_006,46,33.560847,-86.759053
Txy_A3_001,48,33.560775,-86.760008,Txy_A_006,46,33.560847,-86.759053
Rwy_02_010,35,33.554866,-86.771462,Txy_A_008,52,33.554384,-86.77109
Txy_A_007,51,33.554232,-86.770575,Txy_A_008,52,33.554384,-86.77109
Txy_A1_A,50,33.554831,-86.769486,Txy_A_007,51,33.554232,-86.770575
Rwy_02_009,34,33.55563,-86.770126,Txy_A1_A,50,33.554831,-86.769486
Txy_A2_A,49,33.558117,-86.763779,Txy_A1_A,50,33.554831,-86.769486
Rwy_02_008,33,33.558894,-86.764451,Txy_A2_A,49,33.558117,-86.763779
Txy_A2_A,49,33.558117,-86.763779,Txy_A_006,46,33.560847,-86.759053
Txy_A5_A,45,33.562934,-86.755437,Txy_A_004,44,33.563596,-86.754289
Rwy_02_004,29,33.563387,-86.756685,Txy_A_004,44,33.563596,-86.754289
Txy_A_004,44,33.563596,-86.754289,Txy_A_003,43,33.565129,-86.751605
Txy_A_F,42,33.566055,-86.749706,Txy_A_003,43,33.565129,-86.751605
Rwy_02_003,28,33.566856,-86.75064,Txy_A_F,42,33.566055,-86.749706
Txy_A_F,42,33.566055,-86.749706,Txy_F_B,11,33.565136,-86.748524
Txy_A_B,17,33.566118,-86.748521,Txy_A_F,42,33.566055,-86.749706
Txy_H2_H,55,33.560614,-86.764966,Txy_H2_002,54,33.56018,-86.764676
Txy_H2_001,53,33.560122,-86.764032,Txy_H2_002,54,33.56018,-86.764676
Rwy_02_007,32,33.560252,-86.762101,Txy_H2_001,53,33.560122,-86.764032
Rwy_02_003,28,33.566856,-86.75064,Txy_F_003,56,33.568158,-86.752242
Txy_H3_H,60,33.563996,-86.759082,Txy_H3_001,59,33.563697,-86.758851
Txy_H3_001,59,33.563697,-86.758851,Rwy_02_006,31,33.560723,-86.761277
Rwy_02_004,29,33.563387,-86.756685,Txy_H4_001,57,33.563934,-86.757354
Txy_H4_H,58,33.564528,-86.75817,Txy_H4_001,57,33.563934,-86.757354
Txy_H4_H,58,33.564528,-86.75817,Txy_H3_001,59,33.563697,-86.758851
Txy_H4_H,58,33.564528,-86.75817,Txy_H3_H,60,33.563996,-86.759082
Txy_H2_H,55,33.560614,-86.764966,Txy_H3_H,60,33.563996,-86.759082
Txy_H_001,62,33.556414,-86.772225,Txy_H_002,61,33.555953,-86.772356
Rwy_02_010,35,33.554866,-86.771462,Txy_H_002,61,33.555953,-86.772356
Txy_H2_H,55,33.560614,-86.764966,Txy_H_001,62,33.556414,-86.772225
Txy_F_B,11,33.565136,-86.748524,Txy_B_004,64,33.56425,-86.74854
Txy_B_004,64,33.56425,-86.74854,Txy_B_003,63,33.562846,-86.748519
Txy_B_003,63,33.562846,-86.748519,Rwy_01_001,0,33.553835,-86.747206
Ramp_02_007,81,33.560252,-86.753638,Ramp_02_006,80,33.56027,-86.754504
Ramp_02_005,79,33.560312,-86.755524,Ramp_02_006,80,33.56027,-86.754504
Ramp_02_004,78,33.561079,-86.756251,Ramp_02_005,79,33.560312,-86.755524
Ramp_02_004,78,33.561079,-86.756251,Ramp_02_003,77,33.56166,-86.756001
Ramp_02_003,77,33.56166,-86.756001,Ramp_02_002,76,33.562123,-86.755183
Ramp_02_002,76,33.562123,-86.755183,Ramp_02_001,75,33.56251,-86.754496
Ramp_01_010,74,33.562876,-86.753839,Ramp_02_001,75,33.56251,-86.754496
Ramp_01_010,74,33.562876,-86.753839,Ramp_01_009,73,33.563249,-86.75318
Ramp_01_008,72,33.563582,-86.752608,Ramp_01_009,73,33.563249,-86.75318
Ramp_01_007,71,33.563875,-86.75208,Ramp_01_008,72,33.563582,-86.752608
Ramp_01_006,70,33.564278,-86.751356,Ramp_01_007,71,33.563875,-86.75208
Ramp_01_005,69,33.564662,-86.750666,Ramp_01_006,70,33.564278,-86.751356
Ramp_01_005,69,33.564662,-86.750666,Ramp_01_004,68,33.564655,-86.749878
Ramp_01_004,68,33.564655,-86.749878,Ramp_01_003,67,33.564188,-86.749376
Ramp_01_003,67,33.564188,-86.749376,Ramp_01_002,66,33.56362,-86.749329
Ramp_01_002,66,33.56362,-86.749329,Ramp_01_001,65,33.562838,-86.749324
Ramp_01_001,65,33.562838,-86.749324,Txy_B_003,63,33.562846,-86.748519
Ramp_01_003,67,33.564188,-86.749376,Txy_B_004,64,33.56425,-86.74854
Txy_A_003,43,33.565129,-86.751605,Ramp_01_006,70,33.564278,-86.751356
Txy_A_004,44,33.563596,-86.754289,Ramp_01_010,74,33.562876,-86.753839
