id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,36.1035011,-86.6879039,n0,Rwy,RW02C,Entry,RW20C,End
Rwy_01_002,1,36.106899,-86.6865521,n1,Rwy,,,,
Rwy_01_003,2,36.1143965,-86.6835373,n2,Rwy,,,,
Rwy_01_004,3,36.1157833,-86.6830286,n3,Rwy,,,,
Rwy_01_005,4,36.1196747,-86.68143,n4,Rwy,,,,
Rwy_01_006,5,36.1235052,-86.6799065,n5,Rwy,,,,
Rwy_01_007,6,36.1240858,-86.6796812,n6,Rwy,RW20C,Entry,RW02C,End
Rwy_02_001,7,36.1177986,-86.6864404,n7,Rwy,RW02L,Entry,RW20R,End
Rwy_02_002,8,36.1229639,-86.6844233,n8,Rwy,,,,
Rwy_02_003,9,36.1237612,-86.6841122,n9,Rwy,,,,
Rwy_02_004,10,36.1288827,-86.6821166,n10,Rwy,,,,
Rwy_02_04,11,36.1306331,-86.68143,n11,Rwy,,,,
Rwy_02_005,12,36.1322363,-86.6807862,n12,Rwy,,,,
Rwy_02_006,13,36.1342116,-86.6800245,n13,Rwy,,,,
Rwy_02_007,14,36.1357713,-86.6793915,n14,Rwy,,,,
Rwy_02_008,15,36.1377122,-86.6786405,n15,Rwy,RW20R,Entry,RW02L,End
Rwy_03_001,16,36.1128828,-86.667583,n16,Rwy,RW02R,Entry,RW20L,End
Rwy_03_002,17,36.1164797,-86.666156,n17,Rwy,,,,
Rwy_03_003,18,36.1204144,-86.6645575,n18,Rwy,,,,
Rwy_03_004,19,36.1258568,-86.662401,n19,Rwy,,,,
Rwy_03_005,20,36.1298777,-86.6607916,n20,Rwy,,,,
Rwy_03_006,21,36.1334911,-86.6593432,n21,Rwy,RW20L,Entry,RW02R,End
Rwy_04_001,22,36.1205962,-86.6682267,n22,Rwy,,,,
Rwy_04_002,23,36.1220521,-86.6701364,n23,Rwy,RW31 ,Entry,RW13 ,End
Rwy_04_003,24,36.1229881,-86.6714024,n24,Rwy,,,,
Rwy_04_004,25,36.1247907,-86.6738272,n25,Rwy,,,,
Rwy_04_005,26,36.1258826,-86.6752005,n26,Rwy,,,,
Rwy_04_006,27,36.1273904,-86.6771746,n27,Rwy,,,,
Rwy_04_007,28,36.1295049,-86.6799641,n28,Rwy,,,,
Rwy_04_009,29,36.1349466,-86.6871309,n29,Rwy,,,,
Rwy_04_010,30,36.1377367,-86.6907573,n30,Rwy,,,,
Rwy_04_011,31,36.1401974,-86.6939437,n31,Rwy,RW13 ,Entry,RW31 ,End
Rwy_04_012,32,36.1412111,-86.6952312,n32,Rwy,,,,
Txy_S_001,33,36.1032348,-86.6866455,n33,Txy,,,,
Txy_S1_S,34,36.1066328,-86.6852239,n34,Txy,,,,
Txy_T4_S,35,36.1097835,-86.6839579,n35,Txy,,,,
Txy_N_S,36,36.1130165,-86.6826597,n36,Txy,,,,
Txy_S2_S,37,36.1145333,-86.6819838,n37,Txy,,,,
Txy_T4_N,38,36.1117251,-86.6817907,n38,Txy,,,,
Txy_T4_S2,39,36.1142733,-86.6808895,n39,Txy,,,,
Txy_S3_S,40,36.116544,-86.6812435,n40,Txy,,,,
Txy_T4_U2,41,36.116882,-86.6798059,n41,Txy,,,,
Txy_S4_S,42,36.1185634,-86.6803638,n42,Txy,,,,
Txy_T4_S4,43,36.1182947,-86.679248,n43,Txy,,,,
Txy_S5_S,44,36.1204527,-86.6796128,n44,Txy,,,,
Txy_T4_U3,45,36.1193694,-86.6787652,n45,Txy,,,,
Txy_U3_001,46,36.1187367,-86.6772631,n46,Txy,,,,
Txy_T4_S5,47,36.1210854,-86.6781214,n47,Txy,,,,
Txy_S6_S,48,36.1232,-86.678497,n48,Txy,,,,
Txy_T5_T4,49,36.1218914,-86.6777567,n49,Txy,,,,
Txy_S7_S,50,36.1237546,-86.6782717,n50,Txy,,,,
Txy_T4_S6,51,36.1228534,-86.6773919,n51,Txy,,,,
Txy_T4_S7,52,36.1234773,-86.6771451,n52,Txy,,,,
Txy_N_001,53,36.111101,-86.6781644,n53,Txy,,,,
Txy_H1_H,54,36.113196,-86.668854,n54,Txy,,,,
Txy_H2_H,55,36.1168016,-86.6674164,n55,Txy,,,,
Txy_H3_H,56,36.1206538,-86.665909,n56,Txy,,,,
Txy_H_L,57,36.1220057,-86.6653832,n57,Txy,,,,
Txy_H_J,58,36.1227424,-86.6650936,n58,Txy,,,,
Txy_H4_H,59,36.1263475,-86.6635915,n59,Txy,,,,
Txy_H5_H,60,36.1303077,-86.6620359,n60,Txy,,,,
Txy_H6_H,61,36.1338344,-86.6605124,n61,Txy,,,,
Txy_B1_N,62,36.1175338,-86.6854784,n62,Txy,,,,
Txy_B_N,63,36.1172911,-86.6843948,n63,Txy,,,,
Txy_B2_B,64,36.1210091,-86.6830966,n64,Txy,,,,
Txy_B_K,65,36.1277773,-86.6806504,n65,Txy,,,,
Txy_B_L,66,36.1310527,-86.6793737,n66,Txy,,,,
Txy_B3_B,67,36.1334616,-86.6784081,n67,Txy,,,,
Txy_B4_B,68,36.1338169,-86.6782793,n68,Txy,,,,
Txy_B_T2,69,36.1353333,-86.6776356,n69,Txy,,,,
Txy_B_T1,70,36.1359311,-86.677421,n70,Txy,,,,
Txy_B5_B,71,36.1373435,-86.6769704,n71,Txy,,,,
Txy_T1_M,72,36.1357838,-86.6766378,n72,Txy,,,,
Txy_B5_M,73,36.1371442,-86.6763589,n73,Txy,,,,
Txy_T1_001,74,36.1348307,-86.6729846,n74,Txy,,,,
Txy_T2_001,75,36.1341808,-86.6731241,n75,Txy,,,,
Txy_A1_A,76,36.1182876,-86.6877153,n76,Txy,,,,
Txy_A2_A,77,36.1229588,-86.6860094,n77,Txy,,,,
Txy_A_R1,78,36.125472,-86.6851297,n78,Txy,,,,
Txy_A_R2,79,36.1273785,-86.6843787,n79,Txy,,,,
Txy_R1_001,80,36.12581,-86.6865352,n80,Txy,,,,
Txy_R2_001,81,36.1276038,-86.6851726,n81,Txy,,,,
Txy_A_K,82,36.1297875,-86.6833487,n82,Txy,,,,
Txy_R3_001,83,36.1292416,-86.6847113,n83,Txy,,,,
Rwy_04_008,84,36.1315466,-86.6826406,n84,Rwy,,,,
Txy_A_L,85,36.1330717,-86.682072,n85,Txy,,,,
Txy_A4_A,86,36.1361824,-86.6808167,n86,Txy,,,,
Txy_A5_A,87,36.137976,-86.6798082,n87,Txy,,,,
Txy_L8_L,88,36.1216823,-86.667247,n88,Txy,,,,
Txy_L7_L,89,36.1230602,-86.6689207,n89,Txy,,,,
Txy_T6_L,90,36.1239789,-86.6701545,n90,Txy,,,,
Txy_T5_L,91,36.1258421,-86.67259,n91,Txy,,,,
Txy_T4_L,92,36.1271246,-86.6743173,n92,Txy,,,,
Txy_L3_L,93,36.1365163,-86.6867603,n93,Txy,,,,
Txy_L2_L,94,36.1388211,-86.6896142,n94,Txy,,,,
Txy_L1_L,95,36.1409699,-86.693026,n95,Txy,,,,
Txy_L_001,96,36.1416467,-86.6945488,n96,Txy,,,,
Txy_K2_K,97,36.1365272,-86.692021,n97,Txy,,,,
Txy_K3_K,98,36.1347769,-86.6898108,n98,Txy,,,,
Txy_K3_001,99,36.1353834,-86.6889418,n99,Txy,,,,
Txy_K_R5,100,36.1325499,-86.6869141,n100,Txy,,,,
Txy_R5_001,101,36.1313368,-86.6869141,n101,Txy,,,,
Txy_K_R4,102,36.1310595,-86.6849292,n102,Txy,,,,
Txy_R4_001,103,36.1316054,-86.6840816,n103,Txy,,,,
Txy_R4_002,104,36.1304009,-86.6857232,n104,Txy,,,,
Txy_T4_K,105,36.1246816,-86.6766036,n105,Txy,,,,
Txy_T5_S7,106,36.122699,-86.6760457,n106,Txy,,,,
Txy_T5_K,107,36.123531,-86.6750909,n107,Txy,,,,
Txy_T6_K,108,36.1218151,-86.6728056,n108,Txy,,,,
Txy_U_001,109,36.1218584,-86.6753698,n109,Txy,,,,
Txy_U4_U,110,36.1218497,-86.6740073,n110,Txy,,,,
Txy_U4_K,111,36.1226644,-86.6739429,n111,Txy,,,,
Txy_L7_K,112,36.1213211,-86.6709281,n112,Txy,,,,
Txy_L8_K,113,36.1199431,-86.6691364,n113,Txy,,,,
Txy_T6_J,114,36.1245883,-86.6696963,n114,Txy,,,,
Txy_T5_J,115,36.1263388,-86.6719708,n115,Txy,,,,
Txy_T4_J,116,36.1276907,-86.6736981,n116,Txy,,,,
Ramp_01_001,117,36.1294325,-86.6687307,n117,Ramp,,,,
Ramp_01_002,118,36.1284489,-86.667352,n118,Ramp,,,,
Ramp_01_003,119,36.1267764,-86.6678777,n119,Ramp,,,,
Ramp_01_004,120,36.1271967,-86.6710213,n120,Ramp,,,,
Ramp_01_005,121,36.1283796,-86.6728935,n121,Ramp,,,,
Ramp_01_006,122,36.1295147,-86.6719654,n122,Ramp,,,,
Ramp_01_007,123,36.1306543,-86.6709569,n123,Ramp,,,,
