id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
rwy_01_06,0,42.372316,-71.007402,n0,Rwy,,,,
rwy_01_03,1,42.368015,-71.009478,n1,Rwy,,,,
rwy_01_001,2,42.378056,-71.004616,n2,Rwy,,,,
rwy_01_002,3,42.377407,-71.004948,n3,Rwy,,,,
rwy_01_003,4,42.375891,-71.005667,n4,Rwy,RW22R,Entry,RW04L,End
rwy_01_004,5,42.371583,-71.007758,n5,Rwy,,,,
rwy_01_005,6,42.366371,-71.010284,n6,Rwy,,,,
rwy_01_006,7,42.362832,-71.011993,n7,Rwy,,,,
rwy_01_007,8,42.365277,-71.01081,n8,Rwy,,,,
rwy_01_008,9,42.358576,-71.014049,n9,Rwy,,,,
rwy_01_009,10,42.358017,-71.014324,n10,Rwy,RW04L,Entry,RW22R,End
rwy_02_03,11,42.364774,-71.005145,n11,Rwy,,,,
rwy_02_04,12,42.356408,-71.009203,n12,Rwy,,,,
rwy_02_06,13,42.369073,-71.003075,n13,Rwy,,,,
rwy_02_001,14,42.376658,-70.999385,n14,Rwy,,,,
rwy_02_002,15,42.375573,-70.999914,n15,Rwy,,,,
rwy_02_003,16,42.373814,-71.000774,n16,Rwy,RW22L,Entry,RW04R,End
rwy_02_004,17,42.371978,-71.00166,n17,Rwy,,,,
rwy_02_005,18,42.366806,-71.004214,n18,Rwy,,,,
rwy_02_006,19,42.363726,-71.005658,n19,Rwy,,,,
rwy_02_007,20,42.362099,-71.006446,n20,Rwy,,,,
rwy_02_008,21,42.361138,-71.006901,n21,Rwy,,,,
rwy_02_009,22,42.360293,-71.007322,n22,Rwy,,,,
rwy_02_010,23,42.358036,-71.008423,n23,Rwy,,,,
rwy_02_011,24,42.357271,-71.008784,n24,Rwy,,,,
rwy_02_012,25,42.354086,-71.01032,n25,Rwy,RW04R,Entry,RW22L,End
rwy_02_013,26,42.353654,-71.010537,n26,Rwy,,,,
rwy_02_014,27,42.351782,-71.011448,n27,Rwy,,,,
rwy_02_015,28,42.35127,-71.011693,n28,Rwy,,,,
rwy_03_04,29,42.35861,-70.996871,n29,Rwy,,,,
rwy_03_001,30,42.37417,-71.017747,n30,Rwy,,,,
rwy_03_002,31,42.372431,-71.015417,n31,Rwy,RW15R,Entry,RW33L,End
rwy_03_003,32,42.3695,-71.011482,n32,Rwy,,,,
rwy_03_004,33,42.367461,-71.008757,n33,Rwy,,,,
rwy_03_005,34,42.365661,-71.006336,n34,Rwy,,,,
