n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,44.465832,-73.141888,Rwy_01_002,1,44.46679,-73.143411
Rwy_01_003,2,44.470748,-73.149827,Rwy_01_002,1,44.46679,-73.143411
Rwy_01_02,3,44.472631,-73.152874,Rwy_01_003,2,44.470748,-73.149827
Rwy_01_02,3,44.472631,-73.152874,Rwy_01_004,4,44.47345,-73.154188
Rwy_01_005,5,44.475686,-73.157793,Rwy_01_004,4,44.47345,-73.154188
Rwy_02_001,7,44.474877,-73.15334,Rwy_02_002,8,44.47353,-73.153034
Rwy_01_02,3,44.472631,-73.152874,Rwy_02_002,8,44.47353,-73.153034
Rwy_02_004,9,44.469081,-73.152122,Rwy_02_005,10,44.465927,-73.151452
Rwy_02_005,10,44.465927,-73.151452,Rwy_02_006,11,44.464173,-73.151087
Rwy_01_005,5,44.475686,-73.157793,Rwy_01_006,15,44.479677,-73.164256
Rwy_01_006,15,44.479677,-73.164256,Rwy_01_007,6,44.480582,-73.16577
Txy_G_001,12,44.479891,-73.166702,Rwy_01_007,6,44.480582,-73.16577
Txy_G_001,12,44.479891,-73.166702,Txy_G_002,13,44.479355,-73.16667
Txy_M_G,14,44.478735,-73.165662,Txy_G_002,13,44.479355,-73.16667
Txy_M_G,14,44.478735,-73.165662,Rwy_01_006,15,44.479677,-73.164256
Rwy_01_005,5,44.475686,-73.157793,Txy_H_G,16,44.4744,-73.159204
Txy_A_G,17,44.470971,-73.153679,Txy_H_G,16,44.4744,-73.159204
Txy_M_G,14,44.478735,-73.165662,Txy_H_G,16,44.4744,-73.159204
Txy_A_G,17,44.470971,-73.153679,Rwy_02_003,18,44.470143,-73.152335
Txy_A_001,19,44.47479,-73.154266,Rwy_02_001,7,44.474877,-73.15334
Txy_A_001,19,44.47479,-73.154266,Txy_A_002,20,44.474507,-73.154421
Txy_A_002,20,44.474507,-73.154421,Rwy_01_004,4,44.47345,-73.154188
Rwy_01_004,4,44.47345,-73.154188,Txy_A_G,17,44.470971,-73.153679
Rwy_01_004,4,44.47345,-73.154188,Rwy_02_002,8,44.47353,-73.153034
Rwy_01_02,3,44.472631,-73.152874,Rwy_02_003,18,44.470143,-73.152335
Rwy_02_004,9,44.469081,-73.152122,Rwy_02_003,18,44.470143,-73.152335
Txy_A_L,23,44.464043,-73.152266,Rwy_02_006,11,44.464173,-73.151087
Txy_A_C,22,44.465888,-73.152663,Rwy_02_005,10,44.465927,-73.151452
Txy_A_B,21,44.468966,-73.153285,Rwy_02_004,9,44.469081,-73.152122
Txy_A_G,17,44.470971,-73.153679,Txy_A_B,21,44.468966,-73.153285
Rwy_01_003,2,44.470748,-73.149827,Txy_B_K,24,44.46974,-73.151123
Rwy_02_004,9,44.469081,-73.152122,Txy_B_K,24,44.46974,-73.151123
Txy_J_K,26,44.464816,-73.143092,Rwy_01_001,0,44.465832,-73.141888
Txy_C_K,25,44.465774,-73.144654,Txy_J_K,26,44.464816,-73.143092
Rwy_01_002,1,44.46679,-73.143411,Txy_C_K,25,44.465774,-73.144654
Txy_C_K,25,44.465774,-73.144654,Txy_B_K,24,44.46974,-73.151123
Rwy_02_005,10,44.465927,-73.151452,Txy_C_K,25,44.465774,-73.144654
Txy_A_L,23,44.464043,-73.152266,Txy_A_C,22,44.465888,-73.152663
Txy_A_C,22,44.465888,-73.152663,Txy_A_B,21,44.468966,-73.153285
Rwy_02_002,8,44.47353,-73.153034,Txy_E_F,27,44.473958,-73.150447
