id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
rwy_01_002,0,34.195209,-118.35573,n0,Rwy,RW33 ,Entry,RW15 ,End
rwy_01_003,1,34.197033,-118.356229,n1,Rwy,,,,
rwy_01_02,2,34.197738,-118.356431,n2,Rwy,,,,
rwy_01_004,3,34.198413,-118.356609,n3,Rwy,,,,
rwy_01_005,4,34.198834,-118.356727,n4,Rwy,,,,
rwy_01_006,5,34.202978,-118.357875,n5,Rwy,,,,
rwy_01_007,6,34.206202,-118.358762,n6,Rwy,,,,
rwy_01_008,7,34.209666,-118.359718,n7,Rwy,RW15 ,Entry,RW33 ,End
rwy_01_009,8,34.211793,-118.360301,n8,Rwy,,,,
rwy_01_010,9,34.21221,-118.360436,n9,Rwy,,,,
rwy_01_001,10,34.194279,-118.355474,n10,Rwy,,,,
rwy_01_011,11,34.193921,-118.355381,n11,Rwy,,,,
rwy_02_001,12,34.197912,-118.368987,n12,Rwy,RW08 ,Entry,RW26 ,End
rwy_02_002,13,34.197845,-118.364627,n13,Rwy,,,,
rwy_02_003,14,34.197788,-118.360248,n14,Rwy,,,,
rwy_02_004,15,34.197757,-118.357953,n15,Rwy,,,,
rwy_02_005,16,34.197748,-118.357262,n16,Rwy,,,,
rwy_02_006,17,34.197719,-118.355586,n17,Rwy,,,,
rwy_02_007,18,34.197717,-118.355078,n18,Rwy,,,,
rwy_02_008,19,34.197662,-118.350174,n19,Rwy,RW26 ,Entry,RW08 ,End
txy_C_001,20,34.196938,-118.368519,n20,Txy,,,,
txy_C_002,21,34.197188,-118.368965,n21,Txy,,,,
txy_C_003,22,34.1969,-118.365468,n22,Txy,,,,
txy_C_004,23,34.19691,-118.366702,n23,Txy,,,,
txy_C_005,24,34.196882,-118.364668,n24,Txy,,,,
txy_C_006,25,34.196873,-118.364048,n25,Txy,,,,
txy_C_007,26,34.19686,-118.36281,n26,Txy,,,,
txy_C_008,27,34.196825,-118.360257,n27,Txy,,,,
txy_C_009,28,34.196794,-118.357974,n28,Txy,,,,
txy_C_010,29,34.196779,-118.357177,n29,Txy,,,,
txy_C_011,30,34.196781,-118.357004,n30,Txy,,,,
ramp_01_001,31,34.196289,-118.355415,n31,Ramp,,,,
txy_C_013,32,34.197101,-118.355833,n32,Txy,,,,
txy_C_014,33,34.197387,-118.35559,n33,Txy,,,,
txy_C_015,34,34.197197,-118.353701,n34,Txy,,,,
txy_G_003,35,34.195046,-118.356704,n35,Txy,,,,
txy_G_002,36,34.194219,-118.355911,n36,Txy,,,,
txy_G_001,37,34.194642,-118.356594,n37,Txy,,,,
txy_D_001,38,34.198583,-118.368977,n38,Txy,,,,
txy_D_002,39,34.199124,-118.368522,n39,Txy,,,,
txy_D_D8,40,34.199059,-118.364525,n40,Txy,,,,
txy_D8_002,41,34.199224,-118.364526,n41,Txy,,,,
txy_D_006,42,34.198938,-118.36375,n42,Txy,,,,
txy_D_D7,43,34.198893,-118.360342,n43,Txy,,,,
txy_D_B,44,34.198859,-118.357943,n44,Txy,,,,
txy_D_009,45,34.198852,-118.357595,n45,Txy,,,,
txy_D_010,46,34.19883,-118.355887,n46,Txy,,,,
txy_D8_001,47,34.198518,-118.364539,n47,Txy,,,,
txy_D_005,48,34.198938,-118.362836,n48,Txy,,,,
txy_D8_003,49,34.199461,-118.364524,n49,Txy,,,,
txy_D_006b,50,34.199457,-118.36353,n50,Txy,,,,
txy_C_008b,51,34.196812,-118.359028,n51,Txy,,,,
txy_D_003,52,34.199091,-118.365829,n52,Txy,,,,
txy_B_001,53,34.197074,-118.357969,n53,Txy,,,,
txy_B_002,54,34.198433,-118.357939,n54,Txy,,,,
txy_B_003,55,34.199437,-118.358037,n55,Txy,,,,
txy_B_004,56,34.201775,-118.35868,n56,Txy,,,,
txy_B_005,57,34.202759,-118.358947,n57,Txy,,,,
txy_B_006,58,34.203898,-118.359265,n58,Txy,,,,
txy_B_008,59,34.205994,-118.359838,n59,Txy,,,,
txy_B_009,60,34.207846,-118.360359,n60,Txy,,,,
txy_B_010,61,34.209414,-118.360793,n61,Txy,,,,
txy_B_011,62,34.210969,-118.36122,n62,Txy,,,,
txy_B_012,63,34.211774,-118.361432,n63,Txy,,,,
txy_B_013,64,34.211333,-118.361324,n64,Txy,,,,
txy_A_001,65,34.198413,-118.355264,n65,Txy,,,,
txy_A_002,66,34.198857,-118.355387,n66,Txy,,,,
txy_A_003,67,34.203204,-118.356579,n67,Txy,,,,
txy_A_004,68,34.206424,-118.357466,n68,Txy,,,,
txy_A_005,69,34.208948,-118.358167,n69,Txy,,,,
txy_A_006,70,34.209875,-118.358419,n70,Txy,,,,
txy_A_007,71,34.210044,-118.357719,n71,Txy,,,,
txy_A_008,72,34.210813,-118.357933,n72,Txy,,,,
txy_A_009,73,34.210841,-118.358681,n73,Txy,,,,
txy_A_010,74,34.211713,-118.359255,n74,Txy,,,,
txy_G1_001,75,34.195064,-118.356525,n75,Txy,,,,
txy_C7_001,76,34.197114,-118.360252,n76,Txy,,,,
txy_C8_001,77,34.197169,-118.364659,n77,Txy,,,,
txy_DD_001,78,34.199254,-118.365837,n78,Txy,,,,
txy_D7_001,79,34.198461,-118.360332,n79,Txy,,,,
txy_D7_002,80,34.199268,-118.360211,n80,Txy,,,,
txy_B_014,81,34.212063,-118.361218,n81,Txy,,,,
txy_B_015,82,34.211615,-118.361092,n82,Txy,,,,
txy_BB_001,83,34.211026,-118.36093,n83,Txy,,,,
txy_B1_001,84,34.209497,-118.360511,n84,Txy,,,,
txy_A1_001,85,34.209804,-118.358923,n85,Txy,,,,
txy_B2_001,86,34.206046,-118.359554,n86,Txy,,,,
txy_A2_001,87,34.206349,-118.357966,n87,Txy,,,,
txy_B3_001,88,34.202813,-118.358649,n88,Txy,,,,
txy_A3_001,89,34.203117,-118.35707,n89,Txy,,,,
ramp_01_102,90,34.196869,-118.355579,n90,Ramp,,,,
txy_C_101,91,34.195277,-118.355336,n91,Txy,,,,
txy_C_102,92,34.194341,-118.35508,n92,Txy,,,,
