n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
txy_D_005,48,34.198938,-118.362836,txy_D_D7,43,34.198893,-118.360342
txy_DD_001,78,34.199254,-118.365837,ramp_04_005,138,34.199832,-118.365868
ramp_01_009,100,34.197154,-118.350606,ramp_01_010,101,34.197155,-118.350155
txy_C_008b,51,34.196812,-118.359028,ramp_03_002,132,34.196242,-118.359133
txy_A_002,66,34.198857,-118.355387,txy_A_001,65,34.198413,-118.355264
ramp_01_101,106,34.197208,-118.354819,gate_B_005,111,34.196778,-118.354788
rwy_02_010,146,34.197693,-118.352836,rwy_02_011,147,34.19767,-118.351514
txy_B_003,55,34.199437,-118.358037,txy_D_B,44,34.198859,-118.357943
txy_C_006,25,34.196873,-118.364048,ramp_04_003,136,34.196371,-118.364055
ramp_01_005,96,34.197176,-118.352392,ramp_01_006,97,34.197172,-118.35196
txy_A_001,65,34.198413,-118.355264,rwy_02_007,18,34.197717,-118.355078
txy_B_014,81,34.212063,-118.361218,rwy_01_010,9,34.21221,-118.360436
txy_C_015,34,34.197197,-118.353701,ramp_01_004,95,34.197185,-118.352838
txy_B_005,57,34.202759,-118.358947,txy_B_004,56,34.201775,-118.35868
txy_C_103,104,34.19722,-118.355303,ramp_01_101,106,34.197208,-118.354819
txy_C_003,22,34.1969,-118.365468,ramp_04_002,135,34.196354,-118.365487
ramp_01_009,100,34.197154,-118.350606,gate_A_006,117,34.196725,-118.350605
txy_C_002,21,34.197188,-118.368965,rwy_02_001,12,34.197912,-118.368987
txy_D_003,52,34.199091,-118.365829,txy_DD_001,78,34.199254,-118.365837
rwy_01_004,3,34.198413,-118.356609,rwy_01_02,2,34.197738,-118.356431
rwy_01_005,4,34.198834,-118.356727,rwy_01_006,5,34.202978,-118.357875
txy_C_009,28,34.196794,-118.357974,ramp_03_003,131,34.196172,-118.357925
txy_B1_001,84,34.209497,-118.360511,rwy_01_008,7,34.209666,-118.359718
ramp_02_002,142,34.20164,-118.359387,ramp_02_003,143,34.202649,-118.359672
txy_B2_001,86,34.206046,-118.359554,rwy_01_007,6,34.206202,-118.358762
rwy_02_004,15,34.197757,-118.357953,rwy_02_003,14,34.197788,-118.360248
txy_A3_001,89,34.203117,-118.35707,txy_A_003,67,34.203204,-118.356579
txy_A_009,73,34.210841,-118.358681,txy_A_006,70,34.209875,-118.358419
rwy_01_02,2,34.197738,-118.356431,rwy_02_006,17,34.197719,-118.355586
rwy_02_006,17,34.197719,-118.355586,rwy_02_007,18,34.197717,-118.355078
txy_D_D8,40,34.199059,-118.364525,txy_D8_002,41,34.199224,-118.364526
txy_C_101,91,34.195277,-118.355336,txy_C_102,92,34.194341,-118.35508
ramp_01_011,102,34.197156,-118.349633,ramp_01_012,103,34.197153,-118.349332
txy_B_004,56,34.201775,-118.35868,txy_B_003,55,34.199437,-118.358037
rwy_01_007,6,34.206202,-118.358762,txy_A2_001,87,34.206349,-118.357966
ramp_01_101,106,34.197208,-118.354819,txy_C_015,34,34.197197,-118.353701
rwy_02_004,15,34.197757,-118.357953,rwy_02_005,16,34.197748,-118.357262
txy_D_005,48,34.198938,-118.362836,txy_D_006b,50,34.199457,-118.36353
txy_A2_001,87,34.206349,-118.357966,txy_A_004,68,34.206424,-118.357466
txy_C_003,22,34.1969,-118.365468,txy_C_004,23,34.19691,-118.366702
txy_C_104,108,34.197158,-118.35559,ramp_01_102,90,34.196869,-118.355579
txy_B_008,59,34.205994,-118.359838,txy_B_006,58,34.203898,-118.359265
rwy_01_02,2,34.197738,-118.356431,rwy_01_003,1,34.197033,-118.356229
txy_A_010,74,34.211713,-118.359255,txy_A_011,151,34.211452,-118.358858
ramp_01_007,98,34.197163,-118.351512,txy_C_107,149,34.197341,-118.351513
ramp_01_010,101,34.197155,-118.350155,txy_C_108,150,34.197308,-118.350163
parking_02_004,145,34.203746,-118.360962,ramp_02_004,144,34.203826,-118.359949
rwy_01_001,10,34.194279,-118.355474,txy_C_102,92,34.194341,-118.35508
txy_D7_002,80,34.199268,-118.360211,ramp_04_007,140,34.199599,-118.360149
rwy_01_009,8,34.211793,-118.360301,rwy_01_012,152,34.211164,-118.360126
rwy_02_001,12,34.197912,-118.368987,rwy_02_002,13,34.197845,-118.364627
ramp_03_003,131,34.196172,-118.357925,parking_03_003,130,34.195647,-118.358061
txy_A_009,73,34.210841,-118.358681,txy_A_011,151,34.211452,-118.358858
parking_03_002,129,34.196288,-118.360887,ramp_03_001,133,34.196277,-118.36034
ramp_02_004,144,34.203826,-118.359949,txy_B_006,58,34.203898,-118.359265
txy_C_106,148,34.197348,-118.352838,rwy_02_010,146,34.197693,-118.352836
txy_D_010,46,34.19883,-118.355887,txy_A_002,66,34.198857,-118.355387
txy_B_005,57,34.202759,-118.358947,txy_B3_001,88,34.202813,-118.358649
txy_B_008,59,34.205994,-118.359838,txy_B2_001,86,34.206046,-118.359554
txy_C_011,30,34.196781,-118.357004,rwy_01_003,1,34.197033,-118.356229
txy_A_004,68,34.206424,-118.357466,txy_A_003,67,34.203204,-118.356579
