id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_A_011,0,39.1805494328,-76.6736623075,n0,Gate,,,,
Gate_A_009,1,39.1801665834,-76.6733571369,n1,Gate,,,,
Gate_A_007,2,39.1799040034,-76.673085596,n2,Gate,,,,
Gate_A_005,3,39.1795251745,-76.6724494374,n3,Gate,,,,
Gate_A_004,4,39.1792214799,-76.6721717418,n4,Gate,,,,
Gate_A_003,5,39.1789909182,-76.671949183,n5,Gate,,,,
Gate_A_002,6,39.1787504031,-76.6717351845,n6,Gate,,,,
Gate_A_001,7,39.1784427521,-76.6714157566,n7,Gate,,,,
Gate_B_002,8,39.1780460748,-76.6712969113,n8,Gate,,,,
Gate_B_004,9,39.1777340854,-76.6710381623,n9,Gate,,,,
Gate_B_006,10,39.1771502209,-76.6704018469,n10,Gate,,,,
Gate_B_008,11,39.176796631,-76.6700951909,n11,Gate,,,,
Gate_B_010,12,39.1764281834,-76.6696927106,n12,Gate,,,,
Gate_B_012,13,39.1761399618,-76.6694167267,n13,Gate,,,,
Gate_B_014,14,39.1760998514,-76.6690525885,n14,Gate,,,,
Gate_B_015,15,39.1761958445,-76.6687271347,n15,Gate,,,,
Gate_B_013,16,39.1764690519,-76.6687680924,n16,Gate,,,,
Gate_B_011,17,39.1767263844,-76.6689200619,n17,Gate,,,,
Gate_B_009,18,39.1770037673,-76.6692153781,n18,Gate,,,,
Gate_B_007,19,39.1773062148,-76.6694945308,n19,Gate,,,,
Gate_B_005,20,39.1776270429,-76.6697370411,n20,Gate,,,,
Gate_B_003,21,39.1780449272,-76.6700128916,n21,Gate,,,,
Gate_B_001,22,39.178403857,-76.6699068145,n22,Gate,,,,
Gate_C_002,23,39.1786256842,-76.6683832801,n23,Gate,,,,
Gate_C_004,24,39.1783143416,-76.6681063292,n24,Gate,,,,
Gate_C_006,25,39.1780187977,-76.6678089992,n25,Gate,,,,
Gate_C_008,26,39.1777046656,-76.6675272577,n26,Gate,,,,
Gate_C_010,27,39.1773914617,-76.6671855736,n27,Gate,,,,
Gate_C_012,28,39.1771042812,-76.6670021464,n28,Gate,,,,
Gate_C_014,29,39.1768217437,-76.6665405777,n29,Gate,,,,
Gate_C_013,30,39.1769146768,-76.666202487,n30,Gate,,,,
Gate_C_011,31,39.1772118332,-76.6659569379,n31,Gate,,,,
Gate_C_009,32,39.1774590506,-76.666056439,n32,Gate,,,,
Gate_C_007,33,39.1777523591,-76.6664062001,n33,Gate,,,,
Gate_C_005,34,39.1782597247,-76.666883964,n34,Gate,,,,
Gate_C_003,35,39.178632202,-76.6672823294,n35,Gate,,,,
Gate_C_001,36,39.178944631,-76.6675554809,n36,Gate,,,,
Gate_03_015,37,39.1792243686,-76.6678642372,n37,Gate,,,,
Gate_D_002,38,39.1799696874,-76.666789386,n38,Gate,,,,
Gate_D_004,39,39.1798654274,-76.6662042418,n39,Gate,,,,
Gate_D_006,40,39.1794913728,-76.6658490674,n40,Gate,,,,
