id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,45.7705461,-111.1420679,n0,Rwy,RW30 ,Entry,RW12 ,End
Rwy_01_02,1,45.7733599,-111.1459732,n1,Rwy,,,,
Rwy_01_002,2,45.7753878,-111.1488056,n2,Rwy,,,,
Rwy_01_003,3,45.7796081,-111.154685,n3,Rwy,,,,
Rwy_01_004,4,45.7831846,-111.1596632,n4,Rwy,,,,
Rwy_01_005,5,45.7879879,-111.1663258,n5,Rwy,RW12 ,Entry,RW30 ,End
Rwy_02_001,6,45.7674578,-111.1546372,n6,Rwy,,,,
Rwy_02_002,7,45.768674,-111.1528401,n7,Rwy,RW03 ,Entry,RW21 ,End
Rwy_02_003,8,45.7719182,-111.1480658,n8,Rwy,,,,
Rwy_02_004,9,45.7738639,-111.1452065,n9,Rwy,RW21 ,Entry,RW03 ,End
Txy_A1_A,10,45.7692203,-111.1440191,n10,Txy,,,,
Txy_A5_001,11,45.7874152,-111.1672269,n11,Txy,,,,
Txy_A_001,12,45.7865997,-111.1682676,n12,Txy,,,,
Txy_A_A4,13,45.7817589,-111.1617766,n13,Txy,,,,
Txy_A3_A,14,45.7779965,-111.1565265,n14,Txy,,,,
Txy_A_002,15,45.7805676,-111.1601178,n15,Txy,,,,
Txy_A_003,16,45.7795687,-111.158723,n16,Txy,,,,
Txy_A2_A,17,45.7739856,-111.1509661,n17,Txy,,,,
Gate_01_001,18,45.7776974,-111.1591696,n18,Gate,,,,
Gate_01_002,19,45.7779312,-111.1595236,n19,Gate,,,,
Gate_01_003,20,45.7781857,-111.1598481,n20,Gate,,,,
Gate_01_004,21,45.7784513,-111.1601137,n21,Gate,,,,
Gate_01_005,22,45.7787375,-111.1605133,n22,Gate,,,,
Gate_01_006,23,45.7790499,-111.1609023,n23,Gate,,,,
Gate_01_007,24,45.7792762,-111.161267,n24,Gate,,,,
Gate_01_008,25,45.7794465,-111.1615889,n25,Gate,,,,
Ramp_01_001,26,45.7780584,-111.1582361,n26,Ramp,,,,
Ramp_01_002,27,45.7783877,-111.1587887,n27,Ramp,,,,
Ramp_01_003,28,45.7788441,-111.1593573,n28,Ramp,,,,
Ramp_01_004,29,45.779308,-111.1600761,n29,Ramp,,,,
Ramp_01_005,30,45.7796709,-111.1605858,n30,Ramp,,,,
