id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,32.88496,-80.045571,n0,Rwy,RW03 ,Entry,RW21 ,End
Rwy_01_002,1,32.892834,-80.041333,n1,Rwy,,,,
Rwy_01_003,2,32.896663,-80.039273,n2,Rwy,,,,
Rwy_01_02,3,32.899365,-80.037771,n3,Rwy,,,,
Rwy_01_004,4,32.901527,-80.036634,n4,Rwy,,,,
Rwy_01_005,5,32.902185,-80.03629,n5,Rwy,RW21 ,Entry,RW03 ,End
Rwy_02_001,6,32.892312,-80.032428,n6,Rwy,RW33 ,Entry,RW15 ,End
Rwy_02_002,7,32.89641,-80.035614,n7,Rwy,,,,
Rwy_02_003,8,32.904022,-80.041322,n8,Rwy,,,,
Rwy_02_004,9,32.908265,-80.04453,n9,Rwy,,,,
Rwy_02_005,10,32.912904,-80.048017,n10,Rwy,RW15 ,Entry,RW33 ,End
Txy_C_001,11,32.884825,-80.044101,n11,Txy,,,,
Txy_B_C,12,32.886987,-80.040732,n12,Txy,,,,
Txy_B_001,13,32.88605,-80.039863,n13,Txy,,,,
Txy_A_C,14,32.890104,-80.036033,n14,Txy,,,,
Txy_A_M,15,32.88751,-80.036462,n15,Txy,,,,
Txy_M_001,16,32.887059,-80.034735,n16,Txy,,,,
Txy_M_002,17,32.882849,-80.031505,n17,Txy,,,,
Txy_A_H,18,32.891895,-80.03599,n18,Txy,,,,
Txy_C_H,19,32.891516,-80.033855,n19,Txy,,,,
Txy_G_001,20,32.892625,-80.031902,n20,Txy,,,,
Txy_G_F,21,32.895918,-80.031612,n21,Txy,,,,
Txy_G_002,22,32.897463,-80.033221,n22,Txy,,,,
Txy_G2_G,23,32.897643,-80.033822,n23,Txy,,,,
Txy_G1_G,24,32.898309,-80.034863,n24,Txy,,,,
Txy_A_G,25,32.899309,-80.035657,n25,Txy,,,,
Txy_A1_A,26,32.900886,-80.034852,n26,Txy,,,,
Txy_A_001,27,32.901555,-80.034652,n27,Txy,,,,
Txy_E_J,28,32.90501,-80.039392,n28,Txy,,,,
Txy_E_001,29,32.908249,-80.043105,n29,Txy,,,,
Txy_E_D,30,32.906979,-80.04657,n30,Txy,,,,
Txy_D_001,31,32.911824,-80.05025,n31,Txy,,,,
Txy_D_002,32,32.90406,-80.044414,n32,Txy,,,,
Txy_F_D,33,32.89716,-80.044542,n33,Txy,,,,
Txy_H_D,34,32.893061,-80.044605,n34,Txy,,,,
Txy_D_003,35,32.891908,-80.04467,n35,Txy,,,,
Txy_D_004,36,32.887286,-80.04718,n36,Txy,,,,
Gate_A_001,37,32.884978,-80.035555,n37,Gate,,,,
Gate_A_002,38,32.885217,-80.035328,n38,Gate,,,,
Gate_A_003,39,32.885449,-80.035551,n39,Gate,,,,
Gate_A_004,40,32.885659,-80.036082,n40,Gate,,,,
Gate_A_005,41,32.885299,-80.036409,n41,Gate,,,,
Gate_B_001,42,32.885649,-80.03727,n42,Gate,,,,
Gate_B_003,43,32.886015,-80.037424,n43,Gate,,,,
Gate_B_005,44,32.886299,-80.037552,n44,Gate,,,,
Gate_B_007,45,32.886444,-80.037753,n45,Gate,,,,
Gate_B_009,46,32.886432,-80.038111,n46,Gate,,,,
Gate_B_002,47,32.884952,-80.038071,n47,Gate,,,,
Gate_B_004,48,32.88538,-80.038216,n48,Gate,,,,
Gate_B_010,49,32.886247,-80.038369,n49,Gate,,,,
Gate_B_008,50,32.885997,-80.038571,n50,Gate,,,,
Gate_B_006,51,32.885724,-80.038418,n51,Gate,,,,
Ramp_01_001,52,32.885368,-80.034457,n52,Ramp,,,,
Ramp_01_002,53,32.886395,-80.036635,n53,Ramp,,,,
Ramp_02_001,54,32.885494,-80.039414,n54,Ramp,,,,
