id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,35.200142,-80.950832,n0,Rwy,RW36C,Entry,RW18C,End
Ramp_05_001,1,35.222136,-80.940438,n1,Ramp,,,,
Ramp_05_003,2,35.222301,-80.939616,n2,Ramp,,,,
Ramp_05_002,3,35.22225,-80.940181,n3,Ramp,,,,
Ramp_05_004,4,35.22232,-80.939317,n4,Ramp,,,,
Ramp_05_005,5,35.22234,-80.939027,n5,Ramp,,,,
Ramp_05_008,6,35.223171,-80.938208,n6,Ramp,,,,
Ramp_05_006,7,35.222366,-80.938558,n7,Ramp,,,,
Ramp_05_007,8,35.222977,-80.938191,n8,Ramp,,,,
Ramp_05_009,9,35.223396,-80.938229,n9,Ramp,,,,
Ramp_05_010,10,35.223654,-80.938253,n10,Ramp,,,,
Ramp_05_011,11,35.223937,-80.938275,n11,Ramp,,,,
Ramp_05_012,12,35.224427,-80.93864,n12,Ramp,,,,
Ramp_05_013,13,35.224055,-80.939202,n13,Ramp,,,,
Ramp_05_014,14,35.223796,-80.939483,n14,Ramp,,,,
Ramp_05_015,15,35.224721,-80.9418,n15,Ramp,,,,
Ramp_05_016,16,35.224199,-80.941758,n16,Ramp,,,,
Ramp_05_017,17,35.223974,-80.941735,n17,Ramp,,,,
Ramp_05_020,18,35.223115,-80.941824,n18,Ramp,,,,
Ramp_05_018,19,35.223749,-80.941717,n19,Ramp,,,,
Ramp_05_019,20,35.223518,-80.941698,n20,Ramp,,,,
Rwy_01_002,21,35.200965,-80.950896,n21,Rwy,RW36L,Entry,RW18R,End
Rwy_01_003,22,35.204103,-80.951155,n22,Rwy,,,,
Rwy_01_004,23,35.207529,-80.951456,n23,Rwy,,,,
Rwy_01_005,24,35.213686,-80.951987,n24,Rwy,,,,
Rwy_01_006,25,35.218684,-80.952413,n25,Rwy,,,,
Rwy_01_007,26,35.223285,-80.952806,n26,Rwy,,,,
Rwy_01_008,27,35.22644,-80.953085,n27,Rwy,RW18R,Entry,RW36L,End
Rwy_01_009,28,35.22725,-80.953161,n28,Rwy,RW18C,Entry,RW36C,End
Rwy_02_03,29,35.219306,-80.935693,n29,Rwy,,,,
Rwy_02_001,30,35.2011,-80.934126,n30,Rwy,RW36R,Entry,RW18L,End
Rwy_02_002,31,35.202145,-80.934218,n31,Rwy,,,,
Rwy_02_003,32,35.203785,-80.93436,n32,Rwy,,,,
Rwy_02_004,33,35.207803,-80.934704,n33,Rwy,,,,
Rwy_02_005,34,35.210005,-80.93489,n34,Rwy,,,,
Rwy_02_006,35,35.212169,-80.93508,n35,Rwy,,,,
Rwy_02_007,36,35.214493,-80.935277,n36,Rwy,,,,
Rwy_02_008,37,35.215743,-80.935387,n37,Rwy,,,,
Rwy_02_009,38,35.217778,-80.935562,n38,Rwy,,,,
Rwy_02_010,39,35.2207,-80.935813,n39,Rwy,,,,
Rwy_02_011,40,35.224046,-80.936094,n40,Rwy,,,,
Rwy_02_012,41,35.225092,-80.936189,n41,Rwy,RW18L,Entry,RW36R,End
Rwy_03_001,42,35.209211,-80.949591,n42,Rwy,RW05 ,Entry,RW23 ,End
Rwy_03_002,43,35.209842,-80.94872,n43,Rwy,,,,
Rwy_03_003,44,35.21365,-80.943467,n44,Rwy,,,,
Rwy_03_004,45,35.216601,-80.939411,n45,Rwy,,,,
Rwy_03_005,46,35.217086,-80.938751,n46,Rwy,,,,
Rwy_03_006,47,35.218395,-80.936951,n47,Rwy,,,,
Rwy_03_007,48,35.220661,-80.93383,n48,Rwy,,,,
Rwy_03_008,49,35.221822,-80.932239,n49,Rwy,,,,
Rwy_03_009,50,35.222531,-80.931254,n50,Rwy,RW23 ,Entry,RW05 ,End
Gate_A_001,51,35.220682,-80.946769,n51,Gate,,,,
Gate_A_003,52,35.220648,-80.947255,n52,Gate,,,,
Gate_A_005,53,35.220576,-80.947739,n53,Gate,,,,
Gate_A_007,54,35.220572,-80.948228,n54,Gate,,,,
Gate_A_009,55,35.220547,-80.94868,n55,Gate,,,,
Gate_A_011,56,35.220113,-80.948875,n56,Gate,,,,
Gate_A_012,57,35.219929,-80.948683,n57,Gate,,,,
Gate_A_010,58,35.21977,-80.948276,n58,Gate,,,,
Gate_A_008,59,35.21985,-80.947946,n59,Gate,,,,
Gate_A_006,60,35.219915,-80.947499,n60,Gate,,,,
Gate_A_004,61,35.219859,-80.946886,n61,Gate,,,,
Gate_A_002,62,35.219905,-80.946563,n62,Gate,,,,
Gate_01_013,63,35.220104,-80.946439,n63,Gate,,,,
Gate_B_001,64,35.219897,-80.94548,n64,Gate,,,,
Gate_B_003,65,35.21955,-80.945532,n65,Gate,,,,
Gate_B_005,66,35.219171,-80.94565,n66,Gate,,,,
Gate_B_007,67,35.218794,-80.945696,n67,Gate,,,,
Gate_B_009,68,35.218341,-80.945798,n68,Gate,,,,
Gate_B_011,69,35.217562,-80.945561,n69,Gate,,,,
Gate_B_013,70,35.217519,-80.945231,n70,Gate,,,,
Gate_B_015,71,35.217652,-80.944947,n71,Gate,,,,
Gate_B_016,72,35.217938,-80.944863,n72,Gate,,,,
Gate_B_014,73,35.218346,-80.944799,n73,Gate,,,,
Gate_B_012,74,35.218785,-80.944779,n74,Gate,,,,
Gate_B_010,75,35.219216,-80.944757,n75,Gate,,,,
Gate_B_008,76,35.219549,-80.944619,n76,Gate,,,,
Gate_B_006,77,35.219896,-80.944515,n77,Gate,,,,
Gate_C_003,78,35.219835,-80.943242,n78,Gate,,,,
Gate_C_005,79,35.219538,-80.943102,n79,Gate,,,,
Gate_C_007,80,35.21925,-80.942976,n80,Gate,,,,
Gate_C_009,81,35.218957,-80.942872,n81,Gate,,,,
Gate_C_011,82,35.218673,-80.942789,n82,Gate,,,,
Gate_C_013,83,35.218287,-80.942748,n83,Gate,,,,
Gate_C_015,84,35.217987,-80.942659,n84,Gate,,,,
Gate_C_017,85,35.2177,-80.942625,n85,Gate,,,,
Gate_C_019,86,35.217588,-80.942315,n86,Gate,,,,
Gate_C_018,87,35.217625,-80.942042,n87,Gate,,,,
Gate_C_016,88,35.217754,-80.941742,n88,Gate,,,,
Gate_C_014,89,35.217977,-80.941611,n89,Gate,,,,
Gate_C_012,90,35.218208,-80.94173,n90,Gate,,,,
Gate_C_010,91,35.218572,-80.941868,n91,Gate,,,,
Gate_C_008,92,35.218942,-80.942011,n92,Gate,,,,
Gate_C_006,93,35.219307,-80.942243,n93,Gate,,,,
Gate_C_004,94,35.219722,-80.942373,n94,Gate,,,,
Gate_C_002,95,35.22008,-80.942451,n95,Gate,,,,
Gate_D_001,96,35.220174,-80.941506,n96,Gate,,,,
Gate_D_002,97,35.220181,-80.941077,n97,Gate,,,,
Gate_D_003,98,35.22012,-80.940508,n98,Gate,,,,
Gate_D_005,99,35.220198,-80.940104,n99,Gate,,,,
Gate_D_007,100,35.220248,-80.939661,n100,Gate,,,,
Gate_D_009,101,35.220265,-80.9393,n101,Gate,,,,
Gate_D_011,102,35.220413,-80.938983,n102,Gate,,,,
Gate_D_013,103,35.220705,-80.938961,n103,Gate,,,,
Gate_D_012,104,35.221041,-80.939165,n104,Gate,,,,
Gate_D_010,105,35.221113,-80.939434,n105,Gate,,,,
Gate_D_008,106,35.221057,-80.939841,n106,Gate,,,,
Gate_D_006,107,35.221097,-80.940326,n107,Gate,,,,
Gate_D_004,108,35.221082,-80.940831,n108,Gate,,,,
Gate_04_014,109,35.220987,-80.94114,n109,Gate,,,,
Gate_E_001,110,35.22155,-80.941471,n110,Gate,,,,
Gate_E_002,111,35.221796,-80.941283,n111,Gate,,,,
Gate_E_003,112,35.222022,-80.9411,n112,Gate,,,,
Gate_E_005,113,35.222254,-80.94109,n113,Gate,,,,
Gate_E_007,114,35.222468,-80.940844,n114,Gate,,,,
Gate_E_009,115,35.222565,-80.940556,n115,Gate,,,,
Gate_E_011,116,35.222757,-80.940265,n116,Gate,,,,
Gate_E_013,117,35.222743,-80.939875,n117,Gate,,,,
Gate_E_015,118,35.222746,-80.939657,n118,Gate,,,,
Gate_E_017,119,35.222767,-80.939372,n119,Gate,,,,
Gate_E_019,120,35.222729,-80.939104,n120,Gate,,,,
Gate_E_018,121,35.222779,-80.938841,n121,Gate,,,,
Gate_E_016,122,35.22299,-80.938777,n122,Gate,,,,
Gate_E_014,123,35.223178,-80.9388,n123,Gate,,,,
Gate_E_012,124,35.223373,-80.938858,n124,Gate,,,,
Gate_E_010,125,35.223621,-80.938818,n125,Gate,,,,
Gate_E_021,126,35.223911,-80.938837,n126,Gate,,,,
Gate_E_023,127,35.223335,-80.939162,n127,Gate,,,,
Gate_E_025,128,35.223282,-80.939506,n128,Gate,,,,
Gate_E_027,129,35.223373,-80.939887,n129,Gate,,,,
Gate_E_029,130,35.223734,-80.940012,n130,Gate,,,,
Gate_E_031,131,35.22403,-80.939911,n131,Gate,,,,
Gate_E_033,132,35.224313,-80.939935,n132,Gate,,,,
Gate_E_035,133,35.224436,-80.941034,n133,Gate,,,,
Gate_E_038,134,35.224257,-80.941051,n134,Gate,,,,
