n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_R_006,339,35.217615,-80.939321,Rwy_03_005,46,35.217086,-80.938751
Rwy_02_009,38,35.217778,-80.935562,Txy_A_008,202,35.217068,-80.936352
Txy_A8_001,353,35.221236,-80.931607,Rwy_03_008,49,35.221822,-80.932239
Ramp_05_020,18,35.223115,-80.941824,Ramp_05_021,356,35.222623,-80.941991
Gate_E_033,132,35.224313,-80.939935,Ramp_05_012,12,35.224427,-80.93864
Ramp_09_002,302,35.209211,-80.943685,Parking_09_002,224,35.209188,-80.94234
Rwy_02_003,32,35.203785,-80.93436,Rwy_02_002,31,35.202145,-80.934218
Ramp_04_007,282,35.221769,-80.939901,Gate_D_008,106,35.221057,-80.939841
Rwy_01_003,22,35.204103,-80.951155,Txy_E3_001,289,35.204154,-80.950166
Gate_D_013,103,35.220705,-80.938961,Ramp_04_004,279,35.220821,-80.938008
Rwy_02_009,38,35.217778,-80.935562,Rwy_02_008,37,35.215743,-80.935387
Ramp_02_002,252,35.218778,-80.947491,Ramp_01_011,248,35.219264,-80.947553
Txy_C_012,179,35.217303,-80.936855,Txy_C_A,178,35.216656,-80.936795
Txy_M_001,212,35.212506,-80.948297,Txy_M_002,213,35.213351,-80.945978
Ramp_01_010,247,35.219243,-80.948033,Ramp_01_011,248,35.219264,-80.947553
Gate_B_015,71,35.217652,-80.944947,Ramp_02_007,257,35.216507,-80.944226
Txy_C_A,178,35.216656,-80.936795,Txy_A_R,209,35.21612,-80.937407
Txy_G_001,340,35.216027,-80.938788,Txy_A_G,201,35.215361,-80.938059
Ramp_02_012,262,35.219185,-80.943907,Ramp_02_011,261,35.218862,-80.943878
Ramp_05_012,12,35.224427,-80.93864,Txy_E14_011,232,35.224435,-80.938322
Txy_A_G,201,35.215361,-80.938059,Txy_A_006,200,35.214162,-80.939898
Txy_D_001,317,35.207879,-80.933367,Ramp_10_001,316,35.207941,-80.932476
Rwy_01_009,28,35.22725,-80.953161,Rwy_01_008,27,35.22644,-80.953085
Txy_E_008,148,35.208399,-80.949522,Txy_A_001,195,35.208329,-80.948794
Txy_F_005,190,35.215488,-80.949206,Spot_04,366,35.215535,-80.948605
Rwy_02_004,33,35.207803,-80.934704,Txy_D2_001,314,35.207866,-80.933688
Gate_C_010,91,35.218572,-80.941868,Ramp_03_007,271,35.218985,-80.94082
Gate_E_010,125,35.223621,-80.938818,Ramp_05_010,10,35.223654,-80.938253
Txy_M_B,214,35.214483,-80.94434,Txy_M_110,368,35.21576,-80.9426
Rwy_03_005,46,35.217086,-80.938751,Rwy_03_004,45,35.216601,-80.939411
Txy_E14_005,229,35.218198,-80.939956,Txy_M_006,217,35.217912,-80.939642
Ramp_01_012,249,35.219311,-80.946582,Ramp_01_014,251,35.219648,-80.946069
Rwy_03_009,50,35.222531,-80.931254,Rwy_03_008,49,35.221822,-80.932239
Txy_C10_001,333,35.221617,-80.936973,Txy_M_C10,211,35.220501,-80.936078
Txy_M_002,213,35.213351,-80.945978,Txy_M2_001,210,35.213511,-80.944967
Parking_07_003,166,35.21425,-80.938097,Ramp_07_003,305,35.213693,-80.93935
Gate_C_004,94,35.219722,-80.942373,Ramp_03_010,274,35.219672,-80.941664
Ramp_01_006,243,35.220888,-80.949701,Ramp_01_007,244,35.220141,-80.949638
Ramp_04_009,284,35.221312,-80.941189,Ramp_04_010,285,35.221499,-80.940812
Ramp_05_008,6,35.223171,-80.938208,Ramp_05_007,8,35.222977,-80.938191
Txy_E15_102,357,35.215901,-80.944325,Txy_E15_002,236,35.216425,-80.943403
