id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
rwy_01_02,0,39.046294,-84.668684,n0,Rwy,,,,
rwy_01_001,1,39.034671,-84.668728,n1,Rwy,RW36C,Entry,RW18C,End
rwy_01_002,2,39.035917,-84.668717,n2,Rwy,,,,
rwy_01_003,3,39.041201,-84.668708,n3,Rwy,,,,
rwy_01_004,4,39.043571,-84.668701,n4,Rwy,,,,
rwy_01_005,5,39.047415,-84.668682,n5,Rwy,,,,
rwy_01_006,6,39.048173,-84.66867,n6,Rwy,,,,
rwy_01_007,7,39.0520523,-84.6686597,n7,Rwy,,,,
rwy_01_008,8,39.055242,-84.668637,n8,Rwy,,,,
rwy_01_009,9,39.057952,-84.668628,n9,Rwy,,,,
rwy_01_010,10,39.063376,-84.668607,n10,Rwy,,,,
rwy_01_011,11,39.064636,-84.668606,n11,Rwy,RW18C,Entry,RW36C,End
rwy_02_001,12,39.028573,-84.646801,n12,Rwy,RW36R,Entry,RW18L,End
rwy_02_002,13,39.029895,-84.646793,n13,Rwy,,,,
rwy_02_003,14,39.034911,-84.646807,n14,Rwy,,,,
rwy_02_004,15,39.040175,-84.646853,n15,Rwy,,,,
rwy_02_005,16,39.044086,-84.646784,n16,Rwy,,,,
rwy_02_006,17,39.04951,-84.646702,n17,Rwy,,,,
rwy_02_007,18,39.054368,-84.646673,n18,Rwy,,,,
rwy_02_008,19,39.055716,-84.646664,n19,Rwy,RW18L,Entry,RW36R,End
rwy_03_001,20,39.046359,-84.6950312,n20,Rwy,RW09 ,Entry,RW27 ,End
rwy_03_002,21,39.046349,-84.686288,n21,Rwy,,,,
rwy_03_003,22,39.046337,-84.680171,n22,Rwy,,,,
rwy_03_004,23,39.046316,-84.67406,n23,Rwy,,,,
rwy_03_005,24,39.046311,-84.670813,n24,Rwy,,,,
rwy_03_006,25,39.046299,-84.667278,n25,Rwy,,,,
rwy_03_007,26,39.046299,-84.666517,n26,Rwy,,,,
rwy_03_008,27,39.046282,-84.659203,n27,Rwy,,,,
rwy_03_009,28,39.046272,-84.654627,n28,Rwy,,,,
rwy_03_010,29,39.046264,-84.652987,n29,Rwy,RW27 ,Entry,RW09 ,End
Gate_A_004,30,39.053847,-84.656287,n30,Gate,,,,
Gate_A_009,31,39.052981,-84.653888,n31,Gate,,,,
Gate_A_011,32,39.053021,-84.653375,n32,Gate,,,,
Gate_A_013,33,39.053001,-84.652883,n33,Gate,,,,
Gate_A_015,34,39.053005,-84.652324,n34,Gate,,,,
Gate_A_017,35,39.052981,-84.651783,n35,Gate,,,,
Gate_A_019,36,39.053192,-84.651529,n36,Gate,,,,
Gate_A_022,37,39.053761,-84.651691,n37,Gate,,,,
Gate_A_018,38,39.053766,-84.652205,n38,Gate,,,,
Gate_A_016,39,39.053788,-84.652948,n39,Gate,,,,
Gate_A_014,40,39.053786,-84.653264,n40,Gate,,,,
Gate_A_012,41,39.053771,-84.653915,n41,Gate,,,,
Gate_A_010,42,39.053772,-84.654239,n42,Gate,,,,
Gate_A_008,43,39.053772,-84.6549174,n43,Gate,,,,
Gate_A_006,44,39.053784,-84.655228,n44,Gate,,,,
gate_04_001,45,39.050948,-84.663983,n45,Gate,,,,
gate_04_002,46,39.050952,-84.664313,n46,Gate,,,,
gate_04_003,47,39.050957,-84.664595,n47,Gate,,,,
gate_04_004,48,39.05095,-84.664889,n48,Gate,,,,
gate_04_005,49,39.050959,-84.665186,n49,Gate,,,,
gate_04_006,50,39.050954,-84.665462,n50,Gate,,,,
gate_04_007,51,39.050963,-84.665662,n51,Gate,,,,
gate_04_008,52,39.050723,-84.665608,n52,Gate,,,,
gate_04_009,53,39.050691,-84.665435,n53,Gate,,,,
gate_04_010,54,39.050682,-84.665205,n54,Gate,,,,
gate_04_011,55,39.050676,-84.664916,n55,Gate,,,,
gate_04_012,56,39.049611,-84.664872,n56,Gate,,,,
gate_04_013,57,39.04962,-84.665153,n57,Gate,,,,
gate_04_014,58,39.049621,-84.66543,n58,Gate,,,,
gate_04_015,59,39.049594,-84.665679,n59,Gate,,,,
gate_04_016,60,39.049423,-84.665708,n60,Gate,,,,
gate_04_017,61,39.049318,-84.665648,n61,Gate,,,,
