n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
ramp_05_010,369,39.048779,-84.657079,Gate_B_009,101,39.049733,-84.657093
Gate_B_011,102,39.049708,-84.656443,ramp_05_011,370,39.048781,-84.656426
spot_07,236,39.05013,-84.666214,txy_E_004,174,39.05013,-84.666492
txy_T_008,125,39.048072,-84.648818,txy_T_009,126,39.048479,-84.648822
ramp_03_014,292,39.054349,-84.651379,ramp_03_015,293,39.054355,-84.65188
txy_J_008,222,39.048099,-84.65068,txy_J_009,223,39.048087,-84.650295
ramp_03_010,288,39.052141,-84.65175,ramp_03_009,287,39.052141,-84.652297
ramp_04_011,329,39.050145,-84.664889,gate_04_012,56,39.049611,-84.664872
Gate_B_028,110,39.05051,-84.652106,ramp_05_020,381,39.050472,-84.650673
txy_S_012,144,39.054345,-84.649848,txy_S_013,145,39.054892,-84.64984
txy_E_007,177,39.057967,-84.666275,ramp_B_001,264,39.056732,-84.66629
ramp_04_009,327,39.050145,-84.66551,gate_04_009,53,39.050691,-84.665435
ramp_03_022,300,39.054371,-84.654267,ramp_03_023,301,39.054374,-84.654614
ramp_03_003,281,39.052147,-84.6555,ramp_03_004,282,39.052147,-84.654962
ramp_03_014,292,39.054349,-84.651379,Gate_A_022,37,39.053761,-84.651691
ramp_03_005,283,39.052147,-84.654395,ramp_03_006,284,39.052147,-84.653859
txy_E_003,173,39.048809,-84.666504,txy_E_J,171,39.048135,-84.666508
rwy_01_003,3,39.041201,-84.668708,rwy_01_002,2,39.035917,-84.668717
Txy_A_001,409,39.0646898,-84.6697319,rwy_01_011,11,39.064636,-84.668606
txy_E_106,259,39.05217,-84.666524,spot_08N,172,39.052176,-84.666235
txy_E_K,170,39.047396,-84.666512,txy_K_005,208,39.047387,-84.660888
gate_04_026,70,39.049269,-84.662886,ramp_04_023,341,39.048797,-84.663023
txy_J_006,220,39.048105,-84.65539,txy_K_010,224,39.047384,-84.655397
gate_04_027,71,39.049264,-84.662577,ramp_04_024,342,39.04879,-84.662599
ramp_01_006,273,39.052166,-84.661638,ramp_01_009,274,39.052157,-84.661226
txy_K_003,206,39.047411,-84.66973,rwy_01_005,5,39.047415,-84.668682
spot_3F,239,39.048793,-84.660886,txy_J_F,217,39.048114,-84.660884
Txy_B5_001,398,39.0644066,-84.6826923,Txy_B_003,405,39.064544,-84.6820003
ramp_02_001,275,39.052959,-84.657371,ramp_03_001,279,39.052149,-84.657358
ramp_05_012,371,39.048776,-84.655848,ramp_05_011,370,39.048781,-84.656426
Gate_A_019,36,39.053192,-84.651529,ramp_03_011,289,39.052818,-84.65063
txy_D_018,165,39.063379,-84.6672,txy_D_017,164,39.06053,-84.667212
ramp_04_007,325,39.051365,-84.666217,ramp_04_008,326,39.050422,-84.666211
ramp_01_007,250,39.052157,-84.660851,ramp_04_034,352,39.051578,-84.660848
rwy_03_007,26,39.046299,-84.666517,txy_E_001,168,39.045523,-84.666509
txy_D_004,151,39.043569,-84.6673,txy_D4_001,230,39.043565,-84.66771
txy_C_002,258,39.047244,-84.670832,txy_K_003,206,39.047411,-84.66973
rwy_02_008,19,39.055716,-84.646664,rwy_02_007,18,39.054368,-84.646673
txy_D_014,161,39.052185,-84.667241,txy_E_106,259,39.05217,-84.666524
txy_F_001,249,39.050105,-84.660874,ramp_04_033,351,39.05083,-84.660867
txy_D_008,155,39.047096,-84.667268,rwy_03_006,25,39.046299,-84.667278
txy_T3_001,251,39.029904,-84.647864,rwy_02_002,13,39.029895,-84.646793
Gate_B_007,100,39.049728,-84.657654,ramp_05_013,372,39.048989,-84.657778
txy_T4_001,252,39.034484,-84.647818,rwy_02_003,14,39.034911,-84.646807
txy_S_012,144,39.054345,-84.649848,txy_S_011,143,39.052131,-84.649871
txy_T5_001,253,39.039725,-84.647878,rwy_02_004,15,39.040175,-84.646853
ramp_05_008,367,39.048784,-84.659583,ramp_05_009,368,39.048786,-84.658472
rwy_01_010,10,39.063376,-84.668607,rwy_01_009,9,39.057952,-84.668628
