id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,32.851241,-96.86335,n0,Rwy,,,,
Rwy_01_002,1,32.8503,-96.862268,n1,Rwy,RW13R,Entry,RW31L,End
Rwy_01_003,2,32.848864,-96.860602,n2,Rwy,,,,
Rwy_01_004,3,32.845292,-96.85646,n3,Rwy,,,,
Rwy_01_005,4,32.844982,-96.856108,n4,Rwy,,,,
Rwy_01_03,5,32.843949,-96.854907,n5,Rwy,,,,
Rwy_01_006,6,32.84291,-96.853711,n6,Rwy,,,,
Rwy_01_007,7,32.842136,-96.852806,n7,Rwy,,,,
Rwy_01_008,8,32.840251,-96.850632,n8,Rwy,,,,
Rwy_01_009,9,32.839144,-96.849342,n9,Rwy,,,,
Rwy_01_010,10,32.83784,-96.847824,n10,Rwy,,,,
Rwy_01_011,11,32.8341,-96.843507,n11,Rwy,RW31L,Entry,RW13R,End
Rwy_02_001,12,32.85719,-96.85671,n12,Rwy,RW13L,Entry,RW31R,End
Rwy_02_03,13,32.854593,-96.853686,n13,Rwy,,,,
Rwy_02_002,14,32.853178,-96.852051,n14,Rwy,,,,
Rwy_02_003,15,32.851632,-96.85026,n15,Rwy,,,,
Rwy_02_004,16,32.85054,-96.848995,n16,Rwy,,,,
Rwy_02_005,17,32.848958,-96.847157,n17,Rwy,,,,
Rwy_02_006,18,32.847636,-96.845629,n18,Rwy,,,,
Rwy_02_007,19,32.845662,-96.843346,n19,Rwy,,,,
Rwy_02_008,20,32.844682,-96.84221,n20,Rwy,,,,
Rwy_02_009,21,32.842118,-96.839238,n21,Rwy,RW31R,Entry,RW13L,End
Rwy_03_001,22,32.858562,-96.853225,n22,Rwy,,,,
Rwy_03_002,23,32.856145,-96.853503,n23,Rwy,,,,
Rwy_03_003,24,32.852285,-96.853947,n24,Rwy,,,,
Rwy_03_004,25,32.849073,-96.854315,n25,Rwy,,,,
Rwy_03_005,26,32.847987,-96.854438,n26,Rwy,,,,
Rwy_03_006,27,32.846166,-96.854643,n27,Rwy,,,,
Rwy_03_007,28,32.845379,-96.854741,n28,Rwy,,,,
Rwy_03_008,29,32.845038,-96.854777,n29,Rwy,,,,
Rwy_03_009,30,32.841912,-96.855137,n30,Rwy,,,,
Txy_A_001,31,32.85766,-96.856107,n31,Txy,,,,
Txy_A_002,32,32.858004,-96.855685,n32,Txy,,,,
Txy_A_003,33,32.856703,-96.854175,n33,Txy,,,,
Txy_A_004,34,32.855569,-96.852826,n34,Txy,,,,
Txy_A_N,35,32.855385,-96.852618,n35,Txy,,,,
Txy_A_D,36,32.854742,-96.851875,n36,Txy,,,,
Txy_A_005,37,32.85424,-96.851408,n37,Txy,,,,
Txy_A_006,38,32.853369,-96.850451,n38,Txy,,,,
Txy_A_007,39,32.852681,-96.849649,n39,Txy,,,,
Txy_A_008,40,32.85105,-96.847761,n40,Txy,,,,
Txy_A_A3,41,32.850539,-96.84717,n41,Txy,,,,
Txy_A_009,42,32.849089,-96.845488,n42,Txy,,,,
Txy_A_A2,43,32.848467,-96.844768,n43,Txy,,,,
Txy_A_010,44,32.847692,-96.843872,n44,Txy,,,,
Txy_A_011,45,32.846284,-96.842239,n45,Txy,,,,
Txy_A_A1,46,32.845493,-96.841326,n46,Txy,,,,
Txy_A_012,47,32.843704,-96.839262,n47,Txy,,,,
