n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C6_001,108,32.849241,-96.860129,Rwy_01_003,2,32.848864,-96.860602
Txy_A_A3,41,32.850539,-96.84717,Parking_A_007,157,32.851063,-96.846011
Txy_N_001,54,32.858512,-96.852651,Txy_N_002,55,32.858484,-96.852268
Txy_B3_B4,76,32.847548,-96.846744,Txy_B3_001,91,32.847555,-96.846454
Txy_C_008,125,32.834924,-96.842549,Txy_C_009,126,32.83448,-96.843045
Txy_L_C6,138,32.849948,-96.859301,Parking_C6_001,140,32.850715,-96.858585
Txy_A_008,40,32.85105,-96.847761,Txy_A_A3,41,32.850539,-96.84717
Rwy_02_001,12,32.85719,-96.85671,Txy_A_001,31,32.85766,-96.856107
Rwy_02_006,18,32.847636,-96.845629,Rwy_02_007,19,32.845662,-96.843346
Txy_A_009,42,32.849089,-96.845488,Txy_A_A2,43,32.848467,-96.844768
Txy_N_004,57,32.856781,-96.852452,Parking_N_002,163,32.8567,-96.85155
Txy_B1_001,88,32.844585,-96.843029,Rwy_02_008,20,32.844682,-96.84221
Txy_D_001,58,32.853916,-96.851962,Rwy_02_002,14,32.853178,-96.852051
Txy_C_C1,122,32.838613,-96.846905,Txy_C_006,123,32.83741,-96.845505
Txy_B_014,85,32.840787,-96.840843,Rwy_01_001,0,32.851241,-96.86335
Txy_K_001,111,32.849059,-96.85518,Rwy_03_004,25,32.849073,-96.854315
Txy_B3_B4,76,32.847548,-96.846744,Txy_B_M,77,32.84671,-96.84649
Txy_N_002,55,32.858484,-96.852268,Txy_N_003,56,32.857589,-96.852364
Txy_B3_001,91,32.847555,-96.846454,Rwy_02_006,18,32.847636,-96.845629
Rwy_03_009,30,32.841912,-96.855137,Txy_E_001,66,32.841961,-96.855705
Txy_A_011,45,32.846284,-96.842239,Parking_A_004,154,32.847189,-96.841135
Txy_C_003,115,32.845935,-96.855386,Rwy_03_007,28,32.845379,-96.854741
Rwy_03_004,25,32.849073,-96.854315,Rwy_03_005,26,32.847987,-96.854438
Txy_A_D,36,32.854742,-96.851875,Txy_A_005,37,32.85424,-96.851408
Rwy_02_005,17,32.848958,-96.847157,Txy_B4_001,90,32.847798,-96.846818
Txy_D_003,61,32.848326,-96.853066,Txy_D_004,132,32.846908,-96.853251
Rwy_03_006,27,32.846166,-96.854643,Rwy_03_007,28,32.845379,-96.854741
Txy_B_007,74,32.849502,-96.85068,Txy_B_B5,73,32.849916,-96.851276
Txy_C_K,109,32.848496,-96.858365,Txy_C_C6,107,32.849626,-96.859662
Txy_C_C5,112,32.84748,-96.857184,Txy_C4_001,113,32.846304,-96.856534
Txy_D_003,61,32.848326,-96.853066,Txy_D_B,60,32.850783,-96.852327
Rwy_01_005,4,32.844982,-96.856108,Rwy_01_03,5,32.843949,-96.854907
Rwy_02_003,15,32.851632,-96.85026,Rwy_02_004,16,32.85054,-96.848995
Txy_C8_001,105,32.852077,-96.861199,Parking_C8_001,142,32.852448,-96.860842
Txy_B_M,77,32.84671,-96.84649,Txy_B1_M,87,32.844355,-96.843639
Rwy_02_002,14,32.853178,-96.852051,Rwy_02_003,15,32.851632,-96.85026
Txy_C_C7,104,32.850821,-96.861047,Txy_L_C7,103,32.851119,-96.86065
Ramp_01_011,195,32.8474419,-96.8498844,Ramp_01_012,196,32.8474509,-96.8493855
Txy_D_C,63,32.844346,-96.853548,Txy_C_005,117,32.843651,-96.852742
Txy_C_C6,107,32.849626,-96.859662,Txy_C6_001,108,32.849241,-96.860129
Rwy_01_001,0,32.851241,-96.86335,Rwy_01_002,1,32.8503,-96.862268
Rwy_02_002,14,32.853178,-96.852051,Txy_D_002,59,32.852254,-96.852156
Txy_D_003,61,32.848326,-96.853066,Txy_B5_004,135,32.848814,-96.852736
Txy_A_003,33,32.856703,-96.854175,Rwy_03_002,23,32.856145,-96.853503
Txy_C_K,109,32.848496,-96.858365,Txy_L_K,110,32.848611,-96.857747
Txy_E_001,66,32.841961,-96.855705,Txy_E_002,147,32.841954,-96.856165
Txy_C_005,117,32.843651,-96.852742,Txy_C_C2,118,32.841305,-96.850026
Ramp_01_002,186,32.8451051,-96.8512174,Gate_01_013,172,32.8457113,-96.851086
Txy_A_014,49,32.842429,-96.837889,Txy_A_015,150,32.842888,-96.837325
Txy_B_006,72,32.851655,-96.85327,Txy_D_B,60,32.850783,-96.852327
Txy_L_K,110,32.848611,-96.857747,Txy_K_001,111,32.849059,-96.85518
Txy_A_016,50,32.841364,-96.836656,Txy_A_017,149,32.84185,-96.836068
Rwy_01_007,7,32.842136,-96.852806,Rwy_01_008,8,32.840251,-96.850632
Txy_D_005,133,32.846457,-96.853304,Txy_D_D1,62,32.846062,-96.853347
Ramp_01_013,197,32.8470363,-96.8484253,Ramp_01_014,198,32.8462611,-96.8471432
Txy_L_C8,99,32.851812,-96.861455,Txy_L_001,98,32.852128,-96.862298
Rwy_01_008,8,32.840251,-96.850632,Txy_C3_001,120,32.84064,-96.85015
Rwy_03_001,22,32.858562,-96.853225,Rwy_03_002,23,32.856145,-96.853503
Txy_B_003,69,32.853671,-96.855446,Txy_B_004,70,32.853201,-96.854941
Txy_C_004,116,32.844804,-96.854086,Txy_D_C,63,32.844346,-96.853548
Txy_B_M,77,32.84671,-96.84649,Ramp_01_014,198,32.8462611,-96.8471432
Txy_A_006,38,32.853369,-96.850451,Parking_A_010,160,32.854307,-96.849387
Txy_H_002,129,32.848259,-96.862284,Txy_H_003,143,32.847931,-96.862768
Rwy_01_008,8,32.840251,-96.850632,Rwy_01_009,9,32.839144,-96.849342
Txy_D_003,61,32.848326,-96.853066,Ramp_01_006,190,32.8474915,-96.8528831
Ramp_01_008,192,32.8474329,-96.8514186,Ramp_01_009,193,32.8474599,-96.8508446
Txy_C_001,106,32.852025,-96.862428,Rwy_01_001,0,32.851241,-96.86335
Txy_C_C5,112,32.84748,-96.857184,Txy_C_003,115,32.845935,-96.855386
Rwy_02_006,18,32.847636,-96.845629,Txy_A2_001,52,32.848033,-96.845294
Rwy_01_03,5,32.843949,-96.854907,Rwy_03_009,30,32.841912,-96.855137
Txy_A_015,150,32.842888,-96.837325,Parking_A_001,151,32.843178,-96.836968
Ramp_01_014,198,32.8462611,-96.8471432,Ramp_01_015,199,32.8453688,-96.8460542
Txy_B6_001,92,32.850839,-96.850263,Txy_B5_B6,94,32.850561,-96.850265
Txy_A_008,40,32.85105,-96.847761,Parking_A_008,158,32.851925,-96.847316
Rwy_02_001,12,32.85719,-96.85671,Rwy_02_03,13,32.854593,-96.853686
Txy_B5_B6,94,32.850561,-96.850265,Txy_B_B5,73,32.849916,-96.851276
Ramp_01_011,195,32.8474419,-96.8498844,Gate_01_010,181,32.8463467,-96.8498093
Txy_C_002,101,32.851141,-96.861421,Txy_C_C8,102,32.851532,-96.861875
Txy_B_009,80,32.845125,-96.845539,Txy_B_010,79,32.84469,-96.845322
Txy_D2_001,96,32.848097,-96.853836,Txy_D_003,61,32.848326,-96.853066
Txy_A_014,49,32.842429,-96.837889,Txy_A_016,50,32.841364,-96.836656
Rwy_03_004,25,32.849073,-96.854315,Txy_D3_001,95,32.848721,-96.853749
Txy_A_005,37,32.85424,-96.851408,Txy_A_006,38,32.853369,-96.850451
Ramp_01_012,196,32.8474509,-96.8493855,Gate_01_008,182,32.8463287,-96.8492997
Rwy_03_002,23,32.856145,-96.853503,Txy_A_004,34,32.855569,-96.852826
Ramp_01_017,201,32.8450848,-96.8477869,Ramp_01_018,202,32.8450848,-96.848731
Ramp_01_006,190,32.8474915,-96.8528831,Ramp_01_007,191,32.8474509,-96.8518102
Txy_A_A1,46,32.845493,-96.841326,Txy_A_012,47,32.843704,-96.839262
Rwy_01_006,6,32.84291,-96.853711,Rwy_01_007,7,32.842136,-96.852806
Txy_B_B1,83,32.843801,-96.844311,Txy_B_013,84,32.842423,-96.842716
Txy_B_010,79,32.84469,-96.845322,Txy_B_011,81,32.844397,-96.845005
