id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,38.8425691709,-77.0368570918,n0,Rwy,RW01 ,Entry,RW19 ,End
Rwy_01_002,1,38.8439651306,-77.036987973,n1,Rwy,,,,
Rwy_01_03,2,38.8478224593,-77.0373643588,n2,Rwy,,,,
Rwy_01_003,3,38.8488102479,-77.0374799783,n3,Rwy,,,,
Rwy_01_004,4,38.8516060838,-77.0377581052,n4,Rwy,,,,
Rwy_01_005,5,38.8526315524,-77.037862653,n5,Rwy,,,,
Rwy_01_006,6,38.8529293442,-77.0378939973,n6,Rwy,,,,
Rwy_01_007,7,38.8546648694,-77.0380686875,n7,Rwy,,,,
Rwy_01_02,8,38.8559419165,-77.0381947218,n8,Rwy,,,,
Rwy_01_009,9,38.8587928571,-77.038486487,n9,Rwy,,,,
Rwy_01_010,10,38.86090261,-77.0386915397,n10,Rwy,RW19 ,Entry,RW01 ,End
Rwy_02_001,11,38.8504375726,-77.0328291042,n11,Rwy,RW33 ,Entry,RW15 ,End
Rwy_02_002,12,38.8522812759,-77.0346360933,n12,Rwy,,,,
Rwy_02_003,13,38.8534617312,-77.0357818362,n13,Rwy,,,,
Rwy_02_004,14,38.8536998263,-77.0360137075,n14,Rwy,,,,
Rwy_2_005,15,38.854761042,-77.0370455014,n15,Rwy,,,,
Rwy_02_006,16,38.8575416232,-77.0397644525,n16,Rwy,,,,
Rwy_02_007,17,38.8584060198,-77.0406076644,n17,Rwy,,,,
Rwy_02_008,18,38.8592501036,-77.0414300664,n18,Rwy,,,,
Rwy_02_009,19,38.861525433,-77.0436546592,n19,Rwy,RW15 ,Entry,RW33 ,End
Rwy_03_001,20,38.8423348992,-77.0407186798,n20,Rwy,RW04 ,Entry,RW22 ,End
Rwy_03_002,21,38.8435341442,-77.039987434,n21,Rwy,,,,
Rwy_03_003,22,38.8438188218,-77.0398052932,n22,Rwy,,,,
Rwy_03_004,23,38.8458135118,-77.038589492,n23,Rwy,,,,
Rwy_03_005,24,38.8469840155,-77.037873428,n24,Rwy,,,,
Rwy_03_006,25,38.8489512828,-77.0366720479,n25,Rwy,,,,
Rwy_03_007,26,38.8493911766,-77.036408717,n26,Rwy,,,,
Rwy_03_008,27,38.8504269928,-77.0357691311,n27,Rwy,,,,
Rwy_03_009,28,38.8508423846,-77.0355155072,n28,Rwy,,,,
Rwy_03_010,29,38.8543217919,-77.0333854436,n29,Rwy,RW22 ,Entry,RW04 ,End
Gate_01_001,30,38.8457472253,-77.0472090455,n30,Gate,,,,
Gate_01_002,31,38.8466407515,-77.0457655203,n31,Gate,,,,
Gate_01_003,32,38.8468371253,-77.0454827198,n32,Gate,,,,
