n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_F_F12,107,39.896918,-104.684649,Txy_F_F11,109,39.895622,-104.684663
Txy_F_F11,109,39.895622,-104.684663,Txy_F10_F,111,39.892949,-104.684697
Txy_F10_F,111,39.892949,-104.684697,Txy_F9_F,112,39.889719,-104.684735
Txy_F9_F,112,39.889719,-104.684735,Txy_F9_001,113,39.888854,-104.685706
Txy_F10_F,111,39.892949,-104.684697,Txy_F10_001,110,39.892951,-104.685659
Txy_F10_001,110,39.892951,-104.685659,Rwy_02_003,21,39.892953,-104.686837
Txy_F_F11,109,39.895622,-104.684663,Txy_F11_001,108,39.895631,-104.685619
Txy_F11_001,108,39.895631,-104.685619,Rwy_02_002,20,39.89561,-104.686806
Rwy_02_002,20,39.89561,-104.686806,Rwy_02_003,21,39.892953,-104.686837
Txy_F_F12,107,39.896918,-104.684649,Txy_F12_001,106,39.896939,-104.685606
Txy_F12_001,106,39.896939,-104.685606,Rwy_02_001,18,39.896915,-104.686791
Rwy_02_001,18,39.896915,-104.686791,Rwy_02_002,20,39.89561,-104.686806
Rwy_02_003,21,39.892953,-104.686837,Rwy_02_004,7,39.887541,-104.686905
Rwy_02_004,7,39.887541,-104.686905,Txy_F9_001,113,39.888854,-104.685706
Txy_F_WD,115,39.884605,-104.684794,Txy_F9_F,112,39.889719,-104.684735
Rwy_02_004,7,39.887541,-104.686905,Rwy_02_005,22,39.884657,-104.686925
Rwy_02_005,22,39.884657,-104.686925,Txy_WD_001,114,39.884641,-104.685755
Txy_WD_001,114,39.884641,-104.685755,Txy_F_WD,115,39.884605,-104.684794
Txy_F_WD,115,39.884605,-104.684794,Txy_F_077,12,39.88068,-104.684839
Rwy_02_005,22,39.884657,-104.686925,Rwy_02_006,23,39.878236,-104.687015
Txy_F_077,12,39.88068,-104.684839,Txy_Z_F,104,39.874966,-104.684906
Rwy_02_006,23,39.878236,-104.687015,Txy_F6_001,11,39.876583,-104.685842
Txy_F6_001,11,39.876583,-104.685842,Txy_Z_F,104,39.874966,-104.684906
Txy_WC_001,103,39.87497,-104.685866,Rwy_02_007,24,39.874985,-104.68705
Txy_Z_F,104,39.874966,-104.684906,Txy_WC_001,103,39.87497,-104.685866
Txy_Z_F,104,39.874966,-104.684906,Txy_WC_G,105,39.874941,-104.683768
Txy_WC_G,105,39.874941,-104.683768,Txy_ZN_G,102,39.874075,-104.683774
Txy_ZN_G,102,39.874075,-104.683774,Txy_G_Z,100,39.871107,-104.683804
Txy_G_Z,100,39.871107,-104.683804,Txy_F4_F,99,39.871098,-104.684946
Txy_F4_F,99,39.871098,-104.684946,Txy_ZN_F,101,39.874062,-104.684911
Txy_ZN_F,101,39.874062,-104.684911,Txy_Z_F,104,39.874966,-104.684906
Rwy_02_008,25,39.874134,-104.687057,Txy_F4_001,97,39.872483,-104.68588
Txy_F4_001,97,39.872483,-104.68588,Txy_F4_F,99,39.871098,-104.684946
Rwy_02_007,24,39.874985,-104.68705,Rwy_02_008,25,39.874134,-104.687057
Rwy_02_006,23,39.878236,-104.687015,Rwy_02_007,24,39.874985,-104.68705
Rwy_02_008,25,39.874134,-104.687057,Rwy_02_009,26,39.868233,-104.687125
Rwy_02_009,26,39.868233,-104.687125,Txy_F3_001,93,39.86823,-104.685947
Txy_F3_001,93,39.86823,-104.685947,Txy_F3_F,91,39.868218,-104.684991
Txy_F3_F,91,39.868218,-104.684991,Txy_F3_G,96,39.8682,-104.683847
Txy_F3_G,96,39.8682,-104.683847,Txy_G_ZS,98,39.869103,-104.683833
Txy_G_ZS,98,39.869103,-104.683833,Txy_G_Z,100,39.871107,-104.683804
Txy_F4_F,99,39.871098,-104.684946,Txy_F_ZS,95,39.869139,-104.684984
Txy_F_ZS,95,39.869139,-104.684984,Txy_F3_F,91,39.868218,-104.684991
Rwy_02_009,26,39.868233,-104.687125,Rwy_02_010,27,39.865424,-104.687157
Rwy_02_010,27,39.865424,-104.687157,Rwy_02_011,28,39.864282,-104.687166
Txy_F2_G,92,39.865385,-104.683879,Txy_F3_G,96,39.8682,-104.683847
Txy_F3_F,91,39.868218,-104.684991,Txy_F2_F,1,39.865399,-104.685034
Txy_F2_G,92,39.865385,-104.683879,Txy_F2_F,1,39.865399,-104.685034
Txy_F2_F,1,39.865399,-104.685034,Txy_F2_001,0,39.8654,-104.685999
Txy_F2_001,0,39.8654,-104.685999,Rwy_02_010,27,39.865424,-104.687157
Txy_H_CS,239,39.861379,-104.681921,Txy_H_BN,240,39.860292,-104.681936
Txy_CS_001,85,39.861381,-104.683245,Txy_CS_G,81,39.861388,-104.683934
Txy_CS_001,85,39.861381,-104.683245,Txy_H_CS,239,39.861379,-104.681921
Txy_G_012,238,39.863723,-104.683897,Txy_CS_G,81,39.861388,-104.683934
Txy_F_004,86,39.863588,-104.685041,Txy_CS_F,84,39.861405,-104.685077
Txy_CS_F,84,39.861405,-104.685077,Txy_CS_G,81,39.861388,-104.683934
Txy_CS_F,84,39.861405,-104.685077,Txy_F_BN,80,39.860324,-104.685101
Txy_G_BN,82,39.860296,-104.683938,Txy_CS_G,81,39.861388,-104.683934
Txy_G_BN,82,39.860296,-104.683938,Txy_BN_001,83,39.860295,-104.68326
Txy_BN_001,83,39.860295,-104.68326,Txy_H_BN,240,39.860292,-104.681936
Txy_G_BN,82,39.860296,-104.683938,Txy_F_BN,80,39.860324,-104.685101
Txy_H_BN,240,39.860292,-104.681936,Txy_H_BS,241,39.856854,-104.681972
Txy_H_BS,241,39.856854,-104.681972,Txy_H_AN,234,39.855958,-104.681996
Txy_H_BS,241,39.856854,-104.681972,Txy_BS_001,79,39.856862,-104.683287
Txy_BS_001,79,39.856862,-104.683287,Txy_BS_G,78,39.856863,-104.683971
Txy_BS_G,78,39.856863,-104.683971,Txy_BS_F,76,39.856882,-104.685134
Txy_BS_F,76,39.856882,-104.685134,Txy_F_BN,80,39.860324,-104.685101
Txy_G_BN,82,39.860296,-104.683938,Txy_BS_G,78,39.856863,-104.683971
Txy_BS_G,78,39.856863,-104.683971,Txy_G_AN,75,39.855971,-104.683987
Txy_H_AN,234,39.855958,-104.681996,Txy_AN_001,77,39.855971,-104.683299
