id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Ramp_06_018,0,32.915193,-97.064237,n0,Ramp,,,,
Txy_Y_021,1,32.910034,-97.022483,n1,Txy,,,,
Txy_Y_020,2,32.910038,-97.024031,n2,Txy,,,,
Ramp_08_011,3,32.901204,-97.059221,n3,Ramp,,,,
Ramp_08_010,4,32.901208,-97.059635,n4,Ramp,,,,
Ramp_08_009,5,32.90122,-97.060046,n5,Ramp,,,,
Ramp_08_007,6,32.901238,-97.06088,n6,Ramp,,,,
Ramp_08_006,7,32.901229,-97.06133,n7,Ramp,,,,
Ramp_08_004,8,32.901241,-97.063137,n8,Ramp,,,,
Ramp_08_003,9,32.901254,-97.063626,n9,Ramp,,,,
Ramp_01_058,10,32.908268,-97.038312,n10,Ramp,,,,
Ramp_01_057,11,32.908272,-97.037961,n11,Ramp,,,,
Ramp_01_056,12,32.908273,-97.037665,n12,Ramp,,,,
Ramp_01_055,13,32.908268,-97.037286,n13,Ramp,,,,
Ramp_01_054,14,32.908233,-97.036925,n14,Ramp,,,,
Ramp_01_053,15,32.908167,-97.036543,n15,Ramp,,,,
Ramp_01_052,16,32.907985,-97.036026,n16,Ramp,,,,
Ramp_05_051,17,32.886621,-97.037296,n17,Ramp,,,,
Ramp_05_050,18,32.886952,-97.036252,n18,Ramp,,,,
Ramp_01_050,19,32.906663,-97.03431,n19,Ramp,,,,
Ramp_07_007,20,32.90855,-97.06693,n20,Ramp,,,,
Ramp_07_006,21,32.908561,-97.066406,n21,Ramp,,,,
Ramp_07_005,22,32.908542,-97.065808,n22,Ramp,,,,
Ramp_07_004,23,32.909043,-97.064487,n23,Ramp,,,,
Ramp_07_003,24,32.909047,-97.063578,n24,Ramp,,,,
Ramp_07_002,25,32.909036,-97.062674,n25,Ramp,,,,
Ramp_08_005,26,32.901238,-97.062659,n26,Ramp,,,,
Ramp_08_012,27,32.90341,-97.060539,n27,Ramp,,,,
Ramp_08_013,28,32.903404,-97.058918,n28,Ramp,,,,
Ramp_08_008,29,32.901229,-97.060517,n29,Ramp,,,,
Gate_08_005,30,32.900373,-97.060488,n30,Gate,,,,
Gate_08_004,31,32.900381,-97.060878,n31,Gate,,,,
Gate_08_003,32,32.900362,-97.06137,n32,Gate,,,,
Gate_08_002,33,32.9005,-97.063138,n33,Gate,,,,
Gate_07_001,34,32.908163,-97.066946,n34,Gate,,,,
Gate_07_003,35,32.908151,-97.065821,n35,Gate,,,,
Ramp_04_041,36,32.894272,-97.042123,n36,Ramp,,,,
Ramp_04_040,37,32.894276,-97.042538,n37,Ramp,,,,
Ramp_04_039,38,32.894282,-97.043216,n38,Ramp,,,,
Ramp_04_038,39,32.894283,-97.043688,n39,Ramp,,,,
Ramp_04_037,40,32.894284,-97.044365,n40,Ramp,,,,
Ramp_04_036,41,32.894285,-97.044657,n41,Ramp,,,,
Ramp_04_035,42,32.89429,-97.045399,n42,Ramp,,,,
Ramp_04_034,43,32.894285,-97.045918,n43,Ramp,,,,
Ramp_04_033,44,32.893627,-97.046698,n44,Ramp,,,,
Ramp_04_032,45,32.894297,-97.046688,n45,Ramp,,,,
Ramp_04_031,46,32.895063,-97.046686,n46,Ramp,,,,
Ramp_04_030,47,32.895779,-97.046684,n47,Ramp,,,,
Ramp_04_029,48,32.896111,-97.046679,n48,Ramp,,,,
Ramp_04_028,49,32.896496,-97.046677,n49,Ramp,,,,
Ramp_04_027,50,32.897218,-97.046671,n50,Ramp,,,,
Ramp_04_026,51,32.897672,-97.046671,n51,Ramp,,,,
Ramp_04_025,52,32.897941,-97.046671,n52,Ramp,,,,
Ramp_04_024,53,32.898386,-97.046669,n53,Ramp,,,,
Ramp_04_023,54,32.898652,-97.046666,n54,Ramp,,,,
Ramp_04_022,55,32.899369,-97.046665,n55,Ramp,,,,
Ramp_04_021,56,32.900092,-97.046665,n56,Ramp,,,,
Ramp_04_020,57,32.900819,-97.046649,n57,Ramp,,,,
Ramp_04_019,58,32.900821,-97.046279,n58,Ramp,,,,
Ramp_04_018,59,32.900812,-97.045358,n59,Ramp,,,,
Ramp_04_017,60,32.900812,-97.044753,n60,Ramp,,,,
Ramp_04_016,61,32.900816,-97.044234,n61,Ramp,,,,
Ramp_04_015,62,32.900813,-97.043668,n62,Ramp,,,,
Ramp_04_014,63,32.900661,-97.043144,n63,Ramp,,,,
Ramp_04_013,64,32.900561,-97.042771,n64,Ramp,,,,
Ramp_04_012,65,32.900386,-97.042186,n65,Ramp,,,,
Ramp_02_049,66,32.900942,-97.043128,n66,Ramp,,,,
Ramp_02_048,67,32.901332,-97.042926,n67,Ramp,,,,
Ramp_02_047,68,32.901339,-97.043566,n68,Ramp,,,,
Ramp_02_046,69,32.901488,-97.044324,n69,Ramp,,,,
Ramp_02_045,70,32.901676,-97.044655,n70,Ramp,,,,
Ramp_02_044,71,32.901341,-97.043889,n71,Ramp,,,,
Ramp_02_043,72,32.901335,-97.044768,n72,Ramp,,,,
Ramp_02_042,73,32.901339,-97.045425,n73,Ramp,,,,
Ramp_02_041,74,32.901867,-97.044889,n74,Ramp,,,,
Ramp_02_040,75,32.902052,-97.045113,n75,Ramp,,,,
Ramp_02_039,76,32.902237,-97.045323,n76,Ramp,,,,
Ramp_02_038,77,32.902377,-97.04552,n77,Ramp,,,,
Ramp_02_037,78,32.902717,-97.045864,n78,Ramp,,,,
Ramp_02_036,79,32.903002,-97.046023,n79,Ramp,,,,
Ramp_02_035,80,32.903243,-97.04614,n80,Ramp,,,,
Ramp_02_034,81,32.90334,-97.046189,n81,Ramp,,,,
Ramp_02_033,82,32.903475,-97.046241,n82,Ramp,,,,
Ramp_02_032,83,32.903612,-97.046295,n83,Ramp,,,,
Ramp_02_031,84,32.904031,-97.046366,n84,Ramp,,,,
