id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,46.908389,-96.816436,n0,Rwy,RW36 ,Entry,RW18 ,End
Rwy_01_02,1,46.910405,-96.816393,n1,Rwy,,,,
Rwy_01_002,2,46.914663,-96.816329,n2,Rwy,,,,
Rwy_01_003,3,46.916913,-96.816329,n3,Rwy,,,,
Rwy_01_004,4,46.924973,-96.816222,n4,Rwy,,,,
Rwy_01_03,5,46.927076,-96.816222,n5,Rwy,,,,
Rwy_01_005,6,46.92819,-96.816179,n6,Rwy,,,,
Rwy_01_006,7,46.932725,-96.816114,n7,Rwy,RW18 ,Entry,RW36 ,End
Rwy_03_001,8,46.927134,-96.827152,n8,Rwy,RW09 ,Entry,RW27 ,End
Rwy_03_002,9,46.92712,-96.81947,n9,Rwy,,,,
Rwy_03_003,10,46.927076,-96.813334,n10,Rwy,,,,
Rwy_03_004,11,46.927076,-96.806896,n11,Rwy,,,,
Rwy_03_005,12,46.927047,-96.80224,n12,Rwy,RW27 ,Entry,RW09 ,End
Rwy_02_001,13,46.90656,-96.811284,n13,Rwy,RW31 ,Entry,RW13 ,End
Rwy_02_002,14,46.908282,-96.813623,n14,Rwy,,,,
Rwy_02_003,15,46.908546,-96.813956,n15,Rwy,,,,
Rwy_02_004,16,46.912739,-96.819653,n16,Rwy,,,,
Rwy_02_005,17,46.914094,-96.821466,n17,Rwy,RW13 ,Entry,RW31 ,End
Txy_F_001,18,46.907403,-96.809836,n18,Txy,,,,
Txy_G_001,19,46.90826,-96.810501,n19,Txy,,,,
Txy_D_001,20,46.908928,-96.813376,n20,Txy,,,,
Txy_D_B,21,46.91128,-96.809879,n21,Txy,,,,
Txy_B_001,22,46.909301,-96.809857,n22,Txy,,,,
Txy_B_002,23,46.91386,-96.813505,n23,Txy,,,,
Txy_B_B3,24,46.916923,-96.813494,n24,Txy,,,,
Txy_A4_A,25,46.908422,-96.819674,n25,Txy,,,,
Txy_A3_A,26,46.914681,-96.819674,n26,Txy,,,,
Txy_B_E,27,46.925013,-96.813355,n27,Txy,,,,
Txy_A_E,28,46.925043,-96.819492,n28,Txy,,,,
Txy_A_002,29,46.92109,-96.819529,n29,Txy,,,,
Txy_J_001,30,46.921837,-96.827103,n30,Txy,,,,
Txy_T_001,31,46.92106,-96.824099,n31,Txy,,,,
Txy_C_C5,32,46.928234,-96.827103,n32,Txy,,,,
Txy_C_A,33,46.928204,-96.819454,n33,Txy,,,,
Txy_C4_001,34,46.928805,-96.823262,n34,Txy,,,,
Txy_C_C4,35,46.928234,-96.823262,n35,Txy,,,,
Txy_C_B,36,46.928175,-96.813338,n36,Txy,,,,
Txy_C3_001,37,46.928739,-96.810442,n37,Txy,,,,
Txy_C_C3,38,46.928168,-96.810452,n38,Txy,,,,
Txy_C2_001,39,46.928798,-96.80689,n39,Txy,,,,
Txy_C_C2,40,46.928146,-96.80689,n40,Txy,,,,
Txy_C_001,41,46.928087,-96.802234,n41,Txy,,,,
Txy_B_003,42,46.931853,-96.813277,n42,Txy,,,,
Txy_B1_001,43,46.932689,-96.814301,n43,Txy,,,,
Txy_A_001,44,46.93258,-96.819399,n44,Txy,,,,
Txy_A1_001,45,46.932789,-96.818949,n45,Txy,,,,
Ramp_01_001,46,46.92111,-96.824909,n46,Ramp,,,,
Ramp_01_002,47,46.921152,-96.826698,n47,Ramp,,,,
Gate_01_001,48,46.920219,-96.824949,n48,Gate,,,,
Gate_01_002,49,46.92049,-96.825348,n49,Gate,,,,
Gate_01_003,50,46.920503,-96.825912,n50,Gate,,,,
Gate_01_004,51,46.920248,-96.826175,n51,Gate,,,,
Gate_01_005,52,46.920184,-96.826765,n52,Gate,,,,
