n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_T6_002,254,26.071591,-80.150004,Txy_T6_001,256,26.071857,-80.149704
Ramp_03_010,238,26.07224,-80.146373,Txy_T5_001,248,26.071976,-80.146419
Ramp_A_009,289,26.078416,-80.143856,Parking_A_009,292,26.079259,-80.143852
Txy_G_G2,106,26.06664,-80.15737,Txy_G2_001,111,26.06649,-80.157368
Ramp_A_010,290,26.078389,-80.142749,Parking_A_010,291,26.079823,-80.142749
Rwy_03_007,25,26.065932,-80.142252,Txy_D4_001,116,26.066425,-80.145489
Ramp_03_005,228,26.074059,-80.147662,Txy_T_021,226,26.074539,-80.148022
Txy_B5_001,99,26.07604,-80.1423,Txy_B_B5,68,26.07557,-80.142306
Gate_C_007,140,26.074044,-80.140452,Ramp_01_013,214,26.074365,-80.140302
Txy_T_026,277,26.067865,-80.145361,Txy_025a,312,26.067651,-80.145074
Txy_E_003,87,26.075458,-80.158357,Txy_B_E,57,26.075657,-80.158573
Rwy_02_008,311,26.070012,-80.150659,Txy_D2_001,115,26.069824,-80.149376
Txy_D_P,77,26.071287,-80.150348,Txy_D_Q,76,26.072122,-80.151273
Gate_F_002,173,26.07055,-80.14575,Ramp_03_020,247,26.070198,-80.145764
Ramp_E_001,302,26.075292,-80.158537,Parking_E_001,304,26.075001,-80.158853
Txy_T5_004,251,26.072205,-80.147533,Ramp_03_008,236,26.072589,-80.147258
Gate_H_007,174,26.068669,-80.144119,Ramp_04_003,261,26.068721,-80.144621
Rwy_01_005,4,26.076904,-80.159945,Rwy_01_02,5,26.076885,-80.158184
Txy_G_G1,105,26.066648,-80.159157,Txy_G_G2,106,26.06664,-80.15737
Txy_G3_002,113,26.067445,-80.155175,Parking_P_001,301,26.068107,-80.15589
Txy_G_G3,107,26.066618,-80.154323,Txy_G_Q,108,26.066728,-80.151962
Txy_A_D,33,26.078131,-80.157837,Txy_A_005,34,26.078128,-80.157001
Txy_D_001,72,26.079102,-80.159547,Txy_D_002,73,26.079086,-80.158887
Txy_T_016,221,26.074857,-80.143996,Txy_T_017,202,26.074861,-80.144996
Txy_E_004,88,26.074961,-80.157813,Ramp_E_002,303,26.074803,-80.157999
Txy_A_005,34,26.078128,-80.157001,Txy_A_006,35,26.07811,-80.153749
Txy_025a,312,26.067651,-80.145074,Txy_T_027,272,26.06729,-80.144373
Ramp_E_004,307,26.07172,-80.154635,Parking_E_004,310,26.071501,-80.15489
Txy_E_006,91,26.07076,-80.153207,Ramp_E_005,308,26.070604,-80.153405
Txy_B_B6,71,26.07555,-80.139243,Txy_T1_005,212,26.075145,-80.139245
Txy_T_013,198,26.074847,-80.142317,Txy_T_014,199,26.07485,-80.142664
Txy_G_005,109,26.066803,-80.148263,Rwy_02_009,17,26.067143,-80.147523
Rwy_03_002,20,26.065959,-80.159152,Rwy_03_003,21,26.065947,-80.157376
Txy_G_002,103,26.066647,-80.160464,Txy_G_004,104,26.066653,-80.160157
Txy_T1_006,213,26.075154,-80.139897,Txy_T_009,192,26.074834,-80.140112
Txy_T_022,225,26.073605,-80.149076,Txy_T5_005,250,26.072769,-80.148163
Ramp_04_003,261,26.068721,-80.144621,Txy_T8_003,273,26.068755,-80.144987
Gate_H_008,177,26.068097,-80.143549,Ramp_04_006,264,26.06774,-80.143565
Ramp_B_001,314,26.075327,-80.161774,Parking_B_001,316,26.074672,-80.161771
Ramp_02_007,201,26.074362,-80.14448,Txy_T_017,202,26.074861,-80.144996
Txy_T_024,257,26.070026,-80.147682,Txy_T_025,275,26.069694,-80.147356
Ramp_01_015,216,26.074386,-80.141277,Txy_T_011,194,26.074838,-80.141523
Txy_A5_001,51,26.077575,-80.14229,Rwy_01_010,10,26.076806,-80.142296
Txy_Q_S,120,26.072742,-80.151265,Txy_S_T5,127,26.074205,-80.1497
Rwy_02_007,16,26.070559,-80.151274,Txy_P_003,126,26.070993,-80.150683
Txy_G_G3,107,26.066618,-80.154323,Txy_G3_001,112,26.06647,-80.154158
Txy_A_012,42,26.078061,-80.145443,Txy_A_013,43,26.078056,-80.145091
Gate_E_007,158,26.073825,-80.146964,Ramp_03_004,229,26.074292,-80.146931
Txy_T8_004,276,26.067374,-80.145394,Txy_025a,312,26.067651,-80.145074
Txy_A_007,36,26.078098,-80.152072,Txy_A_Q,37,26.078096,-80.151222
Txy_D_D2,78,26.069694,-80.148579,Txy_D_P,77,26.071287,-80.150348
Txy_E_001,85,26.077678,-80.160781,Txy_A_E,30,26.078153,-80.161302
Txy_E_004,88,26.074961,-80.157813,Txy_Q_003,119,26.075177,-80.151246
Txy_T1_005,212,26.075145,-80.139245,Txy_T_008,187,26.074838,-80.139382
Ramp_03_002,231,26.07379,-80.145802,Txy_T_018,233,26.074862,-80.145733
Txy_Q_001,117,26.077611,-80.15123,Rwy_01_007,7,26.076851,-80.151234
Txy_T7_003,258,26.069886,-80.146872,Txy_T_025,275,26.069694,-80.147356
Ramp_01_003,206,26.073646,-80.137597,Txy_T_003,183,26.073649,-80.137246
Rwy_01_02,5,26.076885,-80.158184,Rwy_01_006,6,26.076883,-80.156477
Ramp_01_001,208,26.073027,-80.1374,Txy_T_001,181,26.072992,-80.137215
Txy_T_024,257,26.070026,-80.147682,Ramp_03_017,244,26.070354,-80.14733
Txy_T5_002,249,26.07205,-80.146859,Ramp_03_013,240,26.071732,-80.146884
Gate_B_001,128,26.073028,-80.137538,Ramp_01_001,208,26.073027,-80.1374
Txy_B_T1,70,26.075553,-80.139902,Txy_T1_006,213,26.075154,-80.139897
Txy_D_T7,79,26.069136,-80.148025,Txy_D_D2,78,26.069694,-80.148579
Txy_G_003,299,26.066885,-80.160404,Parking_G_002,300,26.067608,-80.16042
Ramp_01_013,214,26.074365,-80.140302,Txy_T_009,192,26.074834,-80.140112
Txy_D_002,73,26.079086,-80.158887,Txy_A_D,33,26.078131,-80.157837
Ramp_A_008,288,26.078426,-80.14524,Parking_A_008,293,26.078927,-80.145581
Rwy_01_004,3,26.076896,-80.160984,Rwy_01_005,4,26.076904,-80.159945
Txy_S_T5,127,26.074205,-80.1497,Txy_B_S,63,26.075598,-80.148141
Gate_E_005,157,26.073651,-80.146513,Ramp_03_003,230,26.07402,-80.146311
Txy_A_016,46,26.078041,-80.142296,Txy_A5_001,51,26.077575,-80.14229
Rwy_01_012,12,26.076792,-80.139241,Txy_B_B6,71,26.07555,-80.139243
Txy_T_029,270,26.067508,-80.142742,Txy_T_030,269,26.06811,-80.142404
Txy_G3_001,112,26.06647,-80.154158,Rwy_03_004,22,26.065928,-80.153672
Txy_T6_001,256,26.071857,-80.149704,Txy_T_023,255,26.071034,-80.148791
Txy_B6_001,100,26.075178,-80.138456,Txy_B_B6,71,26.07555,-80.139243
Txy_D_003,74,26.077667,-80.157257,Txy_A_D,33,26.078131,-80.157837
Ramp_03_003,230,26.07402,-80.146311,Txy_T_018,233,26.074862,-80.145733
Txy_A_015,45,26.078046,-80.142744,Ramp_A_010,290,26.078389,-80.142749
Rwy_01_009,9,26.076816,-80.145085,Txy_B4_001,98,26.07603,-80.143792
Txy_T_023,255,26.071034,-80.148791,Ramp_03_016,243,26.070865,-80.147854
