id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Ramp_01_001,0,41.074705,-73.709823,n0,Ramp,,,,
HPN-Ref,1,41.066944,-73.707556,n1,Unknown,,,,
Rwy_01_001,2,41.060007,-73.701409,n2,Rwy,RW34 ,Entry,RW16 ,End
Rwy_01_002,3,41.063745,-73.704221,n3,Rwy,,,,
Rwy_01_02,4,41.065351,-73.705457,n4,Rwy,,,,
Rwy_01_004,5,41.06615,-73.706073,n5,Rwy,,,,
Rwy_01_005,6,41.068102,-73.70761,n6,Rwy,,,,
Rwy_01_006,7,41.071059,-73.709869,n7,Rwy,,,,
Rwy_01_007,8,41.074028,-73.712116,n8,Rwy,,,,
Rwy_01_008,9,41.075533,-73.713292,n9,Rwy,RW16 ,Entry,RW34 ,End
Rwy_02_001,10,41.06444,-73.700103,n10,Rwy,,,,
Rwy_02_002,11,41.064935,-73.703014,n11,Rwy,,,,
Rwy_02_003,12,41.065196,-73.704574,n12,Rwy,RW29 ,Entry,RW11 ,End
Rwy_02_004,13,41.065566,-73.7068,n13,Rwy,,,,
Rwy_02_006,14,41.065687,-73.707462,n14,Rwy,,,,
Rwy_02_007,15,41.066278,-73.711082,n15,Rwy,,,,
Rwy_02_008,16,41.066702,-73.7136,n16,Rwy,,,,
Rwy_02_009,17,41.067031,-73.715548,n17,Rwy,RW11 ,Entry,RW29 ,End
Txy_K_001,18,41.066361,-73.715864,n18,Txy,,,,
Txy_K_002,19,41.065564,-73.714692,n19,Txy,,,,
Txy_K_003,20,41.065064,-73.712068,n20,Txy,,,,
Txy_K_006,21,41.064252,-73.707137,n21,Txy,,,,
Txy_K_007,22,41.064192,-73.706624,n22,Txy,,,,
Txy_K_008,23,41.063363,-73.701791,n23,Txy,,,,
Txy_C_001,24,41.066029,-73.714203,n24,Txy,,,,
Txy_C_002,25,41.067304,-73.713113,n25,Txy,,,,
Txy_C_003,26,41.069963,-73.710683,n26,Txy,,,,
Txy_C_005,27,41.072525,-73.708519,n27,Txy,,,,
Txy_A_001,28,41.075495,-73.711995,n28,Txy,,,,
Txy_A_002,29,41.075396,-73.710962,n29,Txy,,,,
Txy_A_003,30,41.074026,-73.709736,n30,Txy,,,,
Txy_B_001,31,41.074005,-73.710144,n31,Txy,,,,
Txy_A_004,32,41.070973,-73.707537,n32,Txy,,,,
Txy_A_005,33,41.07021,-73.707023,n33,Txy,,,,
Txy_A_006,34,41.068794,-73.705995,n34,Txy,,,,
Txy_A_007,35,41.066559,-73.704268,n35,Txy,,,,
Txy_A_008,36,41.061285,-73.700249,n36,Txy,,,,
Txy_L_001,37,41.059956,-73.703867,n37,Txy,,,,
Txy_L_002,38,41.064928,-73.707226,n38,Txy,,,,
Txy_L_003,39,41.066473,-73.708032,n39,Txy,,,,
Txy_L_004,40,41.067546,-73.708813,n40,Txy,,,,
Txy_L_005,41,41.074603,-73.714263,n41,Txy,,,,
Txy_L_006,42,41.075201,-73.714077,n42,Txy,,,,
Txy_D_001,43,41.071002,-73.708606,n43,Txy,,,,
Txy_E_001,44,41.069236,-73.707382,n44,Txy,,,,
Ramp_D_001,45,41.070697,-73.707088,n45,Ramp,,,,
Ramp_03_001,46,41.073744,-73.709042,n46,Ramp,,,,
Txy_F_001,47,41.06853,-73.706657,n47,Txy,,,,
Ramp_04_001,48,41.072636,-73.708241,n48,Ramp,,,,
Txy_F_002,49,41.067747,-73.708432,n49,Txy,,,,
Txy_F_003,50,41.066871,-73.710088,n50,Txy,,,,
Txy_F_004,51,41.065644,-73.711524,n51,Txy,,,,
Txy_F_005,52,41.064482,-73.712533,n52,Txy,,,,
Txy_P_001,53,41.06445,-73.712107,n53,Txy,,,,
Txy_N_001,54,41.064767,-73.710255,n54,Txy,,,,
Txy_M_001,55,41.064481,-73.708656,n55,Txy,,,,
Parking_B_001,56,41.075545,-73.708849,n56,Park,,,,
Parking_V_001,57,41.07394,-73.7085,n57,Park,,,,
Parking_W_001,58,41.072821,-73.707874,n58,Park,,,,
Parking_D_001,59,41.070946,-73.70652,n59,Park,,,,
Txy_A_009,60,41.060428,-73.700697,n60,Txy,,,,
Txy_L_101,61,41.059708,-73.70224,n61,Txy,,,,
Txy_K_009,62,41.063788,-73.7003,n62,Txy,,,,
Txy_J_001,63,41.064918,-73.699953,n63,Txy,,,,
Txy_H_001,64,41.064569,-73.706206,n64,Txy,,,,
Parking_K_002,65,41.064056,-73.715733,n65,Park,,,,
Parking_B_003,66,41.063073,-73.709667,n66,Park,,,,
Parking_A_003,67,41.066608,-73.702246,n67,Park,,,,
Ramp_N_001,68,41.064494,-73.710327,n68,Ramp,,,,
Ramp_M_001,69,41.064222,-73.708719,n69,Ramp,,,,
Parking_E_001,70,41.063794,-73.712908,n70,Park,,,,
Txy_A_102,71,41.073646,-73.709369,n71,Txy,,,,
Txy_A_103,72,41.070597,-73.707347,n72,Txy,,,,
Txy_J_002,73,41.066054,-73.702621,n73,Txy,,,,
Ramp_F_001,74,41.064197,-73.712794,n74,Ramp,,,,
