n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_001,28,41.075495,-73.711995,Txy_A_002,29,41.075396,-73.710962
Txy_M_001,55,41.064481,-73.708656,Txy_N_001,54,41.064767,-73.710255
Ramp_01_001,0,41.074705,-73.709823,Parking_B_001,56,41.075545,-73.708849
Txy_A_006,34,41.068794,-73.705995,Gate_01_002,84,41.0684282,-73.7048815
Txy_C_005,27,41.072525,-73.708519,Ramp_04_001,48,41.072636,-73.708241
Txy_C_003,26,41.069963,-73.710683,Txy_L_004,40,41.067546,-73.708813
Txy_A_006,34,41.068794,-73.705995,Txy_A_007,35,41.066559,-73.704268
Txy_L_002,38,41.064928,-73.707226,Txy_K_006,21,41.064252,-73.707137
Rwy_02_007,15,41.066278,-73.711082,Txy_F_003,50,41.066871,-73.710088
Txy_E_001,44,41.069236,-73.707382,Txy_A_005,33,41.07021,-73.707023
Txy_B_001,31,41.074005,-73.710144,Txy_A_003,30,41.074026,-73.709736
Ramp_K_001,76,41.065284,-73.714874,Parking_K_002,65,41.064056,-73.715733
Txy_L_005,41,41.074603,-73.714263,Txy_C_003,26,41.069963,-73.710683
Txy_C_002,25,41.067304,-73.713113,Txy_C_003,26,41.069963,-73.710683
Txy_F_005,52,41.064482,-73.712533,Ramp_F_001,74,41.064197,-73.712794
Rwy_01_006,7,41.071059,-73.709869,Rwy_01_005,6,41.068102,-73.70761
Txy_J_002,73,41.066054,-73.702621,Txy_A_007,35,41.066559,-73.704268
Rwy_02_006,14,41.065687,-73.707462,Txy_L_002,38,41.064928,-73.707226
Rwy_01_02,4,41.065351,-73.705457,Rwy_02_004,13,41.065566,-73.7068
Txy_N_001,54,41.064767,-73.710255,Ramp_N_001,68,41.064494,-73.710327
Txy_K_002,19,41.065564,-73.714692,Ramp_K_001,76,41.065284,-73.714874
Txy_P_001,53,41.06445,-73.712107,Ramp_P_001,75,41.064214,-73.711975
Rwy_01_02,4,41.065351,-73.705457,Rwy_01_004,5,41.06615,-73.706073
Rwy_01_005,6,41.068102,-73.70761,Txy_E_001,44,41.069236,-73.707382
Txy_A_004,32,41.070973,-73.707537,Txy_A_103,72,41.070597,-73.707347
Txy_A_003,30,41.074026,-73.709736,Txy_A_102,71,41.073646,-73.709369
Txy_C_005,27,41.072525,-73.708519,Txy_A_004,32,41.070973,-73.707537
Txy_N_001,54,41.064767,-73.710255,Txy_K_003,20,41.065064,-73.712068
Txy_K_008,23,41.063363,-73.701791,Txy_K_009,62,41.063788,-73.7003
Txy_M_001,55,41.064481,-73.708656,Ramp_M_001,69,41.064222,-73.708719
Txy_K_003,20,41.065064,-73.712068,Txy_P_001,53,41.06445,-73.712107
Txy_G_002,82,41.066987,-73.705359,Txy_A_007,35,41.066559,-73.704268
Txy_G_002,82,41.066987,-73.705359,Txy_G_001,81,41.067502,-73.70714
Rwy_02_007,15,41.066278,-73.711082,Rwy_02_008,16,41.066702,-73.7136
Txy_L_005,41,41.074603,-73.714263,Txy_L_006,42,41.075201,-73.714077
Rwy_02_008,16,41.066702,-73.7136,Txy_C_002,25,41.067304,-73.713113
Rwy_01_001,2,41.060007,-73.701409,Rwy_01_002,3,41.063745,-73.704221
Txy_K_006,21,41.064252,-73.707137,Txy_L_001,37,41.059956,-73.703867
Txy_K_003,20,41.065064,-73.712068,Txy_K_002,19,41.065564,-73.714692
Txy_L_004,40,41.067546,-73.708813,Txy_F_002,49,41.067747,-73.708432
Txy_F_003,50,41.066871,-73.710088,Txy_L_004,40,41.067546,-73.708813
Rwy_02_009,17,41.067031,-73.715548,Txy_K_001,18,41.066361,-73.715864
Txy_A_006,34,41.068794,-73.705995,Gate_01_001,83,41.0687113,-73.705143
Txy_A_005,33,41.07021,-73.707023,Txy_A_006,34,41.068794,-73.705995
Txy_L_003,39,41.066473,-73.708032,Rwy_02_006,14,41.065687,-73.707462
Txy_K_008,23,41.063363,-73.701791,Rwy_01_002,3,41.063745,-73.704221
Txy_A_101,79,41.074615,-73.710064,Txy_A_003,30,41.074026,-73.709736
Txy_C_001,24,41.066029,-73.714203,Rwy_02_008,16,41.066702,-73.7136
Rwy_01_007,8,41.074028,-73.712116,Txy_B_001,31,41.074005,-73.710144
Ramp_D_001,45,41.070697,-73.707088,Parking_D_001,59,41.070946,-73.70652
Ramp_F_001,74,41.064197,-73.712794,Parking_E_001,70,41.063794,-73.712908
Rwy_01_006,7,41.071059,-73.709869,Txy_D_001,43,41.071002,-73.708606
Rwy_01_002,3,41.063745,-73.704221,Rwy_01_02,4,41.065351,-73.705457
Txy_K_002,19,41.065564,-73.714692,Txy_C_001,24,41.066029,-73.714203
Txy_H_001,64,41.064569,-73.706206,Txy_K_007,22,41.064192,-73.706624
Rwy_02_001,10,41.06444,-73.700103,Rwy_02_002,11,41.064935,-73.703014
Ramp_P_001,75,41.064214,-73.711975,Parking_E_002,78,41.063836,-73.711356
Txy_A_103,72,41.070597,-73.707347,Txy_A_005,33,41.07021,-73.707023
Txy_A_102,71,41.073646,-73.709369,Txy_C_005,27,41.072525,-73.708519
Rwy_02_006,14,41.065687,-73.707462,Rwy_02_004,13,41.065566,-73.7068
Txy_A_007,35,41.066559,-73.704268,Gate_01_003,85,41.0681229,-73.7046321
Rwy_01_007,8,41.074028,-73.712116,Rwy_01_008,9,41.075533,-73.713292
Rwy_02_002,11,41.064935,-73.703014,Txy_K_008,23,41.063363,-73.701791
Txy_A_009,60,41.060428,-73.700697,Txy_A_008,36,41.061285,-73.700249
Ramp_04_001,48,41.072636,-73.708241,Parking_W_001,58,41.072821,-73.707874
Txy_A_002,29,41.075396,-73.710962,Txy_A_101,79,41.074615,-73.710064
Rwy_01_005,6,41.068102,-73.70761,Txy_F_001,47,41.06853,-73.706657
Txy_K_001,18,41.066361,-73.715864,Txy_K_002,19,41.065564,-73.714692
Txy_F_001,47,41.06853,-73.706657,Txy_A_006,34,41.068794,-73.705995
Ramp_A_001,77,41.06621,-73.702493,Parking_A_003,67,41.066608,-73.702246
Ramp_03_001,46,41.073744,-73.709042,Parking_V_001,57,41.07394,-73.7085
Txy_K_003,20,41.065064,-73.712068,Txy_F_005,52,41.064482,-73.712533
Txy_A_007,35,41.066559,-73.704268,Rwy_02_002,11,41.064935,-73.703014
Rwy_01_008,9,41.075533,-73.713292,Txy_A_001,28,41.075495,-73.711995
Txy_F_004,51,41.065644,-73.711524,Rwy_02_007,15,41.066278,-73.711082
Txy_C_004,80,41.071869,-73.709133,Txy_C_005,27,41.072525,-73.708519
Rwy_02_003,12,41.065196,-73.704574,Rwy_01_02,4,41.065351,-73.705457
Txy_C_003,26,41.069963,-73.710683,Rwy_01_006,7,41.071059,-73.709869
Txy_K_007,22,41.064192,-73.706624,Txy_K_006,21,41.064252,-73.707137
Rwy_02_008,16,41.066702,-73.7136,Rwy_02_009,17,41.067031,-73.715548
Rwy_01_004,5,41.06615,-73.706073,Rwy_01_005,6,41.068102,-73.70761
Txy_F_002,49,41.067747,-73.708432,Rwy_01_005,6,41.068102,-73.70761
Rwy_01_001,2,41.060007,-73.701409,Txy_A_009,60,41.060428,-73.700697
Txy_A_007,35,41.066559,-73.704268,Gate_01_004,86,41.0677083,-73.7042861
Txy_D_001,43,41.071002,-73.708606,Txy_A_004,32,41.070973,-73.707537
Txy_A_008,36,41.061285,-73.700249,Txy_K_008,23,41.063363,-73.701791
Rwy_01_006,7,41.071059,-73.709869,Txy_C_004,80,41.071869,-73.709133
Txy_L_004,40,41.067546,-73.708813,Txy_L_003,39,41.066473,-73.708032
Rwy_02_002,11,41.064935,-73.703014,Rwy_02_003,12,41.065196,-73.704574
Txy_L_006,42,41.075201,-73.714077,Rwy_01_008,9,41.075533,-73.713292
Rwy_01_02,4,41.065351,-73.705457,Txy_H_001,64,41.064569,-73.706206
Rwy_02_001,10,41.06444,-73.700103,Txy_J_001,63,41.064918,-73.699953
Txy_J_002,73,41.066054,-73.702621,Ramp_A_001,77,41.06621,-73.702493
Txy_A_102,71,41.073646,-73.709369,Ramp_03_001,46,41.073744,-73.709042
Txy_A_103,72,41.070597,-73.707347,Ramp_D_001,45,41.070697,-73.707088
Txy_J_001,63,41.064918,-73.699953,Txy_J_002,73,41.066054,-73.702621
Rwy_01_006,7,41.071059,-73.709869,Rwy_01_007,8,41.074028,-73.712116
Txy_K_006,21,41.064252,-73.707137,Txy_M_001,55,41.064481,-73.708656
Txy_A_101,79,41.074615,-73.710064,Ramp_01_001,0,41.074705,-73.709823
Txy_L_001,37,41.059956,-73.703867,Txy_L_101,61,41.059708,-73.70224
Txy_K_009,62,41.063788,-73.7003,Rwy_02_001,10,41.06444,-73.700103
Txy_L_101,61,41.059708,-73.70224,Rwy_01_001,2,41.060007,-73.701409
Txy_K_003,20,41.065064,-73.712068,Txy_F_004,51,41.065644,-73.711524
Txy_K_007,22,41.064192,-73.706624,Rwy_01_002,3,41.063745,-73.704221
Rwy_02_006,14,41.065687,-73.707462,Rwy_02_007,15,41.066278,-73.711082
Ramp_M_001,69,41.064222,-73.708719,Parking_B_003,66,41.063073,-73.709667
Parking_B_003,66,41.063073,-73.709667,Ramp_N_001,68,41.064494,-73.710327
