n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,37.6351833,-97.4459427,Rwy_01_002,1,37.6402589,-97.4436058
Rwy_01_003,2,37.6453902,-97.4412669,Rwy_01_002,1,37.6402589,-97.4436058
Rwy_01_004,3,37.64858,-97.4398078,Rwy_01_003,2,37.6453902,-97.4412669
Rwy_01_004,3,37.64858,-97.4398078,Rwy_01_005,4,37.6512484,-97.4385821
Rwy_01_005,4,37.6512484,-97.4385821,Rwy_01_03,5,37.6538476,-97.4373912
Rwy_01_03,5,37.6538476,-97.4373912,Rwy_01_006,6,37.6563661,-97.4362325
Rwy_01_006,6,37.6563661,-97.4362325,Rwy_01_007,7,37.661526,-97.4338839
Rwy_02_001,8,37.6428766,-97.4262718,Rwy_02_002,9,37.6438026,-97.4258534
Rwy_02_003,10,37.6486363,-97.4236325,Rwy_02_002,9,37.6438026,-97.4258534
Rwy_02_004,11,37.6507939,-97.4226347,Rwy_02_003,10,37.6486363,-97.4236325
Rwy_02_005,12,37.6534866,-97.4214116,Rwy_02_004,11,37.6507939,-97.4226347
Rwy_02_006,13,37.6566294,-97.4199632,Rwy_02_005,12,37.6534866,-97.4214116
Rwy_02_007,14,37.6602902,-97.4183003,Rwy_02_006,13,37.6566294,-97.4199632
Rwy_02_008,15,37.6615217,-97.4177209,Rwy_02_007,14,37.6602902,-97.4183003
Rwy_03_001,16,37.6426884,-97.4292905,Rwy_03_002,17,37.6474882,-97.4327666
Rwy_03_002,17,37.6474882,-97.4327666,Rwy_03_003,18,37.6489663,-97.433861
Rwy_03_004,19,37.6518035,-97.4359102,Rwy_03_003,18,37.6489663,-97.433861
Rwy_03_005,20,37.652636,-97.4364895,Rwy_03_004,19,37.6518035,-97.4359102
Rwy_01_03,5,37.6538476,-97.4373912,Rwy_03_005,20,37.652636,-97.4364895
Rwy_01_03,5,37.6538476,-97.4373912,Rwy_03_006,21,37.6574606,-97.4400086
Txy_D6_D,22,37.6349531,-97.4446713,Rwy_01_001,0,37.6351833,-97.4459427
Txy_D5_D,23,37.6399488,-97.4423002,Rwy_01_002,1,37.6402589,-97.4436058
Txy_D6_D,22,37.6349531,-97.4446713,Txy_D5_D,23,37.6399488,-97.4423002
Txy_D4_D,24,37.6450504,-97.439957,Rwy_01_003,2,37.6453902,-97.4412669
Txy_D4_D,24,37.6450504,-97.439957,Txy_D5_D,23,37.6399488,-97.4423002
Txy_D4_D,24,37.6450504,-97.439957,Txy_B_D,25,37.6487033,-97.4383262
Txy_B_D,25,37.6487033,-97.4383262,Rwy_01_004,3,37.64858,-97.4398078
Txy_D3_D,26,37.6509629,-97.4372533,Rwy_01_005,4,37.6512484,-97.4385821
Txy_B_D,25,37.6487033,-97.4383262,Txy_D3_D,26,37.6509629,-97.4372533
Txy_D3_D,26,37.6509629,-97.4372533,Rwy_03_005,20,37.652636,-97.4364895
Rwy_03_005,20,37.652636,-97.4364895,Txy_K_D,27,37.6538935,-97.4359123
Txy_K_D,27,37.6538935,-97.4359123,Txy_C_D,28,37.6551506,-97.4353543
Txy_C_D,28,37.6551506,-97.4353543,Rwy_01_006,6,37.6563661,-97.4362325
Txy_D2_D,29,37.6572741,-97.4343566,Rwy_01_006,6,37.6563661,-97.4362325
Txy_C_D,28,37.6551506,-97.4353543,Txy_D2_D,29,37.6572741,-97.4343566
Txy_D2_D,29,37.6572741,-97.4343566,Txy_D1_D,30,37.6611386,-97.432597
Rwy_01_007,7,37.661526,-97.4338839,Txy_D1_D,30,37.6611386,-97.432597
Rwy_01_007,7,37.661526,-97.4338839,Txy_L1_L,31,37.662214,-97.4362985
Txy_L1_001,32,37.66218,-97.4374894,Txy_L1_L,31,37.662214,-97.4362985
Txy_L1_L,31,37.662214,-97.4362985,Txy_L_001,33,37.660269,-97.4371031
Txy_C_L,34,37.6579503,-97.4373714,Txy_L_001,33,37.660269,-97.4371031
Txy_C4_C,35,37.6584344,-97.4377683,Txy_C_L,34,37.6579503,-97.4373714
Rwy_03_006,21,37.6574606,-97.4400086,Txy_C4_C,35,37.6584344,-97.4377683
Rwy_01_006,6,37.6563661,-97.4362325,Txy_C_L,34,37.6579503,-97.4373714
Txy_K_D,27,37.6538935,-97.4359123,Txy_K1_K,36,37.6528231,-97.4350701
Rwy_03_004,19,37.6518035,-97.4359102,Txy_K1_K,36,37.6528231,-97.4350701
Txy_B_D,25,37.6487033,-97.4383262,Rwy_03_003,18,37.6489663,-97.433861
Txy_K1_K,36,37.6528231,-97.4350701,Txy_K_R,37,37.6500964,-97.4330638
Txy_K_B,38,37.6490855,-97.4321841,Txy_K_R,37,37.6500964,-97.4330638
Txy_K_B,38,37.6490855,-97.4321841,Rwy_03_003,18,37.6489663,-97.433861
Rwy_03_002,17,37.6474882,-97.4327666,Txy_K_B,38,37.6490855,-97.4321841
Txy_K_R,37,37.6500964,-97.4330638,Txy_C_R,39,37.6501558,-97.4317549
Txy_K_B,38,37.6490855,-97.4321841,Txy_C_R,39,37.6501558,-97.4317549
Txy_K_B,38,37.6490855,-97.4321841,Txy_B_E,40,37.649354,-97.4284965
Txy_E_R,41,37.6503819,-97.4286038,Txy_B_E,40,37.649354,-97.4284965
Txy_C_R,39,37.6501558,-97.4317549,Txy_E_R,41,37.6503819,-97.4286038
Rwy_03_001,16,37.6426884,-97.4292905,Txy_E_E1,43,37.6433056,-97.4278313
Txy_E_E1,43,37.6433056,-97.4278313,Rwy_02_001,8,37.6428766,-97.4262718
Txy_E3_E,42,37.6443845,-97.4279386,Txy_E_E1,43,37.6433056,-97.4278313
Rwy_02_002,9,37.6438026,-97.4258534,Txy_E3_E,42,37.6443845,-97.4279386
Txy_E3_E,42,37.6443845,-97.4279386,Txy_B_E,40,37.649354,-97.4284965
Txy_C3_C,44,37.6531086,-97.4338754,Txy_C2_C,45,37.6523271,-97.4332961
Txy_K1_K,36,37.6528231,-97.4350701,Txy_C2_C,45,37.6523271,-97.4332961
Txy_C3_C,44,37.6531086,-97.4338754,Txy_C_D,28,37.6551506,-97.4353543
Txy_C3_C,44,37.6531086,-97.4338754,Txy_C3_001,46,37.65327,-97.4334721
Txy_C2_C,45,37.6523271,-97.4332961,Rwy_01_001,0,37.6351833,-97.4459427
Txy_C1_C,48,37.651002,-97.4323455,Txy_C2_C,45,37.6523271,-97.4332961
