n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,39.6694503,-75.60384,Rwy_01_002,1,39.6709781,-75.6036469
Rwy_01_003,2,39.6716966,-75.6035718,Rwy_01_002,1,39.6709781,-75.6036469
Rwy_01_004,3,39.6748924,-75.6031963,Rwy_01_003,2,39.6716966,-75.6035718
Rwy_01_005,4,39.6755035,-75.6031212,Rwy_01_004,3,39.6748924,-75.6031963
Rwy_01_005,4,39.6755035,-75.6031212,Rwy_01_02,5,39.6811185,-75.6024989
Rwy_01_006,6,39.6822662,-75.602338,Rwy_01_02,5,39.6811185,-75.6024989
Rwy_01_007,7,39.6872201,-75.6017693,Rwy_01_006,6,39.6822662,-75.602338
Rwy_01_008,8,39.6882604,-75.601662,Rwy_01_007,7,39.6872201,-75.6017693
Rwy_02_001,9,39.6823075,-75.5955251,Rwy_02_002,10,39.6819029,-75.5978748
Rwy_02_003,11,39.6813662,-75.6011041,Rwy_02_002,10,39.6819029,-75.5978748
Rwy_01_02,5,39.6811185,-75.6024989,Rwy_02_003,11,39.6813662,-75.6011041
Rwy_01_02,5,39.6811185,-75.6024989,Rwy_02_004,12,39.6808873,-75.6039044
Rwy_02_005,13,39.6798716,-75.6099769,Rwy_02_004,12,39.6808873,-75.6039044
Rwy_02_006,14,39.6796239,-75.6114467,Rwy_02_005,13,39.6798716,-75.6099769
Rwy_02_03,15,39.6790459,-75.6148907,Rwy_02_006,14,39.6796239,-75.6114467
Rwy_02_03,15,39.6790459,-75.6148907,Rwy_02_007,16,39.6787486,-75.6166395
Rwy_02_008,17,39.6781046,-75.6204268,Rwy_02_007,16,39.6787486,-75.6166395
Rwy_03_001,18,39.6721314,-75.6045014,Rwy_03_002,19,39.6730315,-75.6058533
Rwy_03_003,20,39.6751373,-75.6089968,Rwy_03_002,19,39.6730315,-75.6058533
Rwy_03_004,21,39.6771521,-75.6120438,Rwy_03_003,20,39.6751373,-75.6089968
Rwy_03_004,21,39.6771521,-75.6120438,Rwy_02_03,15,39.6790459,-75.6148907
Rwy_03_005,22,39.6801908,-75.6165714,Rwy_02_03,15,39.6790459,-75.6148907
Rwy_01_001,0,39.6694503,-75.60384,Txy_B_001,23,39.6694318,-75.6025639
