id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,43.5993269,-110.7416874,n0,Rwy,RW01 ,Entry,RW19 ,End
Rwy_01_002,1,43.6040351,-110.7393807,n1,Rwy,,,,
Rwy_01_003,2,43.6093644,-110.7367844,n2,Rwy,,,,
Rwy_01_004,3,43.6153846,-110.7338554,n3,Rwy,RW19 ,Entry,RW01 ,End
Txy_A4_001,4,43.6151399,-110.7328522,n4,Txy,,,,
Txy_A4_A,5,43.6147903,-110.7325626,n5,Txy,,,,
Txy_A3_001,6,43.6090107,-110.7353512,n6,Txy,,,,
Txy_A2_A,7,43.6036574,-110.737961,n7,Txy,,,,
Txy_A1_A,8,43.599489,-110.7399914,n8,Txy,,,,
Txy_A_C,9,43.5987211,-110.7403714,n9,Txy,,,,
Txy_A_001,10,43.5989387,-110.7402641,n10,Txy,,,,
Txy_A_D,11,43.6000813,-110.7397082,n11,Txy,,,,
Parking_01_001,12,43.604985,-110.7360751,n12,Park,,,,
Parking_01_002,13,43.6046121,-110.7363179,n13,Park,,,,
Parking_01_003,14,43.6042353,-110.7365673,n14,Park,,,,
Parking_01_004,15,43.6038585,-110.7367846,n15,Park,,,,
Parking_01_005,16,43.6034739,-110.7369911,n16,Park,,,,
Parking_01_006,17,43.603077,-110.737153,n17,Park,,,,
Parking_01_007,18,43.602738,-110.7374668,n18,Park,,,,
Parking_01_008,19,43.6022255,-110.7376475,n19,Park,,,,
Parking_01_009,20,43.6018128,-110.7378675,n20,Park,,,,
Parking_01_010,21,43.6013826,-110.7380217,n21,Park,,,,
Parking_01_011,22,43.6009465,-110.7381692,n22,Park,,,,
Txy_A_002,23,43.6052726,-110.7371683,n23,Txy,,,,
Txy_A_003,24,43.6048803,-110.7373561,n24,Txy,,,,
Txy_A_004,25,43.6044957,-110.7375492,n25,Txy,,,,
Txy_A_005,26,43.6041034,-110.7377369,n26,Txy,,,,
Txy_A_006,27,43.6033284,-110.7381232,n27,Txy,,,,
Txy_A_007,28,43.6029536,-110.7383029,n28,Txy,,,,
Txy_A_008,29,43.6024505,-110.738547,n29,Txy,,,,
Txy_A_009,30,43.6020388,-110.7387481,n30,Txy,,,,
Txy_A_010,31,43.6016212,-110.7389547,n31,Txy,,,,
Txy_A_011,32,43.6012055,-110.7391585,n32,Txy,,,,
Txy_D_001,33,43.5998607,-110.7388569,n33,Txy,,,,
Parking_02_001,34,43.60056,-110.7384653,n34,Park,,,,
Parking_02_002,35,43.598738,-110.7394309,n35,Park,,,,
