n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,43.5993269,-110.7416874,Rwy_01_002,1,43.6040351,-110.7393807
Rwy_01_001,0,43.5993269,-110.7416874,Rwy_01_001,0,43.5993269,-110.7416874
Rwy_01_003,2,43.6093644,-110.7367844,Rwy_01_004,3,43.6153846,-110.7338554
Rwy_01_004,3,43.6153846,-110.7338554,Txy_A4_001,4,43.6151399,-110.7328522
Txy_A4_A,5,43.6147903,-110.7325626,Txy_A4_001,4,43.6151399,-110.7328522
Txy_A3_001,6,43.6090107,-110.7353512,Txy_A4_A,5,43.6147903,-110.7325626
Rwy_01_003,2,43.6093644,-110.7367844,Txy_A3_001,6,43.6090107,-110.7353512
Txy_A2_A,7,43.6036574,-110.737961,Rwy_01_002,1,43.6040351,-110.7393807
Txy_A1_A,8,43.599489,-110.7399914,Txy_A_D,11,43.6000813,-110.7397082
Rwy_01_001,0,43.5993269,-110.7416874,Txy_A_001,10,43.5989387,-110.7402641
Txy_A1_A,8,43.599489,-110.7399914,Txy_A_001,10,43.5989387,-110.7402641
Txy_A_C,9,43.5987211,-110.7403714,Txy_A_001,10,43.5989387,-110.7402641
Txy_A_002,23,43.6052726,-110.7371683,Parking_01_001,12,43.604985,-110.7360751
Txy_A_003,24,43.6048803,-110.7373561,Parking_01_002,13,43.6046121,-110.7363179
Txy_A_004,25,43.6044957,-110.7375492,Parking_01_003,14,43.6042353,-110.7365673
Txy_A_005,26,43.6041034,-110.7377369,Parking_01_004,15,43.6038585,-110.7367846
Txy_A2_A,7,43.6036574,-110.737961,Parking_01_005,16,43.6034739,-110.7369911
Txy_A_006,27,43.6033284,-110.7381232,Parking_01_006,17,43.603077,-110.737153
Txy_A_007,28,43.6029536,-110.7383029,Parking_01_007,18,43.602738,-110.7374668
Txy_A_008,29,43.6024505,-110.738547,Parking_01_008,19,43.6022255,-110.7376475
Txy_A_009,30,43.6020388,-110.7387481,Parking_01_009,20,43.6018128,-110.7378675
Txy_A_010,31,43.6016212,-110.7389547,Parking_01_010,21,43.6013826,-110.7380217
Txy_A_011,32,43.6012055,-110.7391585,Parking_01_011,22,43.6009465,-110.7381692
Txy_A_D,11,43.6000813,-110.7397082,Txy_A_011,32,43.6012055,-110.7391585
Txy_A_011,32,43.6012055,-110.7391585,Txy_A_010,31,43.6016212,-110.7389547
Txy_A_010,31,43.6016212,-110.7389547,Txy_A_009,30,43.6020388,-110.7387481
Txy_A_008,29,43.6024505,-110.738547,Txy_A_009,30,43.6020388,-110.7387481
Txy_A_008,29,43.6024505,-110.738547,Txy_A_007,28,43.6029536,-110.7383029
Txy_A_006,27,43.6033284,-110.7381232,Txy_A_007,28,43.6029536,-110.7383029
Txy_A2_A,7,43.6036574,-110.737961,Txy_A_006,27,43.6033284,-110.7381232
Txy_A2_A,7,43.6036574,-110.737961,Txy_A_005,26,43.6041034,-110.7377369
Txy_A_005,26,43.6041034,-110.7377369,Txy_A_004,25,43.6044957,-110.7375492
Txy_A_004,25,43.6044957,-110.7375492,Txy_A_003,24,43.6048803,-110.7373561
Txy_A_003,24,43.6048803,-110.7373561,Txy_A_002,23,43.6052726,-110.7371683
Txy_A3_001,6,43.6090107,-110.7353512,Txy_A_002,23,43.6052726,-110.7371683
Txy_A_D,11,43.6000813,-110.7397082,Txy_D_001,33,43.5998607,-110.7388569
Txy_D_001,33,43.5998607,-110.7388569,Parking_02_001,34,43.60056,-110.7384653
Txy_D_001,33,43.5998607,-110.7388569,Parking_02_002,35,43.598738,-110.7394309
Txy_A_001,10,43.5989387,-110.7402641,Parking_02_002,35,43.598738,-110.7394309
