id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,32.2943665,-90.0741341,n0,Rwy,RW34L,Entry,RW16R,End
Rwy_01_002,1,32.302474,-90.0780608,n1,Rwy,,,,
Rwy_01_003,2,32.3059018,-90.0796916,n2,Rwy,,,,
Rwy_01_004,3,32.31088,-90.082052,n3,Rwy,,,,
Rwy_01_005,4,32.3156948,-90.0842728,n4,Rwy,RW16R,Entry,RW34L,End
Rwy_02_001,5,32.3068721,-90.067568,n5,Rwy,RW34R,Entry,RW16L,End
Rwy_02_002,6,32.3074887,-90.0678577,n6,Rwy,,,,
Rwy_02_003,7,32.3145342,-90.0712373,n7,Rwy,,,,
Rwy_02_004,8,32.3157673,-90.0717952,n8,Rwy,,,,
Rwy_02_005,9,32.3192581,-90.0734904,n9,Rwy,,,,
Rwy_02_006,10,32.3276535,-90.0774708,n10,Rwy,RW16L,Entry,RW34R,End
Txy_A8_A,11,32.2950729,-90.0719172,n11,Txy,,,,
Txy_A_A7,12,32.3032257,-90.0757689,n12,Txy,,,,
Txy_A2_A,13,32.3099632,-90.0789875,n13,Txy,,,,
Txy_A_B,14,32.3116381,-90.0797707,n14,Txy,,,,
Txy_A1_A,15,32.31648,-90.0821203,n15,Txy,,,,
Txy_C8_001,16,32.3062753,-90.0680396,n16,Txy,,,,
Txy_C_C8,17,32.305713,-90.0695845,n17,Txy,,,,
Txy_C_C6,18,32.306647,-90.0700834,n18,Txy,,,,
Txy_C_C3,19,32.3116751,-90.0724545,n19,Txy,,,,
Txy_B_C,20,32.313815,-90.0734785,n20,Txy,,,,
Txy_C2_C,21,32.3185299,-90.0757316,n21,Txy,,,,
Txy_C1_C,22,32.3275464,-90.0799909,n22,Txy,,,,
Txy_C1_001,23,32.3280722,-90.0784245,n23,Txy,,,,
Txy_B1_001,24,32.3109873,-90.0785971,n24,Txy,,,,
Txy_B2_B,25,32.3121887,-90.0781404,n25,Txy,,,,
Txy_B3_B,26,32.3123837,-90.0775986,n26,Txy,,,,
Txy_B3_001,27,32.311681,-90.0772767,n27,Txy,,,,
Txy_B4_B,28,32.3130584,-90.0756415,n28,Txy,,,,
Txy_B4_001,29,32.3122968,-90.0752821,n29,Txy,,,,
Txy_B5_001,30,32.3124917,-90.0738391,n30,Txy,,,,
Txy_C3_D,31,32.3100656,-90.072709,n31,Txy,,,,
Txy_C4_D,32,32.3094853,-90.0724375,n32,Txy,,,,
Txy_C_C4,33,32.3084878,-90.0709462,n33,Txy,,,,
Txy_C5_D,34,32.308184,-90.071804,n34,Txy,,,,
Gate_01_001,35,32.3106261,-90.0736035,n35,Gate,,,,
Gate_01_002,36,32.3109356,-90.0738851,n36,Gate,,,,
Gate_01_003,37,32.3112903,-90.0742499,n37,Gate,,,,
Gate_01_004,38,32.3106817,-90.0747072,n38,Gate,,,,
Gate_02_015,39,32.3100696,-90.0764078,n39,Gate,,,,
Gate_02_017,40,32.3099427,-90.077077,n40,Gate,,,,
Gate_02_019,41,32.3098157,-90.0777274,n41,Gate,,,,
Gate_02_018,42,32.3094031,-90.0772607,n42,Gate,,,,
Gate_02_016,43,32.3093703,-90.076676,n43,Gate,,,,
Ramp_01_001,44,32.3120123,-90.0742205,n44,Ramp,,,,
Ramp_01_002,45,32.3115726,-90.0757707,n45,Ramp,,,,
Ramp_02_001,46,32.311092,-90.0772513,n46,Ramp,,,,
Txy_A3_A,47,32.308621,-90.078351,n47,Txy,,,,
Ramp_02_002,48,32.3089009,-90.0775696,n48,Ramp,,,,
