n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,32.2943665,-90.0741341,Rwy_01_002,1,32.302474,-90.0780608
Rwy_01_003,2,32.3059018,-90.0796916,Rwy_01_002,1,32.302474,-90.0780608
Rwy_01_004,3,32.31088,-90.082052,Rwy_01_003,2,32.3059018,-90.0796916
Rwy_01_005,4,32.3156948,-90.0842728,Rwy_01_004,3,32.31088,-90.082052
Rwy_02_001,5,32.3068721,-90.067568,Rwy_02_002,6,32.3074887,-90.0678577
Rwy_02_003,7,32.3145342,-90.0712373,Rwy_02_002,6,32.3074887,-90.0678577
Rwy_02_004,8,32.3157673,-90.0717952,Rwy_02_003,7,32.3145342,-90.0712373
Rwy_02_005,9,32.3192581,-90.0734904,Rwy_02_004,8,32.3157673,-90.0717952
Rwy_02_006,10,32.3276535,-90.0774708,Rwy_02_005,9,32.3192581,-90.0734904
Txy_A8_A,11,32.2950729,-90.0719172,Rwy_01_001,0,32.2943665,-90.0741341
Rwy_01_002,1,32.302474,-90.0780608,Txy_A_A7,12,32.3032257,-90.0757689
Txy_A_A7,12,32.3032257,-90.0757689,Txy_A8_A,11,32.2950729,-90.0719172
Rwy_01_003,2,32.3059018,-90.0796916,Txy_A2_A,13,32.3099632,-90.0789875
Rwy_01_004,3,32.31088,-90.082052,Txy_A_B,14,32.3116381,-90.0797707
Rwy_01_005,4,32.3156948,-90.0842728,Txy_A1_A,15,32.31648,-90.0821203
Txy_A_B,14,32.3116381,-90.0797707,Txy_A1_A,15,32.31648,-90.0821203
Rwy_02_001,5,32.3068721,-90.067568,Txy_C8_001,16,32.3062753,-90.0680396
Txy_C_C8,17,32.305713,-90.0695845,Txy_C8_001,16,32.3062753,-90.0680396
Rwy_02_002,6,32.3074887,-90.0678577,Txy_C_C6,18,32.306647,-90.0700834
Txy_C_C8,17,32.305713,-90.0695845,Txy_C_C6,18,32.306647,-90.0700834
Rwy_02_004,8,32.3157673,-90.0717952,Txy_C_C3,19,32.3116751,-90.0724545
Txy_C_C3,19,32.3116751,-90.0724545,Txy_B_C,20,32.313815,-90.0734785
Rwy_02_003,7,32.3145342,-90.0712373,Txy_B_C,20,32.313815,-90.0734785
Rwy_02_005,9,32.3192581,-90.0734904,Txy_C2_C,21,32.3185299,-90.0757316
Txy_B_C,20,32.313815,-90.0734785,Txy_C2_C,21,32.3185299,-90.0757316
Txy_C1_C,22,32.3275464,-90.0799909,Txy_C2_C,21,32.3185299,-90.0757316
Txy_C1_C,22,32.3275464,-90.0799909,Txy_C1_001,23,32.3280722,-90.0784245
Rwy_01_001,0,32.2943665,-90.0741341,Txy_C1_001,23,32.3280722,-90.0784245
Txy_A_B,14,32.3116381,-90.0797707,Txy_B1_001,24,32.3109873,-90.0785971
Txy_A2_A,13,32.3099632,-90.0789875,Txy_B1_001,24,32.3109873,-90.0785971
Rwy_01_001,0,32.2943665,-90.0741341,Txy_B1_001,24,32.3109873,-90.0785971
Txy_A_B,14,32.3116381,-90.0797707,Txy_B2_B,25,32.3121887,-90.0781404
Txy_B2_B,25,32.3121887,-90.0781404,Txy_B3_B,26,32.3123837,-90.0775986
Txy_B3_001,27,32.311681,-90.0772767,Txy_B3_B,26,32.3123837,-90.0775986
Txy_B3_B,26,32.3123837,-90.0775986,Txy_B4_B,28,32.3130584,-90.0756415
Txy_B4_001,29,32.3122968,-90.0752821,Txy_B4_B,28,32.3130584,-90.0756415
Txy_B4_B,28,32.3130584,-90.0756415,Txy_B_C,20,32.313815,-90.0734785
Txy_B_C,20,32.313815,-90.0734785,Txy_B5_001,30,32.3124917,-90.0738391
Txy_C_C3,19,32.3116751,-90.0724545,Txy_C3_D,31,32.3100656,-90.072709
Txy_C3_D,31,32.3100656,-90.072709,Txy_C4_D,32,32.3094853,-90.0724375
Txy_C4_D,32,32.3094853,-90.0724375,Txy_C_C4,33,32.3084878,-90.0709462
Txy_C_C3,19,32.3116751,-90.0724545,Txy_C_C4,33,32.3084878,-90.0709462
Txy_C4_D,32,32.3094853,-90.0724375,Txy_C5_D,34,32.308184,-90.071804
Txy_C_C4,33,32.3084878,-90.0709462,Txy_C5_D,34,32.308184,-90.071804
Txy_C_C6,18,32.306647,-90.0700834,Txy_C_C4,33,32.3084878,-90.0709462
Txy_A_A7,12,32.3032257,-90.0757689,Txy_A3_A,47,32.308621,-90.078351
Txy_A3_A,47,32.308621,-90.078351,Txy_A2_A,13,32.3099632,-90.0789875
Txy_B1_001,24,32.3109873,-90.0785971,Ramp_02_001,46,32.311092,-90.0772513
Txy_B3_001,27,32.311681,-90.0772767,Ramp_02_001,46,32.311092,-90.0772513
Ramp_02_001,46,32.311092,-90.0772513,Ramp_01_002,45,32.3115726,-90.0757707
Txy_B4_001,29,32.3122968,-90.0752821,Ramp_01_002,45,32.3115726,-90.0757707
Ramp_01_002,45,32.3115726,-90.0757707,Ramp_01_001,44,32.3120123,-90.0742205
Txy_B5_001,30,32.3124917,-90.0738391,Ramp_01_001,44,32.3120123,-90.0742205
Txy_C3_D,31,32.3100656,-90.072709,Ramp_01_001,44,32.3120123,-90.0742205
Gate_01_001,35,32.3106261,-90.0736035,Txy_C3_D,31,32.3100656,-90.072709
Ramp_01_001,44,32.3120123,-90.0742205,Gate_01_002,36,32.3109356,-90.0738851
Ramp_01_001,44,32.3120123,-90.0742205,Gate_01_003,37,32.3112903,-90.0742499
Ramp_01_002,45,32.3115726,-90.0757707,Gate_01_004,38,32.3106817,-90.0747072
Gate_02_015,39,32.3100696,-90.0764078,Ramp_02_001,46,32.311092,-90.0772513
Gate_02_017,40,32.3099427,-90.077077,Ramp_02_001,46,32.311092,-90.0772513
Gate_02_019,41,32.3098157,-90.0777274,Ramp_02_001,46,32.311092,-90.0772513
Txy_A3_A,47,32.308621,-90.078351,Ramp_02_002,48,32.3089009,-90.0775696
Gate_02_018,42,32.3094031,-90.0772607,Ramp_02_002,48,32.3089009,-90.0775696
Gate_02_016,43,32.3093703,-90.076676,Ramp_02_001,46,32.311092,-90.0772513
