id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_A_004,0,30.4990767721,-81.684890853,n0,Txy,,,,
Txy_A_005,1,30.4993878349,-81.6838650462,n1,Txy,,,,
Txy_A_H,2,30.4992323044,-81.6843726401,n2,Txy,,,,
Txy_J_001,3,30.4977196595,-81.6920292154,n3,Txy,,,,
Rwy_01_002,4,30.4986974582,-81.6918392631,n4,Rwy,,,,
Txy_L_004,5,30.4943988452,-81.6991815989,n5,Txy,,,,
Txy_L_005,6,30.4955269252,-81.6995379233,n6,Txy,,,,
Rwy_01_001,7,30.4962577517,-81.6998165573,n7,Rwy,RW08 ,Entry,RW26 ,End
JAX-Ref,8,30.4940555556,-81.6878611111,n8,Unknown,,,,
Txy_H_001,9,30.4999982764,-81.6846864878,n9,Txy,,,,
Rwy_01_003,10,30.5007830275,-81.6850360769,n10,Rwy,,,,
Rwy_01_004,11,30.5019379407,-81.6812457926,n11,Rwy,,,,
Txy_G_001,12,30.5013158806,-81.6802944645,n12,Txy,,,,
Rwy_01_005,13,30.5034985258,-81.6761521385,n13,Rwy,,,,
Txy_F_001,14,30.5027735178,-81.6758563374,n14,Txy,,,,
Rwy_01_006,15,30.504918844,-81.6714993703,n15,Rwy,,,,
Txy_E_001,16,30.504183063,-81.6712333925,n16,Txy,,,,
Rwy_01_007,17,30.5053376051,-81.6701470128,n17,Rwy,RW26 ,Entry,RW08 ,End
Txy_C_001,18,30.5046101549,-81.6698495965,n18,Txy,,,,
Txy_A_C,19,30.5037852554,-81.6695057273,n19,Txy,,,,
Txy_A_E,20,30.5033575687,-81.6708926037,n20,Txy,,,,
Txy_B_E,21,30.5026997929,-81.6706391349,n21,Txy,,,,
Txy_B_C,22,30.5031274763,-81.6692443432,n22,Txy,,,,
Txy_B_002,23,30.5014478727,-81.6747435044,n23,Txy,,,,
Txy_B_F,24,30.5012986698,-81.6752258785,n24,Txy,,,,
Txy_A_007,25,30.5020885317,-81.6750312339,n25,Txy,,,,
Txy_A_F,26,30.5019439199,-81.6755162764,n26,Txy,,,,
Txy_F_002,27,30.5007071261,-81.6749881097,n27,Txy,,,,
Txy_B_G,28,30.4999609979,-81.6796034967,n28,Txy,,,,
Txy_B_001,29,30.5001041688,-81.6791236513,n29,Txy,,,,
Txy_A_006,30,30.5007601434,-81.6793862961,n30,Txy,,,,
Txy_A_G,31,30.5006123526,-81.6798715064,n31,Txy,,,,
Txy_B_H,32,30.4984559112,-81.6845294903,n32,Txy,,,,
Txy_A_003,33,30.4971042108,-81.6913294428,n33,Txy,,,,
Txy_J_002,34,30.4965323055,-81.6915660753,n34,Txy,,,,
Txy_A_002,35,30.4967830719,-81.6923739725,n35,Txy,,,,
Txy_A_J,36,30.4969448148,-81.6918462679,n36,Txy,,,,
Txy_A_001,37,30.4952116223,-81.6975206072,n37,Txy,,,,
Txy_K_002,38,30.4945449885,-81.6981396382,n38,Txy,,,,
Txy_A_K,39,30.4950538334,-81.6980288064,n39,Txy,,,,
Txy_A_L,40,30.4947008709,-81.6991993729,n40,Txy,,,,
Txy_L_003,41,30.4936101705,-81.6993689037,n41,Txy,,,,
Txy_L_002,42,30.4931890849,-81.699651635,n42,Txy,,,,
Txy_K_001,43,30.4931424029,-81.6984435887,n43,Txy,,,,
Txy_N_001,44,30.4923529353,-81.698169773,n44,Txy,,,,
Txy_N_K,45,30.4926297144,-81.6985498587,n45,Txy,,,,
Txy_N_L,46,30.4933368256,-81.6995016316,n46,Txy,,,,
Txy_L_001,47,30.4926645759,-81.7001627997,n47,Txy,,,,
Rwy_02_001,48,30.4920750875,-81.7007348286,n48,Rwy,RW14 ,Entry,RW32 ,End
Rwy_02_002,49,30.4898642243,-81.6977582322,n49,Rwy,,,,
Rwy_02_003,50,30.4872883351,-81.6942580862,n50,Rwy,,,,
Txy_P_001,51,30.4881608946,-81.6940542519,n51,Txy,,,,
Rwy_02_004,52,30.4841248145,-81.6899862137,n52,Rwy,,,,
Txy_Q_001,53,30.4842030468,-81.6887259797,n53,Txy,,,,
Txy_R_001,54,30.4834870504,-81.6877485102,n54,Txy,,,,
Rwy_02_005,55,30.4826055909,-81.6879335287,n55,Rwy,,,,
Rwy_02_006,56,30.4814137694,-81.6863587524,n56,Rwy,,,,
Txy_T_001,57,30.4817115852,-81.685349887,n57,Txy,,,,
Txy_N_T,58,30.4820364669,-81.6842432703,n58,Txy,,,,
Rwy_02_007,59,30.4784862063,-81.6823855928,n59,Rwy,RW32 ,Entry,RW14 ,End
Txy_U_001,60,30.4790485993,-81.6817666637,n60,Txy,,,,
Txy_N_U,61,30.4797218885,-81.6811109522,n61,Txy,,,,
Txy_S_002,62,30.4831574979,-81.6845138759,n62,Txy,,,,
Txy_N_S,63,30.4828882673,-81.6853862031,n63,Txy,,,,
Txy_S_001,64,30.4830412214,-81.6849055031,n64,Txy,,,,
Txy_R_003,65,30.4851598644,-81.6873930177,n65,Txy,,,,
Txy_R_002,66,30.4849820506,-81.687429236,n66,Txy,,,,
Txy_N_R,67,30.4844019946,-81.6875554187,n67,Txy,,,,
Txy_N_003,68,30.4886699454,-81.693184036,n68,Txy,,,,
Txy_P_002,69,30.489212398,-81.6931642986,n69,Txy,,,,
Txy_N_002,70,30.4892277245,-81.6939646841,n70,Txy,,,,
Txy_N_P,71,30.4889523641,-81.6935839147,n71,Txy,,,,
Txy_P_003,72,30.4914730721,-81.6898719724,n72,Txy,,,,
Txy_P_004,73,30.4915847326,-81.6897072948,n73,Txy,,,,
Txy_J_003,74,30.4934151167,-81.6894458206,n74,Txy,,,,
Txy_J_004,75,30.4932563551,-81.6893399453,n75,Txy,,,,
Ramp_02_001,76,30.4928972148,-81.6890695249,n76,Ramp,,,,
Ramp_02_002,77,30.4918462341,-81.6892955942,n77,Ramp,,,,
Txy_G_002,78,30.4993690079,-81.6793680583,n78,Txy,,,,
Txy_G_003,79,30.4983948342,-81.6789808855,n79,Txy,,,,
Txy_G_004,80,30.4983285411,-81.678618721,n80,Txy,,,,
Txy_G_006,81,30.4965690012,-81.6789360668,n81,Txy,,,,
Txy_G_005,82,30.4966160108,-81.6792283107,n82,Txy,,,,
Gate_A_002,83,30.4926766166,-81.6844252535,n83,Gate,,,,
Gate_A_004,84,30.493094807,-81.684276198,n84,Gate,,,,
Gate_A_006,85,30.49350663,-81.6841736568,n85,Gate,,,,
Gate_A_008,86,30.4938803987,-81.6841373642,n86,Gate,,,,
Gate_A_010,87,30.4938083817,-81.684853475,n87,Gate,,,,
Gate_A_009,88,30.4932035563,-81.6849134316,n88,Gate,,,,
Gate_A_007,89,30.4927985287,-81.6850222784,n89,Gate,,,,
Gate_B_001,90,30.4920686732,-81.685784137,n90,Gate,,,,
Gate_B_002,91,30.4921910045,-81.6862730996,n91,Gate,,,,
Gate_B_006,92,30.4916145993,-81.6866600057,n92,Gate,,,,
Gate_B_005,93,30.4917035,-81.6871070521,n93,Gate,,,,
Gate_B_007,94,30.491566247,-81.6862545869,n94,Gate,,,,
Gate_B_008,95,30.4914633081,-81.6858781286,n95,Gate,,,,
