id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_NN_002,0,40.641062815,-73.7986053923,n0,Txy,,,,
Gate_06_15,1,40.648063217,-73.7776540034,n1,Gate,,,,
Gate_04_027,2,40.6411556487,-73.7817107507,n2,Gate,,,,
Gate_04_029,3,40.6405904756,-73.7812550595,n3,Gate,,,,
Gate_04_23A,4,40.6421826214,-73.7823184463,n4,Gate,,,,
Gate_04_025,5,40.6418883119,-73.7819992323,n5,Gate,,,,
Gate_04_23B,6,40.6424077092,-73.7824248113,n6,Gate,,,,
Gate_04_020,7,40.6422172973,-73.7840065377,n7,Gate,,,,
Gate_01_6,8,40.641743085,-73.7918118268,n8,Gate,,,,
Gate_04_022,9,40.6416056532,-73.7836187632,n9,Gate,,,,
Gate_04_024,10,40.6410922561,-73.7830942823,n10,Gate,,,,
Gate_04_026,11,40.6404175697,-73.7827752173,n11,Gate,,,,
Gate_04_028,12,40.6399794319,-73.7822814021,n12,Gate,,,,
Gate_04_030,13,40.6393915729,-73.7818409796,n13,Gate,,,,
Gate_04_003,14,40.644089236,-73.7800152764,n14,Gate,,,,
Gate_04_002,15,40.6430998618,-73.7804103607,n15,Gate,,,,
Gate_04_006,16,40.6423799118,-73.778714877,n16,Gate,,,,
Gate_04_004,17,40.6427089778,-73.7795134614,n17,Gate,,,,
Gate_04_005,18,40.6437887885,-73.7793532715,n18,Gate,,,,
Gate_04_007,19,40.6434377496,-73.7784969461,n19,Gate,,,,
Gate_01_4,20,40.6423229963,-73.7909757441,n20,Gate,,,,
Gate_01_1,21,40.644043684,-73.79240788,n21,Gate,,,,
Gate_01_8,22,40.6412760999,-73.7924316563,n22,Gate,,,,
Gate_01_9,23,40.6414952983,-73.7933279937,n23,Gate,,,,
Gate_01_10,24,40.640893262,-73.7928689532,n24,Gate,,,,
Gate_01_11,25,40.6412460887,-73.7933849797,n25,Gate,,,,
Gate_01_7,26,40.6418624048,-73.7928998141,n26,Gate,,,,
Gate_01_3,27,40.6428766682,-73.7918002431,n27,Gate,,,,
Gate_01_5,28,40.6424092378,-73.7919606869,n28,Gate,,,,
Gate_01_2,29,40.6437105206,-73.7919899551,n29,Gate,,,,
Gate_02_19,30,40.6412001584,-73.7885343678,n30,Gate,,,,
Gate_02_26,31,40.6402411198,-73.7903807599,n31,Gate,,,,
Gate_02_30,32,40.6416033498,-73.7894682557,n32,Gate,,,,
Gate_02_27,33,40.6404849384,-73.7903679489,n33,Gate,,,,
Gate_02_25,34,40.6400818939,-73.7900056646,n34,Gate,,,,
Gate_02_28,35,40.6407808503,-73.7899609308,n35,Gate,,,,
Gate_02_29,36,40.6411775018,-73.78963102,n36,Gate,,,,
Gate_02_24,37,40.6400012995,-73.7897601245,n37,Gate,,,,
Gate_02_23,38,40.6398899834,-73.7893267522,n38,Gate,,,,
Gate_03_16,39,40.6400367222,-73.787059052,n39,Gate,,,,
Gate_02_22,40,40.6400623263,-73.7891254168,n40,Gate,,,,
Gate_02_20,41,40.6408198173,-73.7886628758,n41,Gate,,,,
Gate_02_21,42,40.6404329696,-73.7888984472,n42,Gate,,,,
Gate_03_17,43,40.6404278386,-73.7874167823,n43,Gate,,,,
Gate_03_18,44,40.6408328167,-73.7874470968,n44,Gate,,,,
Gate_03_15,45,40.6395096617,-73.7870780161,n45,Gate,,,,
Gate_03_14,46,40.6389244022,-73.7871893922,n46,Gate,,,,
Gate_03_4,47,40.6395650068,-73.7856683395,n47,Gate,,,,
Gate_03_12,48,40.6383003028,-73.7873220867,n48,Gate,,,,
Gate_03_10,49,40.6377069505,-73.7855480916,n49,Gate,,,,
Gate_03_11,50,40.6379144994,-73.7865131662,n50,Gate,,,,
Gate_03_1,51,40.6411289953,-73.7860124112,n51,Gate,,,,
Gate_03_9,52,40.6376581791,-73.7849928165,n52,Gate,,,,
Gate_03_2,53,40.6407541954,-73.785822879,n53,Gate,,,,
Gate_03_3,54,40.6402835001,-73.7858860338,n54,Gate,,,,
Gate_03_5,55,40.639033457,-73.7853769882,n55,Gate,,,,
