n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Q_001,378,40.6541765883,-73.8223766896,Txy_Q_002,379,40.6537222192,-73.8222693484
Txy_Q_002,379,40.6537222192,-73.8222693484,Txy_Q_003,380,40.6533380135,-73.8217162666
Txy_Q_004,237,40.6525939085,-73.8200690953,Txy_Q_003,380,40.6533380135,-73.8217162666
Txy_Q_004,237,40.6525939085,-73.8200690953,Txy_QH_001,381,40.652989569,-73.8197523737
Txy_Q_004,237,40.6525939085,-73.8200690953,Txy_Q_005,238,40.6516467157,-73.8179719159
Txy_QG_001,382,40.6520214939,-73.817681783,Txy_Q_005,238,40.6516467157,-73.8179719159
Txy_QG_002,426,40.6537337198,-73.8162533881,Txy_QG_003,255,40.6539903733,-73.8153244788
Txy_QG_001,382,40.6520214939,-73.817681783,Txy_QG_002,426,40.6537337198,-73.8162533881
Txy_QF_001,383,40.6515276666,-73.8165140135,Txy_Q_006,239,40.6511258678,-73.8168250888
Txy_Q_005,238,40.6516467157,-73.8179719159,Txy_Q_006,239,40.6511258678,-73.8168250888
Txy_PE_Q,170,40.6503474765,-73.8151135037,Txy_Q_006,239,40.6511258678,-73.8168250888
Txy_P_PE,376,40.6496406883,-73.815668443,Txy_PE_Q,170,40.6503474765,-73.8151135037
Txy_Q_PD,377,40.6496774456,-73.8136366019,Txy_PE_Q,170,40.6503474765,-73.8151135037
Txy_PD_P,171,40.6489729505,-73.8141846796,Txy_Q_PD,377,40.6496774456,-73.8136366019
Txy_Q_PC,367,40.6485982179,-73.8112520556,Txy_Q_009,385,40.649111852,-73.8123473932
Txy_Q_PC,367,40.6485982179,-73.8112520556,Txy_PC_P,172,40.6478909582,-73.8118051269
Txy_PC_002,182,40.6472724336,-73.8122945367,Txy_PC_P,172,40.6478909582,-73.8118051269
Txy_PC_P,172,40.6478909582,-73.8118051269,Txy_PD_P,171,40.6489729505,-73.8141846796
Txy_PD_P,171,40.6489729505,-73.8141846796,Txy_PD_001,181,40.6483349389,-73.814677978
Txy_PC_P,172,40.6478909582,-73.8118051269,Txy_PB_P,173,40.6468012381,-73.809374584
Txy_Q_PC,367,40.6485982179,-73.8112520556,Txy_Q_010,240,40.6475053415,-73.8088105172
Txy_PB_P,173,40.6468012381,-73.809374584,Txy_Q_010,240,40.6475053415,-73.8088105172
Txy_Q_010,240,40.6475053415,-73.8088105172,Txy_PB_001,368,40.6479084179,-73.8084942839
Txy_Q_010,240,40.6475053415,-73.8088105172,Txy_Q_011,242,40.6469244363,-73.8075278831
Txy_Q_011,242,40.6469244363,-73.8075278831,Txy_QC_001,241,40.6473304875,-73.8072134222
Txy_PA_P,256,40.6444064383,-73.8040882858,Txy_PA_Q,184,40.6451133393,-73.8035371938
