n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Parking_H_003,497,36.09942132443285,-115.1612186457305,Ramp_H_001,505,36.098197070894514,-115.1610311410955
Txy_H_J,167,36.09942351516955,-115.1589111863967,Txy_H_001,173,36.0979340190498,-115.1598178263034
Ramp_H_001,505,36.098197070894514,-115.1610311410955,Txy_H_001,173,36.0979340190498,-115.1598178263034
Parking_H_002,494,36.10010543722052,-115.1605168908926,Ramp_H_001,505,36.098197070894514,-115.1610311410955
Ramp_H_001,505,36.098197070894514,-115.1610311410955,Parking_H_004,498,36.099106399257266,-115.1598143249062
Parking_H_001,493,36.099629529268555,-115.1627861564682,Ramp_H_001,505,36.098197070894514,-115.1610311410955
Ramp_H_001,505,36.098197070894514,-115.1610311410955,Parking_H_006,499,36.0984963369049,-115.1630909582162
Parking_H_010,502,36.0979262016657,-115.1622356185259,Ramp_H_001,505,36.098197070894514,-115.1610311410955
Txy_H_002,174,36.09606319408158,-115.1608870171898,Txy_H_001,173,36.0979340190498,-115.1598178263034
Ramp_H_001,505,36.098197070894514,-115.1610311410955,Parking_H_008,501,36.09706972682821,-115.1610850535703
Parking_Helipad_H_007,492,36.095964867611826,-115.1629370805316,Ramp_H_004,506,36.0958645592697,-115.1628150930071
Parking_Helipad_H_011,485,36.095752957854074,-115.1625228656154,Ramp_H_004,506,36.0958645592697,-115.1628150930071
Ramp_H_005,507,36.09585812448003,-115.1618483040728,Parking_Helipad_H_008,482,36.09573306590022,-115.1619181920615
Txy_H_J,167,36.09942351516955,-115.1589111863967,Txy_F_J,169,36.099159883404184,-115.1582160598105
Txy_J_001,170,36.09901283651442,-115.1578193924409,Txy_F_J,169,36.099159883404184,-115.1582160598105
Txy_J_001,170,36.09901283651442,-115.1578193924409,Rwy_1_003,20,36.098681401912586,-115.1569924423036
Rwy_1_001,19,36.09952555048025,-115.1565138420838,Rwy_1_003,20,36.098681401912586,-115.1569924423036
Rwy_1_004,21,36.09770615571372,-115.1575559232923,Rwy_1_003,20,36.098681401912586,-115.1569924423036
Txy_J_001,170,36.09901283651442,-115.1578193924409,Txy_M_005,116,36.09410380527683,-115.1606189472269
Txy_M_F,118,36.094258635546254,-115.1610205732975,Txy_F_J,169,36.099159883404184,-115.1582160598105
Txy_M_F,118,36.094258635546254,-115.1610205732975,Txy_M_007,119,36.09439700116161,-115.1618388671177
Txy_M_005,116,36.09410380527683,-115.1606189472269,Txy_M_F,118,36.094258635546254,-115.1610205732975
Rwy_1_006,22,36.09379670566105,-115.1597774337106,Txy_M_005,116,36.09410380527683,-115.1606189472269
Txy_M_004,115,36.0934865729366,-115.1589742205471,Rwy_1_006,22,36.09379670566105,-115.1597774337106
Txy_M_007,119,36.09439700116161,-115.1618388671177,Txy_M_009,120,36.0944053351642,-115.1622529904777
Parking_Helipad_H_005,490,36.09621423683063,-115.1618186840976,Ramp_H_002,503,36.09638307806924,-115.1615822637272
Parking_Helipad_H_002,487,36.09621395510442,-115.1624394375446,Ramp_H_003,504,36.09639657681251,-115.1628033080378
Parking_Helipad_H_001,486,36.096198406921644,-115.1626409376345,Ramp_H_003,504,36.09639657681251,-115.1628033080378
Ramp_H_002,503,36.09638307806924,-115.1615822637272,Txy_H_002,174,36.09606319408158,-115.1608870171898
