id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_A_AG,0,33.933986,-118.403824,n0,Txy,,,,
Txy_E17_006,1,33.941454,-118.433627,n1,Txy,,,,
Gate_11_014,2,33.94265,-118.429557,n2,Gate,,,,
Gate_11_013,3,33.943226,-118.429636,n3,Gate,,,,
Gate_11_012,4,33.943873,-118.42973,n4,Gate,,,,
Gate_11_011,5,33.944523,-118.429837,n5,Gate,,,,
Gate_11_010,6,33.945179,-118.429936,n6,Gate,,,,
Gate_11_005,7,33.944982,-118.432894,n7,Gate,,,,
Gate_11_006,8,33.944149,-118.432169,n8,Gate,,,,
Gate_11_002,9,33.943947,-118.434132,n9,Gate,,,,
Gate_11_001,10,33.944782,-118.434857,n10,Gate,,,,
Gate_05_50A,11,33.94205,-118.404083,n11,Gate,,,,
Gate_05_50B,12,33.941601,-118.404082,n12,Gate,,,,
Gate_05_052,13,33.941092,-118.403982,n13,Gate,,,,
Gate_05_54A,14,33.940625,-118.403903,n14,Gate,,,,
Gate_05_54B,15,33.940184,-118.403837,n15,Gate,,,,
Gate_05_056,16,33.939895,-118.403743,n16,Gate,,,,
Gate_05_059,17,33.939892,-118.404229,n17,Gate,,,,
Gate_05_057,18,33.939869,-118.40459,n18,Gate,,,,
Gate_05_55A,19,33.940221,-118.40473,n19,Gate,,,,
Gate_05_53B,20,33.940641,-118.404788,n20,Gate,,,,
Gate_05_53A,21,33.941034,-118.404905,n21,Gate,,,,
Gate_05_51B,22,33.941538,-118.404817,n22,Gate,,,,
Gate_05_51A,23,33.941947,-118.40507,n23,Gate,,,,
Gate_04_042,24,33.941827,-118.406543,n24,Gate,,,,
Gate_04_044,25,33.941398,-118.406517,n25,Gate,,,,
Gate_04_046,26,33.941019,-118.40642,n26,Gate,,,,
Gate_04_46B,27,33.94043,-118.40633,n27,Gate,,,,
Gate_04_48A,28,33.940101,-118.406136,n28,Gate,,,,
Gate_04_48B,29,33.939704,-118.406054,n29,Gate,,,,
Gate_04_49B,30,33.939752,-118.406554,n30,Gate,,,,
Gate_04_49A,31,33.939552,-118.407056,n31,Gate,,,,
Gate_04_47B,32,33.939868,-118.407089,n32,Gate,,,,
Gate_04_47A,33,33.940302,-118.407183,n33,Gate,,,,
Gate_04_045,34,33.94078,-118.407177,n34,Gate,,,,
Gate_04_043,35,33.941201,-118.407277,n35,Gate,,,,
Gate_04_041,36,33.941663,-118.407326,n36,Gate,,,,
Gate_03_030,37,33.945465,-118.407582,n37,Gate,,,,
Gate_03_31A,38,33.945928,-118.407772,n38,Gate,,,,
Gate_03_31B,39,33.946092,-118.408136,n39,Gate,,,,
Gate_03_032,40,33.946359,-118.408097,n40,Gate,,,,
Gate_03_33A,41,33.946606,-118.40819,n41,Gate,,,,
Gate_03_33B,42,33.946923,-118.408253,n42,Gate,,,,
Gate_03_034,43,33.946836,-118.407747,n43,Gate,,,,
Gate_03_035,44,33.946886,-118.407096,n44,Gate,,,,
Gate_03_036,45,33.947129,-118.406653,n45,Gate,,,,
Gate_03_37A,46,33.946749,-118.406676,n46,Gate,,,,
Gate_03_37B,47,33.946519,-118.40654,n47,Gate,,,,
Gate_03_038,48,33.946096,-118.406612,n48,Gate,,,,
Gate_03_039,49,33.945999,-118.406846,n49,Gate,,,,
Gate_02_022,50,33.945839,-118.404565,n50,Gate,,,,
Gate_02_24A,51,33.946226,-118.404655,n51,Gate,,,,
Gate_02_024,52,33.946596,-118.40476,n52,Gate,,,,
