n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_02_001,0,38.0393399,-84.6181812,Rwy_02_002,1,38.039492,-84.6165612
Rwy_02_003,2,38.03983,-84.6130958,Rwy_02_002,1,38.039492,-84.6165612
Rwy_02_004,3,38.0404722,-84.6063581,Rwy_02_003,2,38.03983,-84.6130958
Rwy_02_005,4,38.0406666,-84.6045824,Rwy_02_004,3,38.0404722,-84.6063581
Txy_F7_F,5,38.0385372,-84.6180579,Rwy_02_001,0,38.0393399,-84.6181812
Txy_F6_F,6,38.0386977,-84.6164218,Rwy_02_002,1,38.039492,-84.6165612
Txy_F5_F,7,38.0390273,-84.6129778,Rwy_02_003,2,38.03983,-84.6130958
Txy_F2_F,8,38.0396441,-84.6062186,Rwy_02_004,3,38.0404722,-84.6063581
Txy_F1_F,9,38.0398723,-84.6044376,Rwy_02_005,4,38.0406666,-84.6045824
Txy_F7_F,5,38.0385372,-84.6180579,Txy_F6_F,6,38.0386977,-84.6164218
Txy_F5_F,7,38.0390273,-84.6129778,Txy_F6_F,6,38.0386977,-84.6164218
Txy_F2_F,8,38.0396441,-84.6062186,Txy_F5_F,7,38.0390273,-84.6129778
Txy_F2_F,8,38.0396441,-84.6062186,Txy_F_G,10,38.0397371,-84.6055964
Txy_F_G,10,38.0397371,-84.6055964,Txy_F1_F,9,38.0398723,-84.6044376
Rwy_01_001,11,38.0278218,-84.6149921,Rwy_01_002,12,38.0285148,-84.6141874
Rwy_01_002,12,38.0285148,-84.6141874,Rwy_01_003,13,38.0305093,-84.6119773
Rwy_01_004,14,38.0334924,-84.6085655,Rwy_01_003,13,38.0305093,-84.6119773
Rwy_01_005,15,38.0361712,-84.6055722,Rwy_01_004,14,38.0334924,-84.6085655
Rwy_01_006,16,38.0377513,-84.6038556,Rwy_01_005,15,38.0361712,-84.6055722
Rwy_01_007,17,38.0409961,-84.600197,Rwy_01_006,16,38.0377513,-84.6038556
Rwy_01_008,18,38.0420185,-84.599092,Rwy_01_007,17,38.0409961,-84.600197
Txy_A7_A,19,38.0412878,-84.5981635,Rwy_01_008,18,38.0420185,-84.599092
Txy_A6_A,20,38.0402694,-84.5991935,Txy_A7_A,19,38.0412878,-84.5981635
Rwy_01_007,17,38.0409961,-84.600197,Txy_A6_A,20,38.0402694,-84.5991935
Txy_A_001,21,38.0394663,-84.6000855,Txy_A6_A,20,38.0402694,-84.5991935
Rwy_01_002,12,38.0285148,-84.6141874,Txy_A_A2,28,38.0277456,-84.6132391
Txy_A_A1,29,38.0271624,-84.6139311,Rwy_01_001,11,38.0278218,-84.6149921
Txy_A_A1,29,38.0271624,-84.6139311,Txy_A_A2,28,38.0277456,-84.6132391
Txy_A_A2,28,38.0277456,-84.6132391,Txy_A_A3,27,38.0299344,-84.6111953
Rwy_01_003,13,38.0305093,-84.6119773,Txy_A_A3,27,38.0299344,-84.6111953
Txy_A_A4,26,38.0329513,-84.607821,Txy_A_A3,27,38.0299344,-84.6111953
Rwy_01_004,14,38.0334924,-84.6085655,Txy_A_A4,26,38.0329513,-84.607821
Txy_A_A5,25,38.0356175,-84.604817,Txy_A_A4,26,38.0329513,-84.607821
Rwy_01_005,15,38.0361712,-84.6055722,Txy_A_A5,25,38.0356175,-84.604817
Txy_A_A5,25,38.0356175,-84.604817,Txy_A_G,24,38.0369357,-84.602698
Txy_A_G,24,38.0369357,-84.602698,Rwy_01_006,16,38.0377513,-84.6038556
Txy_A_G,24,38.0369357,-84.602698,Txy_A_C,23,38.0374976,-84.601314
Txy_A_002,22,38.0389384,-84.5999139,Txy_A_C,23,38.0374976,-84.601314
Txy_A_001,21,38.0394663,-84.6000855,Txy_A_002,22,38.0389384,-84.5999139
Rwy_01_003,13,38.0305093,-84.6119773,Txy_B_B3,33,38.031091,-84.6127241
Txy_B_B3,33,38.031091,-84.6127241,Txy_B_B4,32,38.0340668,-84.6094089
Txy_B_B4,32,38.0340668,-84.6094089,Rwy_01_004,14,38.0334924,-84.6085655
Txy_B_B4,32,38.0340668,-84.6094089,Txy_B_B5,31,38.0367413,-84.6064156
