id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Gate_C_C28,0,40.771514,-73.865178,n0,Gate,,,,
Parking_01_004,1,40.76939,-73.859174,n1,Park,,,,
Gate_C_C39,2,40.772479,-73.865807,n2,Gate,,,,
Parking_01_003,3,40.769597,-73.858997,n3,Park,,,,
Parking_01_001,4,40.77003,-73.858672,n4,Park,,,,
Parking_01_002,5,40.769817,-73.858837,n5,Park,,,,
Parking_01_005,6,40.769196,-73.859403,n6,Park,,,,
Gate_D_D02,7,40.769576,-73.861013,n7,Gate,,,,
Gate_D_D01,8,40.769203,-73.86146,n8,Gate,,,,
Gate_D_D04,9,40.769889,-73.860582,n9,Gate,,,,
Gate_D_D10,10,40.770007,-73.861583,n10,Gate,,,,
Gate_D_D05,11,40.770117,-73.860472,n11,Gate,,,,
Gate_C_C21,12,40.771476,-73.863251,n12,Gate,,,,
Gate_C_C16,13,40.770779,-73.863141,n13,Gate,,,,
Gate_C_C15,14,40.770555,-73.863371,n14,Gate,,,,
Gate_D_D07,15,40.770381,-73.860928,n15,Gate,,,,
Gate_D_D06,16,40.770255,-73.860677,n16,Gate,,,,
Gate_C_C43,17,40.772152,-73.866712,n17,Gate,,,,
Gate_C_C34,18,40.772748,-73.864499,n18,Gate,,,,
Gate_D_D08,19,40.770558,-73.86117,n19,Gate,,,,
Gate_C_C17,20,40.770966,-73.862734,n20,Gate,,,,
Gate_C_C20,21,40.77133,-73.862963,n21,Gate,,,,
Gate_D_D11,22,40.769614,-73.862016,n22,Gate,,,,
Gate_C_C23,23,40.771466,-73.863619,n23,Gate,,,,
Gate_C_C41,24,40.772148,-73.866259,n24,Gate,,,,
Gate_C_C24,25,40.771139,-73.863896,n25,Gate,,,,
Gate_C_C18,26,40.771195,-73.862699,n26,Gate,,,,
Gate_C_C29,27,40.771977,-73.865277,n27,Gate,,,,
Gate_C_C30,28,40.77232,-73.864942,n28,Gate,,,,
Gate_C_C31,29,40.772507,-73.864483,n29,Gate,,,,
Gate_B_A06,30,40.775226,-73.868741,n30,Gate,,,,
Gate_C_C26,31,40.771169,-73.864624,n31,Gate,,,,
Gate_C_C37,32,40.773048,-73.865214,n32,Gate,,,,
Gate_C_C36,33,40.773108,-73.864997,n33,Gate,,,,
Gate_C_C38,34,40.772781,-73.865486,n34,Gate,,,,
Gate_C_C35,35,40.773008,-73.86475,n35,Gate,,,,
Gate_B_C14,36,40.777081,-73.872848,n36,Gate,,,,
Gate_B_0C9,37,40.776583,-73.873151,n37,Gate,,,,
Gate_C_C44,38,40.772339,-73.867076,n38,Gate,,,,
Gate_B_B06,39,40.775452,-73.87077,n39,Gate,,,,
Gate_B_A05,40,40.775095,-73.869572,n40,Gate,,,,
Gate_B_A07,41,40.775326,-73.869373,n41,Gate,,,,
Gate_B_A03,42,40.774713,-73.869805,n42,Gate,,,,
Gate_B_A01,43,40.774389,-73.870122,n43,Gate,,,,
Gate_B_B02,44,40.77492,-73.870804,n44,Gate,,,,
Gate_B_C10,45,40.776525,-73.872464,n45,Gate,,,,
Gate_B_B08,46,40.7762,-73.870582,n46,Gate,,,,
Gate_B_B05,47,40.775666,-73.871293,n47,Gate,,,,
Gate_B_B04,48,40.775182,-73.870764,n48,Gate,,,,
Gate_B_C08,49,40.776235,-73.872488,n49,Gate,,,,
Gate_B_B01,50,40.774969,-73.871457,n50,Gate,,,,
Gate_B_C12,51,40.776825,-73.872457,n51,Gate,,,,
Gate_B_B07,52,40.776106,-73.871131,n52,Gate,,,,
Gate_B_C04,53,40.775643,-73.87237,n53,Gate,,,,
Txy_B_010,54,40.776967,-73.869743,n54,Txy,,,,
Gate_B_C02,55,40.775261,-73.87232,n55,Gate,,,,
Gate_B_B03,56,40.775189,-73.871395,n56,Gate,,,,
Gate_B_C11,57,40.776942,-73.873166,n57,Gate,,,,
Gate_B_C06,58,40.775959,-73.872523,n58,Gate,,,,
Gate_B_0D4,59,40.77559,-73.874181,n59,Gate,,,,
Gate_B_0C3,60,40.775442,-73.872884,n60,Gate,,,,
Gate_B_0C7,61,40.776163,-73.873129,n61,Gate,,,,
Gate_B_0C5,62,40.775809,-73.872912,n62,Gate,,,,
Rwy_02_008,63,40.773574,-73.860273,n63,Rwy,,,,
Gate_B_0D8,64,40.7764,-73.87463,n64,Gate,,,,
Gate_B_0C1,65,40.775127,-73.872964,n65,Gate,,,,
Parking_07_003,66,40.775082,-73.876793,n66,Park,,,,
Gate_B_0D6,67,40.776045,-73.874439,n67,Gate,,,,
Gate_B_0D2,68,40.775242,-73.873983,n68,Gate,,,,
Parking_07_005,69,40.774573,-73.877215,n69,Park,,,,
Gate_B_D10,70,40.776745,-73.874779,n70,Gate,,,,
Parking_07_004,71,40.774827,-73.876931,n71,Park,,,,
Gate_B_0D7,72,40.776004,-73.875104,n72,Gate,,,,
Gate_B_0D5,73,40.775555,-73.874908,n73,Gate,,,,
Gate_B_0D3,74,40.775069,-73.874663,n74,Gate,,,,
Parking_07_001,75,40.775398,-73.876511,n75,Park,,,,
Parking_07_009,76,40.773404,-73.878239,n76,Park,,,,
Parking_07_006,77,40.774307,-73.877404,n77,Park,,,,
Parking_07_007,78,40.774016,-73.87772,n78,Park,,,,
Parking_07_008,79,40.773722,-73.877946,n79,Park,,,,
Rwy_01_02,80,40.780493,-73.874766,n80,Rwy,,,,
Rwy_01_002,81,40.770765,-73.882807,n81,Rwy,,,,
Rwy_01_001,82,40.76928,-73.884028,n82,Rwy,RW04 ,Entry,RW22 ,End
Rwy_01_010b,83,40.779925,-73.875249,n83,Rwy,,,,
Rwy_01_004,84,40.772894,-73.881058,n84,Rwy,,,,
Rwy_01_005,85,40.774297,-73.879894,n85,Rwy,,,,
Rwy_01_007,86,40.776758,-73.877851,n86,Rwy,,,,
Rwy_01_006,87,40.775511,-73.878895,n87,Rwy,,,,
Rwy_01_008,88,40.777863,-73.876947,n88,Rwy,,,,
Rwy_01_011,89,40.782503,-73.873111,n89,Rwy,,,,
Rwy_01_009,90,40.779139,-73.875894,n90,Rwy,,,,
Rwy_01_010,91,40.779692,-73.87543,n91,Rwy,,,,
Rwy_01_012,92,40.78532,-73.870774,n92,Rwy,RW22 ,Entry,RW04 ,End
Gate_GA_002,93,40.773381,-73.88422,n93,Gate,,,,
Gate_GA_001,94,40.773347,-73.884765,n94,Gate,,,,
Gate_GA_004,95,40.773528,-73.883469,n95,Gate,,,,
Gate_GA_003,96,40.773393,-73.883811,n96,Gate,,,,
Gate_GA_005,97,40.773795,-73.883449,n97,Gate,,,,
Parking_Transient_001,98,40.779418,-73.882488,n98,Park,,,,
Rwy_02_002,99,40.780134,-73.874012,n99,Rwy,,,,
Rwy_02_001,100,40.782222,-73.878367,n100,Rwy,RW13 ,Entry,RW31 ,End
Txy_AA_001,101,40.769488,-73.884414,n101,Txy,,,,
Gate_GA_006,102,40.773966,-73.883621,n102,Gate,,,,
Rwy_02_004,103,40.779272,-73.872207,n103,Rwy,,,,
Parking_03_001,104,40.777109,-73.881002,n104,Park,,,,
Rwy_02_003,105,40.779979,-73.873689,n105,Rwy,,,,
Txy_BB_D,106,40.775738,-73.881184,n106,Txy,,,,
Txy_AA_002,107,40.769939,-73.884551,n107,Txy,,,,
Rwy_02_006,108,40.77676,-73.866937,n108,Rwy,,,,
Txy_AA_F,109,40.776451,-73.879599,n109,Txy,,,,
