n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Parking_07_005,69,40.774573,-73.877215,Ramp_07_005,260,40.774552,-73.876213
Rwy_01_007,86,40.776758,-73.877851,Rwy_01_006,87,40.775511,-73.878895
Txy_BB_F,131,40.776274,-73.880743,Txy_BB_E,118,40.777614,-73.879632
Gate_GA_004,95,40.773528,-73.883469,Ramp_10_003,267,40.773126,-73.883181
Rwy_01_001,82,40.76928,-73.884028,Txy_AA_001,101,40.769488,-73.884414
Txy_P_001,134,40.781158,-73.87851,Txy_P_003,127,40.780545,-73.877216
Parking_07_007,78,40.774016,-73.87772,Ramp_07_007,262,40.774039,-73.877054
Txy_A_010,178,40.774007,-73.865147,Txy_A_M,157,40.772906,-73.862852
Txy_A_M,157,40.772906,-73.862852,Txy_B_016,141,40.773363,-73.862185
Txy_A_006,179,40.776506,-73.870117,Txy_B_010,54,40.776967,-73.869743
Txy_B_006,125,40.776245,-73.876785,Txy_E_005,165,40.776065,-73.876399
Rwy_01_006,87,40.775511,-73.878895,Txy_D_001,204,40.775617,-73.879901
Rwy_01_008,88,40.777863,-73.876947,Rwy_01_007,86,40.776758,-73.877851
Txy_B_019,160,40.771421,-73.858118,Txy_B_018,161,40.771854,-73.859024
Gate_C_C20,21,40.77133,-73.862963,Ramp_01005,224,40.771588,-73.862644
Ramp_01_003,212,40.769511,-73.85946,Ramp_01_004,213,40.769314,-73.85967
Txy_P_002,137,40.781542,-73.878616,Txy_P_001,134,40.781158,-73.87851
Rwy_02_001,100,40.782222,-73.878367,Txy_P_002,137,40.781542,-73.878616
Txy_Z_003,180,40.771576,-73.857881,Txy_B_019,160,40.771421,-73.858118
Rwy_01_011,89,40.782503,-73.873111,Rwy_01_012,92,40.78532,-73.870774
Txy_R_003,200,40.78202,-73.87201,Txy_R_002,198,40.780565,-73.873207
Rwy_02_005,113,40.77804,-73.869637,Rwy_02_006,108,40.77676,-73.866937
Gate_B_0D7,72,40.776004,-73.875104,Ramp_07_001,256,40.77581,-73.875849
Ramp_05_007,244,40.776392,-73.871788,Ramp_05_006,243,40.776848,-73.871753
Txy_P_006,123,40.778835,-73.873635,Txy_S_001,197,40.778967,-73.873192
Txy_M_002,185,40.772159,-73.86288,Txy_M_003,190,40.771629,-73.861753
Ramp_04_004,241,40.775857,-73.869845,Gate_B_A07,41,40.775326,-73.869373
Txy_P_R,140,40.77919,-73.874348,Txy_P_006,123,40.778835,-73.873635
Txy_E_001,126,40.778411,-73.881307,Txy_E_002,132,40.777959,-73.880348
Txy_Y_002,167,40.773811,-73.882774,Txy_AA_Y,119,40.772856,-73.882611
Txy_B_009,151,40.777705,-73.871273,Txy_A_005,174,40.77724,-73.87166
Txy_B_006,125,40.776245,-73.876785,Txy_B_007,144,40.777482,-73.875761
Ramp_10_001,265,40.773008,-73.884312,Ramp_10_007,275,40.772972,-73.884778
Txy_A_007,158,40.776252,-73.869596,Txy_A_008,173,40.775647,-73.868329
Parking_07_008,79,40.773722,-73.877946,Ramp_07_008,263,40.773744,-73.877361
Txy_E_005,165,40.776065,-73.876399,Txy_A_001,164,40.77621,-73.875966
Rwy_01_004,84,40.772894,-73.881058,Txy_CY_C,147,40.772969,-73.879932
Txy_AA_F,109,40.776451,-73.879599,Txy_BB_F,131,40.776274,-73.880743
Txy_DD_G,139,40.780279,-73.878327,Txy_BB_G,130,40.779995,-73.877665
Ramp_06_002,250,40.775572,-73.873513,Gate_B_0C3,60,40.775442,-73.872884
Txy_B_005,143,40.77538,-73.877497,Txy_B_004,136,40.772817,-73.879616
Gate_D_D06,16,40.770255,-73.860677,Ramp_01_009,218,40.770436,-73.860226
Gate_B_0D6,67,40.776045,-73.874439,Ramp_06_003,251,40.775959,-73.873632
Txy_AA_010,122,40.780193,-73.8765,Txy_AA_011,114,40.780389,-73.876211
Txy_B_001,145,40.769138,-73.883646,Rwy_01_001,82,40.76928,-73.884028
Ramp_03_002,236,40.774882,-73.86786,Txy_A_009,175,40.775205,-73.867583
Gate_B_C14,36,40.777081,-73.872848,Ramp_05_006,243,40.776848,-73.871753
Ramp_10_004,268,40.773681,-73.883028,Ramp_10_005,269,40.77412,-73.883105
Ramp_05_010,247,40.775451,-73.871876,Gate_B_B03,56,40.775189,-73.871395
Txy_A_101,228,40.772432,-73.863451,Ramp_02005,227,40.772001,-73.863949
Gate_D_D05,11,40.770117,-73.860472,Ramp_01_008,217,40.770076,-73.859486
Txy_B_007,144,40.777482,-73.875761,Txy_G_R,146,40.77864,-73.874801
Ramp_05_009,246,40.775844,-73.87184,Ramp_05_008,245,40.776163,-73.871781
Txy_R_001,199,40.779429,-73.874152,Rwy_02_003,105,40.779979,-73.873689
Txy_B_M,148,40.773599,-73.862676,Txy_B_016,141,40.773363,-73.862185
Ramp_06_003,251,40.775959,-73.873632,Ramp_06_002,250,40.775572,-73.873513
Ramp_01_010,219,40.77067,-73.860708,Gate_D_D07,15,40.770381,-73.860928
