id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Txy_L_002,0,33.81245,-118.143035,n0,Txy,,,,
Txy_J_014,1,33.814804,-118.142003,n1,Txy,,,,
Txy_J_013,2,33.814805,-118.142329,n2,Txy,,,,
Txy_J_010,3,33.814907,-118.144159,n3,Txy,,,,
Txy_J_011,4,33.81481,-118.143619,n4,Txy,,,,
Rwy_02_006,5,33.813853,-118.144684,n5,Rwy,,,,
Rwy_02_007,6,33.813844,-118.143616,n6,Rwy,,,,
Txy_L5_001,7,33.814406,-118.143609,n7,Txy,,,,
Txy_J_012,8,33.81481,-118.143361,n8,Txy,,,,
Txy_L_J,9,33.814944,-118.146008,n9,Txy,,,,
Rwy_02_03,10,33.813843,-118.146564,n10,Rwy,,,,
Rwy_03_05,11,33.81495,-118.147907,n11,Rwy,,,,
Rwy_05_005,12,33.816555,-118.147975,n12,Rwy,,,,
Txy_C_L,13,33.815738,-118.14699,n13,Txy,,,,
Txy_J_009,14,33.814939,-118.146619,n14,Txy,,,,
Txy_C_J,15,33.814939,-118.147084,n15,Txy,,,,
Txy_L_001,16,33.816151,-118.147476,n16,Txy,,,,
Txy_C_004,17,33.815261,-118.146997,n17,Txy,,,,
Rwy_05_006,18,33.815982,-118.147973,n18,Rwy,,,,
Rwy_03_008,19,33.815664,-118.148766,n19,Rwy,,,,
Txy_J_002,20,33.814924,-118.160841,n20,Txy,,,,
Txy_J_001,21,33.814928,-118.163921,n21,Txy,,,,
Rwy_04_007,22,33.813077,-118.155769,n22,Rwy,,,,
Rwy_02_04,23,33.813837,-118.155773,n23,Rwy,,,,
Rwy_04_005,24,33.814935,-118.155768,n24,Rwy,,,,
Txy_J_007,25,33.814935,-118.155272,n25,Txy,,,,
Txy_J_006,26,33.814935,-118.156269,n26,Txy,,,,
Txy_J_B,27,33.814936,-118.15728,n27,Txy,,,,
Rwy_02_002,28,33.813836,-118.157293,n28,Rwy,,,,
Txy_B_007,29,33.814238,-118.157282,n29,Txy,,,,
Txy_B_008,30,33.813412,-118.157306,n30,Txy,,,,
Txy_F_B,31,33.813083,-118.157316,n31,Txy,,,,
Txy_F_002,32,33.813079,-118.161152,n32,Txy,,,,
Txy_F_001,33,33.813411,-118.161158,n33,Txy,,,,
Rwy_02_001,34,33.813834,-118.161159,n34,Rwy,RW08R,Entry,RW26L,End
Txy_F_005,35,33.813077,-118.156253,n35,Txy,,,,
Rwy_04_006,36,33.813416,-118.155766,n36,Rwy,,,,
Rwy_02_003,37,33.813842,-118.153753,n37,Rwy,,,,
Txy_F_006,38,33.813079,-118.155281,n38,Txy,,,,
Txy_F2_001,39,33.813424,-118.154461,n39,Txy,,,,
Rwy_02_05,40,33.813842,-118.147988,n40,Rwy,,,,
Txy_D_005,41,33.815944,-118.150968,n41,Txy,,,,
Rwy_02_005,42,33.813869,-118.148481,n42,Rwy,RW26L,Entry,RW08R,End
Txy_D_J,43,33.814938,-118.14976,n43,Txy,,,,
Txy_J_008,44,33.814932,-118.14918,n44,Txy,,,,
Txy_J_J2,45,33.814939,-118.15096,n45,Txy,,,,
Rwy_03_013,46,33.806962,-118.138242,n46,Rwy,,,,
Txy_D_006,47,33.814401,-118.149107,n47,Txy,,,,
Txy_L2_001,48,33.808096,-118.138466,n48,Txy,,,,
Txy_L1_001,49,33.807438,-118.137671,n49,Txy,,,,
Txy_D1_001,50,33.806462,-118.13891,n50,Txy,,,,
Rwy_03_012,51,33.807619,-118.139044,n51,Rwy,,,,
Txy_L_L2,52,33.8084,-118.138105,n52,Txy,,,,
Txy_L_L1,53,33.807852,-118.137538,n53,Txy,,,,
Txy_D4_001,54,33.825636,-118.162015,n54,Txy,,,,
Rwy_03_001,55,33.826119,-118.16144,n55,Rwy,,,,
Rwy_03_002,56,33.824772,-118.159797,n56,Rwy,,,,
Txy_A_002,57,33.824773,-118.160997,n57,Txy,,,,
Txy_D_A,58,33.824779,-118.161679,n58,Txy,,,,
Txy_A_003,59,33.824773,-118.158519,n59,Txy,,,,
Txy_A_001,60,33.82479,-118.163135,n60,Txy,,,,
Txy_D_001,61,33.823298,-118.159885,n61,Txy,,,,
Rwy_01_001,62,33.822746,-118.159206,n62,Rwy,RW08L,Entry,RW26R,End
Rwy_03_003,63,33.823587,-118.158355,n63,Rwy,RW12 ,Entry,RW30 ,End
Txy_B_002,64,33.823754,-118.157301,n64,Txy,,,,
Txy_A_005,65,33.824765,-118.156296,n65,Txy,,,,
Rwy_04_002,66,33.824004,-118.155788,n66,Rwy,,,,
Rwy_01_03,67,33.822738,-118.157298,n67,Rwy,,,,
Rwy_01_002,68,33.822735,-118.156157,n68,Rwy,,,,
Rwy_03_004,69,33.822054,-118.156509,n69,Rwy,,,,
Txy_D_002,70,33.822188,-118.158537,n70,Txy,,,,
Txy_K_B,71,33.821632,-118.157291,n71,Txy,,,,
Txy_D_B,72,33.821145,-118.157292,n72,Txy,,,,
Txy_D_003,73,33.820314,-118.156277,n73,Txy,,,,
Rwy_04_003,74,33.819895,-118.15578,n74,Rwy,,,,
Txy_D_004,75,33.819489,-118.155285,n75,Txy,,,,
Txy_K_001,76,33.821636,-118.154551,n76,Txy,,,,
Rwy_01_04,77,33.822731,-118.155783,n77,Rwy,,,,
Rwy_03_005,78,33.821637,-118.156007,n78,Rwy,,,,
Txy_K3_001,79,33.822178,-118.15429,n79,Txy,,,,
Txy_K_K3,80,33.821632,-118.154245,n80,Txy,,,,
Txy_G_B,81,33.817398,-118.157282,n81,Txy,,,,
Txy_G_001,82,33.818244,-118.156269,n82,Txy,,,,
Txy_B_004,83,33.820216,-118.15729,n83,Txy,,,,
Txy_K_D,84,33.821649,-118.157896,n84,Txy,,,,
Txy_G_002,85,33.81855,-118.155284,n85,Txy,,,,
Rwy_04_004,86,33.818548,-118.155783,n86,Rwy,,,,
Txy_G_D,87,33.81855,-118.154139,n87,Txy,,,,
Txy_G_003,88,33.81854,-118.15343,n88,Txy,,,,
Txy_G_004,89,33.81854,-118.150978,n89,Txy,,,,
Rwy_03_007,90,33.818539,-118.152264,n90,Rwy,,,,
Txy_K2_001,91,33.822171,-118.151815,n91,Txy,,,,
Txy_K_K2,92,33.821627,-118.151821,n92,Txy,,,,
Txy_K1_001,93,33.82217,-118.150688,n93,Txy,,,,
Txy_K_K1,94,33.821623,-118.151346,n94,Txy,,,,
Rwy_01_004,95,33.822722,-118.151804,n95,Rwy,,,,
Rwy_01_005,96,33.82272,-118.150036,n96,Rwy,,,,
Txy_K_002,97,33.821612,-118.148459,n97,Txy,,,,
Txy_K_003,98,33.821645,-118.147466,n98,Txy,,,,
Rwy_05_002,99,33.822004,-118.14796,n99,Rwy,,,,
