n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_D1_001,50,33.806462,-118.13891,Rwy_03_013,46,33.806962,-118.138242
Txy_D4_001,54,33.825636,-118.162015,Rwy_03_001,55,33.826119,-118.16144
Rwy_04_004,86,33.818548,-118.155783,Rwy_04_005,24,33.814935,-118.155768
Txy_F_005,35,33.813077,-118.156253,Rwy_04_007,22,33.813077,-118.155769
Txy_E_D,125,33.81133,-118.145155,Txy_D_D3,126,33.811066,-118.144838
Rwy_03_010,122,33.810738,-118.142819,Rwy_03_011,118,33.809116,-118.140855
Txy_J_004,216,33.81494,-118.158846,Txy_J_005,215,33.814936,-118.158431
Txy_J_B,27,33.814936,-118.15728,Txy_J_006,26,33.814935,-118.156269
Txy_A_003,59,33.824773,-118.158519,Txy_A_004,230,33.824768,-118.157484
Rwy_03_005,78,33.821637,-118.156007,Rwy_03_006,251,33.821452,-118.155791
Txy_C_L,13,33.815738,-118.14699,Txy_C_004,17,33.815261,-118.146997
Ramp_01_003,145,33.819491,-118.146252,Ramp_01_004,148,33.819319,-118.146241
Ramp_G_003,222,33.818227,-118.157737,Txy_B_005,223,33.818226,-118.15729
Rwy_03_012,51,33.807619,-118.139044,Rwy_03_013,46,33.806962,-118.138242
Rwy_03_013,46,33.806962,-118.138242,Txy_L1_001,49,33.807438,-118.137671
Txy_L_L3,167,33.812748,-118.143405,Txy_L_002,0,33.81245,-118.143035
Rwy_05_007,130,33.813429,-118.147984,Rwy_05_008,133,33.81309,-118.147989
Rwy_03_006,251,33.821452,-118.155791,Rwy_03_007,90,33.818539,-118.152264
Rwy_03_007,90,33.818539,-118.152264,Txy_G_004,89,33.81854,-118.150978
Ramp_01_011,153,33.818009,-118.146251,Gate_01_003,151,33.817831,-118.145812
Txy_K_K1,94,33.821623,-118.151346,Txy_K_002,97,33.821612,-118.148459
Rwy_02_007,6,33.813844,-118.143616,Txy_L5_001,7,33.814406,-118.143609
Txy_E_001,127,33.811335,-118.147503,Txy_E_002,123,33.811331,-118.146196
Ramp_B_002,172,33.821521,-118.144254,Parking_B_003,173,33.821031,-118.144122
Rwy_03_001,55,33.826119,-118.16144,Rwy_03_002,56,33.824772,-118.159797
Txy_A_002,57,33.824773,-118.160997,Rwy_03_002,56,33.824772,-118.159797
Txy_F_003,209,33.813079,-118.159972,Ramp_F_003,203,33.812799,-118.160222
Txy_L5_001,7,33.814406,-118.143609,Txy_J_011,4,33.81481,-118.143619
Rwy_05_002,99,33.822004,-118.14796,Rwy_05_003,104,33.821622,-118.147965
Rwy_03_05,11,33.81495,-118.147907,Rwy_02_05,40,33.813842,-118.147988
Txy_K_002,97,33.821612,-118.148459,Rwy_05_003,104,33.821622,-118.147965
Rwy_04_006,36,33.813416,-118.155766,Rwy_04_007,22,33.813077,-118.155769
Ramp_J_001,231,33.824899,-118.154425,Ramp_J_002,241,33.824965,-118.153929
Txy_F_B,31,33.813083,-118.157316,Txy_F_005,35,33.813077,-118.156253
Ramp_J_004,243,33.824965,-118.153309,Parking_J_003,234,33.824477,-118.153302
Rwy_02_002,28,33.813836,-118.157293,Txy_B_008,30,33.813412,-118.157306
Ramp_F_001,196,33.812946,-118.161536,Parking_F_002,193,33.81253,-118.161987
Txy_F_F1,137,33.813082,-118.152017,Txy_F_009,185,33.81309,-118.149615
Txy_C_001,147,33.819975,-118.146975,Ramp_01_002,149,33.820344,-118.146754
Txy_D4_001,54,33.825636,-118.162015,Txy_D_D4,163,33.825363,-118.162142
Txy_K_B,71,33.821632,-118.157291,Rwy_03_005,78,33.821637,-118.156007
Rwy_01_05,100,33.822713,-118.147955,Rwy_05_002,99,33.822004,-118.14796
Txy_D_005,41,33.815944,-118.150968,Txy_J_J2,45,33.814939,-118.15096
Ramp_H_001,227,33.821499,-118.158498,Parking_H_001,224,33.821581,-118.159649
Txy_K3_001,79,33.822178,-118.15429,Txy_K_K3,80,33.821632,-118.154245
Ramp_F_004,204,33.812794,-118.159741,Parking_F_006,199,33.812575,-118.159732
Txy_L_J,9,33.814944,-118.146008,Txy_J_010,3,33.814907,-118.144159
Rwy_02_004,136,33.813843,-118.150966,Rwy_02_005,42,33.813869,-118.148481
Txy_B_003,226,33.820744,-118.15729,Ramp_H_002,225,33.82117,-118.158003
Txy_G_D,87,33.81855,-118.154139,Txy_D_005,41,33.815944,-118.150968
Ramp_B_001,169,33.821456,-118.144525,Parking_B_001,170,33.821035,-118.144677
Rwy_05_010,131,33.811336,-118.147989,Txy_E_001,127,33.811335,-118.147503
Ramp_J_008,247,33.824906,-118.151683,Parking_J_007,238,33.825352,-118.151674
Ramp_J_003,242,33.824969,-118.15369,Ramp_J_004,243,33.824965,-118.153309
Ramp_F_001,196,33.812946,-118.161536,Parking_F_003,195,33.812584,-118.161548
Ramp_J_006,245,33.824962,-118.152675,Parking_J_004,235,33.82449,-118.152671
Txy_C_J,15,33.814939,-118.147084,Txy_J_009,14,33.814939,-118.146619
Txy_C_K,105,33.821677,-118.146983,Txy_C_001,147,33.819975,-118.146975
Txy_G_005,107,33.818537,-118.148472,Rwy_05_004,108,33.818543,-118.14797
Txy_B_008,30,33.813412,-118.157306,Txy_F_B,31,33.813083,-118.157316
Txy_F_007,190,33.813087,-118.154639,Txy_F_008,187,33.813082,-118.152943
Txy_J_014,1,33.814804,-118.142003,Parking_D_002,181,33.815133,-118.141993
Ramp_01_007,150,33.818633,-118.146439,Ramp_01_005,138,33.818922,-118.146253
Txy_C_001,147,33.819975,-118.146975,Txy_C_002,115,33.818538,-118.146976
Txy_L_002,0,33.81245,-118.143035,Txy_L_L2,52,33.8084,-118.138105
Txy_K2_001,91,33.822171,-118.151815,Txy_K_K2,92,33.821627,-118.151821
Rwy_02_007,6,33.813844,-118.143616,Txy_L4_001,166,33.813299,-118.143535
Txy_D_D3,126,33.811066,-118.144838,Txy_D3_001,119,33.811232,-118.14456
