id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,34.719482,-92.221131,n0,Rwy,,,,
Rwy_01_002,1,34.721475,-92.218567,n1,Rwy,RW04R,Entry,RW22L,End
Rwy_01_003,2,34.72472,-92.214458,n2,Rwy,,,,
Rwy_01_004,3,34.728194,-92.210006,n3,Rwy,,,,
Rwy_01_005,4,34.73173,-92.2055,n4,Rwy,,,,
Rwy_01_006,5,34.734887,-92.20146,n5,Rwy,RW22L,Entry,RW04R,End
Rwy_02_001,6,34.722588,-92.237885,n6,Rwy,,,,
Rwy_02_002,7,34.72324,-92.237134,n7,Rwy,RW04L,Entry,RW22R,End
Rwy_02_003,8,34.72593,-92.233679,n8,Rwy,,,,
Rwy_02_004,9,34.728796,-92.23001,n9,Rwy,,,,
Rwy_02_006,10,34.732772,-92.224967,n10,Rwy,,,,
Rwy_02_007,11,34.736017,-92.220826,n11,Rwy,,,,
Rwy_02_008,12,34.738036,-92.21823,n12,Rwy,RW22R,Entry,RW04L,End
Rwy_03_001,13,34.722823,-92.238644,n13,Rwy,RW36 ,Entry,RW18 ,End
Rwy_03_002,14,34.72568,-92.23858,n14,Rwy,,,,
Rwy_03_003,15,34.72903,-92.238451,n15,Rwy,,,,
Rwy_03_004,16,34.731041,-92.238387,n16,Rwy,,,,
Rwy_03_005,17,34.733986,-92.238301,n17,Rwy,,,,
Rwy_03_006,18,34.736701,-92.238205,n18,Rwy,,,,
Rwy_03_007,19,34.73969,-92.238119,n19,Rwy,RW18 ,Entry,RW36 ,End
Txy_R_001,20,34.719978,-92.221705,n20,Txy,,,,
Txy_R_002,21,34.720454,-92.22179,n21,Txy,,,,
Txy_R_Y,22,34.72227,-92.219505,n22,Txy,,,,
Txy_R_S,23,34.724762,-92.21693,n23,Txy,,,,
Txy_R_T,24,34.728192,-92.212569,n24,Txy,,,,
Txy_R_U,25,34.728848,-92.211727,n25,Txy,,,,
Txy_R_V,26,34.730074,-92.210155,n26,Txy,,,,
Txy_R_W,27,34.733733,-92.205483,n27,Txy,,,,
Txy_R_003,28,34.735545,-92.202586,n28,Txy,,,,
Txy_R_004,29,34.735506,-92.202082,n29,Txy,,,,
Txy_W_001,30,34.73342,-92.204758,n30,Txy,,,,
