n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_006,5,34.734887,-92.20146,Rwy_01_005,4,34.73173,-92.2055
Rwy_01_005,4,34.73173,-92.2055,Rwy_01_004,3,34.728194,-92.210006
Rwy_01_004,3,34.728194,-92.210006,Rwy_01_003,2,34.72472,-92.214458
Rwy_01_003,2,34.72472,-92.214458,Rwy_01_002,1,34.721475,-92.218567
Rwy_01_002,1,34.721475,-92.218567,Rwy_01_001,0,34.719482,-92.221131
Rwy_02_007,11,34.736017,-92.220826,Rwy_02_008,12,34.738036,-92.21823
Rwy_02_007,11,34.736017,-92.220826,Rwy_02_006,10,34.732772,-92.224967
Rwy_02_003,8,34.72593,-92.233679,Rwy_02_004,9,34.728796,-92.23001
Rwy_02_002,7,34.72324,-92.237134,Rwy_02_003,8,34.72593,-92.233679
Rwy_02_002,7,34.72324,-92.237134,Rwy_02_001,6,34.722588,-92.237885
Rwy_03_007,19,34.73969,-92.238119,Rwy_03_006,18,34.736701,-92.238205
Rwy_03_005,17,34.733986,-92.238301,Rwy_03_006,18,34.736701,-92.238205
Rwy_03_004,16,34.731041,-92.238387,Rwy_03_005,17,34.733986,-92.238301
Rwy_03_004,16,34.731041,-92.238387,Rwy_03_003,15,34.72903,-92.238451
Rwy_03_003,15,34.72903,-92.238451,Rwy_03_002,14,34.72568,-92.23858
Rwy_03_002,14,34.72568,-92.23858,Rwy_03_001,13,34.722823,-92.238644
Txy_R_004,29,34.735506,-92.202082,Txy_R_003,28,34.735545,-92.202586
Rwy_01_005,4,34.73173,-92.2055,Txy_R_004,29,34.735506,-92.202082
Txy_W_001,30,34.73342,-92.204758,Txy_R_W,27,34.733733,-92.205483
Rwy_01_005,4,34.73173,-92.2055,Txy_W_001,30,34.73342,-92.204758
Txy_R_W,27,34.733733,-92.205483,Txy_R_003,28,34.735545,-92.202586
Txy_R_V,26,34.730074,-92.210155,Txy_R_W,27,34.733733,-92.205483
Txy_V_001,31,34.729618,-92.209565,Txy_R_V,26,34.730074,-92.210155
Rwy_01_004,3,34.728194,-92.210006,Txy_V_001,31,34.729618,-92.209565
Txy_T_001,32,34.727908,-92.211764,Rwy_01_004,3,34.728194,-92.210006
Txy_R_T,24,34.728192,-92.212569,Txy_T_001,32,34.727908,-92.211764
Txy_R_T,24,34.728192,-92.212569,Txy_R_U,25,34.728848,-92.211727
Txy_R_U,25,34.728848,-92.211727,Txy_R_V,26,34.730074,-92.210155
Txy_R_001,20,34.719978,-92.221705,Rwy_01_001,0,34.719482,-92.221131
Txy_R_001,20,34.719978,-92.221705,Txy_R_002,21,34.720454,-92.22179
Txy_R_Y,22,34.72227,-92.219505,Txy_R_002,21,34.720454,-92.22179
Txy_R_Y,22,34.72227,-92.219505,Rwy_01_002,1,34.721475,-92.218567
Txy_S_001,33,34.72414,-92.216625,Rwy_01_003,2,34.72472,-92.214458
Txy_R_S,23,34.724762,-92.21693,Txy_S_001,33,34.72414,-92.216625
Txy_R_Y,22,34.72227,-92.219505,Txy_R_S,23,34.724762,-92.21693
Txy_R_T,24,34.728192,-92.212569,Txy_R_S,23,34.724762,-92.21693
Txy_F_005,43,34.737615,-92.217597,Rwy_02_008,12,34.738036,-92.21823
Txy_F_004,42,34.737157,-92.217479,Txy_F_005,43,34.737615,-92.217597
Txy_F_M,41,34.735208,-92.219882,Txy_F_003,39,34.731598,-92.224517
Txy_F_J,40,34.733052,-92.22265,Txy_F_M,41,34.735208,-92.219882
Txy_F_003,39,34.731598,-92.224517,Txy_F_J,40,34.733052,-92.22265
Txy_F_P,38,34.728009,-92.229093,Txy_F_003,39,34.731598,-92.224517
Txy_F_P,38,34.728009,-92.229093,Txy_F_G,37,34.724535,-92.233546
Txy_F_E,36,34.722445,-92.236217,Txy_F_G,37,34.724535,-92.233546
Txy_F_002,35,34.722145,-92.236609,Txy_F_E,36,34.722445,-92.236217
Txy_F_001,34,34.722013,-92.237199,Txy_F_002,35,34.722145,-92.236609
Rwy_02_001,6,34.722588,-92.237885,Txy_F_001,34,34.722013,-92.237199
Rwy_02_002,7,34.72324,-92.237134,Txy_F_E,36,34.722445,-92.236217
Rwy_02_003,8,34.72593,-92.233679,Txy_F_G,37,34.724535,-92.233546
Rwy_02_004,9,34.728796,-92.23001,Txy_F_P,38,34.728009,-92.229093
Rwy_02_006,10,34.732772,-92.224967,Txy_J_001,44,34.733123,-92.223464
Txy_J_001,44,34.733123,-92.223464,Txy_F_J,40,34.733052,-92.22265
Txy_F_J,40,34.733052,-92.22265,Txy_J_002,45,34.732418,-92.220761
Rwy_02_007,11,34.736017,-92.220826,Txy_F_M,41,34.735208,-92.219882
Txy_F_003,39,34.731598,-92.224517,Txy_H_001,46,34.730725,-92.221767
Rwy_02_008,12,34.738036,-92.21823,Txy_C_001,47,34.739277,-92.219524
Txy_C_001,47,34.739277,-92.219524,Txy_C_002,48,34.739264,-92.220141
Txy_C_M,49,34.735962,-92.224487,Txy_C_002,48,34.739264,-92.220141
Txy_C_M,49,34.735962,-92.224487,Rwy_02_007,11,34.736017,-92.220826
Txy_C_P,50,34.730976,-92.232131,Txy_C_M,49,34.735962,-92.224487
Txy_C_P,50,34.730976,-92.232131,Rwy_02_004,9,34.728796,-92.23001
Rwy_02_005,52,34.731674,-92.226353,Rwy_02_006,10,34.732772,-92.224967
Txy_B_001,51,34.730966,-92.229541,Rwy_02_005,52,34.731674,-92.226353
Txy_C_P,50,34.730976,-92.232131,Txy_B_001,51,34.730966,-92.229541
