n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_015,217,28.43619,-81.311442,Gate_A1_027,208,28.435795,-81.312288
Txy_A_A2,54,28.429065,-81.329222,Txy_A2_001,55,28.429071,-81.328637
Txy_E_E1,97,28.423468,-81.316653,Txy_E1_001,437,28.424805,-81.316069
Parking_A_002,412,28.445397,-81.330865,Parking_A_001,413,28.446999,-81.330866
Txy_C_B5,71,28.432158,-81.318389,Txy_B5_002,230,28.432847,-81.317229
Ramp_02_005,257,28.435536,-81.304778,Gate_A2_109,251,28.43543,-81.303746
Ramp_04_013,390,28.429076,-81.298923,Ramp_04_012,393,28.429636,-81.299764
Txy_G_E,106,28.423625,-81.297939,Txy_H_E,108,28.423632,-81.297001
Rwy_02_004,40,28.432108,-81.322134,Txy_B5_001,41,28.431536,-81.32113
Ramp_04_023,397,28.425229,-81.302725,Gate_B4_092,439,28.4266468,-81.3024706
Rwy_02_006,34,28.427675,-81.322077,Txy_B7_001,35,28.427163,-81.321101
Txy_E_004,32,28.424607,-81.322991,Rwy_02_007,31,28.424127,-81.322049
Txy_J_003,13,28.437211,-81.325879,Txy_J_Z,83,28.437921,-81.324522
Txy_A3_001,86,28.414007,-81.336972,Txy_A3_002,87,28.414015,-81.336572
Txy_H_F,433,28.4228,-81.296992,Txy_F_002,125,28.4228,-81.296608
Ramp_01_006,224,28.434085,-81.316836,Gate_A1_008,194,28.433862,-81.315999
Ramp_04_013,390,28.429076,-81.298923,Gate_B4_077,360,28.428693,-81.299987
Txy_H_H3,144,28.429075,-81.297057,Txy_H3_002,145,28.428937,-81.296677
Txy_A1_B1,10,28.448043,-81.327963,Rwy_01_001,8,28.448175,-81.326981
Ramp_01_019,213,28.434054,-81.313013,Gate_A1_020,212,28.434623,-81.313446
Txy_B9_001,30,28.416861,-81.32111,Txy_B_B9,79,28.416863,-81.319792
Txy_J_J5,174,28.438722,-81.299363,Txy_J_G,176,28.437625,-81.29825
Txy_C_B6,73,28.429982,-81.318373,Txy_B6_002,180,28.429504,-81.317531
Txy_B_E,76,28.423448,-81.319857,Txy_B_F,77,28.42261,-81.319846
Ramp_02_012,264,28.43662,-81.298894,Gate_A2_112,245,28.435901,-81.300656
Txy_A3_010,95,28.41405,-81.330617,Txy_A_A3,58,28.415346,-81.329077
