n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_C_001,343,41.789341,-87.742163,Ramp_01_003,196,41.789842,-87.74339
Rwy_2_008,18,41.785098,-87.747797,Txy_P_008,128,41.785919,-87.747826
Txy_P_007,127,41.783961,-87.747753,Rwy_2_008,18,41.785098,-87.747797
Rwy_3_005,24,41.785389,-87.756101,Txy_F_004,92,41.784903,-87.755422
Txy_F_Y,95,41.782884,-87.752579,Txy_K_Y,101,41.781933,-87.753785
Ramp_01_006,199,41.789018,-87.744417,Ramp_01_084,341,41.789359,-87.744815
Rwy_2_008,18,41.785098,-87.747797,Rwy_2_009,19,41.782612,-87.744281
Txy_R_N,319,41.791645,-87.746515,Txy_N_Q,53,41.791425,-87.746201
Txy_G_002,294,41.781389,-87.744631,Txy_E_009,144,41.7814,-87.744175
Txy_J_002,85,41.785126,-87.757866,Rwy_3_006,25,41.785218,-87.756339
Ramp_01_022,213,41.786846,-87.74361,Ramp_01_021,212,41.786647,-87.743865
Rwy_1_017,134,41.779306,-87.74384,Rwy_1_018,138,41.7795,-87.744108
Ramp_01_044,273,41.789701,-87.744392,Ramp_01_084,341,41.789359,-87.744815
Txy_K_008,295,41.782112,-87.744815,Txy_K_E,106,41.782125,-87.744204
Rwy_3_001,20,41.792247,-87.747403,Txy_R_004,58,41.791737,-87.746639
Rwy_2_001,9,41.792143,-87.757696,Rwy_2_011,47,41.791259,-87.756444
Txy_E_015,150,41.783078,-87.743858,Ramp_01_033,280,41.783637,-87.743433
Rwy_1_4,4,41.785049,-87.751879,Rwy_1_006,5,41.784282,-87.750812
Txy_F_012,99,41.779448,-87.747709,Txy_F_013,129,41.779431,-87.748241
Txy_01_088,331,41.785036,-87.746403,Ramp_01_038,284,41.784743,-87.745975
Txy_R_006,63,41.791172,-87.742574,Ramp_01_001,194,41.790744,-87.742191
Ramp_NR_005,267,41.791658,-87.750325,Txy_N_007,50,41.79135,-87.750428
rw_4_007,33,41.785819,-87.750879,Rwy_1_4,4,41.785049,-87.751879
Parking_CT_026,233,41.781058,-87.751188,Ramp_CT_007,260,41.780827,-87.750563
Ramp_01_100,323,41.786392,-87.743425,Ramp_01_101,324,41.786644,-87.74311
Ramp_01_034,282,41.783875,-87.743214,Ramp_01_033,280,41.783637,-87.743433
Txy_W_088,340,41.791068,-87.761219,Txy_W_003,71,41.790667,-87.76134
Rwy_4_010,36,41.781896,-87.755849,Rwy_4_060,108,41.782545,-87.755059
Gate_B_022,171,41.786505,-87.745128,Ramp_01_019,210,41.786102,-87.744546
Txy_W_J,307,41.785087,-87.760033,Txy_J_002,85,41.785126,-87.757866
Txy_W_010,308,41.788321,-87.760162,Txy_W_011,77,41.788135,-87.760157
Ramp_01_020,211,41.78637,-87.744216,Ramp_01_019,210,41.786102,-87.744546
Ramp_01_005,198,41.789408,-87.743915,Ramp_01_006,199,41.789018,-87.744417
