id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,25.786106,-80.314613,n0,Rwy,,,,
Rwy_01_002,1,25.786155,-80.313664,n1,Rwy,,,,
Rwy_01_003,2,25.786591,-80.302823,n2,Rwy,,,,
Rwy_01_004,3,25.786816,-80.297394,n3,Rwy,,,,
Rwy_01_005,4,25.787022,-80.29253,n4,Rwy,,,,
Rwy_01_006,5,25.787221,-80.287789,n5,Rwy,,,,
Rwy_01_007,6,25.787308,-80.285609,n6,Rwy,,,,
Rwy_01_008,7,25.787488,-80.281142,n7,Rwy,,,,
Rwy_01_009,8,25.787629,-80.277782,n8,Rwy,,,,
Rwy_01_010,9,25.787676,-80.276709,n9,Rwy,RW27 ,Entry,RW09 ,End
Rwy_01_011,10,25.787741,-80.275494,n10,Rwy,,,,
Rwy_01_04,11,25.787564,-80.279352,n11,Rwy,,,,
Rwy_01_013,12,25.78626,-80.310699,n12,Rwy,RW09 ,Entry,RW27 ,End
Rwy_02_001,13,25.800702,-80.301286,n13,Rwy,RW08R,Entry,RW26L,End
Rwy_02_003,14,25.800865,-80.297482,n14,Rwy,,,,
Rwy_02_004,15,25.80096,-80.29515,n15,Rwy,,,,
Rwy_02_005,16,25.801079,-80.292344,n16,Rwy,,,,
Rwy_02_006,17,25.801228,-80.288594,n17,Rwy,,,,
Rwy_02_007,18,25.801301,-80.286911,n18,Rwy,,,,
Rwy_02_008,19,25.801365,-80.28536,n19,Rwy,,,,
Rwy_02_009,20,25.801504,-80.282139,n20,Rwy,,,,
Rwy_02_010,21,25.801602,-80.279704,n21,Rwy,,,,
Rwy_02_011,22,25.80174,-80.276283,n22,Rwy,,,,
Rwy_02_012,23,25.801773,-80.275412,n23,Rwy,,,,
Rwy_02_013,24,25.80202,-80.269759,n24,Rwy,RW26L,Entry,RW08R,End
Rwy_03_001,25,25.802907,-80.301422,n25,Rwy,RW08L,Entry,RW26R,End
Rwy_03_002,26,25.802937,-80.300576,n26,Rwy,,,,
Rwy_03_003,27,25.803063,-80.297598,n27,Rwy,,,,
Rwy_03_004,28,25.803129,-80.296051,n28,Rwy,,,,
Rwy_03_005,29,25.803219,-80.293834,n29,Rwy,,,,
Rwy_03_006,30,25.803383,-80.289885,n30,Rwy,,,,
Rwy_03_007,31,25.803505,-80.286977,n31,Rwy,,,,
Rwy_03_008,32,25.803652,-80.283439,n32,Rwy,,,,
Rwy_03_009,33,25.803767,-80.280626,n33,Rwy,,,,
Rwy_03_010,34,25.803938,-80.276361,n34,Rwy,,,,
Rwy_03_011,35,25.803974,-80.275541,n35,Rwy,RW26R,Entry,RW08L,End
Rwy_04_001,36,25.799208,-80.302151,n36,Rwy,RW12 ,Entry,RW30 ,End
Rwy_04_002,37,25.796787,-80.297416,n37,Rwy,,,,
Rwy_04_003,38,25.795343,-80.29459,n38,Rwy,,,,
Rwy_04_004,39,25.793584,-80.291154,n39,Rwy,,,,
Rwy_04_005,40,25.792422,-80.288866,n40,Rwy,,,,
Rwy_04_006,41,25.791429,-80.28692,n41,Rwy,,,,
Rwy_04_007,42,25.790411,-80.284924,n42,Rwy,,,,
Rwy_04_008,43,25.789685,-80.283509,n43,Rwy,,,,
Rwy_04_009,44,25.789308,-80.28277,n44,Rwy,,,,
Rwy_04_010,45,25.788907,-80.281981,n45,Rwy,,,,
Rwy_04_011,46,25.788377,-80.280958,n46,Rwy,,,,
Rwy_04_012,47,25.787908,-80.280035,n47,Rwy,RW30 ,Entry,RW12 ,End
Rwy_04_013,48,25.786858,-80.277982,n48,Rwy,,,,
Rwy_04_014,49,25.786626,-80.277528,n49,Rwy,,,,
Gate_D_019,50,25.797218,-80.273771,n50,Gate,,,,
Gate_D_017,51,25.7976,-80.273467,n51,Gate,,,,
Gate_D_015,52,25.797962,-80.273144,n52,Gate,,,,
Gate_D_011,53,25.797961,-80.272417,n53,Gate,,,,
Gate_D_009,54,25.798036,-80.271917,n54,Gate,,,,
