id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,44.866311,-93.236696,n0,Rwy,RW35 ,Entry,RW17 ,End
Rwy_01_002,1,44.86739,-93.236964,n1,Rwy,,,,
Rwy_01_003,2,44.870221,-93.237708,n2,Rwy,,,,
Rwy_01_004,3,44.872343,-93.238259,n3,Rwy,,,,
Rwy_01_005,4,44.876017,-93.239217,n4,Rwy,,,,
Rwy_01_006,5,44.878589,-93.239887,n5,Rwy,,,,
Rwy_01_007,6,44.88114,-93.240539,n6,Rwy,,,,
Rwy_01_008,7,44.884834,-93.241501,n7,Rwy,,,,
Rwy_01_009,8,44.886521,-93.241951,n8,Rwy,,,,
Rwy_01_010,9,44.887631,-93.242237,n9,Rwy,RW17 ,Entry,RW35 ,End
Rwy_02_001,10,44.887745,-93.23396,n10,Rwy,RW12R,Entry,RW30L,End
Rwy_02_002,11,44.887152,-93.232669,n11,Rwy,,,,
Rwy_02_003,12,44.885311,-93.228416,n12,Rwy,,,,
Rwy_02_004,13,44.88508,-93.227861,n13,Rwy,,,,
Rwy_02_005,14,44.883713,-93.2247,n14,Rwy,,,,
Rwy_02_006,15,44.883454,-93.224102,n15,Rwy,,,,
Rwy_02_007,16,44.883048,-93.223177,n16,Rwy,,,,
Rwy_02_008,17,44.882621,-93.222197,n17,Rwy,,,,
Rwy_02_009,18,44.88235,-93.221556,n18,Rwy,,,,
Rwy_02_010,19,44.881875,-93.220458,n19,Rwy,,,,
Rwy_02_011,20,44.880297,-93.216826,n20,Rwy,,,,
Rwy_02_012,21,44.879004,-93.213833,n21,Rwy,,,,
Rwy_02_013,22,44.87861,-93.212908,n22,Rwy,,,,
Rwy_02_014,23,44.876308,-93.2076,n23,Rwy,,,,
Rwy_02_015,24,44.874165,-93.202658,n24,Rwy,,,,
Rwy_02_016,25,44.873592,-93.201342,n25,Rwy,RW30L,Entry,RW12R,End
Rwy_03_001,26,44.892886,-93.220814,n26,Rwy,RW12L,Entry,RW30R,End
Rwy_03_002,27,44.892335,-93.219553,n27,Rwy,,,,
Rwy_03_003,28,44.890662,-93.215681,n28,Rwy,,,,
Rwy_03_004,29,44.890209,-93.214622,n29,Rwy,,,,
Rwy_03_005,30,44.889785,-93.213664,n30,Rwy,,,,
Rwy_03_006,31,44.889365,-93.212692,n31,Rwy,,,,
Rwy_03_007,32,44.889105,-93.212097,n32,Rwy,,,,
Rwy_03_008,33,44.88816,-93.209899,n33,Rwy,,,,
Rwy_03_009,34,44.887541,-93.208452,n34,Rwy,,,,
Rwy_03_010,35,44.886626,-93.206347,n35,Rwy,,,,
Rwy_03_011,36,44.885168,-93.202993,n36,Rwy,,,,
Rwy_03_012,37,44.884216,-93.200789,n37,Rwy,,,,
Rwy_03_013,38,44.881962,-93.195579,n38,Rwy,,,,
Rwy_03_014,39,44.881562,-93.194633,n39,Rwy,RW30R,Entry,RW12L,End
Rwy_03_015,40,44.881343,-93.194164,n40,Rwy,,,,
Rwy_04_001,41,44.893534,-93.208387,n41,Rwy,,,,
Rwy_04_002,42,44.892342,-93.210066,n42,Rwy,,,,
Rwy_04_003,43,44.89167,-93.211025,n43,Rwy,RW22 ,Entry,RW04 ,End
Rwy_04_004,44,44.890354,-93.212862,n44,Rwy,,,,
Rwy_04_005,45,44.889221,-93.21447,n45,Rwy,,,,
Rwy_04_006,46,44.888988,-93.214786,n46,Rwy,,,,
Rwy_04_007,47,44.888212,-93.215879,n47,Rwy,,,,
Rwy_04_008,48,44.887003,-93.217584,n48,Rwy,,,,
Rwy_04_009,49,44.885542,-93.219636,n49,Rwy,,,,
Rwy_04_010,50,44.884899,-93.220545,n50,Rwy,,,,
Rwy_04_011,51,44.883844,-93.222024,n51,Rwy,,,,
Rwy_04_012,52,44.882476,-93.223947,n52,Rwy,,,,
Rwy_04_013,53,44.882245,-93.224277,n53,Rwy,,,,
Rwy_04_014,54,44.879363,-93.228329,n54,Rwy,,,,
Rwy_04_015,55,44.877731,-93.230632,n55,Rwy,,,,
Rwy_04_016,56,44.875298,-93.234101,n56,Rwy,RW04 ,Entry,RW22 ,End
Rwy_04_017,57,44.874899,-93.234628,n57,Rwy,,,,
Rwy_04_018,58,44.873253,-93.236927,n58,Rwy,,,,
Rwy_04_019,59,44.872989,-93.237314,n59,Rwy,,,,
Rwy_04_020,60,44.872037,-93.238641,n60,Rwy,,,,
Rwy_04_021,61,44.871651,-93.239196,n61,Rwy,,,,
Rwy_04_022,62,44.871412,-93.239584,n62,Rwy,,,,
Gate_A_011,63,44.878971,-93.196894,n63,Gate,,,,
Gate_A_010,64,44.87902,-93.19721,n64,Gate,,,,
Gate_A_009,65,44.879139,-93.197499,n65,Gate,,,,
Gate_A_008,66,44.879185,-93.197826,n66,Gate,,,,
Gate_A_007,67,44.87933,-93.198134,n67,Gate,,,,
Gate_A_006,68,44.87945,-93.198421,n68,Gate,,,,
Gate_A_005,69,44.87956,-93.198713,n69,Gate,,,,
Gate_A_004,70,44.879693,-93.198978,n70,Gate,,,,
Gate_A_003,71,44.879819,-93.199255,n71,Gate,,,,
Gate_A_002,72,44.879939,-93.199544,n72,Gate,,,,
Gate_A_001,73,44.880059,-93.19982,n73,Gate,,,,
Gate_C_027,74,44.880174,-93.200103,n74,Gate,,,,
Gate_C_026,75,44.880292,-93.200392,n75,Gate,,,,
Gate_C_025,76,44.880886,-93.200816,n76,Gate,,,,
Gate_C_024,77,44.881208,-93.200952,n77,Gate,,,,
Gate_C_023,78,44.881444,-93.200868,n78,Gate,,,,
Gate_C_022,79,44.881457,-93.201162,n79,Gate,,,,
Gate_C_021,80,44.881519,-93.201552,n80,Gate,,,,
Gate_C_020,81,44.881664,-93.201902,n81,Gate,,,,
Gate_C_019,82,44.88183,-93.202206,n82,Gate,,,,
Gate_C_018,83,44.882055,-93.202265,n83,Gate,,,,
Gate_C_017,84,44.881859,-93.202654,n84,Gate,,,,
