n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C_002,242,44.880768,-93.223807,Txy_C3_C,237,44.878468,-93.227079
Txy_P_003,313,44.886837,-93.210088,Txy_P_Q,312,44.887675,-93.212414
Parking_Deice_042,566,44.88615,-93.237141,Parking_Deice_043,567,44.885798,-93.236417
Rwy_01_009,8,44.886521,-93.241951,Rwy_01_008,7,44.884834,-93.241501
Rwy_01_001,0,44.866311,-93.236696,Txy_K1_001,175,44.866408,-93.235608
Ramp_Deice_041,552,44.891418,-93.220397,Ramp_Deice_042,553,44.891196,-93.219885
Rwy_02_009,18,44.88235,-93.221556,Rwy_02_010,19,44.881875,-93.220458
Txy_A2_001,390,44.874836,-93.202082,Rwy_02_015,24,44.874165,-93.202658
Ramp_Deice_002,495,44.887442,-93.226266,Ramp_Deice_003,496,44.887174,-93.225652
Txy_A10_001,364,44.888386,-93.233413,Rwy_02_001,10,44.887745,-93.23396
Ramp_Deice_035,546,44.889528,-93.219746,Parking_Deice_034,558,44.889829,-93.219492
Ramp_01_039,735,44.884846,-93.206866,Ramp_01_040,736,44.885008,-93.20725
Ramp_Deice_039,550,44.890448,-93.221872,Ramp_Deice_038,549,44.890222,-93.221341
Txy_P2_P,299,44.881002,-93.196344,Txy_P2_001,298,44.881272,-93.196108
Txy_W1_001,363,44.872925,-93.201914,Rwy_02_016,25,44.873592,-93.201342
Ramp_01_013,700,44.879801,-93.198154,Ramp_01_014,701,44.879919,-93.198435
Ramp_01_034,730,44.883954,-93.204809,Ramp_01_035,731,44.884144,-93.205242
Txy_A10_A,366,44.88864,-93.233183,Txy_A10_001,364,44.888386,-93.233413
Txy_M_005,332,44.883093,-93.225349,Txy_M_W,333,44.882832,-93.225631
Txy_C_A,247,44.883186,-93.220524,Txy_B_C,248,44.883931,-93.219174
Gate_B_001,158,44.880855,-93.1996,Ramp_01_019,706,44.880545,-93.199857
Gate_A_010,64,44.87902,-93.19721,Ramp_Deice_022,525,44.879566,-93.196964
Txy_W10_W,335,44.886214,-93.235267,Txy_Y_009,587,44.885578,-93.235884
Gate_C_014,87,44.882278,-93.20343,Ramp_01_029,725,44.882912,-93.202414
Rwy_03_003,28,44.890662,-93.215681,Txy_M_050,781,44.890027,-93.216335
Rwy_02_016,25,44.873592,-93.201342,Txy_A1_001,392,44.87427,-93.200784
Ramp_02_005,419,44.893652,-93.215821,Ramp_02_006,420,44.89323,-93.215813
Txy_Q_002,293,44.887893,-93.214776,Txy_C_Q,253,44.887763,-93.214317
Parking_06_010,638,44.877345,-93.242559,Ramp_06_008,646,44.878237,-93.242539
Txy_C2_D,235,44.876212,-93.228611,Ramp_09_002,688,44.875922,-93.228167
Txy_A_003,377,44.881881,-93.217501,Txy_D_A,317,44.882702,-93.219397
Txy_Y_K,195,44.882119,-93.239218,Txy_Y_001,194,44.881733,-93.239586
Txy_S_C,220,44.87446,-93.232749,Txy_S_003,219,44.874794,-93.23322
Txy_P_002,288,44.888568,-93.213818,Rwy_04_006,46,44.888988,-93.214786
Txy_P_001,287,44.889399,-93.215726,Rwy_04_006,46,44.888988,-93.214786
Ramp_03_006,461,44.893021,-93.20539,Ramp_03_008,463,44.893131,-93.205841
Txy_P1_001,296,44.880665,-93.194695,Txy_P1_P,297,44.880403,-93.194901
Parking_Deice_053,577,44.884451,-93.238792,Parking_Deice_052,576,44.884087,-93.238073
Txy_Y3_001,597,44.883295,-93.237326,Txy_Y_002,580,44.883254,-93.238132
Txy_M_W,333,44.882832,-93.225631,Txy_W_004,343,44.882664,-93.225242
Txy_Z_001,590,44.884352,-93.239628,Txy_K_Z,207,44.884227,-93.239787
Txy_Q_003,294,44.887237,-93.21311,Txy_P_Q,312,44.887675,-93.212414
Ramp_05_007,616,44.880975,-93.231955,Ramp_05_006,615,44.881224,-93.232544
Txy_C9_004,272,44.892405,-93.215806,Txy_C9_007,275,44.892408,-93.21479
Rwy_04_015,55,44.877731,-93.230632,Rwy_04_016,56,44.875298,-93.234101
Rwy_03_008,33,44.88816,-93.209899,Rwy_03_009,34,44.887541,-93.208452
Txy_Y_006,584,44.884526,-93.236898,Txy_Y_007,585,44.8849,-93.236538
Txy_W_011,359,44.873343,-93.205202,Txy_W_W2,360,44.872768,-93.203875
Parking_07_001,647,44.871701,-93.245492,Ramp_07_001,653,44.871718,-93.243775
Txy_C_W,244,44.881562,-93.222689,Txy_D_W,321,44.881091,-93.221612
Ramp_01_042,738,44.885391,-93.208127,Gate_C_001,100,44.884476,-93.2087
Rwy_04_005,45,44.889221,-93.21447,Rwy_04_006,46,44.888988,-93.214786
Rwy_03_009,34,44.887541,-93.208452,Rwy_03_010,35,44.886626,-93.206347
Gate_A_008,66,44.879185,-93.197826,Ramp_01_011,698,44.879579,-93.197627
Txy_Q_M,323,44.888816,-93.218023,Txy_M_002,324,44.888289,-93.21877
Gate_C_004,97,44.884039,-93.207403,Ramp_01_039,735,44.884846,-93.206866
Ramp_08_007,676,44.864361,-93.231515,Txy_S_S4,231,44.865895,-93.231604
Txy_C9_R9,264,44.893293,-93.2188,Txy_R10_C9,269,44.893787,-93.220056
Txy_Y_003,581,44.883513,-93.23788,Txy_Y_004,582,44.883857,-93.237545
Txy_H_Q,326,44.889404,-93.219448,Ramp_Deice_034,545,44.889257,-93.219119
Txy_C_C9,258,44.891635,-93.208876,Txy_C_009,257,44.89129,-93.209365
Txy_K_088,791,44.883906,-93.239704,Txy_K_Z,207,44.884227,-93.239787
Parking_05_007,604,44.881804,-93.236296,Ramp_05_001,610,44.882583,-93.235709
Gate_B_004,792,44.881067,-93.199523,Ramp_01_008,719,44.881743,-93.199004
Ramp_01_067,764,44.882381,-93.214126,Gate_F_004,136,44.88296,-93.213805
Parking_03_001,427,44.893407,-93.204119,Parking_03_009,435,44.893381,-93.203693
Rwy_02_010,19,44.881875,-93.220458,Txy_D_001,318,44.882454,-93.219638
Txy_K_N,183,44.876188,-93.23769,Txy_S_001,217,44.875973,-93.236795
Txy_P3_P,301,44.883223,-93.20147,Txy_P_005,300,44.882358,-93.199472
Txy_P10_P,283,44.891958,-93.221606,Txy_P10_Q,289,44.891145,-93.222277
Ramp_03_051,786,44.888096,-93.20569,Parking_03_025,451,44.888345,-93.205456
Gate_G_06B,142,44.881413,-93.212701,Ramp_01_069,766,44.88039,-93.213512
Txy_C_W,244,44.881562,-93.222689,Txy_C_003,245,44.881783,-93.222362
Rwy_02_005,14,44.883713,-93.2247,Txy_M_005,332,44.883093,-93.225349
Txy_C9_011,279,44.892411,-93.212574,Txy_C9_009,277,44.892401,-93.213821
Ramp_03_019,474,44.890305,-93.206301,Ramp_03_018,473,44.889805,-93.206289
Txy_W9_W,336,44.885743,-93.233869,Txy_W10_W,335,44.886214,-93.235267
