id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,29.984672,-90.25136,n0,Rwy,RW02 ,Entry,RW20 ,End
Rwy_01_002,1,29.985936,-90.250973,n1,Rwy,,,,
Rwy_01_003,2,29.987856,-90.250365,n2,Rwy,,,,
Rwy_01_004,3,29.997752,-90.247189,n3,Rwy,,,,
Rwy_01_005,4,30.000288,-90.246406,n4,Rwy,,,,
Rwy_01_006,5,30.002946,-90.245558,n5,Rwy,RW20 ,Entry,RW02 ,End
Rwy_02_001,6,29.989307,-90.251335,n6,Rwy,RW29 ,Entry,RW11 ,End
Rwy_02_002,7,29.990958,-90.258156,n7,Rwy,,,,
Rwy_02_003,8,29.991116,-90.258821,n8,Rwy,,,,
Rwy_02_004,9,29.992575,-90.264904,n9,Rwy,,,,
Rwy_02_005,10,29.994034,-90.270988,n10,Rwy,,,,
Rwy_02_006,11,29.995604,-90.277425,n11,Rwy,,,,
Rwy_02_007,12,29.996599,-90.281588,n12,Rwy,RW11 ,Entry,RW29 ,End
Txy_S_001,13,29.984993,-90.25262,n13,Txy,,,,
Txy_S_W,14,29.986201,-90.252212,n14,Txy,,,,
Txy_E_S,15,29.988134,-90.251633,n15,Txy,,,,
Txy_U_S,16,29.998095,-90.248564,n16,Txy,,,,
Txy_S_T,17,30.000576,-90.24776,n17,Txy,,,,
Txy_S_002,18,30.002824,-90.24703,n18,Txy,,,,
Txy_S_003,19,30.003121,-90.246258,n19,Txy,,,,
Txy_E_F,20,29.989122,-90.255766,n20,Txy,,,,
Txy_E_D,21,29.990303,-90.260444,n21,Txy,,,,
Txy_E_C,22,29.991436,-90.26524,n22,Txy,,,,
Txy_B_E,23,29.992886,-90.27128,n23,Txy,,,,
Txy_A_E,24,29.994521,-90.278114,n24,Txy,,,,
Txy_E_001,25,29.995483,-90.281886,n25,Txy,,,,
Txy_A_G,26,29.997633,-90.276458,n26,Txy,,,,
Txy_G3_G,27,29.995124,-90.265976,n27,Txy,,,,
Txy_G_C,28,29.994688,-90.26413,n28,Txy,,,,
Txy_G2_G,29,29.994223,-90.26206,n29,Txy,,,,
Ramp_01_001,30,29.987621,-90.253944,n30,Ramp,,,,
Ramp_01_002,31,29.986645,-90.254781,n31,Ramp,,,,
Ramp_01_003,32,29.985967,-90.25535,n32,Ramp,,,,
Ramp_02_001,33,29.98888,-90.257157,n33,Ramp,,,,
Ramp_02_002,34,29.987974,-90.257608,n34,Ramp,,,,
Ramp_02_003,35,29.987449,-90.257334,n35,Ramp,,,,
Ramp_03_001,36,29.989242,-90.259995,n36,Ramp,,,,
Ramp_03_002,37,29.987839,-90.260231,n37,Ramp,,,,
Ramp_03_003,38,29.98678,-90.259609,n38,Ramp,,,,
Ramp_04_001,39,29.982724,-90.253882,n39,Ramp,,,,
Ramp_04_002,40,29.982808,-90.255631,n40,Ramp,,,,
Gate_A_004,41,29.982865,-90.255062,n41,Gate,,,,
Gate_A_005,42,29.982828,-90.254708,n42,Gate,,,,
Gate_A_006,43,29.983018,-90.254308,n43,Gate,,,,
Gate_A_007,44,29.983295,-90.254179,n44,Gate,,,,
Gate_A_008,45,29.983618,-90.254571,n45,Gate,,,,
Gate_A_003,46,29.984043,-90.254512,n46,Gate,,,,
Gate_B_002,47,29.984717,-90.254453,n47,Gate,,,,
Gate_B_004,48,29.985135,-90.254168,n48,Gate,,,,
Gate_B_006,49,29.985922,-90.253452,n49,Gate,,,,
Gate_B_008,50,29.986473,-90.252999,n50,Gate,,,,
Gate_B_011,51,29.986692,-90.253723,n51,Gate,,,,
Gate_B_009,52,29.986299,-90.253986,n52,Gate,,,,
Gate_B_007,53,29.986013,-90.25437,n53,Gate,,,,
Gate_B_005,54,29.985637,-90.254717,n54,Gate,,,,
Gate_B_001,55,29.985196,-90.25505,n55,Gate,,,,
Gate_C_001,56,29.985922,-90.25634,n56,Gate,,,,
Gate_C_003,57,29.986235,-90.256059,n57,Gate,,,,
Gate_C_005,58,29.986545,-90.25587,n58,Gate,,,,
Gate_C_007,59,29.9869,-90.25546,n59,Gate,,,,
Gate_C_009,60,29.987176,-90.255199,n60,Gate,,,,
Gate_C_011,61,29.987427,-90.255178,n61,Gate,,,,
Gate_C_015,62,29.987776,-90.255226,n62,Gate,,,,
Gate_C_016,63,29.987725,-90.255832,n63,Gate,,,,
Gate_C_012,64,29.988017,-90.256154,n64,Gate,,,,
Gate_C_010,65,29.987927,-90.256731,n65,Gate,,,,
Gate_C_008,66,29.987696,-90.256784,n66,Gate,,,,
Gate_C_006,67,29.98695,-90.256544,n67,Gate,,,,
Gate_C_004,68,29.986631,-90.256803,n68,Gate,,,,
Gate_C_002,69,29.986282,-90.25717,n69,Gate,,,,
Gate_D_001,70,29.986717,-90.257861,n70,Gate,,,,
Gate_D_003,71,29.9873,-90.258052,n71,Gate,,,,
Gate_D_005,72,29.987718,-90.258309,n72,Gate,,,,
Gate_D_007,73,29.988237,-90.25836,n73,Gate,,,,
Gate_D_009,74,29.98855,-90.258623,n74,Gate,,,,
Gate_D_011,75,29.988535,-90.259143,n75,Gate,,,,
Gate_D_012,76,29.988383,-90.259488,n76,Gate,,,,
Gate_D_010,77,29.988041,-90.259586,n77,Gate,,,,
Gate_D_008,78,29.987426,-90.25922,n78,Gate,,,,
Gate_D_006,79,29.987133,-90.258821,n79,Gate,,,,
Gate_D_004,80,29.986687,-90.258579,n80,Gate,,,,
Gate_D_002,81,29.986106,-90.258707,n81,Gate,,,,
Ramp_04_003,82,29.984211,-90.253424,n82,Ramp,,,,
