n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,35.3791842,-97.6057335,Rwy_01_002,1,35.3805838,-97.605755
Rwy_01_003,2,35.3855172,-97.605755,Rwy_01_002,1,35.3805838,-97.605755
Rwy_01_004,3,35.3898031,-97.605755,Rwy_01_003,2,35.3855172,-97.605755
Rwy_01_005,4,35.3921821,-97.605755,Rwy_01_004,3,35.3898031,-97.605755
Rwy_01_03,5,35.3962578,-97.6057979,Rwy_01_005,4,35.3921821,-97.605755
Rwy_01_006,6,35.3981993,-97.6057764,Rwy_01_03,5,35.3962578,-97.6057979
Rwy_01_007,7,35.3992138,-97.6057335,Rwy_01_006,6,35.3981993,-97.6057764
Rwy_01_008,8,35.4047232,-97.6057335,Rwy_01_007,7,35.3992138,-97.6057335
Rwy_01_009,9,35.4058076,-97.605755,Rwy_01_008,8,35.4047232,-97.6057335
Rwy_02_001,10,35.3783935,-97.5889751,Rwy_02_002,11,35.3796881,-97.5889751
Rwy_02_003,12,35.3854788,-97.5889751,Rwy_02_002,11,35.3796881,-97.5889751
Rwy_02_004,13,35.3879979,-97.5889965,Rwy_02_003,12,35.3854788,-97.5889751
Rwy_02_005,14,35.3897997,-97.5889965,Rwy_02_004,13,35.3879979,-97.5889965
Rwy_02_006,15,35.3922312,-97.5889536,Rwy_02_005,14,35.3897997,-97.5889965
Rwy_02_007,16,35.3972514,-97.5889658,Rwy_02_006,15,35.3922312,-97.5889536
Rwy_02_008,17,35.4039503,-97.5889873,Rwy_02_007,16,35.3972514,-97.5889658
Rwy_02_009,18,35.4050871,-97.5889658,Rwy_02_008,17,35.4039503,-97.5889873
Rwy_03_001,19,35.3898052,-97.5978211,Rwy_03_002,20,35.3921842,-97.6007823
Rwy_03_003,21,35.3947643,-97.6038722,Rwy_03_002,20,35.3921842,-97.6007823
Rwy_01_03,5,35.3962578,-97.6057979,Rwy_03_003,21,35.3947643,-97.6038722
Rwy_01_03,5,35.3962578,-97.6057979,Rwy_03_004,22,35.3992771,-97.6093653
Rwy_03_005,23,35.4012186,-97.6117686,Rwy_03_004,22,35.3992771,-97.6093653
Rwy_03_006,24,35.4045242,-97.6158026,Rwy_03_005,23,35.4012186,-97.6117686
Rwy_01_001,0,35.3791842,-97.6057335,Txy_A_001,28,35.379241,-97.6033973
Txy_A8_A,29,35.3806319,-97.6033544,Txy_A_001,28,35.379241,-97.6033973
Rwy_01_002,1,35.3805838,-97.605755,Txy_A8_A,29,35.3806319,-97.6033544
Txy_A7_A,30,35.3855303,-97.6033544,Txy_A8_A,29,35.3806319,-97.6033544
Rwy_01_003,2,35.3855172,-97.605755,Txy_A7_A,30,35.3855303,-97.6033544
Rwy_01_004,3,35.3898031,-97.605755,Txy_A_F,31,35.3897637,-97.6035368
Txy_A_F,31,35.3897637,-97.6035368,Txy_A_G,32,35.3921952,-97.6037299
Txy_A7_A,30,35.3855303,-97.6033544,Txy_A_F,31,35.3897637,-97.6035368
Rwy_01_005,4,35.3921821,-97.605755,Txy_A_G,32,35.3921952,-97.6037299
Rwy_03_003,21,35.3947643,-97.6038722,Txy_A_G,32,35.3921952,-97.6037299
Rwy_01_009,9,35.4058076,-97.605755,Txy_A1_A,33,35.4058207,-97.6040947
Rwy_01_008,8,35.4047232,-97.6057335,Txy_A2_A,34,35.4047713,-97.6040303
