id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,34.05687,-117.622682,n0,Rwy,,,,
Parking_05_004,1,34.051484,-117.61289,n1,Park,,,,
Rwy_01_002,2,34.056874,-117.61952,n2,Rwy,RW08L,Entry,RW26R,End
Gate_04_404,3,34.059958,-117.588757,n3,Gate,,,,
Gate_04_403,4,34.059941,-117.589214,n4,Gate,,,,
Rwy_01_003,5,34.056861,-117.61855,n5,Rwy,,,,
Rwy_01_004,6,34.056876,-117.616082,n6,Rwy,,,,
Rwy_01_005,7,34.056882,-117.610146,n7,Rwy,,,,
Rwy_01_006,8,34.056883,-117.607051,n8,Rwy,,,,
Rwy_01_007,9,34.056887,-117.602442,n9,Rwy,,,,
Rwy_01_008,10,34.056887,-117.599883,n10,Rwy,,,,
Rwy_01_009,11,34.056887,-117.597771,n11,Rwy,,,,
Rwy_01_010,12,34.056887,-117.589833,n12,Rwy,,,,
Rwy_01_011,13,34.056895,-117.583721,n13,Rwy,,,,
Rwy_01_012,14,34.05689,-117.582698,n14,Rwy,RW26R,Entry,RW08L,End
Rwy_02_001,15,34.054952,-117.616079,n15,Rwy,RW08R,Entry,RW26L,End
Rwy_02_002,16,34.054955,-117.611104,n16,Rwy,,,,
Rwy_02_003,17,34.054957,-117.604739,n17,Rwy,,,,
Rwy_02_004,18,34.05496,-117.602442,n18,Rwy,,,,
Rwy_02_005,19,34.054963,-117.60152,n19,Rwy,,,,
Rwy_02_006,20,34.054961,-117.599131,n20,Rwy,,,,
Rwy_02_007,21,34.054964,-117.593585,n21,Rwy,,,,
Rwy_02_008,22,34.054967,-117.589833,n22,Rwy,,,,
Rwy_02_009,23,34.054959,-117.582694,n23,Rwy,RW26L,Entry,RW08R,End
Txy_B_001,24,34.058729,-117.621923,n24,Txy,,,,
Txy_N_001,25,34.057655,-117.622655,n25,Txy,,,,
Txy_N_002,26,34.057973,-117.621922,n26,Txy,,,,
Txy_N_003,27,34.057976,-117.620209,n27,Txy,,,,
Txy_N_004,28,34.057973,-117.619517,n28,Txy,,,,
Txy_N_D,29,34.057977,-117.61608,n29,Txy,,,,
Txy_N_005,30,34.05798,-117.610155,n30,Txy,,,,
Txy_N_007,31,34.057985,-117.605203,n31,Txy,,,,
Txy_N_008,32,34.057985,-117.60244,n32,Txy,,,,
Txy_N_009,33,34.057986,-117.599888,n33,Txy,,,,
Txy_N_R,34,34.057986,-117.595764,n34,Txy,,,,
Txy_N_011,35,34.057988,-117.589836,n35,Txy,,,,
Txy_N_V,36,34.057989,-117.583697,n36,Txy,,,,
Txy_N_W,37,34.057978,-117.582705,n37,Txy,,,,
Txy_W_N_1,38,34.058983,-117.582707,n38,Txy,,,,
Txy_W_001,39,34.05768,-117.582697,n39,Txy,,,,
Txy_W_002,40,34.056098,-117.582699,n40,Txy,,,,
Txy_W_003,41,34.055747,-117.582699,n41,Txy,,,,
Txy_W_004,42,34.054183,-117.582696,n42,Txy,,,,
Txy_W_S,43,34.053848,-117.582697,n43,Txy,,,,
Txy_W_005,44,34.053071,-117.582674,n44,Txy,,,,
Txy_W_006,45,34.052509,-117.582162,n45,Txy,,,,
Txy_W_W_1,46,34.052414,-117.580683,n46,Txy,,,,
Txy_W_1_001,47,34.052065,-117.580687,n47,Txy,,,,
Txy_W_2_001,48,34.052055,-117.578211,n48,Txy,,,,
Txy_W_W_2,49,34.052401,-117.578218,n49,Txy,,,,
Txy_W_3_001,50,34.052051,-117.576931,n50,Txy,,,,
Txy_W_W_3,51,34.052389,-117.57692,n51,Txy,,,,
Txy_S_U,52,34.053862,-117.589837,n52,Txy,,,,
Txy_U_001,53,34.054178,-117.589839,n53,Txy,,,,
