id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,26.683205033,-80.1082782834,n0,Rwy,,,,
Rwy_01_002,1,26.6831654049,-80.1073413126,n1,Rwy,,,,
Rwy_01_003,2,26.6830597989,-80.1045556004,n2,Rwy,RW10L,Entry,RW28R,End
Rwy_01_004,3,26.6829936499,-80.1033401481,n3,Rwy,,,,
Rwy_01_005,4,26.6828624225,-80.1001163393,n4,Rwy,,,,
Rwy_01_006,5,26.6828094425,-80.0991281974,n5,Rwy,,,,
Rwy_01_007,6,26.6826817987,-80.0961549656,n6,Rwy,,,,
Rwy_01_008,7,26.6826332127,-80.0950827109,n7,Rwy,,,,
Rwy_02_009,8,26.6800061219,-80.0909324936,n8,Rwy,,,,
Rwy_01_010,9,26.6825297055,-80.0926884614,n9,Rwy,,,,
Rwy_01_009,10,26.6825870443,-80.0937876107,n10,Rwy,,,,
Rwy_01_011,11,26.6824991092,-80.0916320819,n11,Rwy,,,,
Rwy_01_012,12,26.6823548612,-80.0884810485,n12,Rwy,,,,
Rwy_01_013,13,26.6822574088,-80.0863468172,n13,Rwy,,,,
Rwy_01_015,14,26.6819983465,-80.0804047161,n14,Rwy,RW28R,Entry,RW10L,End
Rwy_01_014,15,26.6820490011,-80.0816332935,n15,Rwy,,,,
Rwy_01_016,16,26.6819233189,-80.07878119,n16,Rwy,,,,
Rwy_01_017,17,26.6818790935,-80.077928484,n17,Rwy,,,,
Rwy_02_001,18,26.6918112149,-80.1039949161,n18,Rwy,RW14 ,Entry,RW32 ,End
Rwy_02_002,19,26.6888974565,-80.1007716819,n19,Rwy,,,,
Rwy_02_003,20,26.6864332557,-80.098048649,n20,Rwy,,,,
Rwy_02_004,21,26.6859027218,-80.0974549088,n21,Rwy,,,,
Rwy_02_006,22,26.6833123937,-80.0945840766,n22,Rwy,,,,
Rwy_02_005,23,26.683729775,-80.0950528465,n23,Rwy,,,,
Rwy_02_007,24,26.6822533739,-80.0934193701,n24,Rwy,,,,
Rwy_02_008,25,26.6808448634,-80.0918492171,n25,Rwy,,,,
Rwy_02_010,26,26.679141756,-80.0899669619,n26,Rwy,RW32 ,Entry,RW14 ,End
Rwy_02_011,27,26.6784273882,-80.0891855067,n27,Rwy,,,,
Rwy_03_002,28,26.6810474516,-80.103029729,n28,Rwy,,,,
Rwy_03_001,29,26.6811643614,-80.1057014383,n29,Rwy,RW10R,Entry,RW28L,End
Rwy_03_003,30,26.6809739404,-80.1013442362,n30,Rwy,,,,
Rwy_03_004,31,26.6808855073,-80.0992453055,n31,Rwy,,,,
Txy_L_001,32,26.6823103629,-80.1082960821,n32,Txy,,,,
Rwy_03_005,33,26.6807699337,-80.0965292406,n33,Rwy,RW28L,Entry,RW10R,End
Txy_L_002,34,26.6820834742,-80.107878819,n34,Txy,,,,
Txy_L_003,35,26.6818365682,-80.1021782709,n35,Txy,,,,
Txy_L_S,36,26.6819675404,-80.1051195849,n36,Txy,,,,
Txy_L_L1,37,26.6817120831,-80.0991934808,n37,Txy,,,,
Txy_L_L2,38,26.6815926318,-80.0964869468,n38,Txy,,,,
Txy_L_F,39,26.6815335137,-80.0948765287,n39,Txy,,,,
Txy_L2_001,40,26.6811001683,-80.0965081263,n40,Txy,,,,
Txy_L2_002,41,26.6804993552,-80.0965429242,n41,Txy,,,,
Txy_R_R4,42,26.6803509139,-80.0965507803,n42,Txy,,,,
Txy_L1_001,43,26.6806214467,-80.0992547613,n43,Txy,,,,
Txy_R_R3,44,26.6804721495,-80.0992670918,n44,Txy,,,,
Txy_R3_001,45,26.6802036151,-80.099278297,n45,Txy,,,,
Txy_L1_002,46,26.681221191,-80.0992202697,n46,Txy,,,,
Txy_L1_003,47,26.6820460303,-80.0991800038,n47,Txy,,,,
Txy_R2_001,48,26.6802936891,-80.1013637555,n48,Txy,,,,
Txy_R_R2,49,26.6805627565,-80.1013567662,n49,Txy,,,,
Txy_LL_001,50,26.680706387,-80.1013520714,n50,Txy,,,,
Txy_R4_001,51,26.6800850816,-80.0965657386,n51,Txy,,,,
Txy_R1_001,52,26.6807773186,-80.1030359579,n52,Txy,,,,
Txy_R1_R,53,26.6806372964,-80.1030404815,n53,Txy,,,,
Txy_R1_002,54,26.6804880175,-80.1030320536,n54,Txy,,,,
Txy_R1_003,55,26.680364775,-80.1030378734,n55,Txy,,,,
Txy_R1_004,56,26.6797406544,-80.1030423573,n56,Txy,,,,
Txy_R1_005,57,26.6787871465,-80.1030343883,n57,Txy,,,,
Txy_B_001,58,26.6916301033,-80.1023191479,n58,Txy,,,,
Txy_B_002,59,26.6914598573,-80.1018379833,n59,Txy,,,,
Txy_B_B1,60,26.6897006621,-80.099891232,n60,Txy,,,,
Txy_B_004,61,26.6865853572,-80.0964442448,n61,Txy,,,,
Txy_A_005,62,26.686524529,-80.0970344546,n62,Txy,,,,
Txy_A_C,63,26.6843093409,-80.1081984934,n63,Txy,,,,
Txy_C_001,64,26.6842682866,-80.1073884318,n64,Txy,,,,
Txy_A_001,65,26.6841643783,-80.1082076823,n65,Txy,,,,
Txy_A_002,66,26.6847086477,-80.1081794962,n66,Txy,,,,
Txy_C1_001,67,26.6839207893,-80.1073872454,n67,Txy,,,,
Txy_A_A1,68,26.6855471625,-80.1050882387,n68,Txy,,,,
Txy_A_003,69,26.6856437114,-80.1080557447,n69,Txy,,,,
Txy_A1_A,70,26.6855192298,-80.10444641,n70,Txy,,,,
Txy_A_004,71,26.6862981757,-80.0991827698,n71,Txy,,,,
Txy_F_001,72,26.6849633208,-80.0976145789,n72,Txy,,,,
Txy_A_006,73,26.6869543671,-80.095874702,n73,Txy,,,,
Txy_C_004,74,26.6837923955,-80.0963744934,n74,Txy,,,,
Txy_F_C,75,26.68384537,-80.097687666,n75,Txy,,,,
Txy_C_C4,76,26.6839525788,-80.1000694937,n76,Txy,,,,
Txy_C4_001,77,26.6836679547,-80.1000796489,n77,Txy,,,,
Txy_C2_002,78,26.6837446868,-80.1033025559,n78,Txy,,,,
Txy_C_003,79,26.6840911571,-80.1032924196,n79,Txy,,,,
Txy_C_002,80,26.6841228901,-80.1039883757,n80,Txy,,,,
Txy_C2_001,81,26.6838807849,-80.1045149862,n81,Txy,,,,
Txy_A1_C,82,26.6841455554,-80.1044963805,n82,Txy,,,,
Txy_A1_002,83,26.6845903701,-80.1044727091,n83,Txy,,,,
Txy_A1_001,84,26.684623613,-80.1051246407,n84,Txy,,,,
Txy_C_A1,85,26.6841772831,-80.1051855623,n85,Txy,,,,
Txy_C_F,86,26.6838108446,-80.0968880449,n86,Txy,,,,
Txy_F_002,87,26.6834598171,-80.0968479518,n87,Txy,,,,
Txy_F_003,88,26.6818034451,-80.0951713422,n88,Txy,,,,
Txy_F_004,89,26.6812181044,-80.0945314869,n89,Txy,,,,
Txy_G_004,90,26.681206562,-80.0934968656,n90,Txy,,,,
Txy_F_R,91,26.6802009332,-80.0931274457,n91,Txy,,,,
Txy_F1_001,92,26.6803234313,-80.0924018965,n92,Txy,,,,
Txy_F_F1,93,26.6799963702,-80.0927842027,n93,Txy,,,,
Txy_G_F,94,26.6804701886,-80.0935680619,n94,Txy,,,,
Txy_F1_002,95,26.679784192,-80.0929847853,n95,Txy,,,,
Txy_H_005,96,26.6795065548,-80.0914648277,n96,Txy,,,,
Txy_H_006,97,26.6788649464,-80.0919906044,n97,Txy,,,,
Txy_F_H,98,26.6791815873,-80.0918387202,n98,Txy,,,,
Txy_FF_001,99,26.6782257373,-80.091312696,n99,Txy,,,,
Txy_F_005,100,26.6784519045,-80.091059565,n100,Txy,,,,
Txy_F_006,101,26.678198171,-80.0903508337,n101,Txy,,,,
Txy_H_004,102,26.6804751536,-80.0903801845,n102,Txy,,,,
Txy_H_003,103,26.6815372547,-80.0891864014,n103,Txy,,,,
Txy_E_003,104,26.6787752506,-80.0881579241,n104,Txy,,,,
Txy_D_002,105,26.6814558001,-80.0868689809,n105,Txy,,,,
Txy_D_001,106,26.6792370502,-80.0883956212,n106,Txy,,,,
Txy_E_K,107,26.6797710897,-80.0839765101,n107,Txy,,,,
Txy_E_001,108,26.6803422984,-80.0816118607,n108,Txy,,,,
Txy_K_001,109,26.681492577,-80.0855767024,n109,Txy,,,,
Txy_J_006,110,26.6803436557,-80.0804890737,n110,Txy,,,,
Txy_J_E,111,26.6806219836,-80.0804690525,n111,Txy,,,,
Untitled Placemark,112,26.6795782868,-80.0838302553,n112,Unknown,,,,
Txy_J_001,113,26.6811527609,-80.0804231145,n113,Txy,,,,
Txy_C_E,114,26.6808072269,-80.0783307416,n114,Txy,,,,
Txy_C_011,115,26.6826492846,-80.0779068154,n115,Txy,,,,
Txy_C_012,116,26.6811091279,-80.0779566682,n116,Txy,,,,
Txy_C7_001,117,26.6826890593,-80.0786989687,n117,Txy,,,,
Txy_C_010,118,26.6829806861,-80.0783095071,n118,Txy,,,,
Txy_J_008,119,26.6802911291,-80.0798341784,n119,Txy,,,,
Txy_C_C7,120,26.6830175489,-80.0786945718,n120,Txy,,,,
Txy_J_002,121,26.682803453,-80.0803368066,n121,Txy,,,,
Txy_C5_001,122,26.6828055017,-80.0815818825,n122,Txy,,,,
Txy_C5_C,123,26.6831436629,-80.0815517369,n123,Txy,,,,
Txy_C_J,124,26.6830878153,-80.0803152647,n124,Txy,,,,
Txy_C_009,125,26.6831090008,-80.0807883478,n125,Txy,,,,
Txy_J_003,126,26.6834893828,-80.0802894058,n126,Txy,,,,
Txy_C6_C,127,26.6831243941,-80.0810033857,n127,Txy,,,,
Txy_J_004,128,26.6839202989,-80.0802659101,n128,Txy,,,,
Txy_C6_M,129,26.6839472698,-80.0809475861,n129,Txy,,,,
Txy_J_005,130,26.6842127507,-80.0802558523,n130,Txy,,,,
Txy_M_001,131,26.6841877174,-80.0848485327,n131,Txy,,,,
Txy_D_003,132,26.6830169358,-80.086296628,n132,Txy,,,,
Txy_D_004,133,26.6838289774,-80.0862420309,n133,Txy,,,,
Txy_C_D,134,26.6833525801,-80.0862723649,n134,Txy,,,,
Txy_D_M,135,26.6843505086,-80.0862015957,n135,Txy,,,,
Txy_H_M,136,26.6843838008,-80.0883063075,n136,Txy,,,,
Txy_H_001,137,26.68389297,-80.0884012617,n137,Txy,,,,
Txy_C_H,138,26.6834508557,-80.0884235022,n138,Txy,,,,
Txy_H_002,139,26.6831134069,-80.0884437186,n139,Txy,,,,
Txy_G_002,140,26.6832822747,-80.0926902062,n140,Txy,,,,
Txy_C_G,141,26.6836037063,-80.0921592343,n141,Txy,,,,
Txy_C_B,142,26.6836535111,-80.0932036542,n142,Txy,,,,
Txy_B_B2,143,26.6844305877,-80.0940564753,n143,Txy,,,,
Txy_C_005,144,26.6836811932,-80.093794708,n144,Txy,,,,
Txy_B2_001,145,26.6847683117,-80.0936466529,n145,Txy,,,,
Gate_B_001,146,26.6880573223,-80.0923052997,n146,Gate,,,,
Txy_G_001,147,26.6841887169,-80.0914239064,n147,Txy,,,,
Gate_B_005,148,26.6875779687,-80.0929079805,n148,Gate,,,,
Gate_01_002,149,26.6877789899,-80.0925646946,n149,Gate,,,,
Gate_B_009,150,26.6870082091,-80.0934261267,n150,Gate,,,,
Gate_B_007,151,26.6872356527,-80.0931432702,n151,Gate,,,,
Gate_B_011,152,26.6868565816,-80.0937359803,n152,Gate,,,,
Gate_B_014,153,26.6865544645,-80.0936627011,n153,Gate,,,,
Gate_B_012,154,26.6863924906,-80.0934569951,n154,Gate,,,,
Gate_B_010,155,26.6863901887,-80.0931895736,n155,Gate,,,,
Gate_B_008,156,26.6865498561,-80.092884862,n156,Gate,,,,
Gate_B_006,157,26.6869679857,-80.0925570009,n157,Gate,,,,
Gate_B_002,158,26.6875947626,-80.0916867204,n158,Gate,,,,
Gate_C_001,159,26.6873810717,-80.0898139582,n159,Gate,,,,
Gate_B_004,160,26.6873110396,-80.0921495791,n160,Gate,,,,
Gate_C_003,161,26.6869405984,-80.0898329043,n161,Gate,,,,
Gate_C_007,162,26.6858843522,-80.0898827551,n162,Gate,,,,
Gate_C_009,163,26.6855001608,-80.0899694211,n163,Gate,,,,
Gate_C_011,164,26.6852581107,-80.0896885819,n164,Gate,,,,
Gate_C_005,165,26.686389784,-80.0898548432,n165,Gate,,,,
Gate_C_016,166,26.6854351674,-80.0891706904,n166,Gate,,,,
Gate_C_012,167,26.6859660756,-80.0891174992,n167,Gate,,,,
Gate_C_014,168,26.6863861049,-80.0891339349,n168,Gate,,,,
Gate_C_010,169,26.6868784004,-80.0891876187,n169,Gate,,,,
Gate_C_015,170,26.6852349598,-80.089346981,n170,Gate,,,,
Gate_C_002,171,26.6873748574,-80.0891278422,n171,Gate,,,,
Parking_Helipad_003,172,26.6887094368,-80.0932487739,n172,Park,,,,
Parking_Helipad_005,173,26.6882810956,-80.0937728457,n173,Park,,,,
Parking_Helipad_006,174,26.6880743085,-80.0940324006,n174,Park,,,,
Parking_Helipad_004,175,26.6884982206,-80.0935099837,n175,Park,,,,
Parking_01_005,176,26.6861871559,-80.0872285816,n176,Park,,,,
Parking_01_006,177,26.6857973317,-80.086840687,n177,Park,,,,
Parking_01_007,178,26.6854537904,-80.0864907764,n178,Park,,,,
Parking_01_008,179,26.6851444444,-80.0861823055,n179,Park,,,,
Parking_01_009,180,26.6851297693,-80.0858300694,n180,Park,,,,
Parking_Helipad_001,181,26.6886694646,-80.0927526276,n181,Park,,,,
Parking_Helipad_002,182,26.6884795783,-80.0925484109,n182,Park,,,,
Ramp_01_001,183,26.6885418912,-80.0929269669,n183,Ramp,,,,
Ramp_01_002,184,26.6883223459,-80.0931876453,n184,Ramp,,,,
