id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,39.860859,-75.275007,n0,Rwy,RW09R,Entry,RW27L,End
Rwy_01_002,1,39.861167,-75.27345,n1,Rwy,,,,
Rwy_01_003,2,39.862745,-75.265561,n2,Rwy,,,,
Rwy_01_004,3,39.863274,-75.262886,n3,Rwy,,,,
Rwy_01_005,4,39.863716,-75.260676,n4,Rwy,,,,
Rwy_01_006,5,39.864252,-75.257971,n5,Rwy,,,,
Rwy_01_007,6,39.864624,-75.256114,n6,Rwy,,,,
Rwy_01_008,7,39.86518,-75.253328,n7,Rwy,,,,
Rwy_01_009,8,39.866053,-75.248977,n8,Rwy,,,,
Rwy_01_010,9,39.866665,-75.245896,n9,Rwy,,,,
Rwy_01_011,10,39.867701,-75.240698,n10,Rwy,RW27L,Entry,RW09R,End
Rwy_01_012,11,39.868011,-75.239146,n11,Rwy,,,,
Rwy_02_04,12,39.873956,-75.22927,n12,Rwy,,,,
Rwy_02_001,13,39.868729,-75.255436,n13,Rwy,RW09L,Entry,RW27R,End
Rwy_02_002,14,39.868936,-75.254427,n14,Rwy,,,,
Rwy_02_003,15,39.870259,-75.247804,n15,Rwy,,,,
Rwy_02_004,16,39.871454,-75.241829,n16,Rwy,,,,
Rwy_02_005,17,39.871611,-75.241028,n17,Rwy,,,,
Rwy_02_006,18,39.872157,-75.238304,n18,Rwy,,,,
Rwy_02_007,19,39.872277,-75.237684,n19,Rwy,,,,
Rwy_02_008,20,39.872733,-75.235418,n20,Rwy,,,,
Rwy_02_009,21,39.873077,-75.233695,n21,Rwy,,,,
Rwy_02_010,22,39.873681,-75.230655,n22,Rwy,,,,
Rwy_02_011,23,39.873785,-75.230135,n23,Rwy,,,,
Rwy_02_012,24,39.874242,-75.227814,n24,Rwy,,,,
Rwy_02_013,25,39.874774,-75.22518,n25,Rwy,,,,
Rwy_02_014,26,39.875161,-75.223235,n26,Rwy,RW27R,Entry,RW09L,End
Rwy_03_001,27,39.878373,-75.229877,n27,Rwy,RW08 ,Entry,RW26 ,End
Rwy_03_002,28,39.878515,-75.229169,n28,Rwy,,,,
Rwy_03_003,29,39.879357,-75.224959,n29,Rwy,,,,
Rwy_03_004,30,39.880238,-75.220537,n30,Rwy,,,,
Rwy_03_005,31,39.881598,-75.213676,n31,Rwy,,,,
Rwy_03_006,32,39.881757,-75.212896,n32,Rwy,RW26 ,Entry,RW08 ,End
Rwy_04_001,33,39.8876001,-75.2360679,n33,Rwy,RW17 ,Entry,RW35 ,End
Rwy_04_002,34,39.885,-75.234767,n34,Rwy,,,,
Rwy_04_003,35,39.880516,-75.232536,n35,Rwy,,,,
Rwy_04_004,36,39.880003,-75.232279,n36,Rwy,,,,
Rwy_04_005,37,39.877858,-75.231218,n37,Rwy,,,,
Rwy_04_006,38,39.874975,-75.229786,n38,Rwy,,,,
Rwy_04_007,39,39.874663,-75.229633,n39,Rwy,,,,
Rwy_04_008,40,39.872253,-75.228435,n40,Rwy,RW35 ,Entry,RW17 ,End
Gate_AW_018,41,39.874159,-75.252126,n41,Gate,,,,
Gate_AW_020,42,39.873479,-75.252356,n42,Gate,,,,
Gate_AW_022,43,39.872913,-75.252579,n43,Gate,,,,
Gate_AW_024,44,39.872445,-75.252811,n44,Gate,,,,
Gate_AW_026,45,39.872082,-75.252545,n45,Gate,,,,
Gate_AW_025,46,39.872225,-75.251971,n46,Gate,,,,
Gate_AW_023,47,39.872432,-75.251524,n47,Gate,,,,
Gate_AW_021,48,39.8729,-75.251372,n48,Gate,,,,
Gate_AW_019,49,39.873472,-75.251235,n49,Gate,,,,
Gate_AE_017,50,39.874182,-75.250598,n50,Gate,,,,
Gate_AE_016,51,39.87439,-75.249761,n51,Gate,,,,
Gate_AE_015,52,39.874564,-75.248933,n52,Gate,,,,
Gate_AE_014,53,39.874716,-75.248043,n53,Gate,,,,
Gate_AE_002,54,39.874111,-75.247497,n54,Gate,,,,
Gate_AE_004,55,39.873756,-75.247695,n55,Gate,,,,
Gate_AE_010,56,39.873334,-75.247865,n56,Gate,,,,
Gate_AE_012,57,39.873026,-75.2477,n57,Gate,,,,
Gate_AE_013,58,39.873028,-75.247245,n58,Gate,,,,
Gate_AE_011,59,39.873217,-75.246829,n59,Gate,,,,
Gate_AE_009,60,39.873526,-75.246797,n60,Gate,,,,
Gate_AE_007,61,39.873986,-75.246601,n61,Gate,,,,
Gate_AE_005,62,39.874387,-75.246489,n62,Gate,,,,
Gate_AE_003,63,39.874669,-75.246447,n63,Gate,,,,
Gate_AE_001,64,39.875078,-75.246309,n64,Gate,,,,
Gate_B_004,65,39.87546,-75.244185,n65,Gate,,,,
Gate_B_006,66,39.875057,-75.244167,n66,Gate,,,,
Gate_B_008,67,39.87468,-75.244123,n67,Gate,,,,
Gate_B_010,68,39.874286,-75.244098,n68,Gate,,,,
Gate_B_012,69,39.874026,-75.244545,n69,Gate,,,,
Gate_B_014,70,39.873752,-75.244951,n70,Gate,,,,
Gate_B_016,71,39.873542,-75.244783,n71,Gate,,,,
Gate_B_015,72,39.873412,-75.24438,n72,Gate,,,,
Gate_B_013,73,39.873589,-75.243889,n73,Gate,,,,
Gate_B_011,74,39.873752,-75.243366,n74,Gate,,,,
Gate_B_009,75,39.874126,-75.243052,n75,Gate,,,,
Gate_B_007,76,39.874409,-75.243159,n76,Gate,,,,
Gate_B_005,77,39.87478,-75.243325,n77,Gate,,,,
Gate_B_003,78,39.875121,-75.24338,n78,Gate,,,,
Gate_B_001,79,39.875549,-75.243505,n79,Gate,,,,
Gate_C_018,80,39.875803,-75.242077,n80,Gate,,,,
Gate_C_020,81,39.875401,-75.241861,n81,Gate,,,,
Gate_C_022,82,39.875019,-75.241838,n82,Gate,,,,
Gate_C_024,83,39.874784,-75.241617,n83,Gate,,,,
Gate_C_026,84,39.874438,-75.241688,n84,Gate,,,,
Gate_C_028,85,39.874019,-75.241591,n85,Gate,,,,
Gate_C_030,86,39.874193,-75.240948,n86,Gate,,,,
Gate_C_029,87,39.874403,-75.240157,n87,Gate,,,,
Gate_C_027,88,39.87463,-75.240044,n88,Gate,,,,
Gate_C_025,89,39.874951,-75.240357,n89,Gate,,,,
Gate_C_023,90,39.875007,-75.24087,n90,Gate,,,,
Gate_C_021,91,39.875325,-75.241085,n91,Gate,,,,
Gate_C_019,92,39.875715,-75.241292,n92,Gate,,,,
Gate_C_017,93,39.876133,-75.240984,n93,Gate,,,,
Gate_D_002,94,39.876071,-75.239728,n94,Gate,,,,
Gate_D_004,95,39.875848,-75.239351,n95,Gate,,,,
Gate_D_006,96,39.875609,-75.238963,n96,Gate,,,,
Gate_D_008,97,39.875289,-75.238606,n97,Gate,,,,
Gate_D_010,98,39.874918,-75.238485,n98,Gate,,,,
Gate_D_012,99,39.874794,-75.238192,n99,Gate,,,,
Gate_D_014,100,39.874908,-75.237832,n100,Gate,,,,
Gate_D_016,101,39.875081,-75.237632,n101,Gate,,,,
Gate_D_015,102,39.875373,-75.237393,n102,Gate,,,,
Gate_D_013,103,39.8756361,-75.2373015,n103,Gate,,,,
Gate_D_011,104,39.875788,-75.237512,n104,Gate,,,,
Gate_D_009,105,39.87583,-75.237925,n105,Gate,,,,
Gate_D_007,106,39.875957,-75.238401,n106,Gate,,,,
Gate_D_005,107,39.876277,-75.238741,n107,Gate,,,,
Gate_D_003,108,39.87657,-75.239142,n108,Gate,,,,
Gate_D_001,109,39.876931,-75.239574,n109,Gate,,,,
Gate_E_004,110,39.877939,-75.238722,n110,Gate,,,,
Gate_E_006,111,39.877813,-75.238253,n111,Gate,,,,
Gate_E_008,112,39.877642,-75.237642,n112,Gate,,,,
Gate_E_010,113,39.877457,-75.237153,n113,Gate,,,,
Gate_E_012,114,39.877175,-75.236747,n114,Gate,,,,
Gate_E_014,115,39.877092,-75.236377,n115,Gate,,,,
Gate_E_016,116,39.877309,-75.236228,n116,Gate,,,,
Gate_E_011,117,39.8779038,-75.2360286,n117,Gate,,,,
Gate_E_009,118,39.878202,-75.236437,n118,Gate,,,,
Gate_E_007,119,39.878361,-75.236759,n119,Gate,,,,
Gate_E_005,120,39.878405,-75.237365,n120,Gate,,,,
Gate_E_003,121,39.878546,-75.238005,n121,Gate,,,,
Gate_E_001,122,39.878642,-75.23866,n122,Gate,,,,
Gate_F_002,123,39.880168,-75.239128,n123,Gate,,,,
Gate_F_004,124,39.880269,-75.238755,n124,Gate,,,,
Gate_F_006,125,39.880312,-75.238389,n125,Gate,,,,
Gate_F_008,126,39.880285,-75.238005,n126,Gate,,,,
Gate_F_016,127,39.880115,-75.236857,n127,Gate,,,,
Gate_F_018,128,39.879972,-75.236535,n128,Gate,,,,
Gate_F_020,129,39.879814,-75.236237,n129,Gate,,,,
Gate_F_022,130,39.879678,-75.235911,n130,Gate,,,,
Gate_F_021,131,39.880047,-75.235505,n131,Gate,,,,
Gate_F_019,132,39.880274,-75.23567,n132,Gate,,,,
Gate_F_017,133,39.880433,-75.235952,n133,Gate,,,,
Gate_F_015,134,39.880532,-75.236296,n134,Gate,,,,
Gate_F_013,135,39.880671,-75.236561,n135,Gate,,,,
Gate_F_011,136,39.880835,-75.236978,n136,Gate,,,,
Gate_F_024,137,39.881149,-75.23696,n137,Gate,,,,
Gate_F_026,138,39.881405,-75.236941,n138,Gate,,,,
Gate_F_028,139,39.881632,-75.236846,n139,Gate,,,,
Gate_F_030,140,39.881895,-75.23676,n140,Gate,,,,
Gate_F_032,141,39.88212,-75.236604,n141,Gate,,,,
Gate_F_034,142,39.882328,-75.236638,n142,Gate,,,,
Gate_F_036,143,39.882494,-75.236695,n143,Gate,,,,
Gate_F_038,144,39.882607,-75.236889,n144,Gate,,,,
Gate_F_039,145,39.882614,-75.237135,n145,Gate,,,,
Gate_F_037,146,39.882528,-75.237358,n146,Gate,,,,
Gate_F_035,147,39.882343,-75.237443,n147,Gate,,,,
Gate_F_033,148,39.882119,-75.23742,n148,Gate,,,,
Gate_F_031,149,39.881863,-75.237485,n149,Gate,,,,
Gate_F_029,150,39.88161,-75.237556,n150,Gate,,,,
Gate_F_027,151,39.881376,-75.237596,n151,Gate,,,,
Gate_F_025,152,39.881076,-75.237738,n152,Gate,,,,
Gate_F_009,153,39.88088,-75.238115,n153,Gate,,,,
Gate_F_007,154,39.880896,-75.238439,n154,Gate,,,,
Gate_F_005,155,39.88086,-75.23873,n155,Gate,,,,
Gate_F_003,156,39.880828,-75.239039,n156,Gate,,,,
Gate_F_001,157,39.880763,-75.239345,n157,Gate,,,,
Txy_S_Z,158,39.863807,-75.265892,n158,Txy,,,,
Txy_S_Y,159,39.865678,-75.256496,n159,Txy,,,,
Txy_S_U,160,39.869068,-75.239508,n160,Txy,,,,
Txy_S_001,161,39.861562,-75.275388,n161,Txy,,,,
Txy_S_002,162,39.862228,-75.273798,n162,Txy,,,,
Txy_S_003,163,39.863353,-75.268217,n163,Txy,,,,
Txy_S_004,164,39.86478,-75.261013,n164,Txy,,,,
Txy_S_005,165,39.866116,-75.254324,n165,Txy,,,,
Txy_S_006,166,39.866761,-75.251091,n166,Txy,,,,
Txy_S_007,167,39.867107,-75.249332,n167,Txy,,,,
Txy_S_008,168,39.868221,-75.243767,n168,Txy,,,,
Txy_S_009,169,39.868761,-75.241056,n169,Txy,,,,
Txy_S_010,170,39.870185,-75.233974,n170,Txy,,,,
Txy_S_011,171,39.871205,-75.23183,n171,Txy,,,,
Txy_S_012,172,39.870695,-75.232255,n172,Txy,,,,
Txy_S_013,173,39.871298,-75.231438,n173,Txy,,,,
Txy_S_014,174,39.871656,-75.229693,n174,Txy,,,,
Txy_S_015,175,39.871954,-75.22932,n175,Txy,,,,
Txy_S_016,176,39.872437,-75.227474,n176,Txy,,,,
Txy_S_017,177,39.872537,-75.226983,n177,Txy,,,,
Txy_S_018,178,39.87285,-75.225393,n178,Txy,,,,
Txy_S_019,179,39.873075,-75.224474,n179,Txy,,,,
Txy_S_020,180,39.87442,-75.222996,n180,Txy,,,,
Txy_K_001,181,39.8694,-75.257745,n181,Txy,,,,
Txy_K_002,182,39.869784,-75.255844,n182,Txy,,,,
Txy_K_003,183,39.869884,-75.255309,n183,Txy,,,,
Txy_K_004,184,39.869993,-75.254781,n184,Txy,,,,
Txy_K_005,185,39.870533,-75.252098,n185,Txy,,,,
Txy_K_006,186,39.871089,-75.249331,n186,Txy,,,,
Txy_T_K,187,39.871271,-75.248393,n187,Txy,,,,
Txy_K_008,188,39.871635,-75.246598,n188,Txy,,,,
Txy_K_009,189,39.87192,-75.24515,n189,Txy,,,,
Txy_K_010,190,39.872616,-75.241682,n190,Txy,,,,
Txy_K_011,191,39.873216,-75.238657,n191,Txy,,,,
Txy_K_012,192,39.873538,-75.237077,n192,Txy,,,,
Txy_K_013,193,39.874381,-75.232851,n193,Txy,,,,
Txy_K_E,194,39.874711,-75.231188,n194,Txy,,,,
Txy_K_015,195,39.874795,-75.230752,n195,Txy,,,,
Txy_K_016,196,39.875187,-75.228813,n196,Txy,,,,
Txy_K_D,197,39.875277,-75.228348,n197,Txy,,,,
Txy_K_018,198,39.875821,-75.225543,n198,Txy,,,,
Txy_Z_001,199,39.868575,-75.267433,n199,Txy,,,,
Txy_Z_002,200,39.868041,-75.267264,n200,Txy,,,,
Txy_Z_003,201,39.867288,-75.267015,n201,Txy,,,,
Txy_Z_004,202,39.866802,-75.266841,n202,Txy,,,,
Txy_Z_005,203,39.866245,-75.266673,n203,Txy,,,,
Txy_Z_006,204,39.865753,-75.266525,n204,Txy,,,,
Txy_Z_007,205,39.865294,-75.266359,n205,Txy,,,,
Txy_Z_008,206,39.864873,-75.266228,n206,Txy,,,,
Txy_Z_009,207,39.864431,-75.268559,n207,Txy,,,,
Txy_Z_010,208,39.864842,-75.268701,n208,Txy,,,,
Txy_Z_011,209,39.865288,-75.268854,n209,Txy,,,,
Txy_Z_012,210,39.865791,-75.269014,n210,Txy,,,,
Txy_Z_013,211,39.866358,-75.269195,n211,Txy,,,,
Txy_Z_014,212,39.867018,-75.26913,n212,Txy,,,,
Txy_Z_015,213,39.867726,-75.268879,n213,Txy,,,,
Txy_Z_016,214,39.867346,-75.266424,n214,Txy,,,,
Txy_Z_017,215,39.867669,-75.265584,n215,Txy,,,,
Txy_Z_019,216,39.868762,-75.266489,n216,Txy,,,,
spot_01,217,39.868893,-75.265783,n217,Spot,,,,
Txy_Z_021,218,39.863474,-75.265802,n218,Txy,,,,
Parking_deice1_001,219,39.867846,-75.268284,n219,Park,,,,
Parking_deice1_002,220,39.867218,-75.268077,n220,Park,,,,
Parking_deice1_003,221,39.866601,-75.267887,n221,Park,,,,
Parking_deice1_004,222,39.866045,-75.267717,n222,Park,,,,
Parking_deice1_005,223,39.865547,-75.267567,n223,Park,,,,
Parking_deice1_006,224,39.865088,-75.267429,n224,Park,,,,
Parking_deice1_007,225,39.864673,-75.267292,n225,Park,,,,
Txy_J_001,226,39.869646,-75.261802,n226,Txy,,,,
Txy_J_002,227,39.870358,-75.257875,n227,Txy,,,,
spot_02W,228,39.870691,-75.2556,n228,Spot,,,,
Txy_Y_001,229,39.86998,-75.257821,n229,Txy,,,,
Txy_Y_002,230,39.869071,-75.257631,n230,Txy,,,,
Txy_Y_003,231,39.867604,-75.257129,n231,Txy,,,,
Txy_Y_004,232,39.86662,-75.256814,n232,Txy,,,,
Txy_Y_005,233,39.86647,-75.256762,n233,Txy,,,,
Txy_Y_006,234,39.865354,-75.256382,n234,Txy,,,,
Txy_Y_007,235,39.863856,-75.255898,n235,Txy,,,,
Txy_Y_008,236,39.862616,-75.255471,n236,Txy,,,,
Txy_K6_001,237,39.869462,-75.255744,n237,Txy,,,,
Txy_W_001,238,39.867987,-75.255097,n238,Txy,,,,
Txy_W_002,239,39.867176,-75.25474,n239,Txy,,,,
Txy_W_P,240,39.866901,-75.254627,n240,Txy,,,,
Txy_P_U,241,39.867893,-75.249643,n241,Txy,,,,
Txy_P_001,242,39.869211,-75.247406,n242,Txy,,,,
Txy_P_003,243,39.870561,-75.240665,n243,Txy,,,,
Txy_U_003,244,39.866781,-75.249223,n244,Txy,,,,
