n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_07_003,426,39.879847,-75.238656,Ramp_07_002,427,39.87983,-75.238363
Txy_J_007,326,39.873247,-75.242116,spot_08E,296,39.873358,-75.241567
Txy_A_001,356,39.879587,-75.229672,Txy_A_002,357,39.879732,-75.228799
Txy_J_008,327,39.873909,-75.238887,spot_09S,301,39.873492,-75.238753
spot_06,289,39.87249,-75.245932,Txy_Q_001,292,39.872602,-75.245358
Rwy_02_006,18,39.872157,-75.238304,Rwy_02_007,19,39.872277,-75.237684
Txy_D_001,337,39.873535,-75.22748,Txy_S_017,177,39.872537,-75.226983
Ramp_06_004,422,39.878949,-75.236681,Ramp_06_003,421,39.878786,-75.236089
Txy_Z_015,213,39.867726,-75.268879,Txy_Z_014,212,39.867018,-75.26913
Txy_S_010,170,39.870185,-75.233974,Txy_S_012,172,39.870695,-75.232255
Txy_J_011,330,39.878277,-75.234602,Ramp_11_002,466,39.877477,-75.234183
Parking_11_001,381,39.875986,-75.233006,Ramp_11_001,382,39.874783,-75.232922
Txy_S_013,173,39.871298,-75.231438,Txy_S_011,171,39.871205,-75.23183
Ramp_07_016,440,39.882096,-75.235673,spot_14N,318,39.881178,-75.235199
Rwy_01_004,3,39.863274,-75.262886,Rwy_01_003,2,39.862745,-75.265561
Txy_G_004,350,39.880243,-75.230186,Parking_17_001,367,39.880153,-75.229581
Ramp_14_001,344,39.885381,-75.233467,Txy_D_007,343,39.881326,-75.231343
spot_14N,318,39.881178,-75.235199,Ramp_07_001,332,39.88077,-75.235001
Rwy_01_005,4,39.863716,-75.260676,Rwy_01_006,5,39.864252,-75.257971
Gate_F_015,134,39.880532,-75.236296,Ramp_07_012,436,39.880936,-75.235865
Gate_C_025,89,39.874951,-75.240357,Ramp_04_003,411,39.875023,-75.239428
Txy_E_003,270,39.882928,-75.235258,Txy_E_G,271,39.880724,-75.234167
Txy_S8_001,250,39.864353,-75.261376,Txy_S_004,164,39.86478,-75.261013
Ramp_01_005,392,39.874073,-75.253351,Ramp_01_004,391,39.873637,-75.253519
Parking_12_001,383,39.869756,-75.26609,spot_01,217,39.868893,-75.265783
Txy_S4_001,254,39.866282,-75.251688,Txy_S_006,166,39.866761,-75.251091
Txy_E_H,273,39.878318,-75.23297,Txy_E_007,274,39.877167,-75.232391
Txy_K_018,198,39.875821,-75.225543,Txy_K1_001,355,39.875512,-75.225432
Gate_F_032,141,39.88212,-75.236604,Ramp_07_016,440,39.882096,-75.235673
Txy_K_001,181,39.8694,-75.257745,Txy_K_002,182,39.869784,-75.255844
Parking_deice1_003,221,39.866601,-75.267887,Txy_Z_004,202,39.866802,-75.266841
Ramp_02_001,394,39.8733,-75.24908,Gate_AE_010,56,39.873334,-75.247865
Txy_A1_001,364,39.882365,-75.213819,Rwy_03_005,31,39.881598,-75.213676
Txy_N_001,379,39.872308,-75.241485,Rwy_02_005,17,39.871611,-75.241028
Ramp_03_006,407,39.875042,-75.242596,Gate_C_022,82,39.875019,-75.241838
Rwy_04_002,34,39.885,-75.234767,Rwy_04_003,35,39.880516,-75.232536
Ramp_02_003,396,39.874269,-75.248239,Gate_AE_002,54,39.874111,-75.247497
Gate_D_016,101,39.875081,-75.237632,Ramp_05_003,414,39.874584,-75.236967
Ramp_02_007,401,39.874453,-75.245553,Gate_B_012,69,39.874026,-75.244545
Rwy_01_012,11,39.868011,-75.239146,Txy_S1_002,305,39.867275,-75.238932
Ramp_07_020,444,39.883048,-75.237282,Gate_F_039,145,39.882614,-75.237135
Ramp_03_001,403,39.87511,-75.245286,Gate_B_006,66,39.875057,-75.244167
Ramp_05_005,416,39.876666,-75.237529,Gate_D_007,106,39.875957,-75.238401
Ramp_05_006,417,39.87695,-75.238117,Ramp_05_005,416,39.876666,-75.237529
spot_01,217,39.868893,-75.265783,Txy_Z_017,215,39.867669,-75.265584
Txy_K_010,190,39.872616,-75.241682,Txy_N_001,379,39.872308,-75.241485
Rwy_02_008,20,39.872733,-75.235418,Rwy_02_009,21,39.873077,-75.233695
Txy_S_008,168,39.868221,-75.243767,Txy_S3_001,255,39.867708,-75.244601
Txy_A_003,358,39.880007,-75.227415,Ramp_09_001,464,39.880259,-75.227503
Ramp_01_005,392,39.874073,-75.253351,Gate_AW_018,41,39.874159,-75.252126
Parking_deice1_006,224,39.865088,-75.267429,Txy_Z_010,208,39.864842,-75.268701
Ramp_03_007,408,39.875319,-75.242688,Ramp_03_006,407,39.875042,-75.242596
spot_09N,298,39.874816,-75.239284,Ramp_04_002,410,39.874346,-75.239042
Txy_S_002,162,39.862228,-75.273798,Txy_S_102,462,39.861954,-75.275231
Txy_J_002,227,39.870358,-75.257875,spot_02W,228,39.870691,-75.2556
Gate_F_003,156,39.880828,-75.239039,Ramp_07_028,452,39.881292,-75.239174
Txy_Z_011,209,39.865288,-75.268854,Parking_deice1_005,223,39.865547,-75.267567
Ramp_07_011,435,39.880819,-75.235526,Ramp_07_001,332,39.88077,-75.235001
Txy_K_012,192,39.873538,-75.237077,Txy_M_002,266,39.873226,-75.237142
Ramp_07_018,442,39.882849,-75.23604,Ramp_07_017,441,39.882464,-75.235851
Gate_F_013,135,39.880671,-75.236561,Ramp_07_013,437,39.881064,-75.236225
Txy_D_005,341,39.880275,-75.230821,Txy_D_006,342,39.879429,-75.230406
spot_01,217,39.868893,-75.265783,Txy_Z_019,216,39.868762,-75.266489
Gate_F_017,133,39.880433,-75.235952,Ramp_07_011,435,39.880819,-75.235526
Gate_AE_005,62,39.874387,-75.246489,Ramp_02_006,400,39.874068,-75.24571
Gate_B_003,78,39.875121,-75.24338,Ramp_03_006,407,39.875042,-75.242596
Gate_F_036,143,39.882494,-75.236695,Ramp_07_018,442,39.882849,-75.23604
Txy_S_Y,159,39.865678,-75.256496,Txy_S6_001,252,39.865287,-75.256712
Gate_F_008,126,39.880285,-75.238005,Ramp_07_004,428,39.879761,-75.238044
Ramp_07_025,449,39.881645,-75.238182,Gate_F_025,152,39.881076,-75.237738
Txy_K_002,182,39.869784,-75.255844,Txy_K_003,183,39.869884,-75.255309
Rwy_04_004,36,39.880003,-75.232279,Rwy_04_005,37,39.877858,-75.231218
Txy_D_002,338,39.874955,-75.228184,Rwy_02_012,24,39.874242,-75.227814
Txy_M_001,265,39.871349,-75.238344,Txy_S_101,264,39.868946,-75.240131
Gate_AE_015,52,39.874564,-75.248933,Ramp_02_002,395,39.873876,-75.248652
Txy_Z_016,214,39.867346,-75.266424,Txy_Z_003,201,39.867288,-75.267015
Txy_J_001,226,39.869646,-75.261802,Txy_J_002,227,39.870358,-75.257875
Txy_S_015,175,39.871954,-75.22932,Txy_S_014,174,39.871656,-75.229693
Ramp_13_001,307,39.870748,-75.25504,spot_02E,286,39.870784,-75.254457
Txy_U_002,460,39.864053,-75.248303,Ramp_08_001,245,39.862975,-75.247944
spot_02E,286,39.870784,-75.254457,Txy_J_004,308,39.870993,-75.253462
Ramp_01_004,391,39.873637,-75.253519,Ramp_01_003,390,39.87303,-75.253736
Ramp_06_001,419,39.877119,-75.238463,Ramp_05_006,417,39.87695,-75.238117
Txy_H_003,353,39.876377,-75.22573,Txy_K_018,198,39.875821,-75.225543
Txy_Q_002,291,39.872264,-75.245247,Txy_K_009,189,39.87192,-75.24515
Txy_S_007,167,39.867107,-75.249332,Txy_S_008,168,39.868221,-75.243767
Ramp_14_002,458,39.88651,-75.233166,Parking_15_001,457,39.885606,-75.232731
Txy_E_G,271,39.880724,-75.234167,Txy_G_001,347,39.880658,-75.23365
Ramp_05_004,415,39.874869,-75.236591,spot_10S,304,39.875077,-75.236315
Txy_A_003,358,39.880007,-75.227415,Txy_A2_001,373,39.879796,-75.226763
Txy_Y_001,229,39.86998,-75.257821,Txy_K_001,181,39.8694,-75.257745
Txy_D_H,336,39.877349,-75.22937,Txy_D_003,339,39.877732,-75.229566
Txy_SA_002,261,39.867237,-75.233653,Ramp_10_001,259,39.866922,-75.235061
spot_08E,296,39.873358,-75.241567,Ramp_04_001,409,39.873569,-75.24055
Txy_T_K,187,39.871271,-75.248393,Txy_T_001,279,39.870945,-75.248293
Rwy_01_007,6,39.864624,-75.256114,Txy_Y_007,235,39.863856,-75.255898
Txy_T_J,281,39.871957,-75.248623,spot_05S,280,39.871618,-75.248509
Ramp_13_001,307,39.870748,-75.25504,Parking_14_001,386,39.871832,-75.255433
Gate_F_018,128,39.879972,-75.236535,Ramp_07_006,430,39.879464,-75.236946
Txy_S_001,161,39.861562,-75.275388,Rwy_01_001,0,39.860859,-75.275007
Txy_E_009,276,39.872955,-75.230299,Txy_S_014,174,39.871656,-75.229693
Gate_D_010,98,39.874918,-75.238485,Ramp_04_002,410,39.874346,-75.239042
Gate_B_013,73,39.873589,-75.243889,Ramp_03_002,404,39.87291,-75.243831
Ramp_05_002,329,39.875801,-75.23572,spot_10N,303,39.876548,-75.235389
Rwy_01_006,5,39.864252,-75.257971,Rwy_01_007,6,39.864624,-75.256114
Ramp_03_006,407,39.875042,-75.242596,Ramp_03_005,406,39.874623,-75.242449
Txy_K_015,195,39.874795,-75.230752,Txy_K_E,194,39.874711,-75.231188
Ramp_07_024,448,39.882014,-75.238103,Ramp_07_023,447,39.882258,-75.23804
Txy_A_001,356,39.879587,-75.229672,Txy_A3_001,372,39.879246,-75.229512
Rwy_04_001,33,39.8876001,-75.2360679,Txy_D1_001,346,39.8878422,-75.2350852
Txy_J_012,331,39.878751,-75.234387,Txy_J_011,330,39.878277,-75.234602
Txy_Z_015,213,39.867726,-75.268879,Parking_deice1_001,219,39.867846,-75.268284
Ramp_01_003,390,39.87303,-75.253736,Gate_AW_022,43,39.872913,-75.252579
Rwy_02_001,13,39.868729,-75.255436,Txy_W_001,238,39.867987,-75.255097
Txy_D_007,343,39.881326,-75.231343,Txy_D_005,341,39.880275,-75.230821
spot_08N,297,39.873738,-75.242296,Txy_J_007,326,39.873247,-75.242116
spot_11S,324,39.877692,-75.234877,Txy_J_011,330,39.878277,-75.234602
spot_09E,299,39.874048,-75.238308,Ramp_05_001,328,39.874246,-75.237483
Gate_E_005,120,39.878405,-75.237365,Ramp_06_004,422,39.878949,-75.236681
Txy_A2_002,365,39.882489,-75.213236,Txy_A1_001,364,39.882365,-75.213819
Ramp_07_013,437,39.881064,-75.236225,Gate_F_011,136,39.880835,-75.236978
