n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_01_012,86,41.7276437,-71.4321882,Ramp_01_014,87,41.7282082,-71.4318556
Txy_C1_001,66,41.7237241,-71.4225483,Txy_B_C1,65,41.7239884,-71.4222586
Txy_V_C,40,41.7254057,-71.4326227,Txy_V_001,41,41.7284765,-71.4300746
Txy_T_001,38,41.7182307,-71.432384,Rwy_01_003,20,41.7179183,-71.4315391
Rwy_01_001,18,41.71029,-71.4379495,Rwy_01_002,19,41.7139181,-71.4348918
Ramp_01_016,89,41.7289208,-71.4333093,Gate_01_021,14,41.7281822,-71.4336017
Txy_T_E,36,41.7198643,-71.4357662,Txy_M_E,34,41.7167571,-71.4343607
Ramp_01_006,80,41.7244328,-71.4348221,Ramp_01_007,81,41.7249493,-71.4343822
Ramp_01_016,89,41.7289208,-71.4333093,Ramp_01_017,90,41.7286126,-71.4341086
Txy_V_B,43,41.7316992,-71.4276874,Txy_V_002,42,41.7298857,-71.4290124
Txy_M1_M,32,41.7110028,-71.4390962,Txy_M_002,64,41.7267829,-71.4257884
Txy_A_M,46,41.7309386,-71.4223552,Txy_M_N,48,41.7294853,-71.4235622
Ramp_01_002,76,41.7234919,-71.4369142,Ramp_01_003,77,41.7231556,-71.4360183
Txy_M_M2,33,41.7145067,-71.4361203,Txy_M2_001,50,41.7142905,-71.4356589
Txy_M_B,49,41.7271513,-71.4255202,Txy_B_003,53,41.7281842,-71.4265931
Txy_M_C,59,41.7248532,-71.4274514,Txy_C_005,62,41.7255899,-71.4291465
Rwy_01_02,22,41.7252616,-71.42537,Rwy_02_003,28,41.7261444,-71.4263463
Txy_F_S,74,41.7313749,-71.4318717,Txy_F_001,73,41.7307704,-71.4324188
Txy_F_N,72,41.729085,-71.4332503,Ramp_01_016,89,41.7289208,-71.4333093
Ramp_01_014,87,41.7282082,-71.4318556,Ramp_01_015,88,41.7285765,-71.4325154
Ramp_01_002,76,41.7234919,-71.4369142,Gate_01_003,1,41.7240084,-71.4362812
Ramp_01_010,84,41.7264587,-71.4331055,Ramp_01_011,85,41.7269711,-71.4327246
Rwy_02_004,29,41.7292411,-71.4296079,Rwy_02_005,30,41.7304281,-71.430847
Txy_M_B,49,41.7271513,-71.4255202,Txy_M_N,48,41.7294853,-71.4235622
Rwy_02_002,27,41.7232797,-71.4233047,Rwy_01_02,22,41.7252616,-71.42537
Txy_M_M2,33,41.7145067,-71.4361203,Txy_M_E,34,41.7167571,-71.4343607
Txy_F_N,72,41.729085,-71.4332503,Txy_F_001,73,41.7307704,-71.4324188
Txy_N_003,56,41.7291931,-71.4308631,Txy_F_N,72,41.729085,-71.4332503
Txy_C1_C,68,41.7227592,-71.4242059,Txy_C_002,70,41.718599,-71.4197481
Ramp_01_010,84,41.7264587,-71.4331055,Gate_01_011,9,41.7266749,-71.433945
Ramp_01_005,79,41.7240484,-71.4351332,Gate_01_006,4,41.7247441,-71.4355369
Txy_M_E,34,41.7167571,-71.4343607,Txy_M_T,35,41.7184629,-71.4328372
Txy_C1_001,66,41.7237241,-71.4225483,Rwy_02_002,27,41.7232797,-71.4233047
Rwy_01_02,22,41.7252616,-71.42537,Rwy_01_005,23,41.7262345,-71.4245439
Txy_C_001,69,41.7182066,-71.4192975,Txy_C_002,70,41.718599,-71.4197481
Ramp_01_001,75,41.7237241,-71.4373675,Gate_01_002,0,41.7241345,-71.4365387
Rwy_01_007,25,41.7304461,-71.4210087,Txy_A_002,47,41.7307464,-71.4218885
Txy_B_002,52,41.726831,-71.4251769,Txy_M_B,49,41.7271513,-71.4255202
Txy_B_N,51,41.7293292,-71.4269578,Txy_V_B,43,41.7316992,-71.4276874
Ramp_01_019,92,41.7280481,-71.4348435,Gate_01_015,17,41.7271973,-71.434586
Txy_M1_001,31,41.7107275,-71.4386751,Rwy_01_001,18,41.71029,-71.4379495
Rwy_01_003,20,41.7179183,-71.4315391,Rwy_01_004,21,41.7242126,-71.4262283
Txy_T_E,36,41.7198643,-71.4357662,Txy_M_T,35,41.7184629,-71.4328372
Rwy_01_006,24,41.729109,-71.4221406,Rwy_01_007,25,41.7304461,-71.4210087
Txy_V_B,43,41.7316992,-71.4276874,Txy_A_001,45,41.7318033,-71.4241898
Ramp_01_009,83,41.7260863,-71.4334381,Gate_01_010,8,41.7264046,-71.4341623
Txy_C1_C,68,41.7227592,-71.4242059,Txy_C1_002,67,41.7228353,-71.4240181
Txy_T_002,39,41.7209214,-71.437794,Txy_T_C,57,41.725726,-71.4334595
Txy_M_002,64,41.7267829,-71.4257884,Txy_M_B,49,41.7271513,-71.4255202
Ramp_01_014,87,41.7282082,-71.4318556,Gate_01_016,12,41.7276918,-71.4331833
Ramp_01_009,83,41.7260863,-71.4334381,Ramp_01_010,84,41.7264587,-71.4331055
Rwy_01_005,23,41.7262345,-71.4245439,Rwy_01_006,24,41.729109,-71.4221406
Txy_T_V,37,41.7204009,-71.4368606,Txy_V_C,40,41.7254057,-71.4326227
Txy_C_004,61,41.724653,-71.4270008,Txy_M_C,59,41.7248532,-71.4274514
Txy_F_S,74,41.7313749,-71.4318717,Rwy_02_005,30,41.7304281,-71.430847
Ramp_01_007,81,41.7249493,-71.4343822,Gate_01_008,6,41.7254337,-71.4350045
Txy_N_001,54,41.7294373,-71.4229882,Rwy_01_006,24,41.729109,-71.4221406
Txy_B_N,51,41.7293292,-71.4269578,Txy_M_N,48,41.7294853,-71.4235622
Rwy_01_005,23,41.7262345,-71.4245439,Txy_B_002,52,41.726831,-71.4251769
Txy_M_N,48,41.7294853,-71.4235622,Txy_N_001,54,41.7294373,-71.4229882
Rwy_02_004,29,41.7292411,-71.4296079,Txy_N_002,55,41.7293052,-71.4283311
Ramp_01_004,78,41.7236,-71.4355356,Ramp_01_005,79,41.7240484,-71.4351332
Txy_C1_002,67,41.7228353,-71.4240181,Rwy_02_002,27,41.7232797,-71.4233047
Txy_M_001,63,41.7254938,-71.4268613,Rwy_02_003,28,41.7261444,-71.4263463
Rwy_02_003,28,41.7261444,-71.4263463,Rwy_02_004,29,41.7292411,-71.4296079
Rwy_01_004,21,41.7242126,-71.4262283,Txy_C_004,61,41.724653,-71.4270008
Txy_C_003,60,41.7238763,-71.4254129,Rwy_01_004,21,41.7242126,-71.4262283
Txy_T_002,39,41.7209214,-71.437794,Txy_T_V,37,41.7204009,-71.4368606
Txy_A_M,46,41.7309386,-71.4223552,Txy_A_002,47,41.7307464,-71.4218885
Txy_N_003,56,41.7291931,-71.4308631,Rwy_02_004,29,41.7292411,-71.4296079
Txy_V_001,41,41.7284765,-71.4300746,Rwy_02_004,29,41.7292411,-71.4296079
Ramp_01_001,75,41.7237241,-71.4373675,Ramp_01_002,76,41.7234919,-71.4369142
Txy_M2_001,50,41.7142905,-71.4356589,Rwy_01_002,19,41.7139181,-71.4348918
Rwy_02_003,28,41.7261444,-71.4263463,Txy_M_002,64,41.7267829,-71.4257884
Ramp_01_004,78,41.7236,-71.4355356,Gate_01_005,3,41.7244458,-71.4357783
Txy_B_003,53,41.7281842,-71.4265931,Txy_B_N,51,41.7293292,-71.4269578
Ramp_01_007,81,41.7249493,-71.4343822,Ramp_01_008,82,41.725706,-71.433717
Txy_T_002,39,41.7209214,-71.437794,Ramp_01_003,77,41.7231556,-71.4360183
Ramp_01_008,82,41.725706,-71.433717,Ramp_01_009,83,41.7260863,-71.4334381
Txy_V_C,40,41.7254057,-71.4326227,Txy_C_005,62,41.7255899,-71.4291465
Txy_C_001,69,41.7182066,-71.4192975,Rwy_02_001,26,41.718583,-71.4183533
Ramp_01_017,90,41.7286126,-71.4341086,Ramp_01_018,91,41.7283363,-71.4344895
Ramp_01_011,85,41.7269711,-71.4327246,Ramp_01_012,86,41.7276437,-71.4321882
Txy_C1_C,68,41.7227592,-71.4242059,Txy_C_003,60,41.7238763,-71.4254129
Txy_A_001,45,41.7318033,-71.4241898,Txy_A_M,46,41.7309386,-71.4223552
Ramp_01_003,77,41.7231556,-71.4360183,Ramp_01_004,78,41.7236,-71.4355356
Txy_M_T,35,41.7184629,-71.4328372,Txy_T_001,38,41.7182307,-71.432384
Ramp_01_005,79,41.7240484,-71.4351332,Ramp_01_006,80,41.7244328,-71.4348221
Txy_M_T,35,41.7184629,-71.4328372,Txy_M_C,59,41.7248532,-71.4274514
Txy_T_V,37,41.7204009,-71.4368606,Txy_T_E,36,41.7198643,-71.4357662
Ramp_01_003,77,41.7231556,-71.4360183,Gate_01_004,2,41.7242136,-71.435899
Txy_F_S,74,41.7313749,-71.4318717,Txy_S_001,44,41.7316712,-71.4308256
Ramp_01_012,86,41.7276437,-71.4321882,Gate_01_014,11,41.7274556,-71.4332932
Txy_M_C,59,41.7248532,-71.4274514,Txy_M_001,63,41.7254938,-71.4268613
Txy_V_002,42,41.7298857,-71.4290124,Rwy_02_004,29,41.7292411,-71.4296079
Txy_M1_001,31,41.7107275,-71.4386751,Txy_M1_M,32,41.7110028,-71.4390962
Txy_T_C,57,41.725726,-71.4334595,Txy_T_004,58,41.7288888,-71.4306485
Ramp_01_006,80,41.7244328,-71.4348221,Gate_01_007,5,41.7250974,-71.4352727
Txy_T_C,57,41.725726,-71.4334595,Ramp_01_008,82,41.725706,-71.433717
Ramp_01_018,91,41.7283363,-71.4344895,Gate_01_017,16,41.7276517,-71.4341542
Ramp_01_008,82,41.725706,-71.433717,Gate_01_009,7,41.7260543,-71.4344949
Ramp_01_011,85,41.7269711,-71.4327246,Gate_01_012,10,41.7269891,-71.4336848
Ramp_01_018,91,41.7283363,-71.4344895,Ramp_01_019,92,41.7280481,-71.4348435
Txy_B_001,71,41.7256139,-71.4239162,Txy_B_C1,65,41.7239884,-71.4222586
Txy_T_004,58,41.7288888,-71.4306485,Rwy_02_004,29,41.7292411,-71.4296079
Ramp_01_015,88,41.7285765,-71.4325154,Gate_01_022,13,41.7281041,-71.4331859
Txy_S_001,44,41.7316712,-71.4308256,Txy_V_B,43,41.7316992,-71.4276874
Rwy_01_002,19,41.7139181,-71.4348918,Rwy_01_003,20,41.7179183,-71.4315391
Ramp_01_017,90,41.7286126,-71.4341086,Gate_01_019,15,41.727954,-71.433937
Rwy_02_001,26,41.718583,-71.4183533,Rwy_02_002,27,41.7232797,-71.4233047
Rwy_01_004,21,41.7242126,-71.4262283,Rwy_01_02,22,41.7252616,-71.42537
Ramp_01_015,88,41.7285765,-71.4325154,Ramp_01_016,89,41.7289208,-71.4333093
Txy_B_N,51,41.7293292,-71.4269578,Txy_N_002,55,41.7293052,-71.4283311
Txy_B_001,71,41.7256139,-71.4239162,Rwy_01_005,23,41.7262345,-71.4245439
