id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,43.638545,-70.3007048,n0,Rwy,RW36 ,Entry,RW18 ,End
Rwy_01_002,1,43.6412159,-70.3018098,n1,Rwy,,,,
Rwy_01_003,2,43.6454648,-70.3035801,n2,Rwy,,,,
Rwy_01_004,3,43.6480384,-70.304649,n3,Rwy,,,,
Rwy_01_005,4,43.6518539,-70.3062368,n4,Rwy,,,,
Rwy_01_006,5,43.6544156,-70.3073044,n5,Rwy,RW18 ,Entry,RW36 ,End
Rwy_01_02,6,43.6443158,-70.303104,n6,Rwy,,,,
Txy_C_001,7,43.6383917,-70.3014357,n7,Txy,,,,
Txy_C_002,8,43.6387353,-70.3019748,n8,Txy,,,,
Txy_C_B,9,43.6409831,-70.3029002,n9,Txy,,,,
Txy_C_Z,10,43.6421865,-70.3059311,n10,Txy,,,,
Txy_C_Y,11,43.6426135,-70.3068216,n11,Txy,,,,
Txy_C_A,12,43.6456841,-70.3069449,n12,Txy,,,,
Txy_C_G,13,43.6477031,-70.307015,n13,Txy,,,,
Txy_C_004,14,43.6512547,-70.3071867,n14,Txy,,,,
Txy_C_J,15,43.6516118,-70.3073476,n15,Txy,,,,
Txy_C_005,16,43.6538319,-70.3084312,n16,Txy,,,,
Txy_C_006,17,43.6541114,-70.3082488,n17,Txy,,,,
Txy_G_001,18,43.6482636,-70.3028594,n18,Txy,,,,
Txy_G_002,19,43.6483567,-70.3022049,n19,Txy,,,,
Parking_01_001,20,43.649001,-70.3030578,n20,Park,,,,
Parking_01_002,21,43.6491097,-70.3024087,n21,Park,,,,
Txy_C_003,22,43.6416328,-70.303468,n22,Txy,,,,
Rwy_02_001,23,43.6458588,-70.325843,n23,Rwy,RW11 ,Entry,RW29 ,End
Rwy_02_002,24,43.6455327,-70.320897,n24,Rwy,,,,
Rwy_02_003,25,43.6451833,-70.3159188,n25,Rwy,,,,
Rwy_02_004,26,43.6448417,-70.3108655,n26,Rwy,,,,
Rwy_02_005,27,43.6445933,-70.3069173,n27,Rwy,,,,
Rwy_02_006,28,43.6440421,-70.2992355,n28,Rwy,RW29 ,Entry,RW11 ,End
Txy_A_001,29,43.6465395,-70.3258312,n29,Txy,,,,
Txy_A_002,30,43.6467801,-70.3254075,n30,Txy,,,,
Txy_A_003,31,43.6468287,-70.3239269,n31,Txy,,,,
Txy_A_F,32,43.6466191,-70.3207699,n32,Txy,,,,
Txy_A_E,33,43.6462898,-70.3157811,n33,Txy,,,,
Txy_A_D,34,43.6459443,-70.3107171,n34,Txy,,,,
Txy_A_004,35,43.6451758,-70.2995296,n35,Txy,,,,
Txy_A_005,36,43.6448885,-70.2991809,n36,Txy,,,,
Gate_01_010,37,43.6473482,-70.3128547,n37,Gate,,,,
Gate_01_009,38,43.6471269,-70.3125342,n38,Gate,,,,
Gate_01_008,39,43.6469144,-70.3122311,n39,Gate,,,,
Gate_01_007,40,43.6468641,-70.3116702,n40,Gate,,,,
Gate_01_006,41,43.646945,-70.3111637,n41,Gate,,,,
Gate_01_004,42,43.6468464,-70.3105853,n42,Gate,,,,
Gate_01_003,43,43.6468263,-70.310027,n43,Gate,,,,
Gate_01_002,44,43.6467758,-70.3094798,n44,Gate,,,,
Gate_01_001,45,43.6467128,-70.3089716,n45,Gate,,,,
Parking_02_001,46,43.6467419,-70.3083681,n46,Park,,,,
Parking_02_002,47,43.6468253,-70.3081495,n47,Park,,,,
Ramp_01_001,48,43.6469466,-70.3134388,n48,Ramp,,,,
Ramp_01_002,49,43.6463954,-70.3122962,n49,Ramp,,,,
Ramp_01_003,50,43.6463003,-70.3109201,n50,Ramp,,,,
Ramp_01_004,51,43.6462324,-70.3098661,n51,Ramp,,,,
Ramp_01_005,52,43.6461722,-70.3088656,n52,Ramp,,,,
Ramp_01_006,53,43.6462867,-70.3076533,n53,Ramp,,,,
Parking_03_001,54,43.6512542,-70.3085019,n54,Park,,,,
