id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,47.463662,-122.310913,n0,Rwy,RW16C,Entry,RW34C,End
Rwy_01_002,1,47.462939,-122.310941,n1,Rwy,,,,
Rwy_01_003,2,47.460115,-122.311025,n2,Rwy,,,,
Rwy_01_004,3,47.457477,-122.311056,n3,Rwy,,,,
Rwy_01_005,4,47.455029,-122.311074,n4,Rwy,,,,
Rwy_01_006,5,47.452732,-122.311104,n5,Rwy,,,,
Rwy_01_007,6,47.449595,-122.311117,n6,Rwy,,,,
Rwy_01_008,7,47.44857,-122.311124,n7,Rwy,,,,
Rwy_01_009,8,47.446406,-122.311135,n8,Rwy,,,,
Rwy_01_010,9,47.441818,-122.311173,n9,Rwy,,,,
Rwy_01_011,10,47.438072,-122.311203,n10,Rwy,RW34C,Entry,RW16C,End
Rwy_02_001,11,47.463646,-122.307822,n11,Rwy,RW16L,Entry,RW34R,End
Rwy_02_002,12,47.462926,-122.307775,n12,Rwy,,,,
Rwy_02_003,13,47.460098,-122.30779,n13,Rwy,,,,
Rwy_02_004,14,47.456532,-122.307814,n14,Rwy,,,,
Rwy_02_005,15,47.452861,-122.307837,n15,Rwy,,,,
Rwy_02_006,16,47.452338,-122.307862,n16,Rwy,,,,
Rwy_02_007,17,47.450106,-122.307874,n17,Rwy,,,,
Rwy_02_008,18,47.445915,-122.307912,n18,Rwy,,,,
Rwy_02_009,19,47.443513,-122.307935,n19,Rwy,,,,
Rwy_02_010,20,47.439019,-122.307968,n20,Rwy,,,,
Rwy_02_011,21,47.43806,-122.307975,n21,Rwy,,,,
Rwy_02_012,22,47.436187,-122.307995,n22,Rwy,,,,
Rwy_02_013,23,47.431803,-122.308035,n23,Rwy,,,,
Rwy_02_014,24,47.431185,-122.308032,n24,Rwy,RW34R,Entry,RW16L,End
Txy_C_T,25,47.4636744,-122.3133485,n25,Txy,,,,
Txy_C_001,26,47.463686,-122.312085,n26,Txy,,,,
Txy_C_002,27,47.463662,-122.309773,n27,Txy,,,,
Txy_C_003,28,47.463659,-122.308823,n28,Txy,,,,
Txy_D_001,29,47.462943,-122.309794,n29,Txy,,,,
Txy_D_002,30,47.462932,-122.308863,n30,Txy,,,,
Txy_D_003,31,47.462922,-122.306651,n31,Txy,,,,
Txy_T_001,32,47.460711,-122.313434,n32,Txy,,,,
Txy_T_E,33,47.46011,-122.313449,n33,Txy,,,,
Txy_J_T,34,47.455057,-122.313386,n34,Txy,,,,
Txy_T_N,35,47.44645,-122.313459,n35,Txy,,,,
Txy_T_P,36,47.442371,-122.313498,n36,Txy,,,,
Txy_T_002,37,47.440422,-122.313511,n37,Txy,,,,
Txy_T_003,38,47.439566,-122.313521,n38,Txy,,,,
Txy_T_004,39,47.438717,-122.313471,n39,Txy,,,,
Txy_T_Q,40,47.438248,-122.313123,n40,Txy,,,,
Txy_Q_001,41,47.438079,-122.31235,n41,Txy,,,,
