n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_J_H,62,47.454248,-122.309872,Txy_J_002,64,47.454017,-122.309543
Ramp_02_011,271,47.447285,-122.303358,Ramp_01_012,252,47.447557,-122.30389
Ramp_02_030,290,47.439992,-122.30314,Ramp_02_031,291,47.440393,-122.302255
Gate_A_012,201,47.438473,-122.298404,Ramp_02_045,305,47.438336,-122.299721
Txy_P_002,47,47.4405,-122.310034,Rwy_01_010,9,47.441818,-122.311173
Txy_B_005,88,47.432178,-122.305577,Txy_B_003,86,47.43214,-122.305916
Txy_N_005,332,47.4470713,-122.3160267,Txy_T_N,35,47.44645,-122.313459
Gate_02_024,167,47.444848,-122.304619,Ramp_02_017,277,47.445395,-122.305393
Ramp_02_040,300,47.439819,-122.300108,Ramp_02_041,301,47.439548,-122.299713
Ramp_02_039,299,47.440123,-122.300547,Ramp_02_040,300,47.439819,-122.300108
Txy_A_006,114,47.461839,-122.304964,Txy_B_027,110,47.461837,-122.306111
Txy_R_001,337,47.4406715,-122.3168314,Rwy_03_008,324,47.440686,-122.3180437
Ramp_02_023,283,47.443285,-122.304348,Ramp_02_024,284,47.443216,-122.304991
Rwy_01_002,1,47.462939,-122.310941,Rwy_01_003,2,47.460115,-122.311025
Txy_C_003,28,47.463659,-122.308823,Txy_C_002,27,47.463662,-122.309773
Rwy_01_005,4,47.455029,-122.311074,Rwy_01_006,5,47.452732,-122.311104
Txy_B_015,98,47.442858,-122.306317,Txy_B_014,97,47.441899,-122.306324
Ramp_01_003,243,47.449426,-122.301134,Ramp_01_004,244,47.449709,-122.301634
Txy_T_E,33,47.46011,-122.313449,Txy_J_T,34,47.455057,-122.313386
Txy_E_005,329,47.4599702,-122.3153293,Txy_T_E,33,47.46011,-122.313449
Txy_T_001,32,47.460711,-122.313434,Txy_C_T,25,47.4636744,-122.3133485
Txy_A_001,113,47.463827,-122.304838,Parking_04_001,226,47.464229,-122.304049
Gate_02_033,176,47.443891,-122.30394,Ramp_02_022,282,47.443467,-122.30397
Ramp_02_014,274,47.446719,-122.305383,Ramp_02_015,275,47.446252,-122.305392
Rwy_03_007,323,47.443603,-122.3180223,Rwy_03_008,324,47.440686,-122.3180437
Gate_02_025,168,47.444707,-122.304564,Ramp_02_018,278,47.444643,-122.305402
Gate_D_007,148,47.446473,-122.299959,Ramp_02_003,264,47.447093,-122.300472
Gate_02_026,169,47.444733,-122.30413,Ramp_02_019,279,47.444414,-122.304555
Parking_03_005,225,47.4397902,-122.3147408,Txy_Q_R,338,47.440715,-122.3156512
Parking_03_005,225,47.4397902,-122.3147408,Txy_T_003,38,47.439566,-122.313521
