id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_001,0,37.374884,-121.940072,n0,Rwy,,,,
Rwy_01_002,1,37.374073,-121.939159,n1,Rwy,,,,
Rwy_01_003,2,37.372283,-121.937195,n2,Rwy,RW12L,Entry,RW30R,End
Rwy_01_004,3,37.372206,-121.937123,n3,Rwy,,,,
Rwy_01_005,4,37.369915,-121.934607,n4,Rwy,,,,
Rwy_01_006,5,37.368228,-121.932762,n5,Rwy,,,,
Rwy_01_007,6,37.365995,-121.930302,n6,Rwy,,,,
Rwy_01_008,7,37.362218,-121.926165,n7,Rwy,,,,
Rwy_01_009,8,37.360652,-121.924455,n8,Rwy,,,,
Rwy_01_010,9,37.358996,-121.922639,n9,Rwy,,,,
Rwy_01_011,10,37.35753,-121.920988,n10,Rwy,RW30R,Entry,RW12L,End
Rwy_01_012,11,37.357018,-121.920464,n11,Rwy,,,,
Rwy_01_013,12,37.353994,-121.91715,n12,Rwy,,,,
Rwy_01_014,13,37.353089,-121.916175,n13,Rwy,,,,
Rwy_01_015,14,37.352394,-121.915411,n14,Rwy,,,,
Rwy_02_001,15,37.373618,-121.941867,n15,Rwy,,,,
Rwy_02_002,16,37.37281,-121.940983,n16,Rwy,,,,
Rwy_02_003,17,37.371041,-121.939035,n17,Rwy,RW12R,Entry,RW30L,End
Rwy_02_004,18,37.370943,-121.938939,n18,Rwy,,,,
Rwy_02_005,19,37.368684,-121.936457,n19,Rwy,,,,
Rwy_02_006,20,37.367051,-121.934669,n20,Rwy,,,,
Rwy_02_007,21,37.364781,-121.932177,n21,Rwy,,,,
Rwy_02_008,22,37.362772,-121.929977,n22,Rwy,,,,
Rwy_02_009,23,37.361006,-121.928051,n23,Rwy,,,,
Rwy_02_010,24,37.357771,-121.924446,n24,Rwy,,,,
Rwy_02_011,25,37.356257,-121.92281,n25,Rwy,RW30L,Entry,RW12R,End
Rwy_02_012,26,37.355772,-121.922269,n26,Rwy,,,,
Rwy_02_013,27,37.352744,-121.918991,n27,Rwy,,,,
Rwy_02_014,28,37.351866,-121.91802,n28,Rwy,,,,
Rwy_02_015,29,37.351159,-121.917245,n29,Rwy,,,,
Rwy_03_001,30,37.365842,-121.936544,n30,Rwy,,,,
Rwy_03_002,31,37.36151,-121.931793,n31,Rwy,,,,
Rwy_03_003,32,37.359695,-121.929803,n32,Rwy,,,,
Rwy_03_004,33,37.356447,-121.926248,n33,Rwy,,,,
Txy_N_001,34,37.374068,-121.94124,n34,Txy,,,,
Txy_N_002,35,37.374443,-121.940703,n35,Txy,,,,
Txy_N_003,36,37.375324,-121.939338,n36,Txy,,,,
Txy_M_003,37,37.374544,-121.938478,n37,Txy,,,,
Txy_M_002,38,37.373627,-121.939806,n38,Txy,,,,
Txy_M_001,39,37.373263,-121.940322,n39,Txy,,,,
Txy_M_004,40,37.372355,-121.941632,n40,Txy,,,,
Txy_W_001,41,37.372097,-121.942022,n41,Txy,,,,
Txy_N_Y,42,37.375165,-121.938768,n42,Txy,,,,
Txy_M_Y,43,37.374685,-121.938277,n43,Txy,,,,
Txy_Y_L,44,37.372846,-121.93622,n44,Txy,,,,
Txy_Y_K,45,37.370547,-121.933702,n45,Txy,,,,
Txy_L_001,46,37.370492,-121.939592,n46,Txy,,,,
Txy_L_002,47,37.371394,-121.938299,n47,Txy,,,,
Txy_L_003,48,37.371765,-121.937766,n48,Txy,,,,
Txy_L_004,49,37.372673,-121.936463,n49,Txy,,,,
Txy_L_Z,50,37.373171,-121.935642,n50,Txy,,,,
Txy_L_006,51,37.372107,-121.935841,n51,Txy,,,,
Rwy_01_020,52,37.371647,-121.936506,n52,Rwy,,,,
Txy_K_Z,53,37.37093,-121.933133,n53,Txy,,,,
Txy_K_001,54,37.370364,-121.933967,n54,Txy,,,,
Txy_K_002,55,37.369464,-121.935249,n55,Txy,,,,
Txy_K_003,56,37.369093,-121.935783,n56,Txy,,,,
Txy_L_Y,57,37.372277,-121.935597,n57,Txy,,,,
Txy_J_V,58,37.365434,-121.93716,n58,Txy,,,,
Txy_J_001,59,37.365616,-121.936866,n59,Txy,,,,
Txy_J_002,60,37.366112,-121.936157,n60,Txy,,,,
Txy_J_003,61,37.366653,-121.935368,n61,Txy,,,,
Txy_J_004,62,37.367413,-121.933977,n62,Txy,,,,
Txy_J_005,63,37.367789,-121.933402,n63,Txy,,,,
Txy_J_006,64,37.368685,-121.932122,n64,Txy,,,,
Txy_J_Y,65,37.368867,-121.931856,n65,Txy,,,,
Txy_J_Z,66,37.369242,-121.931283,n66,Txy,,,,
Txy_Z_H,67,37.367007,-121.92884,n67,Txy,,,,
Txy_Y_H,68,37.366632,-121.929411,n68,Txy,,,,
Txy_H_001,69,37.365179,-121.931491,n69,Txy,,,,
Txy_H_002,70,37.365554,-121.93095,n70,Txy,,,,
Txy_H_003,71,37.366447,-121.929672,n71,Txy,,,,
Txy_V_G,72,37.361106,-121.932416,n72,Txy,,,,
Txy_G_001,73,37.3613,-121.93213,n73,Txy,,,,
Txy_G_002,74,37.361785,-121.931431,n74,Txy,,,,
Txy_G_003,75,37.362339,-121.930641,n75,Txy,,,,
Txy_Y_G,76,37.3647,-121.92729,n76,Txy,,,,
Txy_Z_G,77,37.365077,-121.926723,n77,Txy,,,,
Txy_F_001,78,37.361405,-121.927352,n78,Txy,,,,
Txy_F_002,79,37.36178,-121.926817,n79,Txy,,,,
Txy_F_003,80,37.362673,-121.925538,n80,Txy,,,,
Txy_Y_F,81,37.362857,-121.925274,n81,Txy,,,,
Txy_Z_F,82,37.36324,-121.924707,n82,Txy,,,,
Txy_E_001,83,37.361063,-121.92377,n83,Txy,,,,
Txy_Y_E,84,37.361244,-121.923506,n84,Txy,,,,
Txy_Z_E,85,37.361616,-121.922936,n85,Txy,,,,
Txy_V_D,86,37.356038,-121.926806,n86,Txy,,,,
Txy_D_001,87,37.356217,-121.926549,n87,Txy,,,,
Txy_D_002,88,37.356657,-121.925923,n88,Txy,,,,
Txy_D_003,89,37.358181,-121.923816,n89,Txy,,,,
Txy_D_004,90,37.358555,-121.923287,n90,Txy,,,,
Txy_D_005,91,37.359454,-121.921999,n91,Txy,,,,
Txy_Y_D,92,37.359635,-121.92174,n92,Txy,,,,
Txy_Z_D,93,37.360015,-121.921173,n93,Txy,,,,
Txy_V_C,94,37.354205,-121.92463,n94,Txy,,,,
Txy_C_001,95,37.354581,-121.923965,n95,Txy,,,,
Txy_C_002,96,37.35476,-121.923711,n96,Txy,,,,
Txy_C_003,97,37.355027,-121.923329,n97,Txy,,,,
Txy_C_004,98,37.355307,-121.922927,n98,Txy,,,,
Txy_C_005,99,37.356209,-121.921638,n99,Txy,,,,
Txy_C_006,100,37.356576,-121.921112,n100,Txy,,,,
Txy_C_007,101,37.357472,-121.919836,n101,Txy,,,,
Txy_Y_C,102,37.357656,-121.91957,n102,Txy,,,,
Txy_Z_C,103,37.358043,-121.919013,n103,Txy,,,,
Txy_W_B,104,37.35255,-121.920569,n104,Txy,,,,
Txy_B_001,105,37.35241,-121.919743,n105,Txy,,,,
Txy_B_002,106,37.353151,-121.91831,n106,Txy,,,,
Txy_B_003,107,37.353528,-121.917773,n107,Txy,,,,
Txy_B_004,108,37.354421,-121.916497,n108,Txy,,,,
Txy_Y_B,109,37.354607,-121.916228,n109,Txy,,,,
Txy_Z_B,110,37.354996,-121.915648,n110,Txy,,,,
Txy_A_001,111,37.352279,-121.917362,n111,Txy,,,,
Txy_A_002,112,37.35264,-121.916805,n112,Txy,,,,
Txy_A_003,113,37.353529,-121.915519,n113,Txy,,,,
Txy_A_Y,114,37.353717,-121.915254,n114,Txy,,,,
Txy_A_Z,115,37.354104,-121.914694,n115,Txy,,,,
Txy_A1_001,116,37.351587,-121.916587,n116,Txy,,,,
Txy_A1_002,117,37.351961,-121.916033,n117,Txy,,,,
Txy_A1_003,118,37.352854,-121.914777,n118,Txy,,,,
Txy_Z_A1,119,37.353424,-121.913982,n119,Txy,,,,
Txy_V_L,120,37.370231,-121.939967,n120,Txy,,,,
Txy_V_001,121,37.369979,-121.940239,n121,Txy,,,,
Txy_V_002,122,37.3695,-121.940518,n122,Txy,,,,
Txy_V_003,123,37.368727,-121.940515,n123,Txy,,,,
Txy_V_004,124,37.368155,-121.940143,n124,Txy,,,,
Txy_V_005,125,37.359739,-121.930916,n125,Txy,,,,
Txy_V_006,126,37.359309,-121.930414,n126,Txy,,,,
Txy_V_007,127,37.359078,-121.930131,n127,Txy,,,,
Txy_V_008,128,37.358644,-121.92966,n128,Txy,,,,
Txy_V_009,129,37.357801,-121.928735,n129,Txy,,,,
Gate_A_001,130,37.370704,-121.931062,n130,Gate,,,,
Gate_A_002,131,37.370916,-121.931296,n131,Gate,,,,
Gate_A_003,132,37.371333,-121.9316,n132,Gate,,,,
Gate_A_004,133,37.371423,-121.93208,n133,Gate,,,,
Gate_A_005,134,37.371315,-121.932247,n134,Gate,,,,
Gate_A_006,135,37.371097,-121.932187,n135,Gate,,,,
Gate_A_007,136,37.370902,-121.931952,n136,Gate,,,,
Gate_A_008,137,37.370622,-121.93163,n137,Gate,,,,
Gate_A_009,138,37.370342,-121.931332,n138,Gate,,,,
Gate_A_010,139,37.370034,-121.930981,n139,Gate,,,,
Gate_A_011,140,37.369792,-121.930622,n140,Gate,,,,
Gate_A_012,141,37.36956,-121.930292,n141,Gate,,,,
Gate_A_013,142,37.369332,-121.929928,n142,Gate,,,,
Gate_A_014,143,37.369005,-121.929706,n143,Gate,,,,
Gate_A_015,144,37.368695,-121.929465,n144,Gate,,,,
Gate_A_016,145,37.368529,-121.929102,n145,Gate,,,,
Ramp_01_001,146,37.371188,-121.931172,n146,Ramp,,,,
Ramp_01_002,147,37.371469,-121.93125,n147,Ramp,,,,
Ramp_01_003,148,37.371878,-121.931663,n148,Ramp,,,,
Ramp_01_004,149,37.371937,-121.932484,n149,Ramp,,,,
Ramp_01_005,150,37.371536,-121.933182,n150,Ramp,,,,
Txy_Z_010,151,37.370442,-121.932598,n151,Txy,,,,
Txy_Z_011,152,37.370174,-121.932306,n152,Txy,,,,
Txy_Z_012,153,37.369888,-121.931993,n153,Txy,,,,
Txy_Z_013,154,37.369653,-121.931734,n154,Txy,,,,
Txy_Z_014,155,37.36879,-121.930787,n155,Txy,,,,
Txy_Z_015,156,37.368494,-121.930465,n156,Txy,,,,
Txy_Z_016,157,37.368232,-121.930178,n157,Txy,,,,
Txy_Z_017,158,37.367856,-121.929769,n158,Txy,,,,
Txy_Z_018,159,37.367603,-121.929489,n159,Txy,,,,
Txy_Z_019,160,37.364575,-121.926167,n160,Txy,,,,
Txy_Z_020,161,37.363699,-121.925211,n161,Txy,,,,
Txy_Z_021,162,37.362783,-121.924206,n162,Txy,,,,
Txy_Z_022,163,37.362468,-121.923859,n163,Txy,,,,
Txy_Z_023,164,37.362171,-121.923534,n164,Txy,,,,
Txy_Z_024,165,37.361901,-121.92324,n165,Txy,,,,
Txy_Z_025,166,37.361286,-121.922563,n166,Txy,,,,
Gate_02_026,167,37.360679,-121.921899,n167,Gate,,,,
Parking_01_001,168,37.374274,-121.935666,n168,Park,,,,
Parking_01_002,169,37.374087,-121.935886,n169,Park,,,,
Parking_01_003,170,37.373912,-121.936184,n170,Park,,,,
Ramp_01_010,171,37.373685,-121.935024,n171,Ramp,,,,
Ramp_01_011,172,37.37352,-121.935265,n172,Ramp,,,,
Ramp_01_012,173,37.373329,-121.935536,n173,Ramp,,,,
Parking_01_007,174,37.373019,-121.934525,n174,Park,,,,
Txy_Z_077,175,37.360328,-121.92152,n175,Txy,,,,
Gate_03_001,176,37.357445,-121.917076,n176,Gate,,,,
Gate_03_002,177,37.356878,-121.916635,n177,Gate,,,,
Gate_03_003,178,37.356712,-121.916386,n178,Gate,,,,
Gate_03_004,179,37.355718,-121.915067,n179,Gate,,,,
Gate_03_005,180,37.355271,-121.914555,n180,Gate,,,,
Txy_Z_026,181,37.356532,-121.917354,n181,Txy,,,,
Txy_Z_027,182,37.356115,-121.916904,n182,Txy,,,,
Txy_Z_028,183,37.355781,-121.916535,n183,Txy,,,,
Txy_Z_029,184,37.355174,-121.915868,n184,Txy,,,,
Txy_Z_030,185,37.354738,-121.915388,n185,Txy,,,,
Parking_04_001,186,37.351981,-121.920862,n186,Park,,,,
Parking_04_002,187,37.352724,-121.92208,n187,Park,,,,
Parking_04_003,188,37.351965,-121.921242,n188,Park,,,,
Parking_04_004,189,37.353184,-121.922189,n189,Park,,,,
Parking_04_005,190,37.35437,-121.923048,n190,Park,,,,
Parking_04_008,191,37.352075,-121.920429,n191,Park,,,,
Parking_04_007,192,37.352201,-121.920571,n192,Park,,,,
Parking_04_006,193,37.352328,-121.920704,n193,Park,,,,
Parking_04_009,194,37.351942,-121.920282,n194,Park,,,,
Parking_04_010,195,37.354116,-121.924005,n195,Park,,,,
Parking_04_011,196,37.353899,-121.923839,n196,Park,,,,
Parking_04_012,197,37.35373,-121.923624,n197,Park,,,,
Parking_04_014,198,37.353343,-121.923133,n198,Park,,,,
Parking_04_013,199,37.353521,-121.923366,n199,Park,,,,
Parking_04_015,200,37.353135,-121.922924,n200,Park,,,,
Ramp_04_001,201,37.354379,-121.923745,n201,Ramp,,,,
Ramp_04_002,202,37.354214,-121.923567,n202,Ramp,,,,
Ramp_04_003,203,37.353852,-121.923169,n203,Ramp,,,,
