n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Z_H,67,37.367007,-121.92884,Gate_B_017,248,37.367237,-121.927718
Txy_V_007,127,37.359078,-121.930131,Ramp_05_004,235,37.358687,-121.930679
Txy_Z_C,103,37.358043,-121.919013,Txy_Z_026,181,37.356532,-121.917354
Txy_V_D,86,37.356038,-121.926806,Txy_D_001,87,37.356217,-121.926549
Ramp_05_012,244,37.357537,-121.92912,Ramp_05_011,243,37.357282,-121.929524
Txy_Z_015,156,37.368494,-121.930465,Txy_Z_016,157,37.368232,-121.930178
Ramp_04_012,212,37.352096,-121.920761,Parking_04_007,192,37.352201,-121.920571
Txy_M_002,38,37.373627,-121.939806,Rwy_01_002,1,37.374073,-121.939159
Ramp_04_001,201,37.354379,-121.923745,Txy_C_001,95,37.354581,-121.923965
Txy_Z_D,93,37.360015,-121.921173,Txy_Y_D,92,37.359635,-121.92174
Txy_V_C,94,37.354205,-121.92463,Txy_C_001,95,37.354581,-121.923965
Txy_Z_G,77,37.365077,-121.926723,Gate_B_020,251,37.36632,-121.926661
Txy_V_G,72,37.361106,-121.932416,Txy_G_001,73,37.3613,-121.93213
Rwy_03_001,30,37.365842,-121.936544,Txy_J_002,60,37.366112,-121.936157
Rwy_01_005,4,37.369915,-121.934607,Txy_K_002,55,37.369464,-121.935249
Txy_N_001,34,37.374068,-121.94124,Txy_N_002,35,37.374443,-121.940703
Txy_Z_E,85,37.361616,-121.922936,Txy_Z_024,165,37.361901,-121.92324
Txy_G_001,73,37.3613,-121.93213,Rwy_03_002,31,37.36151,-121.931793
Txy_G_002,74,37.361785,-121.931431,Txy_G_003,75,37.362339,-121.930641
Txy_V_007,127,37.359078,-121.930131,Txy_V_008,128,37.358644,-121.92966
Txy_Y_D,92,37.359635,-121.92174,Txy_Y_C,102,37.357656,-121.91957
Rwy_03_002,31,37.36151,-121.931793,Txy_G_002,74,37.361785,-121.931431
Txy_C_002,96,37.35476,-121.923711,Txy_C_003,97,37.355027,-121.923329
Gate_A_013,142,37.369332,-121.929928,Txy_Z_014,155,37.36879,-121.930787
Ramp_05_003,234,37.358337,-121.931229,Ramp_05_004,235,37.358687,-121.930679
Ramp_01_003,148,37.371878,-121.931663,Ramp_01_004,149,37.371937,-121.932484
Txy_V_002,122,37.3695,-121.940518,Txy_V_003,123,37.368727,-121.940515
Gate_A_011,140,37.369792,-121.930622,Txy_J_Z,66,37.369242,-121.931283
Txy_N_002,35,37.374443,-121.940703,Rwy_01_001,0,37.374884,-121.940072
Txy_L_006,51,37.372107,-121.935841,Rwy_01_020,52,37.371647,-121.936506
Ramp_04_010,210,37.351832,-121.920479,Ramp_04_011,211,37.351959,-121.920611
Rwy_01_011,10,37.35753,-121.920988,Rwy_01_012,11,37.357018,-121.920464
Rwy_02_010,24,37.357771,-121.924446,Txy_D_003,89,37.358181,-121.923816
Txy_Z_023,164,37.362171,-121.923534,Txy_Z_024,165,37.361901,-121.92324
Txy_L_004,49,37.372673,-121.936463,Rwy_01_004,3,37.372206,-121.937123
Txy_V_005,125,37.359739,-121.930916,Txy_V_006,126,37.359309,-121.930414
Txy_Y_C,102,37.357656,-121.91957,Txy_Y_B,109,37.354607,-121.916228
Txy_A1_002,117,37.351961,-121.916033,Rwy_01_015,14,37.352394,-121.915411
Txy_Y_L,44,37.372846,-121.93622,Txy_L_004,49,37.372673,-121.936463
Rwy_01_005,4,37.369915,-121.934607,Rwy_01_020,52,37.371647,-121.936506
Rwy_02_013,27,37.352744,-121.918991,Rwy_02_014,28,37.351866,-121.91802
Txy_C_006,100,37.356576,-121.921112,Rwy_01_012,11,37.357018,-121.920464
Parking_04_002,187,37.352724,-121.92208,Ramp_04_007,207,37.352241,-121.921397
Rwy_02_003,17,37.371041,-121.939035,Rwy_02_004,18,37.370943,-121.938939
Txy_Z_023,164,37.362171,-121.923534,Txy_Z_022,163,37.362468,-121.923859
Rwy_02_001,15,37.373618,-121.941867,Txy_N_001,34,37.374068,-121.94124
Ramp_04_010,210,37.351832,-121.920479,Parking_04_009,194,37.351942,-121.920282
Rwy_01_005,4,37.369915,-121.934607,Rwy_01_006,5,37.368228,-121.932762
Rwy_02_004,18,37.370943,-121.938939,Txy_L_001,46,37.370492,-121.939592
Txy_Z_017,158,37.367856,-121.929769,Txy_Z_016,157,37.368232,-121.930178
Txy_Y_L,44,37.372846,-121.93622,Txy_L_Z,50,37.373171,-121.935642
Parking_04_003,188,37.351965,-121.921242,Ramp_04_007,207,37.352241,-121.921397
Txy_Z_019,160,37.364575,-121.926167,Gate_B_025,256,37.364687,-121.924928
Txy_V_G,72,37.361106,-121.932416,Txy_V_005,125,37.359739,-121.930916
Gate_A_004,133,37.371423,-121.93208,Ramp_01_004,149,37.371937,-121.932484
Rwy_01_013,12,37.353994,-121.91715,Rwy_01_012,11,37.357018,-121.920464
Txy_M_003,37,37.374544,-121.938478,Rwy_01_002,1,37.374073,-121.939159
Parking_04_014,198,37.353343,-121.923133,Ramp_04_005,204,37.353442,-121.922717
Txy_M_004,40,37.372355,-121.941632,Rwy_02_002,16,37.37281,-121.940983
Txy_K_002,55,37.369464,-121.935249,Txy_K_003,56,37.369093,-121.935783
Txy_J_Z,66,37.369242,-121.931283,Txy_Z_013,154,37.369653,-121.931734
Rwy_01_001,0,37.374884,-121.940072,Rwy_01_002,1,37.374073,-121.939159
Txy_K_003,56,37.369093,-121.935783,Rwy_02_005,19,37.368684,-121.936457
Txy_Z_F,82,37.36324,-121.924707,Gate_B_028,259,37.363758,-121.92385
Ramp_05_001,232,37.359373,-121.931433,Ramp_05_005,236,37.359056,-121.931083
Txy_Z_026,181,37.356532,-121.917354,Txy_Z_027,182,37.356115,-121.916904
Txy_J_Y,65,37.368867,-121.931856,Txy_Y_K,45,37.370547,-121.933702
Txy_Z_C,103,37.358043,-121.919013,Txy_Y_C,102,37.357656,-121.91957
Parking_01_007,174,37.373019,-121.934525,Txy_L_Z,50,37.373171,-121.935642
Txy_A1_003,118,37.352854,-121.914777,Txy_A1_004,247,37.353036,-121.914508
Rwy_02_014,28,37.351866,-121.91802,Txy_A_001,111,37.352279,-121.917362
Txy_G_003,75,37.362339,-121.930641,Rwy_02_008,22,37.362772,-121.929977
Ramp_01_010,171,37.373685,-121.935024,Ramp_01_011,172,37.37352,-121.935265
Ramp_04_044,219,37.352799,-121.924153,Parking_04_013,199,37.353521,-121.923366
Txy_Y_E,84,37.361244,-121.923506,Txy_Y_D,92,37.359635,-121.92174
Ramp_01_012,173,37.373329,-121.935536,Txy_L_Z,50,37.373171,-121.935642
Ramp_04_009,209,37.351565,-121.920204,Ramp_04_010,210,37.351832,-121.920479
Rwy_01_006,5,37.368228,-121.932762,Txy_J_006,64,37.368685,-121.932122
Ramp_04_008,208,37.35138,-121.920452,Ramp_04_007,207,37.352241,-121.921397
Rwy_02_004,18,37.370943,-121.938939,Rwy_02_005,19,37.368684,-121.936457
Ramp_04_041,216,37.354557,-121.92349,Txy_C_002,96,37.35476,-121.923711
Txy_Z_H,67,37.367007,-121.92884,Txy_Y_H,68,37.366632,-121.929411
Txy_Z_G,77,37.365077,-121.926723,Gate_B_022,253,37.365693,-121.925937
Txy_V_D,86,37.356038,-121.926806,Txy_V_C,94,37.354205,-121.92463
Txy_Z_012,153,37.369888,-121.931993,Gate_A_009,138,37.370342,-121.931332
Parking_04_013,199,37.353521,-121.923366,Ramp_04_004,205,37.353646,-121.922942
Txy_B_002,106,37.353151,-121.91831,Txy_B_003,107,37.353528,-121.917773
Txy_K_001,54,37.370364,-121.933967,Txy_Y_K,45,37.370547,-121.933702
Gate_A_001,130,37.370704,-121.931062,Ramp_01_001,146,37.371188,-121.931172
