n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C_J,48,33.676781,-117.86539,Txy_J_001,43,33.676932,-117.865735
Txy_C_006,65,33.680318,-117.863146,Txy_C_L,67,33.6806,-117.862968
Rwy_01_007,125,33.677726,-117.867537,Rwy_01_008,126,33.680824,-117.865566
Txy_A_038,73,33.68174,-117.861637,Txy_A_039,72,33.682088,-117.861417
Ramp_GA_047,228,33.668207,-117.871353,Parking_GA_047,209,33.667909,-117.87093
Ramp_A_006,18,33.68053,-117.862024,Gate_01_005,4,33.680352,-117.8616
Txy_C_L,67,33.6806,-117.862968,Txy_L_001,30,33.680752,-117.863309
Ramp_A_003,15,33.681606,-117.861343,Gate_01_002,1,33.681398,-117.860851
Txy_A_033,76,33.679375,-117.863135,Ramp_A_010,22,33.679145,-117.862899
Txy_L_002,34,33.681065,-117.864019,Txy_L_003,35,33.681233,-117.864396
Txy_A_024,99,33.672532,-117.86786,Txy_A_025,100,33.673066,-117.86731
Ramp_GA_045,226,33.667755,-117.871826,Parking_GA_045,207,33.667456,-117.871403
Txy_A_040,71,33.682445,-117.861186,Ramp_A_001,75,33.682733,-117.860792
Ramp_GA_043,224,33.667315,-117.872321,Parking_GA_043,210,33.666939,-117.871943
Rwy_02_002,127,33.677084,-117.866087,Rwy_02_003,128,33.679822,-117.864354
Txy_B_024,143,33.671478,-117.872985,Txy_B_025,142,33.671725,-117.872818
Txy_B_017,150,33.669472,-117.874251,Ramp_GA_018,245,33.669625,-117.874596
Txy_A_007,219,33.665325,-117.874152,Txy_A_008,221,33.666503,-117.873408
Txy_A_021,96,33.671118,-117.868873,Txy_A_022,97,33.671329,-117.868688
Rwy_01_002,59,33.667906,-117.873758,Rwy_01_003,87,33.669785,-117.872577
Txy_H_002,51,33.674244,-117.868335,Txy_H_003,50,33.674531,-117.868524
Rwy_01_005,122,33.673871,-117.869984,Rwy_01_006,123,33.67557,-117.868909
Txy_A_002,204,33.664657,-117.875505,Parking_GA_038,215,33.664327,-117.874931
Txy_B_001,199,33.6652,-117.877301,Txy_B_002,198,33.665394,-117.87709
Txy_A_030,79,33.678224,-117.863862,Ramp_A_013,25,33.678093,-117.863567
Txy_B_035,39,33.681043,-117.867117,Txy_B_K,135,33.681417,-117.866887
Ramp_GA_027,257,33.671875,-117.873174,Parking_GA_027,164,33.672071,-117.873616
