n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
RWy_01_004,3,41.503074,-74.116127,Txy_L_001,25,41.503758,-74.116745
Rwy_01_011,10,41.506895,-74.09139,Rwy_01_012,11,41.507341,-74.088467
Ramp_01_006,59,41.499336,-74.099144,Ramp_01_005,58,41.498988,-74.098972
Rwy_02_001,12,41.511169,-74.101374,Txy_G_003,32,41.510089,-74.101732
Rwy_01_006,5,41.503749,-74.111737,Rwy_01_007,6,41.504715,-74.105603
Txy_B_001,42,41.500708,-74.09433,Rwy_02_005,16,41.501135,-74.093473
Txy_A2_A,23,41.50172,-74.113959,Txy_A2_001,22,41.502353,-74.1148
Rwy_01_012,11,41.507341,-74.088467,Txy_A_003,35,41.505675,-74.088041
Txy_M_002,28,41.50644,-74.115885,Parking_04_002,29,41.506899,-74.113213
Rwy_01_02,8,41.505967,-74.097283,Rwy_01_010,9,41.506259,-74.09546
Txy_B_003,44,41.501425,-74.098484,Ramp_01_010,63,41.501188,-74.098563
Txy_A_001,18,41.499675,-74.129893,Txy_A_002,19,41.499389,-74.129071
Txy_G_003,32,41.510089,-74.101732,Txy_G_002,31,41.507724,-74.102489
Txy_J_A,36,41.505389,-74.089435,Txy_A5_A,34,41.50523,-74.090909
Txy_B_001,42,41.500708,-74.09433,Txy_B_002,43,41.502027,-74.098276
Txy_G_002,31,41.507724,-74.102489,Txy_G_001,30,41.505817,-74.104749
Rwy_02_006,17,41.497857,-74.090929,Txy_F_001,46,41.493886,-74.092947
Rwy_02_004,15,41.504389,-74.096037,Rwy_02_003,14,41.50528,-74.096741
Parking_03_001,38,41.502056,-74.089157,Txy_K_A,37,41.505051,-74.091651
Rwy_02_005,16,41.501135,-74.093473,Rwy_02_006,17,41.497857,-74.090929
Gate_01_003,52,41.498811,-74.099817,Ramp_01_005,58,41.498988,-74.098972
Rwy_02_002,13,41.506681,-74.097848,Rwy_02_001,12,41.511169,-74.101374
Ramp_01_001,47,41.494745,-74.096769,Ramp_01_003,56,41.498353,-74.098689
Txy_F_001,46,41.493886,-74.092947,Ramp_01_002,48,41.494051,-74.093959
Gate_01_002,53,41.499157,-74.100062,Ramp_01_006,59,41.499336,-74.099144
Txy_A2_A,23,41.50172,-74.113959,Txy_A3_001,24,41.502732,-74.113147
Ramp_01_004,57,41.498664,-74.098843,Ramp_01_003,56,41.498353,-74.098689
Txy_A3_001,24,41.502732,-74.113147,Rwy_01_006,5,41.503749,-74.111737
Parking_Helipad_002,45,41.493777,-74.094051,Ramp_01_002,48,41.494051,-74.093959
Txy_A4_A,33,41.503396,-74.102574,Rwy_02_004,15,41.504389,-74.096037
Txy_L_001,25,41.503758,-74.116745,Parking_04_001,26,41.504766,-74.117824
Ramp_01_008,61,41.500034,-74.099729,Ramp_01_009,62,41.49997,-74.099046
Txy_B_002,43,41.502027,-74.098276,Txy_A4_A,33,41.503396,-74.102574
Rwy_02_005,16,41.501135,-74.093473,Rwy_02_004,15,41.504389,-74.096037
Gate_01_005,50,41.498225,-74.099628,Ramp_01_003,56,41.498353,-74.098689
Gate_01_01B,54,41.499475,-74.100122,Ramp_01_007,60,41.499588,-74.099175
Txy_A_003,35,41.505675,-74.088041,Txy_J_A,36,41.505389,-74.089435
Txy_A_002,19,41.499389,-74.129071,Txy_A_A1,21,41.499601,-74.127847
Txy_A2_001,22,41.502353,-74.1148,RWy_01_004,3,41.503074,-74.116127
Rwy_01_002,1,41.501172,-74.128309,Rwy_01_003,2,41.501955,-74.123382
Txy_J_A,36,41.505389,-74.089435,Parking_03_002,39,41.502813,-74.087501
Txy_A_A1,21,41.499601,-74.127847,Txy_A2_A,23,41.50172,-74.113959
Ramp_01_007,60,41.499588,-74.099175,Ramp_01_006,59,41.499336,-74.099144
Rwy_01_005,4,41.503238,-74.115061,Rwy_01_006,5,41.503749,-74.111737
Gate_01_004,51,41.498532,-74.099812,Ramp_01_004,57,41.498664,-74.098843
Rwy_01_007,6,41.504715,-74.105603,Txy_A4_A,33,41.503396,-74.102574
Gate_01_01A,55,41.49965,-74.100345,Ramp_01_008,61,41.500034,-74.099729
Txy_A1_001,20,41.500113,-74.127982,Rwy_01_002,1,41.501172,-74.128309
Rwy_01_001,0,41.50085,-74.130383,Txy_A_001,18,41.499675,-74.129893
Txy_M_002,28,41.50644,-74.115885,Txy_M_001,27,41.503985,-74.115291
Rwy_01_010,9,41.506259,-74.09546,Rwy_01_011,10,41.506895,-74.09139
Rwy_01_003,2,41.501955,-74.123382,RWy_01_004,3,41.503074,-74.116127
Rwy_01_007,6,41.504715,-74.105603,Rwy_01_008,7,41.505815,-74.098368
Txy_A5_A,34,41.50523,-74.090909,Txy_K_A,37,41.505051,-74.091651
Txy_A_A1,21,41.499601,-74.127847,Txy_A1_001,20,41.500113,-74.127982
Txy_B_002,43,41.502027,-74.098276,Txy_B_003,44,41.501425,-74.098484
Ramp_01_005,58,41.498988,-74.098972,Ramp_01_004,57,41.498664,-74.098843
Txy_G_001,30,41.505817,-74.104749,Rwy_01_007,6,41.504715,-74.105603
Rwy_01_001,0,41.50085,-74.130383,Rwy_01_002,1,41.501172,-74.128309
Rwy_01_02,8,41.505967,-74.097283,Rwy_02_002,13,41.506681,-74.097848
Rwy_01_008,7,41.505815,-74.098368,Rwy_01_02,8,41.505967,-74.097283
Parking_01_001,40,41.501271,-74.099618,Ramp_01_010,63,41.501188,-74.098563
Txy_A5_A,34,41.50523,-74.090909,Rwy_01_011,10,41.506895,-74.09139
Ramp_01_010,63,41.501188,-74.098563,Ramp_01_009,62,41.49997,-74.099046
Ramp_01_009,62,41.49997,-74.099046,Ramp_01_007,60,41.499588,-74.099175
Gate_01_006,49,41.497952,-74.099621,Ramp_01_003,56,41.498353,-74.098689
Txy_K_A,37,41.505051,-74.091651,Rwy_02_004,15,41.504389,-74.096037
Ramp_01_002,48,41.494051,-74.093959,Ramp_01_001,47,41.494745,-74.096769
Txy_A2_A,23,41.50172,-74.113959,Txy_A4_A,33,41.503396,-74.102574
Txy_M_001,27,41.503985,-74.115291,Rwy_01_005,4,41.503238,-74.115061
RWy_01_004,3,41.503074,-74.116127,Rwy_01_005,4,41.503238,-74.115061
Rwy_02_003,14,41.50528,-74.096741,Rwy_01_02,8,41.505967,-74.097283
Parking_Helipad_001,41,41.50179,-74.098884,Txy_B_003,44,41.501425,-74.098484
