n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_Q_005,56,40.856869,-74.05335,Txy_Q_R,51,40.855333,-74.055408
Txy_J_003,86,40.842559,-74.063556,Parking_J_001,87,40.842225,-74.063667
Txy_G_P,38,40.850236,-74.067399,Txy_C_P,1,40.85327,-74.062939
Txy_J_001,42,40.842797,-74.061066,Txy_L_J,25,40.8424,-74.061633
Txy_L_K,23,40.840308,-74.061793,Txy_K_002,41,40.840318,-74.063035
Txy_Q_001,47,40.852032,-74.060432,Txy_L_F,28,40.851678,-74.060956
Rwy_01_001,2,40.838739,-74.060267,Txy_L_001,22,40.838766,-74.061356
Txy_Z_004,66,40.857158,-74.060961,Parking_Z_003,76,40.857437,-74.061563
Rwy_02_007,20,40.855513,-74.057329,Txy_R_001,50,40.855421,-74.056059
Txy_G_004,35,40.849146,-74.065506,Rwy_02_002,15,40.849561,-74.066232
Txy_Q_R,51,40.855333,-74.055408,Txy_R_001,50,40.855421,-74.056059
Txy_L_J,25,40.8424,-74.061633,Txy_J_002,43,40.842429,-74.062185
Txy_Q_006,57,40.857176,-74.053697,Txy_Q_005,56,40.856869,-74.05335
Rwy_01_013,13,40.857787,-74.059057,Txy_A_001,58,40.857754,-74.05801
Txy_L_D,27,40.84931,-74.061131,Txy_D_001,45,40.849284,-74.060581
Txy_N_001,39,40.845984,-74.069325,Txy_N_002,62,40.847192,-74.067556
Rwy_01_006,6,40.847771,-74.059789,Txy_E_001,44,40.847103,-74.060753
Rwy_01_002,3,40.840244,-74.060161,Rwy_01_001,2,40.838739,-74.060267
Txy_B_002,52,40.855958,-74.058185,Rwy_01_012,12,40.856509,-74.059153
Txy_G_N,36,40.848882,-74.065074,Txy_G_004,35,40.849146,-74.065506
Txy_L_003,29,40.85426,-74.060769,Txy_L_P,30,40.854771,-74.060729
Rwy_01_003,78,40.840797,-74.060113,Rwy_01_004,4,40.843268,-74.059938
Rwy_01_002,3,40.840244,-74.060161,Txy_K_001,40,40.840284,-74.061238
Txy_Z_C,67,40.853981,-74.064157,Parking_C_001,73,40.854229,-74.064617
Rwy_02_001,14,40.846807,-74.070279,Rwy_02_002,15,40.849561,-74.066232
Txy_Q_003,49,40.853962,-74.057459,Txy_Q_002,48,40.85339,-74.058403
Txy_Q_004,55,40.854565,-74.056546,Parking_Q_001,77,40.854054,-74.055896
Rwy_01_005,5,40.845909,-74.059928,Txy_G_003,34,40.846408,-74.060797
Txy_J_003,86,40.842559,-74.063556,Txy_J_004,64,40.842579,-74.064603
Txy_Z_002,68,40.854797,-74.063334,Txy_Z_003,75,40.855478,-74.062646
Txy_N_001,39,40.845984,-74.069325,Rwy_02_001,14,40.846807,-74.070279
Rwy_02_002,15,40.849561,-74.066232,Rwy_02_003,16,40.852603,-74.061753
Txy_Z_G,69,40.850421,-74.067724,Parking_G_001,70,40.850736,-74.068284
Rwy_02_004,17,40.85323,-74.060839,Txy_L_003,29,40.85426,-74.060769
Txy_Z_003,75,40.855478,-74.062646,Txy_Z_004,66,40.857158,-74.060961
Txy_J_002,43,40.842429,-74.062185,Txy_J_003,86,40.842559,-74.063556
Rwy_01_004,4,40.843268,-74.059938,Txy_J_001,42,40.842797,-74.061066
Rwy_01_02,11,40.854245,-74.059324,Rwy_01_010,10,40.853275,-74.059393
Txy_A_001,58,40.857754,-74.05801,Txy_A_004,59,40.858171,-74.054915
Txy_K_001,40,40.840284,-74.061238,Txy_L_K,23,40.840308,-74.061793
Txy_Q_004,55,40.854565,-74.056546,Txy_Q_003,49,40.853962,-74.057459
Rwy_01_012,12,40.856509,-74.059153,Rwy_01_013,13,40.857787,-74.059057
Txy_L_F,28,40.851678,-74.060956,Txy_L_D,27,40.84931,-74.061131
Rwy_01_010,10,40.853275,-74.059393,Rwy_01_009,9,40.852719,-74.059429
Txy_G_003,34,40.846408,-74.060797,Txy_L_G,26,40.84671,-74.061323
Rwy_01_005,5,40.845909,-74.059928,Rwy_01_004,4,40.843268,-74.059938
Txy_A_001,58,40.857754,-74.05801,Txy_A_002,60,40.858267,-74.057571
Rwy_01_002,3,40.840244,-74.060161,Rwy_01_003,78,40.840797,-74.060113
Txy_A_003,61,40.858572,-74.055389,Txy_A_004,59,40.858171,-74.054915
Txy_B_Z,53,40.857398,-74.060717,Txy_Z_004,66,40.857158,-74.060961
Parking_Z_004,0,40.854543,-74.062743,Txy_Z_002,68,40.854797,-74.063334
Txy_C_P,1,40.85327,-74.062939,Txy_L_P,30,40.854771,-74.060729
Rwy_01_007,7,40.849251,-74.059681,Rwy_01_006,6,40.847771,-74.059789
Txy_L_D,27,40.84931,-74.061131,Txy_L_G,26,40.84671,-74.061323
Txy_E_001,44,40.847103,-74.060753,Txy_L_G,26,40.84671,-74.061323
Rwy_01_009,9,40.852719,-74.059429,Rwy_01_008,8,40.850875,-74.059554
Txy_C_002,81,40.853686,-74.063636,Txy_Z_C,67,40.853981,-74.064157
Txy_K_003,82,40.840336,-74.06385,Txy_K_004,83,40.84044,-74.064634
Txy_Z_C,67,40.853981,-74.064157,Txy_Z_001,71,40.852857,-74.065282
Rwy_02_006,19,40.854902,-74.058274,Rwy_01_02,11,40.854245,-74.059324
Txy_L_G,26,40.84671,-74.061323,Txy_L_J,25,40.8424,-74.061633
Txy_L_J,25,40.8424,-74.061633,Txy_L_K,23,40.840308,-74.061793
